accession	pool	n_samples	cu_cu_mean	cu_cu_sd	cu_cu_min	cu_cu_max	cu1_plddt_mean	cu1_plddt_sd	cu2_plddt_mean	cu2_plddt_sd	n_coordinating_his_values	his_agreement	min_coord_his_plddt_mean	min_coord_his_plddt_sd	n_canonical	all_canonical	any_canonical
A0A6A5WZS6	canonical	5	4.0508	0.0482	3.9773	4.1026	97.9820	0.0179	97.2680	0.0192	6	yes	98.4480	0.0164	5	yes	yes
A0A6A5X2N3	discarded	5	4.4363	0.0854	4.2965	4.5299	61.5400	1.9725	63.0380	1.1290	6	yes	58.6740	1.2593	0	no	no
A0A6A5X6Q7	canonical	5	4.4226	0.0671	4.3448	4.5036	95.4600	0.0485	90.1080	0.3374	6	yes	87.5520	0.2172	5	yes	yes
A0A6A5X7U0	canonical	5	3.5975	0.0417	3.5558	3.6557	98.3260	0.0114	97.7020	0.0349	6	yes	98.3640	0.0270	5	yes	yes
A0A6A5XCY2	canonical	5	3.9272	0.0428	3.8917	3.9889	98.0700	0.0173	97.6140	0.0416	6	yes	98.6200	0.0212	5	yes	yes
A0A6A5XFW1	canonical	5	4.2592	0.0784	4.1727	4.3277	94.8520	0.2544	89.7220	0.7006	5,6	no	90.2500	3.6692	4	no	yes
A0A6A5XGX1	canonical	5	4.2685	0.1002	4.1043	4.3595	96.9180	0.0455	94.8400	0.0831	6	yes	96.8180	0.0540	5	yes	yes
A0A6A5XIH6	canonical	5	4.1151	0.0316	4.0828	4.1656	97.9860	0.0182	97.5480	0.0179	6	yes	98.2000	0.0308	5	yes	yes
A0A6A5XM88	noncanonical	5	21.6034	5.3087	15.5740	26.3561	71.3800	1.6062	32.5420	6.2149	2,3	no	71.8180	18.5907	0	no	no
A0A6A5XQP9	canonical	5	4.0083	0.0513	3.9558	4.0621	98.3820	0.0130	97.9340	0.0456	6	yes	98.5120	0.0249	5	yes	yes
A0A6A5XX45	canonical	5	3.9154	0.0317	3.8664	3.9426	98.0060	0.0207	98.0400	0.0235	6	yes	98.4140	0.0802	5	yes	yes
A0A6A5XXR1	canonical	5	4.0867	0.0572	4.0160	4.1738	97.5420	0.0259	97.0740	0.0371	6	yes	97.4780	0.1279	5	yes	yes
A0A6A5XYI7	canonical	5	4.2283	0.0432	4.1694	4.2706	97.7500	0.0552	97.3540	0.0305	6	yes	98.1420	0.0811	5	yes	yes
A0A6A5Y2W9	discarded	5	4.0734	0.0826	4.0168	4.2192	81.6540	0.8765	51.6960	2.0928	4,5	no	81.8240	9.8451	0	no	no
A0A6A5Y322	canonical	5	4.3575	0.1355	4.2152	4.5827	96.9960	0.0462	95.0940	0.0541	6	yes	94.8840	0.1379	5	yes	yes
A0A6A5Y4J9	canonical	5	4.3689	0.0776	4.2484	4.4614	97.4760	0.0483	96.5740	0.0716	6	yes	98.0320	0.0881	5	yes	yes
A0A6A5Y6Y8	canonical	5	4.1148	0.1160	3.9683	4.2396	92.0100	0.4513	86.4220	1.2361	6	yes	92.6720	0.5559	5	yes	yes
A0A6A5Y9G4	canonical	5	4.2716	0.0804	4.2046	4.4107	97.2740	0.0434	97.5880	0.0205	6	yes	98.5060	0.0451	5	yes	yes
A0A6A5YDP4	canonical	5	4.1570	0.0452	4.0809	4.1982	95.1600	0.1190	93.9160	0.1936	6	yes	93.1660	0.2415	5	yes	yes
A0A6A5YFE8	discarded	5	15.1972	11.7040	2.2856	23.9672	95.9800	1.4411	86.9940	12.5964	3,5	no	92.2960	0.9587	0	no	no
A0A6A5YFF5	canonical	5	4.0452	0.0454	3.9927	4.1104	98.1380	0.0342	97.4000	0.0539	6	yes	98.5440	0.0416	5	yes	yes
A0A6A5YHD3	canonical	5	4.2286	0.1448	4.1042	4.4783	94.4840	0.0808	91.4640	0.1721	6	yes	90.8480	0.1178	5	yes	yes
A0A6A5YJL3	noncanonical	5	21.8068	9.9818	4.2731	29.3292	91.6660	0.4495	64.3200	4.7856	3,4	no	83.6940	0.8007	0	no	no
A0A6A5YP59	canonical	5	4.0131	0.1434	3.8941	4.2425	96.0520	0.0904	90.7340	0.2257	6	yes	88.4600	0.8936	5	yes	yes
A0A6A5YQ89	canonical	5	4.0836	0.0143	4.0662	4.1027	97.6720	0.0192	97.5840	0.0114	6	yes	98.3720	0.0239	5	yes	yes
A0A6A5YQI4	canonical	5	3.9246	0.0725	3.8325	4.0294	94.7180	0.1984	94.9360	0.2243	6	yes	87.0980	0.3679	5	yes	yes
A0A6A5YUY1	canonical	5	4.0087	0.0413	3.9568	4.0526	98.1940	0.0195	97.6020	0.0295	6	yes	98.6020	0.0217	5	yes	yes
A0A6A5YY18	canonical	5	4.4499	0.0377	4.4047	4.4948	96.8200	0.0745	96.5800	0.1416	6	yes	96.5140	0.6643	5	yes	yes
A0A6A5YZS0	canonical	5	4.0606	0.0488	4.0159	4.1335	98.0020	0.0295	97.4680	0.0363	6	yes	98.1100	0.0616	5	yes	yes
A0A6A5Z3S0	canonical	5	4.6482	0.0390	4.5987	4.7024	95.5880	0.0554	92.7800	0.2787	6	yes	91.8340	0.2239	5	yes	yes
A0A6A5Z7L4	canonical	5	4.0315	0.0726	3.9641	4.1367	96.9360	0.0182	94.9840	0.0971	6	yes	93.4960	0.0904	5	yes	yes
A0A6A5Z917	canonical	5	4.3527	0.0566	4.2854	4.4173	96.9700	0.1356	93.9680	0.4559	6	yes	93.0860	1.0355	5	yes	yes
A0A6A5ZAH0	canonical	5	4.5589	0.0432	4.4976	4.6151	96.3680	0.0719	94.1500	0.1423	6	yes	95.9400	0.1541	5	yes	yes
A0A6A5ZBE1	discarded	5	4.2851	0.2080	4.1022	4.6266	80.0900	1.2569	74.6620	1.2233	6	yes	67.4740	0.9299	0	no	no
A0A6A5ZCU3	canonical	5	4.0292	0.0605	3.9434	4.1122	98.1260	0.0462	97.6880	0.0563	6	yes	98.2340	0.1433	5	yes	yes
A0A6A5ZPV6	noncanonical	5	3.8503	0.0566	3.7695	3.9028	95.9840	0.2440	93.3480	0.2935	5	yes	96.1080	0.3440	0	no	no
A0A6A5ZWD5	canonical	5	4.4379	0.0702	4.3271	4.5009	95.7720	0.0779	91.3840	0.5626	6	yes	93.9160	0.2487	5	yes	yes
A0A6A6A168	canonical	5	4.1459	0.0519	4.0743	4.2046	97.2640	0.0702	97.1700	0.0474	6	yes	97.9460	0.1218	5	yes	yes
A0A6A6A423	canonical	5	3.9120	0.0267	3.8755	3.9505	97.4860	0.0581	96.5840	0.0953	6	yes	98.4760	0.0439	5	yes	yes
A0A6A6A665	canonical	5	4.1508	0.0553	4.0965	4.2292	97.9460	0.1001	97.5280	0.0638	6	yes	98.2780	0.2041	5	yes	yes
A0A6A6A6Q1	canonical	5	4.1786	0.0500	4.1467	4.2662	97.3320	0.0918	96.0480	0.0950	6	yes	96.9980	0.1794	5	yes	yes
A0A6A6ACS6	canonical	5	4.2182	0.0419	4.1650	4.2536	94.6900	0.1391	96.2320	0.0736	6	yes	93.3440	0.2595	5	yes	yes
A0A6A6AE22	canonical	5	4.3242	0.0810	4.2271	4.4501	96.7740	0.0770	95.5040	0.0808	6	yes	97.1940	0.0921	5	yes	yes
A0A6A6AEL2	canonical	5	4.5139	0.0267	4.4862	4.5543	95.8080	0.1666	92.8700	0.2760	6	yes	96.0200	0.2459	5	yes	yes
A0A6A6AG30	canonical	5	3.9328	0.0233	3.8966	3.9544	97.2500	0.0718	96.6180	0.0650	6	yes	97.3680	0.0526	5	yes	yes
A0A6A6AI16	canonical	5	3.9703	0.0496	3.9176	4.0247	98.3360	0.0537	98.1000	0.0274	6	yes	98.6480	0.0642	5	yes	yes
A0A6A6AJ64	canonical	5	4.0437	0.0468	3.9673	4.0934	98.2840	0.0371	97.6360	0.0513	6	yes	98.6740	0.0428	5	yes	yes
A0A6A6AM28	canonical	5	4.2210	0.1073	4.0974	4.3663	96.8040	0.0522	94.5760	0.0929	6	yes	93.7800	0.1437	5	yes	yes
A0A6A6AS90	canonical	5	4.3005	0.0493	4.2535	4.3822	96.4100	0.1281	95.7020	0.0973	6	yes	96.4900	0.2016	5	yes	yes
A0A6A6AXD8	canonical	5	4.2151	0.2250	3.8448	4.4345	90.5820	4.0355	90.5200	9.5168	6	yes	89.9700	0.6426	5	yes	yes
A0A6A6B4Z2	canonical	5	4.1560	0.0140	4.1330	4.1667	98.1680	0.0130	97.6800	0.0158	6	yes	98.4920	0.0349	5	yes	yes
A0A6A6B666	canonical	5	3.9437	0.0210	3.9251	3.9741	98.1140	0.0503	97.6000	0.1042	6	yes	98.2380	0.0295	5	yes	yes
A0A6A6BKX9	noncanonical	5	3.6837	0.0341	3.6392	3.7304	96.4720	0.0377	94.5220	0.0572	4	yes	98.8980	0.0130	0	no	no
A0A6A6BQV3	canonical	5	3.9636	0.0592	3.8803	4.0244	97.9320	0.0476	97.4020	0.0646	6	yes	97.9700	0.1636	5	yes	yes
A0A6A6BTK6	canonical	5	4.1977	0.0492	4.1650	4.2849	94.3840	0.3934	90.8140	0.7368	6	yes	88.3140	1.0529	5	yes	yes
A0A6A6BWL9	canonical	5	3.9303	0.0672	3.8428	4.0192	98.0860	0.0270	97.5940	0.0522	6	yes	98.4420	0.0646	5	yes	yes
A0A6A6C255	canonical	5	3.9431	0.0739	3.8250	4.0044	97.9020	0.0335	97.0380	0.0610	6	yes	98.4740	0.0241	5	yes	yes
A0A6A6C2M9	noncanonical	5	3.8222	0.0265	3.7769	3.8465	95.4380	0.3034	95.0000	0.0977	5	yes	94.3320	0.9436	0	no	no
A0A6A6C4J6	canonical	5	4.0619	0.0491	4.0046	4.1313	97.1840	0.0688	96.6740	0.0856	6	yes	97.6620	0.1148	5	yes	yes
A0A6A6C8Z3	discarded	5	4.5170	0.1728	4.3336	4.7581	72.2440	4.1604	79.6380	3.5322	6	yes	58.1880	3.1633	0	no	no
A0A6A6CA62	canonical	5	3.9405	0.0311	3.8962	3.9694	98.2120	0.0164	97.4480	0.0342	6	yes	98.5240	0.0351	5	yes	yes
A0A6A6CAJ8	noncanonical	5	3.4399	0.0462	3.3889	3.4871	95.5600	0.1797	93.7440	0.1865	5	yes	96.7560	0.2317	0	no	no
A0A6A6CBF1	noncanonical	5	3.7960	0.0515	3.7086	3.8372	96.4840	0.1609	94.7100	0.1051	5	yes	97.1700	0.2076	0	no	no
A0A6A6CD45	canonical	5	4.0289	0.0436	3.9622	4.0829	95.5880	0.1420	94.3920	0.2093	6	yes	94.4200	0.2092	5	yes	yes
A0A6A6CER1	canonical	5	3.8346	0.0354	3.7874	3.8782	97.1660	0.0885	97.4540	0.0351	6	yes	96.8660	0.2829	5	yes	yes
A0A6A6CLW1	canonical	5	4.1869	0.0268	4.1644	4.2328	96.3120	0.1069	94.8820	0.1923	6	yes	96.6300	0.0946	5	yes	yes
A0A6A6CM00	canonical	5	4.0786	0.0767	3.9461	4.1447	96.6640	0.0844	96.0600	0.1118	6	yes	93.7920	0.2257	5	yes	yes
A0A6A6CMY4	canonical	5	4.3303	0.1003	4.2454	4.5018	95.9600	0.3044	96.9600	0.1271	6	yes	97.1120	0.3074	5	yes	yes
A0A6A6CQV7	canonical	5	3.9374	0.0557	3.8923	4.0334	94.8420	0.2150	94.6620	0.2377	6	yes	96.4260	0.3394	5	yes	yes
A0A6A6CTG2	canonical	5	4.0522	0.0739	3.9240	4.1020	96.6340	0.0669	96.9360	0.0467	6	yes	96.1500	0.1648	5	yes	yes
A0A6A6D3V8	noncanonical	5	4.7833	0.0492	4.7153	4.8422	94.5900	0.1042	79.0440	0.5980	5	yes	90.2760	0.5592	0	no	no
A0A6A6D6R6	canonical	5	3.8998	0.0438	3.8262	3.9391	94.1020	0.2163	93.2640	0.1309	6	yes	93.6500	0.1725	5	yes	yes
A0A6A6DEK0	canonical	5	4.4625	0.0435	4.4226	4.5192	95.6560	0.1090	93.8740	0.1601	6	yes	95.2720	0.1654	5	yes	yes
A0A6A6DL43	discarded	5	23.9398	12.3793	2.2415	33.4319	72.8620	2.1086	66.3560	6.1876	0,1,2	no	85.8675	1.3618	0	no	no
A0A6A6DLH7	canonical	5	4.3397	0.0419	4.2732	4.3809	96.0400	0.1632	94.0120	0.2485	6	yes	95.1420	0.2208	5	yes	yes
A0A6A6DM46	canonical	5	3.6761	0.1826	3.5720	3.9975	95.8920	4.9324	93.2720	9.5440	6	yes	97.6200	0.0815	5	yes	yes
A0A6A6DR93	canonical	5	4.1107	0.0609	4.0401	4.1873	98.0100	0.0300	97.3840	0.0513	6	yes	98.0260	0.0404	5	yes	yes
A0A6A6DV68	canonical	5	4.4725	0.0433	4.4154	4.5191	94.7420	0.1616	89.4240	0.3771	5,6	no	93.1700	1.3879	3	no	yes
A0A6A6DWA3	discarded	5	5.8670	5.4324	2.9757	15.5574	47.3020	0.6555	23.4920	2.4804	1,2	no	64.3360	1.4229	0	no	no
A0A6A6E0T2	canonical	5	4.5150	0.0234	4.4867	4.5396	97.9560	0.0219	97.2580	0.0130	6	yes	98.4560	0.0279	5	yes	yes
A0A6A6E2R4	canonical	5	4.2228	0.0420	4.1529	4.2646	95.1260	0.1159	92.2520	0.1687	6	yes	89.8500	0.3221	5	yes	yes
A0A6A6E3M2	discarded	5	28.5383	6.9078	21.5928	36.0969	58.7520	21.7969	65.9120	18.9167	0,1,2	no	59.2450	15.2951	0	no	no
A0A6A6E5D0	canonical	5	4.1806	0.0791	4.0760	4.2764	94.4540	0.1324	94.0600	0.0711	6	yes	90.8920	0.1794	5	yes	yes
A0A6A6E6S2	canonical	5	4.0187	0.0615	3.9205	4.0827	98.0520	0.0249	97.5060	0.0195	6	yes	98.0640	0.0508	5	yes	yes
A0A6A6EBE5	canonical	5	4.0621	0.0352	4.0151	4.0934	95.5140	0.1457	95.6080	0.1814	6	yes	92.5060	0.0498	5	yes	yes
A0A6A6EEF7	canonical	5	4.2963	0.0661	4.2368	4.4078	95.0480	0.1651	96.8540	0.0611	6	yes	92.9120	0.7554	5	yes	yes
A0A6A6EQ99	canonical	5	4.1430	0.0570	4.0606	4.2156	97.3680	0.0559	96.2040	0.0503	6	yes	97.0500	0.0604	5	yes	yes
A0A6A6EQB3	canonical	5	4.2272	0.0459	4.1738	4.2939	97.7840	0.0321	97.1280	0.0327	6	yes	98.2520	0.0432	5	yes	yes
A0A6A6EVU5	canonical	5	4.1484	0.0896	4.0236	4.2445	95.6020	0.0798	89.8020	0.6130	6	yes	87.7140	0.7798	5	yes	yes
A0A6A6EYQ9	discarded	5	3.9903	0.2447	3.6714	4.3269	66.4180	0.6021	21.6180	0.6243	4,5	no	34.1240	1.5159	0	no	no
A0A6A6F5L3	canonical	5	3.9437	0.0406	3.8899	3.9891	98.0620	0.0517	97.2180	0.0978	6	yes	98.0500	0.0707	5	yes	yes
A0A6A6F6K8	canonical	5	4.2146	0.0788	4.1523	4.3485	96.9940	0.0594	95.2300	0.0806	6	yes	92.9340	0.2486	5	yes	yes
A0A6A6F7N9	canonical	5	4.2316	0.0523	4.1717	4.2846	97.5680	0.0971	97.3920	0.0896	6	yes	98.0980	0.1522	5	yes	yes
A0A6A6FAF8	canonical	5	4.2490	0.0543	4.2025	4.3361	97.4280	0.0785	97.1320	0.1043	6	yes	98.3420	0.0958	5	yes	yes
A0A6A6FAF9	canonical	5	4.1996	0.0740	4.0817	4.2832	96.4600	0.0927	95.2980	0.1303	6	yes	95.4380	0.1886	5	yes	yes
A0A6A6FCC6	canonical	5	4.2853	0.0707	4.1982	4.3629	93.9120	0.4210	86.5560	0.5331	6	yes	76.9580	1.2619	5	yes	yes
A0A6A6FIZ2	canonical	5	4.6088	0.0590	4.5506	4.6934	96.4160	0.1006	95.4540	0.1191	6	yes	95.7440	0.3032	5	yes	yes
A0A6A6FJM6	canonical	5	4.5549	0.0907	4.4473	4.6760	92.8420	0.8998	80.6940	1.6436	6	yes	82.8920	0.6090	5	yes	yes
A0A6A6FLC5	canonical	5	4.1666	0.0818	4.0571	4.2736	96.4060	0.1303	96.6860	0.1060	6	yes	94.8200	0.3934	5	yes	yes
A0A6A6FQE2	canonical	5	4.0439	0.0466	3.9861	4.1154	98.5440	0.0503	98.0600	0.0548	6	yes	98.3660	0.1155	5	yes	yes
A0A6A6FY46	canonical	5	3.7336	0.0644	3.6422	3.8226	94.9920	0.1277	94.1740	0.1864	6	yes	96.7520	0.2435	5	yes	yes
A0A6A6G5D8	canonical	5	3.9844	0.0509	3.9221	4.0476	97.6520	0.0192	96.6960	0.0270	6	yes	98.1680	0.0563	5	yes	yes
A0A6A6GBI3	canonical	5	4.0785	0.0442	4.0146	4.1212	97.8800	0.0354	97.6060	0.0219	6	yes	98.2220	0.2139	5	yes	yes
A0A6A6GKR1	canonical	5	3.9873	0.0327	3.9520	4.0334	97.2940	0.1524	96.6880	0.2091	6	yes	96.3520	0.4096	5	yes	yes
A0A6A6GQR0	canonical	5	4.1386	0.0392	4.0833	4.1842	95.0840	0.1064	93.0920	0.2087	6	yes	92.1680	0.2595	5	yes	yes
A0A6A6GR42	canonical	5	3.9807	0.0286	3.9497	4.0189	97.7760	0.0321	97.1200	0.0339	6	yes	97.9520	0.0801	5	yes	yes
A0A6A6GXG8	canonical	5	3.8688	0.1097	3.7043	3.9913	97.7180	0.1413	97.5580	0.0792	6	yes	97.6880	0.2590	5	yes	yes
A0A6A6H4U9	noncanonical	5	11.9579	10.0533	4.3533	23.5556	95.1380	0.3309	70.5820	2.6425	3,4,5	no	96.3000	0.7153	0	no	no
A0A6A6H9P3	canonical	5	4.1834	0.0452	4.1218	4.2351	97.3820	0.0277	96.6460	0.0270	6	yes	97.8180	0.0217	5	yes	yes
A0A6A6HBJ0	discarded	5	6.0979	2.8626	2.8483	10.7344	90.3280	0.8828	37.9640	2.4645	3	yes	94.1600	0.5447	0	no	no
A0A6A6HHK4	noncanonical	5	3.7694	0.0493	3.7223	3.8495	96.7060	0.1592	94.7940	0.1467	5	yes	95.7000	0.1508	0	no	no
A0A6A6HPD6	canonical	5	4.1295	0.0362	4.1018	4.1869	96.7060	0.0358	95.2460	0.0754	6	yes	96.3540	0.2024	5	yes	yes
A0A6A6I429	canonical	5	4.0462	0.0393	3.9908	4.0856	97.6160	0.0467	96.5440	0.0385	6	yes	96.9960	0.1379	5	yes	yes
A0A6A6I9W4	canonical	5	4.3558	0.1017	4.2424	4.4669	96.7980	0.1076	94.5600	0.2245	6	yes	94.6400	0.4190	5	yes	yes
A0A6A6IAG2	canonical	5	3.9350	0.0685	3.8486	4.0084	97.9500	0.0300	97.5880	0.0522	6	yes	98.5680	0.0259	5	yes	yes
A0A6A6IAN5	canonical	5	4.4007	0.0708	4.3046	4.4892	97.4380	0.0614	97.0920	0.0638	6	yes	97.4380	0.1744	5	yes	yes
A0A6A6IDK5	canonical	5	4.0134	0.0391	3.9652	4.0611	97.9520	0.0130	97.5100	0.0158	6	yes	97.4540	0.0270	5	yes	yes
A0A6A6IDS4	discarded	5	4.6706	0.0478	4.6138	4.7357	88.1700	1.3446	60.4460	3.0931	5	yes	72.2440	3.4750	0	no	no
A0A6A6IGR9	canonical	5	4.0369	0.0594	3.9786	4.1297	95.4180	0.2330	95.4320	0.2194	6	yes	89.6140	0.5503	5	yes	yes
A0A6A6IHC2	canonical	5	4.1955	0.0741	4.0808	4.2599	97.7500	0.0583	96.9920	0.0680	6	yes	97.9820	0.1089	5	yes	yes
A0A6A6IP09	canonical	5	3.9989	0.0554	3.9287	4.0555	98.0660	0.0666	97.4300	0.0394	6	yes	98.1540	0.0770	5	yes	yes
A0A6A6IQS2	canonical	5	4.2294	0.0960	4.1203	4.3642	96.6860	0.0991	95.0220	0.1590	6	yes	95.8400	0.1536	5	yes	yes
A0A6A6IQV5	canonical	5	4.0814	0.0338	4.0439	4.1253	97.8420	0.0622	97.2720	0.0733	6	yes	98.5440	0.0114	5	yes	yes
A0A6A6IR15	canonical	5	4.6008	0.1124	4.4592	4.7300	96.8340	0.0879	94.4360	0.1962	6	yes	95.3060	0.2652	5	yes	yes
A0A6A6IW08	canonical	5	4.3037	0.0379	4.2487	4.3474	97.6320	0.0545	96.9180	0.0804	6	yes	97.6160	0.1590	5	yes	yes
A0A6A6IXE0	canonical	5	4.0897	0.0473	4.0207	4.1336	97.5620	0.0356	97.1680	0.0449	6	yes	98.0900	0.0255	5	yes	yes
A0A6A6J6X7	canonical	5	3.8992	0.0263	3.8682	3.9228	98.2380	0.0476	97.4200	0.0644	6	yes	98.4380	0.0701	5	yes	yes
A0A6A6J781	canonical	5	4.5449	0.1216	4.4569	4.7404	96.9700	0.0235	94.8080	0.2420	6	yes	94.9140	0.2098	5	yes	yes
A0A6A6JAY1	noncanonical	5	4.0271	0.0880	3.9149	4.1367	94.8740	0.4826	93.6500	0.2099	5	yes	96.6460	0.4799	0	no	no
A0A6A6JCN2	canonical	5	3.9220	0.0401	3.8797	3.9629	97.7800	0.0406	96.9900	0.1012	6	yes	98.3520	0.1276	5	yes	yes
A0A6A6JJV2	canonical	5	4.1475	0.0449	4.0977	4.1983	97.8220	0.0955	97.3880	0.1003	6	yes	96.7660	0.1356	5	yes	yes
A0A6A6JKI9	canonical	5	4.3639	0.0688	4.2877	4.4473	97.4960	0.0493	96.0200	0.1105	6	yes	97.5500	0.1634	5	yes	yes
A0A6A6JMV6	canonical	5	4.1898	0.0790	4.0985	4.2649	97.5420	0.0522	97.1840	0.0979	6	yes	97.0240	0.3790	5	yes	yes
A0A6A6JN94	discarded	5	4.7946	0.1004	4.6610	4.9005	94.4660	0.0541	76.0200	0.4952	5	yes	89.1680	0.5211	0	no	no
A0A6A6JNJ7	canonical	5	4.0370	0.0496	4.0061	4.1221	98.0760	0.0114	97.6160	0.0182	6	yes	98.3420	0.0228	5	yes	yes
A0A6A6JPR8	canonical	5	4.0507	0.0413	3.9922	4.1074	98.3840	0.0321	97.4320	0.0402	6	yes	98.5220	0.0148	5	yes	yes
A0A6A6JQ96	canonical	5	4.2258	0.1477	4.0361	4.4367	96.4040	0.0559	95.3520	0.0342	6	yes	97.2220	0.0823	5	yes	yes
A0A6A6JR23	canonical	5	4.1837	0.0402	4.1544	4.2532	95.5480	0.1512	94.2840	0.1824	6	yes	92.0120	0.4289	5	yes	yes
A0A6A6JT26	canonical	5	3.8558	0.0510	3.7819	3.9173	97.8500	0.0700	96.8420	0.0753	6	yes	95.3820	0.1627	5	yes	yes
A0A6A6JZL4	canonical	5	4.3563	0.0352	4.2989	4.3876	98.2780	0.0205	97.6600	0.0173	6	yes	98.2560	0.0488	5	yes	yes
A0A6A6LPJ9	canonical	5	3.8231	0.0214	3.7969	3.8440	97.6300	0.0332	95.9480	0.1064	6	yes	97.4360	0.1220	5	yes	yes
A0A6A6LPK9	discarded	5	4.9947	3.5705	3.0533	11.3542	78.3640	1.7037	42.6680	2.4495	4	yes	79.4020	1.3904	0	no	no
A0A6A6LSB5	discarded	5	8.1840	4.0823	4.0253	14.9345	64.9060	1.3323	31.6420	9.1404	3	yes	75.3900	0.8021	0	no	no
A0A6A6LTM2	discarded	5	3.5736	0.2285	3.3674	3.9260	65.3840	1.0727	29.5560	0.7601	3,4	no	50.7160	0.7159	0	no	no
A0A6A6LUP7	canonical	5	3.9052	0.0224	3.8697	3.9297	97.4940	0.0207	94.8460	0.0948	6	yes	97.2020	0.0526	5	yes	yes
A0A6A6LVJ3	discarded	5	3.6928	0.4440	3.2062	4.3004	68.0440	1.5786	33.6760	2.8817	3,4	no	71.1200	1.1106	0	no	no
A0A6A6NKK1	canonical	5	3.8618	0.0572	3.7941	3.9378	96.6420	0.0476	94.6620	0.1195	6	yes	96.6040	0.0876	5	yes	yes
A0A6A6NPE1	canonical	5	4.2675	0.0341	4.2296	4.2990	92.5660	1.2883	91.4620	1.2265	6	yes	89.4960	0.6586	5	yes	yes
A0A6A6NZ05	canonical	5	4.0494	0.0388	3.9932	4.1010	96.8560	0.1354	96.3760	0.1144	6	yes	93.3040	0.2880	5	yes	yes
A0A6A6P305	canonical	5	4.0823	0.0434	4.0277	4.1420	97.8120	0.0585	97.4320	0.0661	6	yes	98.0640	0.1232	5	yes	yes
A0A6A6P320	canonical	5	3.9079	0.0325	3.8529	3.9392	98.1340	0.0590	97.6220	0.0926	6	yes	98.2600	0.0731	5	yes	yes
A0A6A6P8E7	canonical	5	4.3441	0.0480	4.2799	4.4045	96.5880	0.0942	95.3420	0.1847	6	yes	96.7700	0.1079	5	yes	yes
A0A6A6PDQ3	canonical	5	4.3026	0.0565	4.2249	4.3722	95.7860	0.1918	94.3040	0.2527	6	yes	93.0600	0.3650	5	yes	yes
A0A6A6PJ23	canonical	5	4.0518	0.0607	3.9943	4.1386	96.1320	0.1386	95.0320	0.2459	6	yes	96.7820	0.1760	5	yes	yes
A0A6A6PR78	canonical	5	4.0255	0.0797	3.8949	4.1033	97.1040	0.1133	95.8960	0.1484	6	yes	93.1840	0.1412	5	yes	yes
A0A6A6PYD6	canonical	5	4.0748	0.0703	3.9796	4.1311	94.1080	0.2779	92.2300	0.3701	6	yes	90.1320	0.4017	5	yes	yes
A0A6A6Q3X4	canonical	5	4.0307	0.0473	3.9798	4.0964	96.6480	0.0593	95.5300	0.1378	6	yes	95.7560	0.2193	5	yes	yes
A0A6A6QI61	canonical	5	3.9999	0.0267	3.9705	4.0379	98.4960	0.0152	98.2540	0.0270	6	yes	98.8240	0.0195	5	yes	yes
A0A6A6QIV8	canonical	5	3.9742	0.0611	3.9169	4.0676	98.2020	0.0130	97.8600	0.0224	6	yes	98.1700	0.0339	5	yes	yes
A0A6A6QJA3	canonical	5	4.0603	0.0592	3.9667	4.1085	95.8580	0.0585	92.2940	0.1937	6	yes	91.7580	0.3312	5	yes	yes
A0A6A6QKJ9	canonical	5	4.0023	0.0371	3.9461	4.0415	98.3520	0.0130	97.5720	0.0130	6	yes	98.8540	0.0055	5	yes	yes
A0A6A6QQ52	canonical	5	4.0431	0.0324	3.9999	4.0891	98.0540	0.0297	97.6820	0.0259	6	yes	98.2460	0.0385	5	yes	yes
A0A6A6QUQ7	canonical	5	3.9655	0.0885	3.8802	4.1107	96.3380	0.2131	93.9080	0.4051	6	yes	93.3600	0.1025	5	yes	yes
A0A6A6QVZ8	discarded	5	7.7971	11.4615	2.3774	28.2951	81.7600	1.6117	53.8540	11.1269	2,3	no	87.2660	3.5993	0	no	no
A0A6A6R1S1	canonical	5	4.2089	0.0742	4.1246	4.3057	95.7080	0.1730	94.0320	0.3398	6	yes	94.2620	0.4534	5	yes	yes
A0A6A6RBG0	canonical	5	3.8873	0.0702	3.8164	3.9979	95.9980	0.1103	92.0280	0.2353	6	yes	88.5800	0.4738	5	yes	yes
A0A6A6RBJ0	canonical	5	4.5765	0.0510	4.5114	4.6400	96.6340	0.0207	95.3820	0.0517	6	yes	96.1780	0.0567	5	yes	yes
A0A6A6RFR4	canonical	5	3.9028	0.4274	3.3336	4.4196	95.6080	0.1158	81.6980	1.0452	5,6	no	95.3300	0.3365	2	no	yes
A0A6A6RIC1	canonical	5	4.4703	0.0584	4.3838	4.5390	96.1300	0.1660	93.7460	0.3985	6	yes	93.5820	0.3176	5	yes	yes
A0A6A6RIQ2	canonical	5	4.1188	0.0415	4.0672	4.1691	97.7540	0.0598	97.4320	0.0554	6	yes	97.6740	0.0929	5	yes	yes
A0A6A6RLB0	canonical	5	4.1442	0.0669	4.0492	4.2242	97.6140	0.0750	97.0940	0.1305	6	yes	96.0000	0.1893	5	yes	yes
A0A6A6RPU0	discarded	5	3.9824	0.1102	3.8597	4.1031	97.2420	0.1452	91.9720	0.3448	5	yes	96.5900	0.3128	0	no	no
A0A6A6RQ29	canonical	5	4.3219	0.0534	4.2670	4.4027	95.1360	0.0950	92.2600	0.2261	6	yes	88.6240	0.6777	5	yes	yes
