keyword	Ala221_L	Arg209_C	Arg209_E	Arg209_H	Arg209_P	Asn205_F	Asn205_R	Asn205_V	Glu195_A	Glu195_D	Glu195_F	Glu195_I	Glu195_K	Glu195_N	Glu195_R	Glu195_S	Glu195_Y	Gly46_A	Gly46_D	Gly46_H	Gly46_I	Gly46_L	Gly46_T	Gly46_Y	His230_F	His230_I	His230_M	His230_T	His230_V	His230_Y	Phe227_V	Phe65_I	Phe65_Y	Trp68_V	Val218_E	Val218_R	Val218_S	Val218_Y
phosphate	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	6	0	3	1	0	0	0	2	0	0	3	0	0	1	0	0
phosphoribosyltransferase	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0
phosphorylase	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	1	0
phosphotransferase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
polymerase	0	1	1	0	0	0	0	0	1	7	1	0	0	0	0	0	0	4	2	0	11	1	0	2	5	1	0	0	3	1	2	0	0	0	0	1	4	1
polyprenyl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16	1	0	0	0	6	0	0	0	0	0	0	0	1	0
polysaccharide	0	0	2	0	0	0	3	0	2	2	0	1	0	0	0	0	0	2	0	0	0	0	0	7	4	0	0	0	5	1	0	0	1	2	0	1	6	0
potassium/proton	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0
protease	0	5	0	0	0	0	1	0	0	5	0	2	0	0	0	1	0	2	0	0	5	1	1	0	4	5	0	0	1	0	0	1	1	0	0	1	2	0
protein,	0	1	0	0	0	0	0	0	1	4	0	4	1	0	0	0	0	0	0	0	0	2	1	0	8	1	0	0	0	3	3	0	4	0	1	1	4	0
pseudopilin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
receptor	0	8	0	0	0	0	11	0	0	4	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	4	1	0	2	1	3	0	1	0	2	0	1	1
recj	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recn	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recombination	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
reductase	0	3	4	0	0	1	0	0	0	11	1	1	1	1	0	1	0	3	1	0	14	1	0	10	6	4	0	2	7	5	5	0	0	0	3	1	16	2
regulator	3	18	2	2	0	0	0	4	3	25	0	23	2	4	1	1	0	16	1	0	46	15	3	10	29	10	0	3	10	53	30	2	14	0	21	15	39	5
regulator,	2	3	0	0	0	0	0	2	0	5	0	0	0	0	0	1	0	3	0	0	0	4	1	1	0	3	0	0	0	5	4	0	0	0	4	1	9	0
regulatory	0	3	0	0	0	0	0	2	0	3	0	5	0	0	0	0	0	0	0	0	2	1	0	0	5	1	0	2	0	1	1	0	1	0	0	0	7	0
repair	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0
repeat	0	2	0	0	0	0	0	0	0	2	0	3	0	1	0	0	1	2	1	0	3	1	1	2	4	3	0	0	1	1	6	0	3	0	0	1	2	0
repressor	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0	0	0
resistance	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	1	1	2	0	3	0	0	0	1	5	0	0	0	0	3	7	0
response	0	2	1	0	0	0	0	0	1	4	0	3	0	0	0	0	0	5	0	0	3	2	2	0	2	1	0	0	0	3	1	0	2	0	0	4	4	1
ribonuclease	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	12	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
sam-dependent	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	1	0	1	2	0	1	1	0	2	1	0	0	0	0	0	5	2
secretion	0	3	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	52	1	0	2	0	1	0	3	0
serine	0	6	1	0	0	0	4	1	0	3	0	3	0	0	0	0	2	1	0	0	0	2	0	2	4	1	0	1	1	0	0	2	2	1	0	0	2	0
serine/threonine	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
sheath	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
sialic	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
siderophore	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
sigma	0	2	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	2	0	0	8	1	0	1	2	0	0	0	2	1	0	0	0	0	0	1	3	0
single-stranded	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	3	0	1	0	0	0	0	0	1	0
small	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0
subfamily	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	5	0	1	0	0	3	2	0
substrate-binding	0	3	0	2	0	0	1	0	0	1	0	2	0	1	0	0	0	3	0	0	16	4	1	0	7	1	0	0	0	20	3	0	2	0	2	2	4	0
subunit	0	26	0	1	0	1	0	0	4	35	0	10	0	0	0	0	0	6	1	0	12	6	10	3	28	6	0	0	9	10	14	0	5	0	0	1	30	2
succinate	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0
sugar	0	0	1	0	0	0	19	0	0	1	1	0	0	0	0	0	0	0	0	0	10	0	1	4	0	0	0	0	2	3	2	0	0	1	3	4	10	0
superfamily	1	2	0	0	0	0	1	1	0	4	0	2	0	0	0	2	0	2	0	0	1	0	0	3	5	1	0	0	0	2	1	0	0	0	1	1	2	0
surface	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	1	0	0	0	0	0	0	0	1	0
surface-anchored	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
synthase	0	8	3	0	1	0	10	0	0	24	0	3	0	1	1	0	0	6	0	1	9	6	33	0	11	5	0	0	3	2	4	0	3	1	1	1	8	1
synthetase	0	2	0	0	0	0	5	0	0	2	1	0	3	0	0	0	0	0	0	0	3	0	0	0	8	2	0	0	0	0	5	0	0	0	0	0	2	0
system	0	4	0	0	0	0	1	0	0	11	0	5	0	0	0	0	0	0	0	0	2	9	1	1	23	4	0	0	1	47	8	0	5	0	3	1	7	0
tautomerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
tetr	0	2	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	4	1	0	1	4	2	0	0	1	1	6	0	1	0	1	2	4	0
thioester	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	2	0	0	0	0	0	1	2	1	0
throttle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	1	0
tonb	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0
tonb-dependent	0	5	0	0	0	0	9	0	0	4	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	4	1	0	2	1	2	0	1	0	0	0	1	0
tqxa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0
transcription	0	0	0	0	0	0	0	0	2	11	0	3	0	1	0	0	0	3	1	0	2	0	0	2	3	1	1	0	1	3	3	0	2	0	0	2	2	1
transcriptional	4	18	0	2	0	0	0	6	2	29	0	22	2	4	1	1	0	12	1	0	38	18	2	11	33	12	0	3	10	53	33	2	12	0	24	12	47	3
transducer	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0
transferase	0	1	1	0	0	0	17	0	0	3	1	0	0	0	0	0	0	3	0	0	1	0	1	15	2	0	0	0	14	2	1	0	0	1	1	0	17	0
translational	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	0	0	1	0
transport	0	3	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	5	10	0	2	10	3	1	0	0	12	9	0	0	0	1	1	2	1
transporter	1	20	6	10	0	1	7	1	3	31	0	13	2	7	0	0	1	13	2	1	47	12	1	6	29	17	0	0	8	44	23	0	10	0	3	13	23	11
transporter,	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	3	0	0	0	2	1	5	0
transposase	0	2	0	3	2	4	3	0	0	7	0	3	0	0	0	0	0	2	3	0	0	0	1	2	8	12	0	0	1	6	8	0	4	0	13	2	2	0
trna	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	6	1	0	0	2	0	2	0	2	0	0	0	3	0
tryptophan	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	5	0	0	1	0	1	0	0	0	0	0	0	0
tyrosinase	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	18	6	1	23	1	1	0	1	12	0	0	0	1	0	0	14	14	0
uma2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0
uptake	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0
vitamin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0
winged	0	0	0	0	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	4	0	1	0	0	0	1	0
