accession,ref,qtmscore,a1_cov,a2_cov,a3_cov,a4_cov,n_helices
A0A2A2KTL5,ref_PmTYR,0.4833,1.000,1.000,1.000,1.000,4
A0A2A2KWS8,ref_PmTYR,0.4228,0.923,1.000,0.889,1.000,4
A0A2A2L189,ref_PmTYR,0.2876,1.000,1.000,0.778,1.000,4
A0A2A2L724,ref_PmTYR,0.0687,0.000,1.000,0.000,0.000,1
A0A2A2L7X7,ref_PmTYR,0.3981,1.000,1.000,0.778,1.000,4
A0A2A2LC42,ref_PmTYR,0.4700,1.000,1.000,0.778,1.000,4
A0A2A2LIM0,ref_1JS8_squid,0.1807,0.750,1.000,0.650,0.957,4
A0A2A2MFM9,ref_8BBR_Vspinosum,0.5888,1.000,1.000,1.000,1.000,4
A0A2A2PN16,ref_PmTYR,0.8104,1.000,1.000,1.000,1.000,4
A0A2A4FEF3,ref_5CE9_Jregia,0.4099,1.000,1.000,1.000,1.000,4
A0A2A4FK57,ref_2Y9W_Abisporus,0.4807,1.000,0.792,1.000,1.000,4
A0A2A5KJE3,ref_5CE9_Jregia,0.4332,1.000,1.000,0.833,1.000,4
A0A2A6B3L8,ref_PmTYR,0.3204,1.000,1.000,0.556,1.000,4
A0A2A6BIE1,ref_PmTYR,0.2754,1.000,1.000,1.000,1.000,4
A0A2A6BQG6,ref_PmTYR,0.3898,1.000,1.000,1.000,1.000,4
A0A2A6BT42,ref_PmTYR,0.2566,1.000,1.000,0.778,1.000,4
A0A2A6C0P8,ref_PmTYR,0.3257,0.923,1.000,0.778,1.000,4
A0A2A6C3B5,ref_2Y9W_Abisporus,0.1235,0.625,0.708,0.846,1.000,4
A0A2A6C452,ref_5M8L_human,0.2871,0.846,0.900,0.500,1.000,4
A0A2A6CJW1,ref_PmTYR,0.4551,1.000,1.000,0.778,1.000,4
A0A2A6J2U9,ref_5CE9_Jregia,0.4332,1.000,1.000,0.833,1.000,4
A0A2A7N7N2,ref_5CE9_Jregia,0.4119,0.917,1.000,1.000,1.000,4
A0A2A7SC70,ref_8BBR_Vspinosum,0.5669,1.000,1.000,1.000,1.000,4
A0A2A9NYK6,ref_2Y9W_Abisporus,0.5372,0.500,0.958,1.000,1.000,4
A0A2A9P2X5,ref_2Y9W_Abisporus,0.5235,1.000,0.792,1.000,1.000,4
A0A2A9PFR7,ref_2Y9W_Abisporus,0.5330,1.000,1.000,0.846,1.000,4
A0A2A9PJA7,ref_A0A9N8ELP9_oomycota,0.6004,1.000,1.000,0.917,1.000,4
A0A2A9PJB5,ref_2Y9W_Abisporus,0.3998,1.000,1.000,1.000,1.000,4
A0A2A9PND3,ref_2Y9W_Abisporus,0.5576,1.000,1.000,0.846,1.000,4
A0A2A9PRJ6,ref_2Y9W_Abisporus,0.4470,1.000,0.750,1.000,1.000,4
A0A2A9PSU3,ref_2Y9W_Abisporus,0.5604,1.000,1.000,0.846,1.000,4
A0A2B4R7J8,ref_5M8L_human,0.6268,1.000,1.000,1.000,1.000,4
A0A2B4RIN6,ref_PmTYR,0.4219,0.000,0.842,1.000,1.000,3
A0A2B4RKW6,ref_PmTYR,0.4280,1.000,1.000,0.889,1.000,4
A0A2B4RN75,ref_PmTYR,0.5158,1.000,1.000,0.889,1.000,4
A0A2B4RNC9,ref_PmTYR,0.5880,1.000,1.000,0.889,1.000,4
A0A2B4RPF7,ref_PmTYR,0.4505,1.000,1.000,0.889,1.000,4
A0A2B4RQ59,ref_PmTYR,0.2259,0.923,0.947,0.889,1.000,4
A0A2B4RQQ5,ref_PmTYR,0.4969,1.000,0.947,1.000,1.000,4
A0A2B4S3Z0,ref_PmTYR,0.4370,0.000,0.316,0.889,1.000,2
A0A2B4SFS2,ref_PmTYR,0.6089,1.000,0.947,1.000,1.000,4
A0A2B4SG55,ref_PmTYR,0.7745,1.000,1.000,0.889,1.000,4
A0A2B4SQ19,ref_5M8L_human,0.6268,1.000,1.000,1.000,1.000,4
A0A2B4STS7,ref_PmTYR,0.6090,1.000,1.000,1.000,1.000,4
A0A2B7WG80,ref_A0A9N8ELP9_oomycota,0.5127,0.667,1.000,1.000,1.000,4
A0A2B7WHR8,ref_PmTYR,0.6104,1.000,1.000,0.778,1.000,4
A0A2B7WKZ8,ref_2Y9W_Abisporus,0.3508,1.000,1.000,1.000,1.000,4
A0A2B7WN75,ref_2Y9W_Abisporus,0.3993,1.000,1.000,1.000,1.000,4
A0A2B7WWK3,ref_A0A9N8ELP9_oomycota,0.5539,0.917,1.000,1.000,1.000,4
A0A2B7WX14,ref_PmTYR,0.5961,0.923,1.000,1.000,1.000,4
A0A2B7WZX3,ref_A0A9N8ELP9_oomycota,0.6614,1.000,1.000,1.000,1.000,4
A0A2B7X0H1,ref_PmTYR,0.5089,1.000,1.000,1.000,1.000,4
A0A2B7X1D4,ref_2Y9W_Abisporus,0.4898,1.000,1.000,1.000,1.000,4
A0A2B7X3E4,ref_PmTYR,0.6254,1.000,1.000,0.778,1.000,4
A0A2B7X5B2,ref_2Y9W_Abisporus,0.3849,1.000,1.000,1.000,1.000,4
A0A2B7X6I9,ref_2Y9W_Abisporus,0.3585,1.000,1.000,1.000,1.000,4
A0A2B7XQF2,ref_2Y9W_Abisporus,0.3344,1.000,1.000,1.000,1.000,4
A0A2B7XVW2,ref_2Y9W_Abisporus,0.3751,1.000,1.000,1.000,1.000,4
A0A2B7XWW1,ref_PmTYR,0.5824,1.000,1.000,0.778,1.000,4
A0A2B7XYY6,ref_PmTYR,0.5988,1.000,1.000,0.778,1.000,4
A0A2B7XZH1,ref_A0A9N8ELP9_oomycota,0.5885,0.917,1.000,1.000,0.947,4
A0A2B7Y0Z4,ref_A0A9N8ELP9_oomycota,0.6386,0.917,0.950,1.000,1.000,4
A0A2B7Y1Z4,ref_2Y9W_Abisporus,0.3238,1.000,0.875,1.000,0.947,4
A0A2B7Y2D7,ref_2Y9W_Abisporus,0.4902,1.000,1.000,1.000,1.000,4
A0A2B7Y3U7,ref_PmTYR,0.5867,1.000,1.000,1.000,1.000,4
A0A2B7Y571,ref_2Y9W_Abisporus,0.6641,1.000,0.917,0.923,1.000,4
A0A2B7YAT8,ref_2Y9W_Abisporus,0.4904,1.000,1.000,1.000,1.000,4
A0A2B7YCJ2,ref_PmTYR,0.5614,1.000,1.000,1.000,1.000,4
A0A2B7YDC2,ref_2Y9W_Abisporus,0.4033,1.000,1.000,1.000,1.000,4
A0A2B7YF50,ref_PmTYR,0.2396,0.769,0.368,0.444,1.000,2
A0A2B7YQX0,ref_A0A9N8ELP9_oomycota,0.5410,0.917,1.000,1.000,1.000,4
A0A2B7YR81,ref_PmTYR,0.6756,1.000,1.000,0.778,1.000,4
A0A2B7Z651,ref_2Y9W_Abisporus,0.4898,1.000,1.000,1.000,1.000,4
A0A2B7ZAM7,ref_A0A9N8ELP9_oomycota,0.5665,1.000,1.000,0.750,0.895,4
A0A2B7ZD97,ref_2Y9W_Abisporus,0.3758,1.000,1.000,1.000,1.000,4
A0A2B7ZFZ8,ref_A0A9N8ELP9_oomycota,0.6895,1.000,1.000,0.917,1.000,4
A0A2B7ZKP4,ref_2Y9W_Abisporus,0.3711,1.000,1.000,1.000,1.000,4
A0A2B7ZS17,ref_A0A9N8ELP9_oomycota,0.4763,0.917,1.000,1.000,0.947,4
A0A2B7ZTN1,ref_2Y9W_Abisporus,0.4005,1.000,1.000,1.000,1.000,4
A0A2B8BFB1,ref_8BBR_Vspinosum,0.5900,1.000,1.000,1.000,1.000,4
A0A2C5X0B9,ref_2Y9W_Abisporus,0.5034,1.000,1.000,0.923,1.000,4
A0A2C5XK77,ref_2Y9W_Abisporus,0.4865,1.000,1.000,1.000,1.000,4
A0A2C5XL89,ref_2Y9W_Abisporus,0.5429,1.000,1.000,0.538,1.000,4
A0A2C5XTP8,ref_2Y9W_Abisporus,0.5392,1.000,1.000,0.846,1.000,4
A0A2C5Y901,ref_2Y9W_Abisporus,0.5038,1.000,1.000,1.000,1.000,4
A0A2C5YA96,ref_2Y9W_Abisporus,0.7663,1.000,1.000,0.769,1.000,4
A0A2C5YDY5,ref_2Y9W_Abisporus,0.5417,1.000,1.000,0.923,1.000,4
A0A2C5YFN0,ref_2Y9W_Abisporus,0.5431,1.000,1.000,1.000,1.000,4
A0A2C5YKI6,ref_2Y9W_Abisporus,0.2766,1.000,0.792,1.000,1.000,4
A0A2C5YLV5,ref_2Y9W_Abisporus,0.5052,1.000,1.000,0.923,1.000,4
A0A2C5YSY6,ref_PmTYR,0.5882,1.000,1.000,1.000,1.000,4
A0A2C5ZBU4,ref_2Y9W_Abisporus,0.5434,1.000,1.000,0.846,1.000,4
A0A2C5ZDY8,ref_2Y9W_Abisporus,0.5304,1.000,1.000,0.923,1.000,4
A0A2C5ZER1,ref_2Y9W_Abisporus,0.5501,1.000,1.000,0.769,1.000,4
A0A2C5ZGV6,ref_2Y9W_Abisporus,0.3730,1.000,0.583,0.846,1.000,4
A0A2C5ZMG7,ref_2Y9W_Abisporus,0.5583,1.000,1.000,0.846,1.000,4
A0A2C9JDT0,ref_PmTYR,0.3623,0.846,1.000,0.778,1.000,4
A0A2C9K9Y0,ref_PmTYR,0.4842,0.769,1.000,0.000,0.000,2
A0A2C9KDF9,ref_PmTYR,0.3035,0.846,1.000,0.889,1.000,4
A0A2C9KDI8,ref_PmTYR,0.2963,0.000,1.000,0.889,1.000,3
A0A2C9KDQ8,ref_PmTYR,0.5619,0.846,1.000,0.778,1.000,4
A0A2C9L419,ref_PmTYR,0.3641,0.846,1.000,0.889,1.000,4
A0A2C9LDT0,ref_PmTYR,0.3328,0.769,0.579,0.889,1.000,4
A0A2C9LE33,ref_1JS8_squid,0.2899,0.000,0.000,1.000,0.783,2
A0A2C9LHZ0,ref_PmTYR,0.4530,0.769,1.000,0.889,1.000,4
A0A2C9LTK6,ref_5CE9_Jregia,0.3024,0.750,1.000,0.833,0.000,3
A0A2C9M2G0,ref_1JS8_squid,0.6279,0.000,0.000,1.000,1.000,2
A0A2C9U520,ref_5CE9_Jregia,0.5724,1.000,1.000,1.000,1.000,4
A0A2D0N956,ref_PmTYR,0.6400,1.000,1.000,1.000,1.000,4
A0A2D0NGI4,ref_PmTYR,0.4139,1.000,1.000,0.889,1.000,4
A0A2D0QFY2,ref_5M8L_human,0.6763,1.000,1.000,1.000,1.000,4
A0A2D0SW34,ref_5M8L_human,0.6152,1.000,1.000,1.000,1.000,4
A0A2D0VJP4,ref_5M8L_human,0.8141,1.000,1.000,0.000,0.000,2
A0A2D0VJP9,ref_5M8L_human,0.8204,1.000,1.000,0.000,0.000,2
A0A2D2AU21,ref_5CE9_Jregia,0.4615,1.000,1.000,1.000,1.000,4
A0A2D2AXZ0,ref_1BT3_Ibatatas,0.4584,1.000,1.000,1.000,1.000,4
A0A2D3UP66,ref_2Y9W_Abisporus,0.5191,1.000,1.000,1.000,1.000,4
A0A2D3URD8,ref_A0A9N8ELP9_oomycota,0.5516,1.000,1.000,1.000,1.000,4
A0A2D3USA2,ref_A0A9N8ELP9_oomycota,0.5911,1.000,1.000,1.000,1.000,4
A0A2D3UTW4,ref_2Y9W_Abisporus,0.6393,1.000,0.833,0.923,1.000,4
A0A2D3UVV1,ref_I3D139_archaea,0.4429,0.000,0.684,1.000,1.000,3
A0A2D3UWI9,ref_PmTYR,0.5082,1.000,1.000,1.000,1.000,4
A0A2D3UX83,ref_2Y9W_Abisporus,0.5187,1.000,1.000,1.000,1.000,4
A0A2D3V5Q1,ref_PmTYR,0.6159,1.000,1.000,1.000,1.000,4
A0A2D3V8K9,ref_A0A9N8ELP9_oomycota,0.6170,1.000,1.000,0.917,1.000,4
A0A2D3V8Z0,ref_A0A9N8ELP9_oomycota,0.5635,0.917,1.000,1.000,0.895,4
A0A2D3V9U3,ref_PmTYR,0.6473,0.923,1.000,1.000,1.000,4
A0A2D3VCR1,ref_PmTYR,0.3895,1.000,0.842,0.000,0.000,2
A0A2D3VEC3,ref_2Y9W_Abisporus,0.5239,1.000,1.000,1.000,1.000,4
A0A2D3VIH6,ref_2Y9W_Abisporus,0.5131,1.000,1.000,1.000,1.000,4
A0A2D3VL88,ref_A0A9N8ELP9_oomycota,0.6284,1.000,1.000,1.000,1.000,4
A0A2G2W2T9,ref_5CE9_Jregia,0.4904,1.000,1.000,1.000,1.000,4
A0A2G2XEY0,ref_5CE9_Jregia,0.5412,1.000,1.000,1.000,1.000,4
A0A2G2XHP8,ref_5CE9_Jregia,0.5218,1.000,1.000,1.000,1.000,4
A0A2G2XM25,ref_5CE9_Jregia,0.7006,1.000,1.000,1.000,1.000,4
A0A2G2XM38,ref_5CE9_Jregia,0.5405,1.000,1.000,1.000,1.000,4
A0A2G2XM40,ref_5CE9_Jregia,0.5609,1.000,1.000,1.000,1.000,4
A0A2G2XMF4,ref_5CE9_Jregia,0.5409,1.000,1.000,1.000,1.000,4
A0A2G2XMG1,ref_5CE9_Jregia,0.5448,1.000,1.000,1.000,1.000,4
A0A2G2XMI6,ref_5CE9_Jregia,0.5993,1.000,1.000,1.000,1.000,4
A0A2G3A8M1,ref_5CE9_Jregia,0.5407,1.000,1.000,1.000,1.000,4
A0A2G3ABT2,ref_5CE9_Jregia,0.5259,1.000,1.000,1.000,1.000,4
A0A2G3AGB1,ref_5CE9_Jregia,0.6075,1.000,1.000,1.000,1.000,4
A0A2G3AGB2,ref_5CE9_Jregia,0.5473,1.000,1.000,1.000,1.000,4
A0A2G3AGC2,ref_PmTYR,0.2197,0.923,0.895,1.000,1.000,4
A0A2G3AGD1,ref_5CE9_Jregia,0.4252,0.000,0.000,1.000,1.000,2
A0A2G3AGD2,ref_5CE9_Jregia,0.5597,1.000,1.000,1.000,1.000,4
A0A2G3AGE4,ref_1BT3_Ibatatas,0.7285,1.000,1.000,0.000,0.000,2
A0A2G3AGJ6,ref_5CE9_Jregia,0.5152,1.000,1.000,1.000,1.000,4
A0A2G3AP27,ref_1BT3_Ibatatas,0.5213,1.000,1.000,1.000,1.000,4
A0A2G5BCT7,ref_PmTYR,0.5414,1.000,1.000,1.000,1.000,4
A0A2G5BCT9,ref_PmTYR,0.5401,1.000,1.000,1.000,1.000,4
A0A2G5BCU3,ref_PmTYR,0.5629,0.846,1.000,1.000,1.000,4
A0A2G5BD05,ref_PmTYR,0.7539,0.000,0.000,1.000,0.947,2
A0A2G5BDP2,ref_PmTYR,0.4168,1.000,1.000,1.000,1.000,4
A0A2G5BJJ6,ref_PmTYR,0.3717,1.000,1.000,1.000,1.000,4
A0A2G5BJJ9,ref_PmTYR,0.7914,0.000,1.000,1.000,0.947,3
A0A2G5BJN3,ref_PmTYR,0.5063,1.000,1.000,1.000,1.000,4
A0A2G5C0J9,ref_5CE9_Jregia,0.5972,1.000,1.000,1.000,1.000,4
A0A2G5CHA6,ref_5CE9_Jregia,0.5274,1.000,1.000,1.000,1.000,4
A0A2G5CHB1,ref_5CE9_Jregia,0.7146,1.000,1.000,1.000,1.000,4
A0A2G5CHC6,ref_5CE9_Jregia,0.5722,1.000,1.000,1.000,1.000,4
A0A2G5CHD7,ref_5CE9_Jregia,0.5493,1.000,1.000,1.000,1.000,4
A0A2G5CHD9,ref_5CE9_Jregia,0.5999,1.000,1.000,1.000,1.000,4
A0A2G5D3X8,ref_5CE9_Jregia,0.5400,1.000,1.000,1.000,1.000,4
A0A2G5D3X9,ref_5CE9_Jregia,0.6864,1.000,1.000,1.000,1.000,4
A0A2G5D408,ref_5CE9_Jregia,0.6192,1.000,1.000,1.000,1.000,4
A0A2G5DWL0,ref_5CE9_Jregia,0.5399,1.000,1.000,1.000,1.000,4
A0A2G5DX59,ref_5CE9_Jregia,0.5280,1.000,1.000,1.000,1.000,4
A0A2G5EJL9,ref_5CE9_Jregia,0.5514,1.000,1.000,1.000,1.000,4
A0A2G5EY05,ref_1BT3_Ibatatas,0.5330,1.000,1.000,1.000,1.000,4
A0A2G5H7T6,ref_A0A9N8ELP9_oomycota,0.5154,0.917,1.000,1.000,0.895,4
A0A2G5HJW8,ref_A0A9N8ELP9_oomycota,0.5088,1.000,0.950,1.000,1.000,4
A0A2G5HLZ7,ref_I3D139_archaea,0.5035,1.000,1.000,1.000,1.000,4
A0A2G5HMB1,ref_A0A9N8ELP9_oomycota,0.5179,1.000,1.000,1.000,1.000,4
A0A2G5HME4,ref_2Y9W_Abisporus,0.5043,1.000,1.000,1.000,1.000,4
A0A2G5HTG4,ref_2Y9W_Abisporus,0.3968,1.000,1.000,1.000,1.000,4
A0A2G5HTJ1,ref_2Y9W_Abisporus,0.5189,1.000,1.000,0.923,1.000,4
A0A2G5HUW4,ref_A0A9N8ELP9_oomycota,0.6161,0.000,0.950,1.000,1.000,3
A0A2G5HVL9,ref_2Y9W_Abisporus,0.4190,1.000,1.000,1.000,1.000,4
A0A2G5HZD7,ref_A0A9N8ELP9_oomycota,0.5667,1.000,1.000,1.000,1.000,4
A0A2G5HZV8,ref_2Y9W_Abisporus,0.4743,1.000,1.000,1.000,1.000,4
A0A2G5I0E2,ref_I3D139_archaea,0.5884,1.000,1.000,1.000,1.000,4
A0A2G5I1Q0,ref_I3D139_archaea,0.6285,0.667,1.000,1.000,1.000,4
A0A2G5I5D8,ref_A0A9N8ELP9_oomycota,0.5914,1.000,1.000,1.000,1.000,4
A0A2G5ICH2,ref_A0A9N8ELP9_oomycota,0.5300,0.917,1.000,1.000,0.947,4
A0A2G5U285,ref_PmTYR,0.3104,0.846,1.000,0.889,1.000,4
A0A2G5U340,ref_PmTYR,0.3105,0.846,1.000,0.778,1.000,4
A0A2G5UKA1,ref_PmTYR,0.3526,1.000,1.000,1.000,1.000,4
A0A2G5UKC2,ref_PmTYR,0.3818,1.000,1.000,1.000,1.000,4
A0A2G5UKD5,ref_PmTYR,0.3670,1.000,1.000,1.000,1.000,4
A0A2G5UT89,ref_PmTYR,0.3333,1.000,1.000,0.778,1.000,4
A0A2G5VEH5,ref_PmTYR,0.2967,1.000,1.000,0.778,1.000,4
A0A2G5VEY2,ref_PmTYR,0.3057,1.000,1.000,0.778,1.000,4
A0A2G5VH62,ref_PmTYR,0.3404,1.000,1.000,1.000,1.000,4
A0A2G5VHB5,ref_PmTYR,0.3594,1.000,1.000,0.778,1.000,4
A0A2G5VHR3,ref_PmTYR,0.3469,1.000,1.000,0.778,1.000,4
A0A2G5VWB7,ref_PmTYR,0.4792,1.000,1.000,0.889,1.000,4
A0A2G7FK12,ref_2Y9W_Abisporus,0.4928,1.000,1.000,1.000,1.000,4
A0A2G7FKJ2,ref_A0A9N8ELP9_oomycota,0.4578,1.000,1.000,0.500,0.737,4
A0A2G7FKV0,ref_2Y9W_Abisporus,0.4679,1.000,0.917,1.000,1.000,4
A0A2G7FQL5,ref_A0A9N8ELP9_oomycota,0.5324,1.000,1.000,1.000,1.000,4
A0A2G7FTM7,ref_A0A9N8ELP9_oomycota,0.2947,1.000,1.000,1.000,1.000,4
A0A2G7FYG7,ref_A0A9N8ELP9_oomycota,0.2844,1.000,1.000,1.000,1.000,4
A0A2G7G703,ref_PmTYR,0.6675,1.000,1.000,0.778,1.000,4
A0A2G7G7G7,ref_A0A9N8ELP9_oomycota,0.5681,1.000,1.000,1.000,1.000,4
A0A2G7GBJ2,ref_PmTYR,0.5496,1.000,1.000,0.889,1.000,4
A0A2G8L6J4,ref_PmTYR,0.2704,0.846,1.000,0.778,1.000,4
A0A2G8RMK1,ref_2Y9W_Abisporus,0.5642,1.000,1.000,1.000,1.000,4
A0A2G8RML5,ref_2Y9W_Abisporus,0.5180,1.000,1.000,1.000,1.000,4
A0A2G8SRB1,ref_A0A9N8ELP9_oomycota,0.6039,1.000,1.000,0.917,1.000,4
A0A2G8SXT1,ref_8BBR_Vspinosum,0.3971,1.000,1.000,1.000,0.955,4
A0A2G8SYB0,ref_5CE9_Jregia,0.3853,1.000,1.000,1.000,1.000,4
A0A2G8T113,ref_5CE9_Jregia,0.3128,0.000,0.105,0.833,1.000,2
A0A2G9FYD6,ref_5CE9_Jregia,0.2887,0.000,0.000,0.000,1.000,1
A0A2G9G0D2,ref_5CE9_Jregia,0.5943,1.000,1.000,1.000,1.000,4
A0A2G9G277,ref_1BT3_Ibatatas,0.5175,1.000,1.000,1.000,0.421,3
A0A2G9G4W6,ref_5CE9_Jregia,0.5591,1.000,1.000,1.000,1.000,4
A0A2G9G757,ref_5CE9_Jregia,0.5685,1.000,1.000,1.000,1.000,4
A0A2G9G763,ref_5CE9_Jregia,0.6149,1.000,1.000,1.000,1.000,4
A0A2G9GF61,ref_5CE9_Jregia,0.5590,1.000,1.000,1.000,1.000,4
A0A2G9GM60,ref_1BT3_Ibatatas,0.7157,1.000,1.000,1.000,0.000,3
A0A2G9GQP1,ref_5CE9_Jregia,0.6690,1.000,0.842,1.000,1.000,4
A0A2G9H164,ref_5CE9_Jregia,0.6293,1.000,1.000,1.000,1.000,4
A0A2G9H9E5,ref_1BT3_Ibatatas,0.6153,1.000,0.750,1.000,1.000,4
A0A2G9H9F0,ref_1BT3_Ibatatas,0.6250,1.000,1.000,1.000,1.000,4
A0A2G9H9F5,ref_5CE9_Jregia,0.5127,1.000,1.000,1.000,1.000,4
A0A2G9H9F8,ref_1BT3_Ibatatas,0.4122,0.000,0.000,1.000,1.000,2
A0A2G9RBS2,ref_5M8L_human,0.6696,1.000,1.000,1.000,1.000,4
A0A2G9SJE8,ref_PmTYR,0.6437,0.000,0.000,1.000,1.000,2
A0A2G9SKI5,ref_5M8L_human,0.7525,1.000,1.000,1.000,1.000,4
A0A2G9SKN4,ref_5M8L_human,0.7374,1.000,1.000,1.000,1.000,4
A0A2G9T4C7,ref_PmTYR,0.5759,1.000,1.000,0.000,0.000,2
A0A2G9TA14,ref_PmTYR,0.6019,0.000,0.000,0.778,1.000,2
A0A2G9TLS4,ref_A0A9N8ELP9_oomycota,0.5715,0.833,1.000,0.000,0.000,2
A0A2G9TS96,ref_PmTYR,0.4352,1.000,1.000,0.000,0.000,2
A0A2G9TSB6,ref_5M8L_human,0.3173,1.000,0.450,0.750,1.000,3
A0A2G9TWX3,ref_I3D139_archaea,0.1590,0.000,0.000,1.000,0.421,1
A0A2G9TYZ8,ref_PmTYR,0.5819,0.000,0.158,0.778,1.000,2
A0A2G9U9G0,ref_PmTYR,0.3553,1.000,1.000,1.000,1.000,4
A0A2G9UFB4,ref_PmTYR,0.5637,1.000,1.000,0.778,1.000,4
A0A2G9ULP9,ref_5M8L_human,0.2922,0.000,0.650,1.000,0.000,2
A0A2G9UMR0,ref_PmTYR,0.5962,0.846,1.000,0.778,1.000,4
A0A2G9UPF2,ref_PmTYR,0.3994,0.846,1.000,0.889,1.000,4
A0A2G9V4B3,ref_1BT3_Ibatatas,0.1785,0.500,0.850,0.750,1.000,4
A0A2H1CDX4,ref_5M8L_human,0.5627,1.000,1.000,0.000,0.000,2
A0A2H1FYF8,ref_A0A9N8ELP9_oomycota,0.5696,1.000,1.000,1.000,1.000,4
A0A2H1G5Q6,ref_PmTYR,0.6607,0.923,1.000,1.000,1.000,4
A0A2H1GBQ4,ref_PmTYR,0.3804,1.000,1.000,1.000,1.000,4
A0A2H1GCI0,ref_2Y9W_Abisporus,0.5150,1.000,1.000,1.000,1.000,4
A0A2H1GEV7,ref_A0A9N8ELP9_oomycota,0.6559,1.000,1.000,0.917,1.000,4
A0A2H1GH96,ref_PmTYR,0.5636,1.000,1.000,0.778,1.000,4
A0A2H1GKH5,ref_2Y9W_Abisporus,0.5069,1.000,1.000,1.000,1.000,4
A0A2H1GNC2,ref_2Y9W_Abisporus,0.4317,1.000,1.000,1.000,1.000,4
A0A2H1H3J1,ref_PmTYR,0.4996,1.000,1.000,0.778,1.000,4
A0A2H1H541,ref_2Y9W_Abisporus,0.5061,1.000,1.000,1.000,1.000,4
A0A2H1H7W6,ref_A0A9N8ELP9_oomycota,0.5630,1.000,1.000,1.000,0.895,4
A0A2H1H8F5,ref_A0A9N8ELP9_oomycota,0.5318,1.000,1.000,1.000,1.000,4
A0A2H2ZLL5,ref_2Y9W_Abisporus,0.4982,1.000,1.000,0.923,1.000,4
A0A2H3ABG1,ref_2Y9W_Abisporus,0.5269,1.000,1.000,0.846,1.000,4
A0A2H3AMN4,ref_A0A9N8ELP9_oomycota,0.1445,0.000,0.000,0.000,0.895,1
A0A2H3BBQ8,ref_A0A9N8ELP9_oomycota,0.5194,0.833,1.000,1.000,1.000,4
A0A2H3BJ78,ref_PmTYR,0.6948,1.000,1.000,1.000,1.000,4
A0A2H3BKV9,ref_PmTYR,0.6925,0.923,1.000,1.000,1.000,4
A0A2H3BKW9,ref_PmTYR,0.6983,0.923,1.000,1.000,1.000,4
A0A2H3BM37,ref_A0A9N8ELP9_oomycota,0.5657,1.000,1.000,1.000,0.947,4
A0A2H3BQM6,ref_PmTYR,0.5944,1.000,1.000,1.000,1.000,4
A0A2H3BR86,ref_A0A9N8ELP9_oomycota,0.6642,1.000,0.900,1.000,0.947,4
A0A2H3BRY6,ref_A0A9N8ELP9_oomycota,0.5390,1.000,0.950,1.000,1.000,4
A0A2H3BYM4,ref_2Y9W_Abisporus,0.5126,1.000,1.000,1.000,1.000,4
A0A2H3C2Q4,ref_PmTYR,0.5260,1.000,1.000,0.778,1.000,4
A0A2H3C2Z9,ref_PmTYR,0.7122,1.000,1.000,1.000,1.000,4
A0A2H3CDL4,ref_PmTYR,0.7312,1.000,1.000,1.000,1.000,4
A0A2H3CDP6,ref_PmTYR,0.6922,0.923,1.000,1.000,1.000,4
A0A2H3CFI2,ref_PmTYR,0.7112,1.000,1.000,1.000,0.947,4
A0A2H3CZT2,ref_PmTYR,0.7035,1.000,1.000,1.000,0.947,4
A0A2H3D0E4,ref_PmTYR,0.7115,1.000,0.895,1.000,0.947,4
A0A2H3D1Q0,ref_A0A9N8ELP9_oomycota,0.5153,1.000,0.950,1.000,1.000,4
A0A2H3DHE5,ref_PmTYR,0.6836,1.000,1.000,1.000,0.947,4
A0A2H3DHG0,ref_PmTYR,0.5960,1.000,1.000,1.000,0.947,4
A0A2H3DK47,ref_A0A9N8ELP9_oomycota,0.5549,1.000,1.000,1.000,1.000,4
A0A2H3E1W7,ref_PmTYR,0.6592,1.000,1.000,1.000,1.000,4
A0A2H3E3C8,ref_PmTYR,0.7174,0.000,1.000,1.000,1.000,3
A0A2H3E6P4,ref_8BBR_Vspinosum,0.5443,1.000,1.000,1.000,0.500,4
A0A2H3E8H0,ref_A0A9N8ELP9_oomycota,0.5223,1.000,1.000,1.000,1.000,4
A0A2H3EQM1,ref_PmTYR,0.6784,1.000,1.000,1.000,0.947,4
A0A2H3ES32,ref_2Y9W_Abisporus,0.5235,1.000,1.000,1.000,1.000,4
A0A2H3FCN1,ref_2Y9W_Abisporus,0.5165,1.000,1.000,0.846,1.000,4
A0A2H3G244,ref_2Y9W_Abisporus,0.1446,0.000,0.000,1.000,0.368,1
A0A2H3GAU2,ref_PmTYR,0.6185,1.000,1.000,0.778,1.000,4
A0A2H3GBU2,ref_A0A9N8ELP9_oomycota,0.5774,1.000,1.000,0.667,0.947,4
A0A2H3GCF0,ref_2Y9W_Abisporus,0.3589,0.625,0.708,1.000,0.895,4
A0A2H3GF76,ref_A0A9N8ELP9_oomycota,0.6519,1.000,1.000,1.000,1.000,4
A0A2H3GFQ3,ref_PmTYR,0.6114,1.000,1.000,1.000,1.000,4
A0A2H3GLJ8,ref_2Y9W_Abisporus,0.5131,1.000,0.792,0.846,1.000,4
A0A2H3GPA0,ref_2Y9W_Abisporus,0.3944,1.000,1.000,1.000,1.000,4
A0A2H3GPD7,ref_PmTYR,0.6396,1.000,1.000,0.778,0.947,4
A0A2H3GQY4,ref_A0A9N8ELP9_oomycota,0.5552,1.000,1.000,1.000,0.895,4
