accession,failed_step,n_his,cu_dist
A0A8K0T8Y5,step5_his_coordination,5,4.14
A0A8N5I073,step5_his_coordination,4,4.21
A0A8R1TKI8,step5_his_coordination,5,3.56
A0A8S3QCE6,step5_his_coordination,3,3.83
A0A8S3RVL9,step5_his_coordination,2,40.82
A0A8S3S028,step5_his_coordination,2,25.94
A0A8S3S1J4,step5_his_coordination,2,32.53
A0A8S3THZ3,step5_his_coordination,4,29.13
A0A8T1MS49,step5_his_coordination,5,5.07
A0A8T1U1C5,step5_his_coordination,5,5.77
A0A8T1W4C6,step5_his_coordination,4,21.95
A0A8T1W6M6,step5_his_coordination,0,31.51
A0A8T1WU85,step5_his_coordination,1,17.52
A0A8T9AZC4,step5_his_coordination,5,3.75
A0A8U0BYH4,step5_his_coordination,2,30.61
A0A8U0BYU8,step5_his_coordination,2,34.61
A0A8U0BZ64,step5_his_coordination,1,24.04
A0A8U0BZL2,step5_his_coordination,1,37.04
A0A8U0C0J3,step5_his_coordination,2,35.0
A0A8W8J4S3,step5_his_coordination,3,16.0
A0A8X6KWP2,step5_his_coordination,2,26.43
A0A8X7N2K2,step5_his_coordination,5,3.88
A0A913XYY6,step5_his_coordination,2,27.1
A0A914DIV0,step5_his_coordination,5,4.1
A0A914L211,step5_his_coordination,5,4.59
A0A914L5B1,step5_his_coordination,4,4.86
A0A914S644,step5_his_coordination,3,4.85
A0A914V8X7,step5_his_coordination,3,3.29
A0A914VGJ7,step5_his_coordination,1,27.77
A0A914XEE1,step5_his_coordination,1,35.53
A0A915AZH0,step5_his_coordination,5,3.67
A0A915C5Q4,step5_his_coordination,3,4.05
A0A915C6W5,step5_his_coordination,3,3.97
A0A915JK17,step5_his_coordination,4,17.14
A0A915M8S0,step5_his_coordination,5,4.64
A0A917QDB2,step5_his_coordination,5,4.01
A0A918SV45,step5_his_coordination,5,4.43
A0A918T1K9,step5_his_coordination,5,4.6
A0A918W4Y4,step5_his_coordination,5,4.22
A0A918Z2Y2,step5_his_coordination,5,4.57
A0A919DDV5,step5_his_coordination,5,4.34
A0A919RHA1,step5_his_coordination,4,4.22
A0A934SPS7,step5_his_coordination,2,24.03
A0A976IE71,step5_his_coordination,1,18.99
A0A9D3URW0,step5_his_coordination,4,3.6
A0A9D4DVG4,step5_his_coordination,5,4.21
A0A9D4DW49,step5_his_coordination,4,22.1
A0A9D4EB14,step5_his_coordination,3,27.0
A0A9D4GX75,step5_his_coordination,4,4.75
A0A9D4IDS9,step5_his_coordination,5,4.11
A0A9D4JUB0,step5_his_coordination,4,4.48
A0A9D4V2I4,step5_his_coordination,5,4.31
A0A9D4Z585,step5_his_coordination,5,3.84
A0A9E7H3J2,step5_his_coordination,5,4.05
A0A9J7MSC3,step5_his_coordination,1,26.67
A0A9N8JDS5,step5_his_coordination,5,3.97
A0A9N8KBE8,step5_his_coordination,2,25.98
A0A9N8PYA4,step5_his_coordination,1,31.19
A0A9N9KL52,step5_his_coordination,5,3.69
A0A9N9LFQ9,step5_his_coordination,5,4.02
A0A9N9PT18,step5_his_coordination,5,4.03
A0A9N9TUY4,step5_his_coordination,4,5.78
A0A9P4H2P0,step5_his_coordination,5,4.67
A0A9P4IEM6,step5_his_coordination,5,5.14
A0A9P4JTW6,step5_his_coordination,5,3.68
A0A9P4NQG6,step5_his_coordination,5,3.47
A0A9P4PM19,step5_his_coordination,5,4.21
A0A9P4PTR1,step5_his_coordination,5,4.01
A0A9P4QMU1,step5_his_coordination,5,3.98
A0A9P4U804,step5_his_coordination,5,4.01
A0A9P4YYF2,step5_his_coordination,5,4.35
A0A9P5BFG7,step5_his_coordination,5,3.71
A0A9P5F1P8,step5_his_coordination,5,4.13
A0A9P5IJI5,step5_his_coordination,5,3.5
A0A9P6DJR5,step5_his_coordination,5,3.69
A0A9P6EYF3,step5_his_coordination,5,3.91
A0A9P6HVN3,step5_his_coordination,4,14.81
A0A9P6HYB5,step5_his_coordination,5,4.03
A0A9P6LG06,step5_his_coordination,5,4.37
A0A9P7HU99,step5_his_coordination,5,3.85
A0A9P7QPY3,step5_his_coordination,5,3.92
A0A9P7R1E3,step5_his_coordination,4,5.08
A0A9P7R9D2,step5_his_coordination,5,3.88
A0A9P8DKY9,step5_his_coordination,5,3.86
A0A9P8EVR0,step5_his_coordination,2,33.24
A0A9P8G211,step5_his_coordination,1,32.34
A0A9P8G4G9,step5_his_coordination,1,35.77
A0A9P8GH40,step5_his_coordination,1,18.5
A0A9P8JBW6,step5_his_coordination,1,32.49
A0A9P8MUU1,step5_his_coordination,2,19.91
A0A9P8SF21,step5_his_coordination,5,4.16
A0A9P9AG59,step5_his_coordination,5,4.45
A0A9P9IM25,step5_his_coordination,5,4.26
A0A9P9KNI3,step5_his_coordination,5,3.83
A0A9Q0B6Y1,step5_his_coordination,5,3.9
A0A9Q0QJI7,step5_his_coordination,5,3.93
A0A9Q3GXD1,step5_his_coordination,5,3.96
A0A9Q3H9V3,step5_his_coordination,3,3.38
A0A9Q8LKP3,step5_his_coordination,5,3.95
A0A9Q8T2R4,step5_his_coordination,5,3.75
A0A9Q8WCM4,step5_his_coordination,5,4.02
A0A9Q8WG05,step5_his_coordination,4,2.66
A0A9R0TD02,step5_his_coordination,5,3.8
A0A9R0VMT2,step5_his_coordination,5,4.23
A0A9R1KF29,step5_his_coordination,5,4.05
A0A9R1N0A3,step5_his_coordination,5,4.14
A0A9R1RCW5,step5_his_coordination,4,9.59
A0A9W3BB61,step5_his_coordination,3,25.64
A0A9W4KMZ8,step5_his_coordination,5,4.54
A0A9W4W8U2,step5_his_coordination,5,4.01
A0A9W6BT77,step5_his_coordination,5,4.23
A0A9W6TPR0,step5_his_coordination,5,4.43
A0A9W6UBD6,step5_his_coordination,1,31.07
A0A9W7T0I7,step5_his_coordination,5,3.54
A0A9W8VAU3,step5_his_coordination,3,5.04
A0A9W9IRY5,step5_his_coordination,5,3.57
A0A9W9Q612,step5_his_coordination,5,3.99
A0A9W9T4Q6,step5_his_coordination,4,3.69
A0A9X0AKU8,step5_his_coordination,5,4.07
A0A9X0AXG5,step5_his_coordination,5,3.77
A0AA35M0Q8,step5_his_coordination,4,4.91
A0AA35TLZ1,step5_his_coordination,4,3.85
A0AA37GRR7,step5_his_coordination,5,3.89
A0AA37LRM6,step5_his_coordination,5,3.81
A0AA37P8W3,step5_his_coordination,5,3.72
A0AA38RAI0,step5_his_coordination,5,3.85
A0AA38XVF3,step5_his_coordination,5,3.81
A0AA38ZJU6,step5_his_coordination,5,3.91
A0AA39GKR5,step5_his_coordination,5,4.03
A0AA39K704,step5_his_coordination,5,4.05
A0AA39T9Y6,step5_his_coordination,5,3.72
A0AA39WFD7,step5_his_coordination,5,3.75
A0AA39YZL0,step5_his_coordination,5,4.01
A0AA39ZVR3,step5_his_coordination,5,4.23
A0AA40K7X1,step5_his_coordination,5,4.26
A0AA41U5V3,step5_his_coordination,2,5.36
A0AA42B2P4,step5_his_coordination,5,4.03
A0AA43QLN8,step5_his_coordination,3,4.62
A0AA87Y286,step5_his_coordination,5,4.48
A0AA88XJ60,step5_his_coordination,1,10.75
A0AA88XTS7,step5_his_coordination,1,35.11
A0AA89B2U6,step5_his_coordination,4,4.99
A0AAD2E0S8,step5_his_coordination,5,4.95
A0AAD3DIW9,step5_his_coordination,5,45.25
A0AAD4BGZ0,step5_his_coordination,5,4.25
A0AAD4NRB5,step5_his_coordination,5,3.98
A0AAD5M387,step5_his_coordination,5,4.45
A0AAD5T3C3,step5_his_coordination,5,3.57
A0AAD5U3C8,step5_his_coordination,5,3.66
A0AAD5V4M1,step5_his_coordination,4,5.02
A0AAD5VMH3,step5_his_coordination,4,3.91
A0AAD5WPZ9,step5_his_coordination,5,4.01
A0AAD5XR56,step5_his_coordination,5,4.84
A0AAD6E0P8,step5_his_coordination,4,3.53
A0AAD6NK04,step5_his_coordination,4,3.82
A0AAD7J5J2,step5_his_coordination,5,4.11
A0AAD8FEX8,step5_his_coordination,5,4.42
A0AAD8PIW8,step5_his_coordination,5,3.89
A0AAD8PLZ0,step5_his_coordination,5,3.31
A0AAD8PVJ5,step5_his_coordination,2,16.91
A0AAD8UFY3,step5_his_coordination,5,3.9
A0AAD9ARY9,step5_his_coordination,5,4.03
A0AAD9AZ26,step5_his_coordination,5,3.61
A0AAD9ECK1,step5_his_coordination,5,4.16
A0AAD9GMI7,step5_his_coordination,2,40.51
A0AAD9HBC0,step5_his_coordination,5,4.0
A0AAD9HKI6,step5_his_coordination,5,4.0
A0AAD9KZ40,step5_his_coordination,3,35.15
A0AAD9L024,step5_his_coordination,3,4.11
A0AAD9M015,step5_his_coordination,5,3.75
A0AAD9PC82,step5_his_coordination,4,4.43
A0AAD9QB69,step5_his_coordination,4,2.68
A0AAD9YE83,step5_his_coordination,5,4.37
A0AAE0D8U4,step5_his_coordination,5,4.05
A0AAE0LYH8,step5_his_coordination,5,3.84
A0AAE0M077,step5_his_coordination,5,3.62
A0AAE0MG27,step5_his_coordination,4,3.69
A0AAE0NMD8,step5_his_coordination,3,25.06
A0AAE0NPZ1,step5_his_coordination,4,3.81
A0AAE0WXT6,step5_his_coordination,5,3.7
A0AAE0X2E2,step5_his_coordination,5,4.24
A0AAE8MN78,step5_his_coordination,3,2.48
A0AAE8STA2,step5_his_coordination,4,4.69
A0AAF5PZK9,step5_his_coordination,5,3.51
A0AAI8YW60,step5_his_coordination,3,24.28
A0AAI8YWT9,step5_his_coordination,5,4.1
A0AAI8YZG9,step5_his_coordination,5,3.77
A0AAI9UCA0,step5_his_coordination,4,5.19
A0AAI9UNI6,step5_his_coordination,5,5.15
A0AAI9XI30,step5_his_coordination,3,12.56
A0AAI9XMR1,step5_his_coordination,5,3.87
A0AAI9XNV3,step5_his_coordination,5,3.89
A0AAI9XSF2,step5_his_coordination,5,4.0
A0AAI9XYD0,step5_his_coordination,5,3.97
A0AAI9YQA0,step5_his_coordination,3,32.58
A0AAJ0A0G4,step5_his_coordination,5,4.03
A0AAJ0DBW4,step5_his_coordination,5,3.78
A0AAJ0DVU7,step5_his_coordination,5,3.84
A0AAJ0EU37,step5_his_coordination,5,4.26
A0AAJ0HSA6,step5_his_coordination,5,3.94
A0AAJ8BCI9,step5_his_coordination,2,15.22
A0AAJ8BW86,step5_his_coordination,4,3.91
A0AAN6E594,step5_his_coordination,5,3.86
A0AAN6F7R2,step5_his_coordination,5,3.6
A0AAN6G1Z6,step5_his_coordination,5,3.59
A0AAN6H7M5,step5_his_coordination,5,3.68
A0AAN6K752,step5_his_coordination,5,3.6
A0AAN6KA23,step5_his_coordination,5,3.62
A0AAN6LYU1,step5_his_coordination,5,4.48
A0AAN6N1G2,step5_his_coordination,5,4.1
A0AAN6SJA1,step5_his_coordination,4,3.28
A0AAN7GQ08,step5_his_coordination,5,3.6
A0AAN7VN59,step5_his_coordination,5,3.65
A0AAN8HSE1,step5_his_coordination,4,25.54
A0AAN8ZF79,step5_his_coordination,4,32.72
A0AAN9UQ80,step5_his_coordination,5,4.18
A0AAN9YIB4,step5_his_coordination,5,3.65
A0AAQ3M852,step5_his_coordination,5,4.24
A0AAU9KU22,step5_his_coordination,3,36.45
A0AAV0UD10,step5_his_coordination,0,33.55
A0AAV0UFB5,step5_his_coordination,1,57.77
A0AAV0UHU3,step5_his_coordination,0,31.66
A0AAV0V041,step5_his_coordination,1,30.35
A0AAV1T0B6,step5_his_coordination,0,40.57
A0AAV2QBX0,step5_his_coordination,3,26.08
A0AAV2QDB1,step5_his_coordination,0,1.78
A0AAV2T9N0,step5_his_coordination,5,4.55
A0AAV2VYF3,step5_his_coordination,5,4.38
A0AAV2YQR1,step5_his_coordination,4,21.58
A0AAV2Z9U8,step5_his_coordination,3,27.3
A0AAV4IQ38,step5_his_coordination,2,23.88
A0AAV4JTX0,step5_his_coordination,3,30.49
A0AAV7NZD3,step5_his_coordination,2,36.84
A0AAV9J8F3,step5_his_coordination,5,3.69
A0AAV9LU83,step5_his_coordination,3,8.98
A0AAV9N1J6,step5_his_coordination,5,4.06
A0AAV9SY11,step5_his_coordination,5,4.0
A0AAV9WSZ8,step5_his_coordination,5,4.2
A0AAW0DCV9,step5_his_coordination,5,4.09
A0AAW0GI35,step5_his_coordination,5,3.87
A0AAW0Q5S1,step5_his_coordination,5,4.65
A0AAW2WSM8,step5_his_coordination,5,4.19
A0AAX4I0H5,step5_his_coordination,5,3.87
A0AAX4IJG7,step5_his_coordination,5,3.68
A0AAX6MJK2,step5_his_coordination,5,3.47
A0AB74JLQ5,step5_his_coordination,2,26.18
A0ABD1WHD2,step5_his_coordination,5,4.47
A0ABD2IJ80,step5_his_coordination,4,4.1
A0ABD3FTY2,step5_his_coordination,4,22.58
A0ABD3FX43,step5_his_coordination,1,40.83
A0ABD3I4U1,step5_his_coordination,5,4.43
A0ABD6GFY7,step5_his_coordination,5,4.38
A0ABM0MAQ4,step5_his_coordination,5,4.3
A0ABM1B806,step5_his_coordination,4,24.15
A0ABM1VVY2,step5_his_coordination,1,21.96
A0ABM4UF39,step5_his_coordination,5,4.32
A0ABM7Q8T6,step5_his_coordination,5,4.6
A0ABM7QH35,step5_his_coordination,5,4.6
A0ABN3U7S0,step5_his_coordination,1,27.68
A0ABN8C0W3,step5_his_coordination,1,35.05
A0ABN8CNH4,step5_his_coordination,1,18.71
A0ABN8LS46,step5_his_coordination,3,26.86
A0ABN8LUS6,step5_his_coordination,5,4.17
A0ABN8LVE4,step5_his_coordination,5,4.23
A0ABN8LXN0,step5_his_coordination,5,3.94
A0ABN8MSS7,step5_his_coordination,5,3.81
A0ABN8MVN3,step5_his_coordination,5,4.3
A0ABN8MVN6,step5_his_coordination,4,3.73
A0ABN8MVQ8,step5_his_coordination,5,3.53
A0ABN8MXH6,step5_his_coordination,5,3.8
A0ABN8MXX5,step5_his_coordination,5,4.15
A0ABN8MY60,step5_his_coordination,5,4.13
A0ABN8MZV7,step5_his_coordination,5,4.43
A0ABN8N4G6,step5_his_coordination,5,3.96
A0ABN8PCP7,step5_his_coordination,5,4.18
A0ABN8PTR8,step5_his_coordination,1,45.55
A0ABN8PUI2,step5_his_coordination,3,24.7
A0ABN8Q7Y1,step5_his_coordination,5,4.01
A0ABN8SLK2,step5_his_coordination,5,4.38
A0ABP2BNE3,step5_his_coordination,5,4.28
A0ABP3EMV2,step5_his_coordination,2,20.57
A0ABQ0GAI5,step5_his_coordination,5,3.6
A0ABQ0GL05,step5_his_coordination,5,26.6
A0ABQ0LKN2,step5_his_coordination,5,4.01
A0ABQ0M8A7,step5_his_coordination,5,3.79
A0ABQ4GGN2,step5_his_coordination,2,22.92
A0ABQ6N7K7,step5_his_coordination,5,5.07
A0ABQ7J1C5,step5_his_coordination,5,3.75
A0ABQ9PEH4,step5_his_coordination,5,3.85
A0ABQ9PND2,step5_his_coordination,5,4.03
A0ABQ9Q197,step5_his_coordination,5,4.41
A0ABQ9QHE7,step5_his_coordination,5,3.91
A0ABQ9S7H6,step5_his_coordination,4,4.66
A0ABQ9T229,step5_his_coordination,5,3.82
A0ABR0EHV5,step5_his_coordination,5,3.82
A0ABR0H9K2,step5_his_coordination,5,4.54
A0ABR0I6B4,step5_his_coordination,5,4.54
A0ABR0JJU7,step5_his_coordination,5,3.86
A0ABR0ML46,step5_his_coordination,5,4.38
A0ABR0S881,step5_his_coordination,5,3.84
A0ABR0TFM8,step5_his_coordination,2,23.78
A0ABR1FHI7,step5_his_coordination,5,4.63
A0ABR1QFP3,step5_his_coordination,5,4.02
A0ABR1T514,step5_his_coordination,5,3.99
A0ABR1TI72,step5_his_coordination,5,4.28
A0ABR1TNQ8,step5_his_coordination,4,31.87
A0ABR1U9F9,step5_his_coordination,5,4.04
A0ABR1VP59,step5_his_coordination,5,3.79
A0ABR1X4W4,step5_his_coordination,5,4.03
A0ABR1YMI8,step5_his_coordination,5,4.24
A0ABR1YVN4,step5_his_coordination,5,4.15
A0ABR2VUU4,step5_his_coordination,2,26.76
A0ABR2W3C9,step5_his_coordination,2,16.06
A0ABR2W3S2,step5_his_coordination,4,3.92
A0ABR2W902,step5_his_coordination,2,16.6
A0ABR3CFI6,step5_his_coordination,5,3.74
A0ABR3D6M0,step5_his_coordination,5,3.94
A0ABR3FXT6,step5_his_coordination,4,4.0
A0ABR3QSB3,step5_his_coordination,5,3.6
A0ABR3TFZ3,step5_his_coordination,5,4.2
A0ABR3U3E6,step5_his_coordination,5,4.01
A0ABR3UTG0,step5_his_coordination,5,3.77
A0ABR4BR18,step5_his_coordination,5,3.78
A0ABR4C2T6,step5_his_coordination,5,3.74
A0ABR4CF27,step5_his_coordination,5,3.97
A0ABR4EPU0,step5_his_coordination,5,5.24
A0ABR4ES42,step5_his_coordination,3,5.27
A0ABR4K145,step5_his_coordination,5,4.86
A0ABR4NDE5,step5_his_coordination,1,44.03
A0ABR7QDC1,step5_his_coordination,3,26.83
A0ABR7X9J7,step5_his_coordination,5,4.29
A0ABR8L1I5,step5_his_coordination,2,30.17
A0ABR9BSA8,step5_his_coordination,5,4.34
A0ABS8JIA8,step5_his_coordination,5,4.38
A0ABS8JID1,step5_his_coordination,5,4.69
A0ABT9CR60,step5_his_coordination,5,4.22
A0ABV0AFJ4,step5_his_coordination,2,22.87
A0ABV6RIB9,step5_his_coordination,5,4.43
A0ABV6RUK0,step5_his_coordination,5,4.61
A0ABV9FV84,step5_his_coordination,2,14.11
A0ABV9I266,step5_his_coordination,2,13.93
A0ABW1EV91,step5_his_coordination,5,4.05
A0ABW2RRB3,step5_his_coordination,5,3.62
A0ABW9S031,step5_his_coordination,5,4.12
A0ABX5RWM9,step5_his_coordination,5,4.41
A0ABX5UDS5,step5_his_coordination,5,4.66
A0ABX6FJC2,step5_his_coordination,5,4.76
A0ABY0G5N1,step5_his_coordination,5,3.93
A0ABY2RLZ4,step5_his_coordination,4,3.0
A0ABY7EU49,step5_his_coordination,2,20.81
A0ABZ1SYY9,step5_his_coordination,2,31.95
A0ACB1AYY7,step5_his_coordination,3,24.27
A0ACB6QFG3,step5_his_coordination,2,23.98
A0ACB7IQP8,step5_his_coordination,4,3.19
A0ACB8HCS0,step5_his_coordination,4,3.92
A0ACC0W512,step5_his_coordination,1,46.52
A0ACC1A5Y2,step5_his_coordination,5,6.31
A0ACC1QNQ0,step5_his_coordination,5,3.86
A0ACC1SFB7,step5_his_coordination,4,3.6
A0ACC2HR65,step5_his_coordination,5,4.12
A0ACC2ID33,step5_his_coordination,5,4.04
A0ACC2JBL3,step5_his_coordination,5,3.44
A0ACC2S0P5,step5_his_coordination,3,3.92
A0ACC2S7C6,step5_his_coordination,1,29.42
A0ACC2T2P1,step5_his_coordination,1,39.65
A0ACC2T3L9,step5_his_coordination,2,15.26
A0ACC2T4I7,step5_his_coordination,2,38.16
A0ACC2TJ92,step5_his_coordination,2,23.32
A0ACC2TJW4,step5_his_coordination,2,28.26
A0ACC2TU75,step5_his_coordination,2,38.77
A0ACC2TZL3,step5_his_coordination,2,27.73
A0ACC2U0B8,step5_his_coordination,4,4.61
A0ACC2U405,step5_his_coordination,3,20.33
A0ACC2U767,step5_his_coordination,3,3.75
A0ACC2U7B3,step5_his_coordination,4,4.52
A0ACC3CBK0,step5_his_coordination,0,39.77
A0ACC3CBV5,step5_his_coordination,2,25.76
A0ACC3CEB8,step5_his_coordination,2,12.29
A0ACC3DNN8,step5_his_coordination,5,3.6
A0ACC3SCJ8,step5_his_coordination,5,3.7
A0ACC3YJX9,step5_his_coordination,5,4.03
A0ACD1IG11,step5_his_coordination,5,4.5
A0ACD3ADA0,step5_his_coordination,4,5.19
A0ACD3YVM0,step5_his_coordination,5,4.17
A2RBK8,step5_his_coordination,4,3.91
A3K3J4,step5_his_coordination,5,4.51
A7RKE4,step5_his_coordination,3,7.79
A8N3S0,step5_his_coordination,5,4.36
A8N4B1,step5_his_coordination,1,14.74
B2WH32,step5_his_coordination,4,4.07
B9XQZ3,step5_his_coordination,5,4.49
C3YG81,step5_his_coordination,1,27.24
C8CHT1,step5_his_coordination,5,5.02
D0NAA1,step5_his_coordination,1,19.18
E3Q7T1,step5_his_coordination,2,17.17
E3QWQ8,step5_his_coordination,5,3.9
E5Q8T0,step5_his_coordination,5,4.04
E5SC69,step5_his_coordination,2,40.14
E9FAB7,step5_his_coordination,5,3.86
F0XF66,step5_his_coordination,1,4.69
F0Y382,step5_his_coordination,3,9.28
F0YJP7,step5_his_coordination,5,4.54
F1KXG5,step5_his_coordination,4,34.0
F6G5J6,step5_his_coordination,5,4.31
F9X2G9,step5_his_coordination,5,4.7
F9XBE5,step5_his_coordination,5,4.2
F9XCV9,step5_his_coordination,5,3.8
G1S3C9,step5_his_coordination,5,4.2
G2QVS9,step5_his_coordination,5,4.07
G2YP57,step5_his_coordination,5,3.68
G3JPN7,step5_his_coordination,5,3.91
G3XUP5,step5_his_coordination,5,4.44
G4Z7X0,step5_his_coordination,1,19.72
G5A9J7,step5_his_coordination,2,26.76
G5AB92,step5_his_coordination,5,5.55
G5ABA8,step5_his_coordination,4,26.17
G5B168,step5_his_coordination,5,4.14
H1UWR0,step5_his_coordination,5,3.9
H1VZE2,step5_his_coordination,5,4.45
H2KPL1,step5_his_coordination,4,6.23
H3GEM4,step5_his_coordination,2,40.39
I7CCR9,step5_his_coordination,5,4.2
K2RLK6,step5_his_coordination,5,4.24
K3WBN0,step5_his_coordination,3,22.22
L2FID8,step5_his_coordination,5,4.06
L2FNV4,step5_his_coordination,5,4.19
L2GEI1,step5_his_coordination,5,4.08
L8X5X1,step5_his_coordination,5,4.25
M1R095,step5_his_coordination,4,6.04
M2MQZ6,step5_his_coordination,5,3.72
M2SQZ2,step5_his_coordination,3,6.36
M2YMY9,step5_his_coordination,5,3.76
M3C9Q8,step5_his_coordination,5,4.23
M4C6D4,step5_his_coordination,2,20.19
M7UN52,step5_his_coordination,5,5.3
N1RKC9,step5_his_coordination,5,4.07
N1S3E0,step5_his_coordination,5,4.19
N1S8Q1,step5_his_coordination,4,14.37
N4TKR4,step5_his_coordination,5,4.17
N4X430,step5_his_coordination,3,6.36
P55022,step5_his_coordination,5,3.79
Q33CJ6,step5_his_coordination,1,23.71
R1D043,step5_his_coordination,4,4.23
R1EXG5,step5_his_coordination,5,4.08
R7UB97,step5_his_coordination,3,30.88
R7YGC4,step5_his_coordination,5,4.1
S0DQZ0,step5_his_coordination,5,3.77
S3D1Q3,step5_his_coordination,5,3.81
T0KJ59,step5_his_coordination,5,4.11
T0KXU6,step5_his_coordination,5,3.57
T0PKY7,step5_his_coordination,4,15.55
T0PU14,step5_his_coordination,1,55.21
T0QXV8,step5_his_coordination,5,4.22
T0S9R0,step5_his_coordination,5,4.57
T5A6R2,step5_his_coordination,5,3.95
U3AIJ7,step5_his_coordination,5,4.58
U4K751,step5_his_coordination,5,4.5
V5FME0,step5_his_coordination,5,4.08
V9E917,step5_his_coordination,0,30.6
V9EB77,step5_his_coordination,0,31.61
V9EVI6,step5_his_coordination,4,21.96
W2I6U4,step5_his_coordination,0,30.6
W2I6Y9,step5_his_coordination,0,31.61
W2IN56,step5_his_coordination,4,21.96
W2KB90,step5_his_coordination,0,31.25
W2MH14,step5_his_coordination,1,41.68
W2PMT3,step5_his_coordination,0,21.08
W2PPJ1,step5_his_coordination,0,31.27
W2PY30,step5_his_coordination,4,22.08
W2W5P6,step5_his_coordination,0,30.6
W2W6T1,step5_his_coordination,0,31.61
W2WMR4,step5_his_coordination,4,21.96
W2YEN6,step5_his_coordination,0,31.25
W2YF51,step5_his_coordination,1,41.68
W2YZ31,step5_his_coordination,4,21.96
W3WIK4,step5_his_coordination,5,4.19
W4GC36,step5_his_coordination,3,30.03
W6ZD78,step5_his_coordination,5,4.42
W7F1D8,step5_his_coordination,5,6.24
W7M987,step5_his_coordination,5,3.88
W7MLF2,step5_his_coordination,4,4.41
W9I5K7,step5_his_coordination,5,4.08
X0JGY5,step5_his_coordination,5,4.36
X8JBW1,step5_his_coordination,3,4.25
X8JFG5,step5_his_coordination,3,4.42
X8JFZ0,step5_his_coordination,1,38.63
