accession	length	ndom_chainsaw	all_pfam	extra_pfam	domain_annotations
A0A3N4J8U4	324	1	PF00264 (Tyrosinase)	—	92-109: Tyrosinase copper-binding; 246-257: Tyrosinase copper-binding
A0A3N4KYW5	430	2	PF00264 (Tyrosinase)	—	372-383: Tyrosinase copper-binding
A0A3N4LRS9	356	1	PF00264 (Tyrosinase)	—	130-147: Tyrosinase copper-binding; 277-288: Tyrosinase copper-binding
A0A3R6VRZ5	897	6	PF14295 (PAN_4); PF00264 (Tyrosinase)	PF14295 (PAN_4)	29-100: Apple; 255-327: Apple; 835-848: CRIB
A0A3R6WTM7	0	2	—	—	—
A0A3R6X6W7	0	2	—	—	—
A0A3R6YR15	460	2	PF00264 (Tyrosinase)	—	28-185: Tyrosinase copper-binding
A0A3R6ZA35	0	3	—	—	—
A0A3R7A7P4	0	5	—	—	—
A0A3R7BWT8	0	2	—	—	—
A0A3R7CD36	0	2	—	—	—
A0A3R7CFL8	0	2	—	—	—
A0A3R7E8Z5	0	3	—	—	—
A0A3R7EK41	0	5	—	—	—
A0A3R7FX46	448	2	PF00264 (Tyrosinase)	—	29-221: Tyrosinase copper-binding
A0A3R7MJX7	515	2	PF00264 (Tyrosinase)	—	76-93: Tyrosinase copper-binding; 244-255: Tyrosinase copper-binding
A0A3R7WGA7	649	4	PF14295 (PAN_4); PF00264 (Tyrosinase)	PF14295 (PAN_4)	30-74: Apple; 107-151: Apple; 211-425: Tyrosinase copper-binding
A0A3R7WQH8	845	4	PF14295 (PAN_4); PF00264 (Tyrosinase)	PF14295 (PAN_4)	46-114: Apple; 205-278: Apple
A0A3R7ZIF7	602	3	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	355-366: Tyrosinase copper-binding
A0A3S0IN34	454	2	PF18962 (Por_Secre_tail); PF00264 (Tyrosinase)	PF18962 (Por_Secre_tail)	199-210: Tyrosinase copper-binding
A0A3S9PH06	273	1	PF00264 (Tyrosinase)	—	54-71: Tyrosinase copper-binding; 209-220: Tyrosinase copper-binding
A0A401KLG2	327	1	PF00264 (Tyrosinase)	—	262-273: Tyrosinase copper-binding
A0A401L788	396	1	PF00264 (Tyrosinase)	—	103-120: Tyrosinase copper-binding; 251-262: Tyrosinase copper-binding
A0A401L7K2	341	1	PF00264 (Tyrosinase)	—	111-128: Tyrosinase copper-binding; 259-270: Tyrosinase copper-binding
A0A401VX81	424	2	PF06236 (MelC1); PF00264 (Tyrosinase)	PF06236 (MelC1)	359-370: Tyrosinase copper-binding
A0A418AHC0	421	2	PF00264 (Tyrosinase)	—	212-229: Tyrosinase copper-binding; 384-395: Tyrosinase copper-binding
A0A418AND4	390	2	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	181-198: Tyrosinase copper-binding; 353-364: Tyrosinase copper-binding
A0A418AQE9	861	4	PF05241 (EBP); PF14295 (PAN_4); PF00264 (Tyrosinase)	PF05241 (EBP); PF14295 (PAN_4)	703-841: EXPERA
A0A418C2V2	0	5	—	—	—
A0A418CC15	0	2	—	—	—
A0A418E6Z8	0	2	—	—	—
A0A418FGP4	0	2	—	—	—
A0A419QAV9	476	2	PF00264 (Tyrosinase)	—	211-228: Tyrosinase copper-binding
A0A420MKG6	0	1	—	—	—
A0A420N1W1	0	1	—	—	—
A0A420NVL3	0	2	—	—	—
A0A420PID6	0	1	—	—	—
A0A420QHZ5	0	1	—	—	—
A0A420R194	0	3	—	—	—
A0A420SE78	0	1	—	—	—
A0A420TRM3	0	1	—	—	—
A0A423FGB7	0	3	—	—	—
A0A425CLB8	0	2	—	—	—
A0A425DJS3	442	2	PF00264 (Tyrosinase)	—	23-40: Tyrosinase copper-binding; 195-206: Tyrosinase copper-binding
A0A437AMZ0	318	2	PF00264 (Tyrosinase)	—	67-84: Tyrosinase copper-binding; 197-208: Tyrosinase copper-binding
A0A438NAJ9	0	1	—	—	—
A0A438NAZ0	0	1	—	—	—
A0A439CYQ7	366	1	PF00264 (Tyrosinase)	—	289-300: Tyrosinase copper-binding
A0A443HXX0	369	1	PF00264 (Tyrosinase)	—	290-301: Tyrosinase copper-binding
A0A444RPW9	0	2	—	—	—
A0A444S1W9	0	1	—	—	—
A0A484G057	880	2	PF00441 (Acyl-CoA_dh_1); PF02771 (Acyl-CoA_dh_N); PF00264 (Tyrosinase)	PF00441 (Acyl-CoA_dh_1); PF02771 (Acyl-CoA_dh_N)	197-214: Tyrosinase copper-binding
A0A485K5I4	502	2	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding; 261-272: Tyrosinase copper-binding
A0A485K9M7	573	3	PF14295 (PAN_4); PF00264 (Tyrosinase)	PF14295 (PAN_4)	157-174: Tyrosinase copper-binding; 330-341: Tyrosinase copper-binding
A0A485KAJ9	682	2	PF14295 (PAN_4); PF00264 (Tyrosinase)	PF14295 (PAN_4)	268-285: Tyrosinase copper-binding; 440-451: Tyrosinase copper-binding
A0A485KB07	650	3	PF00264 (Tyrosinase)	—	244-261: Tyrosinase copper-binding; 415-426: Tyrosinase copper-binding
A0A485KBW3	638	3	PF00264 (Tyrosinase)	—	129-147: Tyrosinase copper-binding
A0A485KGF6	641	4	PF14295 (PAN_4); PF00264 (Tyrosinase)	PF14295 (PAN_4)	333-350: Tyrosinase copper-binding; 505-516: Tyrosinase copper-binding
A0A485KPS2	613	2	PF00264 (Tyrosinase)	—	135-297: Tyrosinase copper-binding
A0A485L799	448	3	PF00264 (Tyrosinase)	—	39-56: Tyrosinase copper-binding; 210-221: Tyrosinase copper-binding
A0A485L7D7	440	3	PF00264 (Tyrosinase)	—	23-40: Tyrosinase copper-binding; 192-203: Tyrosinase copper-binding
A0A485L8F1	865	6	PF00024 (PAN_1); PF14295 (PAN_4); PF00264 (Tyrosinase)	PF00024 (PAN_1); PF14295 (PAN_4)	23-95: Apple; 321-385: Apple
A0A485LKF7	776	5	PF00024 (PAN_1); PF14295 (PAN_4); PF00264 (Tyrosinase)	PF00024 (PAN_1); PF14295 (PAN_4)	101-173: Apple
A0A485LNI1	657	3	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	250-267: Tyrosinase copper-binding; 422-433: Tyrosinase copper-binding
A0A485LSG3	501	2	PF00264 (Tyrosinase)	—	82-99: Tyrosinase copper-binding; 259-270: Tyrosinase copper-binding
A0A4P7NV04	0	2	—	—	—
A0A4P9Z6Q7	245	1	PF00264 (Tyrosinase)	—	86-103: Tyrosinase copper-binding; 227-238: Tyrosinase copper-binding
A0A4P9ZSR0	224	2	PF00264 (Tyrosinase)	—	52-69: Tyrosinase copper-binding; 195-206: Tyrosinase copper-binding
A0A4Q2VEP5	0	1	—	—	—
A0A4Q2VQ33	0	2	—	—	—
A0A4Q2WA02	0	1	—	—	—
A0A4Q4M2L8	0	1	—	—	—
A0A4Q4TQ47	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A4Q9PR44	368	1	PF00264 (Tyrosinase)	—	103-120: Tyrosinase copper-binding
A0A4R8PT74	439	1	PF00264 (Tyrosinase)	—	164-181: Tyrosinase copper-binding
A0A4R8REE8	368	1	PF00264 (Tyrosinase)	—	93-110: Tyrosinase copper-binding
A0A4S2LAY4	428	2	PF00264 (Tyrosinase)	—	211-228: Tyrosinase copper-binding
A0A4S2LBN1	476	2	PF00264 (Tyrosinase)	—	211-228: Tyrosinase copper-binding
A0A4S4M1Y3	797	4	PF08231 (SYF2); PF00264 (Tyrosinase)	PF08231 (SYF2)	530-547: Tyrosinase copper-binding
A0A4S4MA69	955	3	PF13679 (Methyltransf_32); PF00264 (Tyrosinase)	PF13679 (Methyltransf_32)	100-117: Tyrosinase copper-binding
A0A4S8LAP1	361	2	PF00264 (Tyrosinase)	—	94-111: Tyrosinase copper-binding
A0A4T0VD25	0	2	—	—	—
A0A4U0VS63	330	1	PF00264 (Tyrosinase)	—	143-160: Tyrosinase copper-binding; 302-313: Tyrosinase copper-binding
A0A4U0XT20	375	1	PF00264 (Tyrosinase)	—	143-160: Tyrosinase copper-binding; 302-313: Tyrosinase copper-binding
A0A4U5PGP8	498	2	PF00264 (Tyrosinase)	—	351-362: Tyrosinase copper-binding
A0A4U9FEL1	0	1	—	—	—
A0A4V1IUQ4	215	2	PF00264 (Tyrosinase)	—	30-213: Tyrosinase copper-binding
A0A4V1IX23	257	1	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding; 239-250: Tyrosinase copper-binding
A0A4V1X6P4	616	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	123-140: Tyrosinase copper-binding
A0A4V2K1S3	0	1	—	—	—
A0A4V2K7N5	367	2	PF00264 (Tyrosinase)	—	99-116: Tyrosinase copper-binding
A0A4V6QED0	641	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	98-115: Tyrosinase copper-binding; 307-318: Tyrosinase copper-binding
A0A4Y8D0V3	342	1	PF00264 (Tyrosinase)	—	113-130: Tyrosinase copper-binding; 270-281: Tyrosinase copper-binding
A0A4Y9ZE70	471	2	PF00264 (Tyrosinase)	—	188-205: Tyrosinase copper-binding
A0A4Z0AQA6	597	3	PF00264 (Tyrosinase)	—	153-378: Tyrosinase copper-binding
A0A4Z0YK01	355	1	PF00264 (Tyrosinase)	—	280-291: Tyrosinase copper-binding
A0A4Z0ZBZ0	493	2	PF00264 (Tyrosinase)	—	55-73: Tyrosinase copper-binding; 292-303: Tyrosinase copper-binding
A0A4Z1E519	299	1	PF00264 (Tyrosinase)	—	209-220: Tyrosinase copper-binding
A0A4Z1FR91	362	1	PF00264 (Tyrosinase)	—	133-150: Tyrosinase copper-binding; 289-300: Tyrosinase copper-binding
A0A4Z1G6H5	255	1	PF00264 (Tyrosinase)	—	168-179: Tyrosinase copper-binding
A0A4Z1HN92	601	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	137-154: Tyrosinase copper-binding; 339-350: Tyrosinase copper-binding
A0A4Z1NUI9	399	1	PF00264 (Tyrosinase)	—	153-170: Tyrosinase copper-binding; 321-332: Tyrosinase copper-binding
A0A4Z1P5A9	357	1	PF00264 (Tyrosinase)	—	273-284: Tyrosinase copper-binding
A0A507EFD5	566	2	PF00264 (Tyrosinase)	—	89-106: Tyrosinase copper-binding; 260-271: Tyrosinase copper-binding
A0A507EU45	607	3	PF00264 (Tyrosinase)	—	315-326: Tyrosinase copper-binding
A0A507FGD0	412	2	PF00264 (Tyrosinase)	—	69-86: Tyrosinase copper-binding; 210-221: Tyrosinase copper-binding
A0A517KXT5	359	1	PF00264 (Tyrosinase)	—	274-285: Tyrosinase copper-binding
A0A517LRF7	608	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	109-126: Tyrosinase copper-binding; 310-321: Tyrosinase copper-binding
A0A542UIP7	288	2	PF00264 (Tyrosinase)	—	55-72: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A544XUX3	0	1	—	—	—
A0A550CYA8	368	2	PF00264 (Tyrosinase)	—	281-292: Tyrosinase copper-binding
A0A559KLZ0	0	2	—	—	—
A0A559KX00	0	1	—	—	—
A0A559L672	0	2	—	—	—
A0A5B0M872	320	1	PF00264 (Tyrosinase)	—	78-262: Tyrosinase copper-binding
A0A5B0PDE5	320	1	PF00264 (Tyrosinase)	—	78-262: Tyrosinase copper-binding
A0A5B2UX14	605	3	PF00264 (Tyrosinase)	—	152-378: Tyrosinase copper-binding
A0A5B2XQW2	275	2	PF00264 (Tyrosinase)	—	54-71: Tyrosinase copper-binding; 212-223: Tyrosinase copper-binding
A0A5B6YVS2	0	2	—	—	—
A0A5C2RQU6	363	2	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding
A0A5C3FFP2	410	2	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding
A0A5C3N8U3	379	2	PF00264 (Tyrosinase)	—	293-304: Tyrosinase copper-binding
A0A5C3N9J8	385	2	PF00264 (Tyrosinase)	—	299-310: Tyrosinase copper-binding
A0A5C3PS01	363	2	PF00264 (Tyrosinase)	—	82-296: Tyrosinase copper-binding
A0A5C3Q880	360	1	PF00264 (Tyrosinase)	—	101-118: Tyrosinase copper-binding
A0A5C3QLZ5	378	2	PF00264 (Tyrosinase)	—	292-303: Tyrosinase copper-binding
A0A5C3QRI1	375	2	PF00264 (Tyrosinase)	—	101-314: Tyrosinase copper-binding
A0A5C3QS67	366	2	PF00264 (Tyrosinase)	—	101-118: Tyrosinase copper-binding
A0A5C3R0A6	373	2	PF00264 (Tyrosinase)	—	108-125: Tyrosinase copper-binding; 287-298: Tyrosinase copper-binding
A0A5C6SHS5	0	3	—	—	—
A0A5C6SY53	0	2	—	—	—
A0A5J6J652	284	2	PF00264 (Tyrosinase)	—	54-71: Tyrosinase copper-binding; 209-220: Tyrosinase copper-binding
A0A5N5DHS7	684	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	88-105: Tyrosinase copper-binding; 324-335: Tyrosinase copper-binding
A0A5N5IZL2	461	2	PF18962 (Por_Secre_tail); PF00264 (Tyrosinase)	PF18962 (Por_Secre_tail)	202-213: Tyrosinase copper-binding
A0A5N5Q961	350	1	PF00264 (Tyrosinase)	—	266-277: Tyrosinase copper-binding
A0A5N5QCV3	350	1	PF00264 (Tyrosinase)	—	266-277: Tyrosinase copper-binding
A0A5N5QCX3	373	2	PF00264 (Tyrosinase)	—	88-310: Tyrosinase copper-binding
A0A5N5QD75	355	1	PF00264 (Tyrosinase)	—	85-288: Tyrosinase copper-binding
A0A5N5QF46	355	2	PF00264 (Tyrosinase)	—	94-304: Tyrosinase copper-binding
A0A5N5QF97	350	1	PF00264 (Tyrosinase)	—	266-277: Tyrosinase copper-binding
A0A5N5QFD1	349	1	PF00264 (Tyrosinase)	—	81-285: Tyrosinase copper-binding
A0A5N5QIM4	350	1	PF00264 (Tyrosinase)	—	266-277: Tyrosinase copper-binding
A0A5N5QMV8	356	1	PF00264 (Tyrosinase)	—	86-293: Tyrosinase copper-binding
A0A5N5QMX1	354	1	PF00264 (Tyrosinase)	—	85-290: Tyrosinase copper-binding
A0A5N5QN45	354	1	PF00264 (Tyrosinase)	—	88-310: Tyrosinase copper-binding
A0A5N5QN80	350	1	PF00264 (Tyrosinase)	—	266-277: Tyrosinase copper-binding
A0A5N5QSX1	361	2	PF00264 (Tyrosinase)	—	94-111: Tyrosinase copper-binding; 262-273: Tyrosinase copper-binding
A0A5N5X5Y0	391	1	PF00264 (Tyrosinase)	—	314-325: Tyrosinase copper-binding
A0A5N5XA86	689	3	PF00264 (Tyrosinase)	—	95-112: Tyrosinase copper-binding; 414-425: Tyrosinase copper-binding
A0A5N6BWN4	288	1	PF00264 (Tyrosinase)	—	73-240: Tyrosinase copper-binding
A0A5N6D8B2	390	1	PF00264 (Tyrosinase)	—	313-324: Tyrosinase copper-binding
A0A5N6DQ39	318	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding; 236-247: Tyrosinase copper-binding
A0A5N6EDE4	390	1	PF00264 (Tyrosinase)	—	313-324: Tyrosinase copper-binding
A0A5N6FCL6	318	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding; 236-247: Tyrosinase copper-binding
A0A5N6HBU3	0	1	—	—	—
A0A5N6HEF6	0	1	—	—	—
A0A5N6JAD3	390	1	PF00264 (Tyrosinase)	—	313-324: Tyrosinase copper-binding
A0A5N6JER4	318	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding; 236-247: Tyrosinase copper-binding
A0A5N6T9V3	306	1	PF00264 (Tyrosinase)	—	76-93: Tyrosinase copper-binding; 224-235: Tyrosinase copper-binding
A0A5N6U4R0	391	1	PF00264 (Tyrosinase)	—	314-325: Tyrosinase copper-binding
A0A5N6VBI8	318	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding; 236-247: Tyrosinase copper-binding
A0A5N6VBP0	390	1	PF00264 (Tyrosinase)	—	313-324: Tyrosinase copper-binding
A0A5N6W889	318	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding; 236-247: Tyrosinase copper-binding
A0A5N6WAL7	380	1	PF00264 (Tyrosinase)	—	112-129: Tyrosinase copper-binding; 303-314: Tyrosinase copper-binding
A0A5N6X0X6	371	1	PF00264 (Tyrosinase)	—	294-305: Tyrosinase copper-binding
A0A5N6XI36	341	1	PF00264 (Tyrosinase)	—	111-128: Tyrosinase copper-binding; 259-270: Tyrosinase copper-binding
A0A5N6XWQ8	0	1	—	—	—
A0A5N6YJ96	0	1	—	—	—
A0A5N6ZG89	637	3	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	95-112: Tyrosinase copper-binding; 397-408: Tyrosinase copper-binding
A0A5N7ABB3	618	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	104-121: Tyrosinase copper-binding; 347-358: Tyrosinase copper-binding
A0A5N7AN97	371	1	PF00264 (Tyrosinase)	—	294-305: Tyrosinase copper-binding
A0A5N7APG9	318	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding; 236-247: Tyrosinase copper-binding
A0A5N7AYA5	390	1	PF00264 (Tyrosinase)	—	313-324: Tyrosinase copper-binding
A0A5N7B877	318	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding; 236-247: Tyrosinase copper-binding
A0A5N7CI82	0	2	—	—	—
A0A5N7CK52	0	1	—	—	—
A0A5N7DF31	331	1	PF00264 (Tyrosinase)	—	101-118: Tyrosinase copper-binding; 249-260: Tyrosinase copper-binding
A0A5N7DKE9	369	1	PF00264 (Tyrosinase)	—	131-148: Tyrosinase copper-binding; 287-298: Tyrosinase copper-binding
A0A5P2DVP6	0	2	—	—	—
A0A5Q4BX03	680	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	98-115: Tyrosinase copper-binding; 309-320: Tyrosinase copper-binding
A0A5Q4BZL7	480	1	PF00264 (Tyrosinase)	—	216-233: Tyrosinase copper-binding
A0A643BP73	663	2	PF00264 (Tyrosinase)	—	362-379: Tyrosinase copper-binding; 523-534: Tyrosinase copper-binding
A0A654M0W1	288	1	PF00264 (Tyrosinase)	—	56-242: Tyrosinase copper-binding
A0A6A3EYQ9	0	2	—	—	—
A0A6A3FBU7	500	2	PF00264 (Tyrosinase)	—	80-272: Tyrosinase copper-binding
A0A6A3L3S8	0	2	—	—	—
A0A6A3MUA3	494	2	PF00264 (Tyrosinase)	—	211-222: Tyrosinase copper-binding
A0A6A3NDJ9	0	2	—	—	—
A0A6A4E140	533	2	PF00264 (Tyrosinase)	—	250-261: Tyrosinase copper-binding
A0A6A4G489	500	2	PF00264 (Tyrosinase)	—	80-272: Tyrosinase copper-binding
A0A6A4Z4G4	0	2	—	—	—
A0A6A4ZAE7	0	2	—	—	—
A0A6A4ZEX0	0	4	—	—	—
A0A6A4ZGA7	0	2	—	—	—
A0A6A4ZWX8	0	2	—	—	—
A0A6A4ZX03	0	1	—	—	—
A0A6A5ADG0	0	3	—	—	—
A0A6A5AMC3	0	3	—	—	—
A0A6A5S9R3	610	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	122-139: Tyrosinase copper-binding; 315-326: Tyrosinase copper-binding
A0A6A5TLY8	347	1	PF00264 (Tyrosinase)	—	275-286: Tyrosinase copper-binding
A0A6A5U9F7	339	1	PF00264 (Tyrosinase)	—	256-267: Tyrosinase copper-binding
A0A6A5UEY6	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A6A5UP97	406	1	PF00264 (Tyrosinase)	—	323-334: Tyrosinase copper-binding
A0A6A5WAJ2	638	3	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	90-107: Tyrosinase copper-binding; 298-309: Tyrosinase copper-binding
A0A6A5XX45	397	1	PF00264 (Tyrosinase)	—	314-325: Tyrosinase copper-binding
A0A6A5YDP4	604	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	88-331: Tyrosinase copper-binding; 447-567: Tyrosinase C-terminal
A0A6A6C2M9	311	1	PF00264 (Tyrosinase)	—	77-94: Tyrosinase copper-binding
A0A6A6CBF1	317	1	PF00264 (Tyrosinase)	—	85-102: Tyrosinase copper-binding; 244-255: Tyrosinase copper-binding
A0A6A6CER1	372	1	PF00264 (Tyrosinase)	—	106-311: Tyrosinase copper-binding
A0A6A6CMY4	303	1	PF00264 (Tyrosinase)	—	70-87: Tyrosinase copper-binding; 223-234: Tyrosinase copper-binding
A0A6A6EVU5	683	3	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	90-107: Tyrosinase copper-binding; 291-302: Tyrosinase copper-binding
A0A6A6GBI3	329	2	PF00264 (Tyrosinase)	—	91-108: Tyrosinase copper-binding; 252-263: Tyrosinase copper-binding
A0A6A6HHK4	355	1	PF00264 (Tyrosinase)	—	283-294: Tyrosinase copper-binding
A0A6A6IR15	607	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	120-137: Tyrosinase copper-binding; 311-322: Tyrosinase copper-binding
A0A6A6JAY1	287	2	PF00264 (Tyrosinase)	—	58-75: Tyrosinase copper-binding; 215-226: Tyrosinase copper-binding
A0A6A6NPE1	570	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	104-121: Tyrosinase copper-binding; 309-320: Tyrosinase copper-binding
A0A6A6RLB0	264	1	PF00264 (Tyrosinase)	—	233-244: Tyrosinase copper-binding
A0A6A6VF46	320	1	PF00264 (Tyrosinase)	—	90-107: Tyrosinase copper-binding; 247-258: Tyrosinase copper-binding
A0A6A6VU64	346	1	PF00264 (Tyrosinase)	—	126-143: Tyrosinase copper-binding; 280-291: Tyrosinase copper-binding
A0A6A6Z4Q4	678	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	90-107: Tyrosinase copper-binding; 291-302: Tyrosinase copper-binding
A0A6A7AQI4	614	3	PF00264 (Tyrosinase)	—	181-198: Tyrosinase copper-binding; 363-374: Tyrosinase copper-binding
A0A6B9QKL4	392	1	PF00264 (Tyrosinase)	—	238-249: Tyrosinase copper-binding
A0A6G0LHA8	0	2	—	—	—
A0A6G0S364	0	2	—	—	—
A0A6G0X2P4	786	5	PF14295 (PAN_4); PF00264 (Tyrosinase)	PF14295 (PAN_4)	22-91: Apple; 93-165: Apple
A0A6G0XE75	600	3	PF00264 (Tyrosinase)	—	181-198: Tyrosinase copper-binding; 352-363: Tyrosinase copper-binding
A0A6G0XEC3	632	3	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	210-227: Tyrosinase copper-binding; 381-392: Tyrosinase copper-binding
A0A6G0XPY3	457	2	PF00264 (Tyrosinase)	—	73-90: Tyrosinase copper-binding; 241-252: Tyrosinase copper-binding
A0A6G0XR43	641	3	PF00264 (Tyrosinase)	—	133-151: Tyrosinase copper-binding
A0A6G0XRD8	694	2	PF00264 (Tyrosinase)	—	185-203: Tyrosinase copper-binding
A0A6G1GZN1	592	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	115-132: Tyrosinase copper-binding; 301-312: Tyrosinase copper-binding
A0A6G1IEP5	262	1	PF00264 (Tyrosinase)	—	184-195: Tyrosinase copper-binding
A0A6G2BAK0	306	2	PF00264 (Tyrosinase)	—	58-75: Tyrosinase copper-binding; 241-252: Tyrosinase copper-binding
A0A6H0Y3Z6	847	6	PF12108 (SF3a60_bindingd); PF11931 (SF3a60_Prp9_C); PF00264 (Tyrosinase); PF12171 (zf-C2H2_jaz)	PF12108 (SF3a60_bindingd); PF11931 (SF3a60_Prp9_C); PF12171 (zf-C2H2_jaz)	216-238: C2H2-type; 615-632: Tyrosinase copper-binding; 774-785: Tyrosinase copper-binding
A0A6H9UQ49	307	2	PF00264 (Tyrosinase)	—	243-254: Tyrosinase copper-binding
A0A6I6N6T5	288	2	PF00264 (Tyrosinase)	—	55-72: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A6I8QAH5	452	2	PF00264 (Tyrosinase)	—	206-223: Tyrosinase copper-binding; 381-392: Tyrosinase copper-binding
A0A6J3LW51	672	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	101-118: Tyrosinase copper-binding; 327-338: Tyrosinase copper-binding
A0A6J3MCF2	322	1	PF00264 (Tyrosinase)	—	245-256: Tyrosinase copper-binding
A0A6J4TRP8	0	1	—	—	—
A0A6J8A749	464	2	PF00264 (Tyrosinase)	—	157-174: Tyrosinase copper-binding; 295-306: Tyrosinase copper-binding
A0A6J8CCA4	905	3	PF00264 (Tyrosinase)	—	370-387: Tyrosinase copper-binding; 510-521: Tyrosinase copper-binding
A0A6J8CIJ4	991	3	PF00264 (Tyrosinase)	—	113-124: Tyrosinase copper-binding; 654-665: Tyrosinase copper-binding
A0A6J8CKE6	628	2	PF00264 (Tyrosinase)	—	293-304: Tyrosinase copper-binding
A0A6J8D799	794	2	PF00264 (Tyrosinase)	—	129-146: Tyrosinase copper-binding; 271-282: Tyrosinase copper-binding
A0A6J8DAY9	730	2	PF00264 (Tyrosinase)	—	180-197: Tyrosinase copper-binding; 314-325: Tyrosinase copper-binding
A0A6J8DL31	596	2	PF00264 (Tyrosinase)	—	300-311: Tyrosinase copper-binding
A0A6J8E5E4	504	4	PF00264 (Tyrosinase)	—	146-163: Tyrosinase copper-binding; 287-298: Tyrosinase copper-binding
A0A6L6WYS5	305	2	PF00264 (Tyrosinase)	—	241-252: Tyrosinase copper-binding
A0A6M4PSG3	273	1	PF00264 (Tyrosinase)	—	54-71: Tyrosinase copper-binding; 209-220: Tyrosinase copper-binding
A0A6M8NXE9	730	2	PF00264 (Tyrosinase)	—	303-314: Tyrosinase copper-binding
A0A6P0UFZ0	469	3	PF18962 (Por_Secre_tail); PF00264 (Tyrosinase)	PF18962 (Por_Secre_tail)	209-220: Tyrosinase copper-binding
A0A6P8AZF3	337	1	PF00264 (Tyrosinase)	—	89-106: Tyrosinase copper-binding; 261-272: Tyrosinase copper-binding
A0A6P8B4K3	325	1	PF00264 (Tyrosinase)	—	68-271: Tyrosinase copper-binding
A0A6P8HAX5	407	2	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding
A0A6P8HXM1	415	2	PF00264 (Tyrosinase)	—	104-121: Tyrosinase copper-binding
A0A6P8I080	582	1	PF00264 (Tyrosinase)	—	108-125: Tyrosinase copper-binding
A0A6P8I0S2	400	2	PF00264 (Tyrosinase)	—	99-116: Tyrosinase copper-binding
A0A6P8I583	469	2	PF01607 (CBM_14); PF00264 (Tyrosinase)	PF01607 (CBM_14)	342-400: Chitin-binding type-2; 411-469: Chitin-binding type-2
A0A6P8IFD5	564	2	PF00264 (Tyrosinase); PF00092 (VWA)	PF00092 (VWA)	64-238: VWFA
A0A6P8IFJ7	593	2	PF00264 (Tyrosinase); PF00092 (VWA)	PF00092 (VWA)	64-241: VWFA
A0A6P8ITZ4	438	2	PF00264 (Tyrosinase)	—	188-206: Tyrosinase copper-binding
A0A6P8IWU9	570	2	PF00264 (Tyrosinase); PF00092 (VWA)	PF00092 (VWA)	71-243: VWFA
A0A6P8IXP5	335	2	PF00264 (Tyrosinase)	—	124-142: Tyrosinase copper-binding
