accession	pool	length	ndom_chainsaw	pfam_id	pfam_name	env_from	env_to	dom_evalue	description
A0A6A6EVU5	canonical	683	3	PF18132	Tyrosinase_C	519	644	9.5e-37	Tyrosinase C-terminal domain
A0A6A6EYQ9	discarded	516	2	PF00264	Tyrosinase	182	367	2.3e-16	Common central domain of tyrosinase
A0A6A6EYQ9	discarded	516	2	PF18132	Tyrosinase_C	423	516	3.0e-19	Tyrosinase C-terminal domain
A0A6A6F5L3	canonical	345	1	PF00264	Tyrosinase	62	287	3.0e-56	Common central domain of tyrosinase
A0A6A6F6K8	canonical	613	2	PF00264	Tyrosinase	66	313	4.1e-42	Common central domain of tyrosinase
A0A6A6F6K8	canonical	613	2	PF18132	Tyrosinase_C	450	570	1.5e-13	Tyrosinase C-terminal domain
A0A6A6F7N9	canonical	315	1	PF00264	Tyrosinase	44	251	7.1e-40	Common central domain of tyrosinase
A0A6A6FAF8	canonical	370	1	PF00264	Tyrosinase	101	307	1.9e-33	Common central domain of tyrosinase
A0A6A6FAF9	canonical	633	2	PF00264	Tyrosinase	84	346	6.0e-43	Common central domain of tyrosinase
A0A6A6FAF9	canonical	633	2	PF18132	Tyrosinase_C	466	586	2.6e-27	Tyrosinase C-terminal domain
A0A6A6FCC6	canonical	274	2	PF00264	Tyrosinase	29	214	6.4e-39	Common central domain of tyrosinase
A0A6A6FIZ2	canonical	540	2	PF00264	Tyrosinase	20	273	6.3e-44	Common central domain of tyrosinase
A0A6A6FIZ2	canonical	540	2	PF18132	Tyrosinase_C	385	506	4.5e-31	Tyrosinase C-terminal domain
A0A6A6FJM6	canonical	626	2	PF00264	Tyrosinase	1	274	5.2e-40	Common central domain of tyrosinase
A0A6A6FJM6	canonical	626	2	PF18132	Tyrosinase_C	445	571	6.7e-31	Tyrosinase C-terminal domain
A0A6A6FLC5	canonical	415	1	PF00264	Tyrosinase	113	352	4.7e-54	Common central domain of tyrosinase
A0A6A6FQE2	canonical	359	1	PF00264	Tyrosinase	47	280	2.1e-51	Common central domain of tyrosinase
A0A6A6FY46	canonical	296	1	PF00264	Tyrosinase	50	242	9.7e-40	Common central domain of tyrosinase
A0A6A6G5D8	canonical	393	1	PF00264	Tyrosinase	104	336	8.1e-58	Common central domain of tyrosinase
A0A6A6GBI3	canonical	329	2	PF00264	Tyrosinase	73	272	2.8e-42	Common central domain of tyrosinase
A0A6A6GKR1	canonical	390	1	PF00264	Tyrosinase	100	332	8.6e-57	Common central domain of tyrosinase
A0A6A6GQR0	canonical	636	2	PF00264	Tyrosinase	79	345	2.0e-43	Common central domain of tyrosinase
A0A6A6GQR0	canonical	636	2	PF18132	Tyrosinase_C	453	574	8.3e-35	Tyrosinase C-terminal domain
A0A6A6GR42	canonical	394	1	PF00264	Tyrosinase	105	337	6.4e-53	Common central domain of tyrosinase
A0A6A6GXG8	canonical	404	2	PF00264	Tyrosinase	111	344	5.8e-58	Common central domain of tyrosinase
A0A6A6H4U9	noncanonical	316	1	PF00264	Tyrosinase	69	263	3.4e-36	Common central domain of tyrosinase
A0A6A6H9P3	canonical	659	2	PF00264	Tyrosinase	97	363	2.4e-49	Common central domain of tyrosinase
A0A6A6H9P3	canonical	659	2	PF18132	Tyrosinase_C	492	611	4.7e-28	Tyrosinase C-terminal domain
A0A6A6HBJ0	discarded	578	3	PF00264	Tyrosinase	7	220	1.5e-23	Common central domain of tyrosinase
A0A6A6HBJ0	discarded	578	3	PF18132	Tyrosinase_C	422	547	4.0e-28	Tyrosinase C-terminal domain
A0A6A6HHK4	noncanonical	355	1	PF00264	Tyrosinase	111	303	2.8e-36	Common central domain of tyrosinase
A0A6A6HPD6	canonical	651	2	PF00264	Tyrosinase	86	347	2.0e-42	Common central domain of tyrosinase
A0A6A6HPD6	canonical	651	2	PF18132	Tyrosinase_C	491	612	1.1e-32	Tyrosinase C-terminal domain
A0A6A6I429	canonical	581	2	PF00264	Tyrosinase	65	313	1.0e-46	Common central domain of tyrosinase
A0A6A6I429	canonical	581	2	PF18132	Tyrosinase_C	419	540	8.4e-28	Tyrosinase C-terminal domain
A0A6A6I9W4	canonical	392	2	PF00264	Tyrosinase	112	343	1.1e-52	Common central domain of tyrosinase
A0A6A6IAG2	canonical	392	1	PF00264	Tyrosinase	101	334	1.3e-59	Common central domain of tyrosinase
A0A6A6IAN5	canonical	394	1	PF00264	Tyrosinase	106	331	6.5e-52	Common central domain of tyrosinase
A0A6A6IDK5	canonical	372	1	PF00264	Tyrosinase	95	313	1.2e-58	Common central domain of tyrosinase
A0A6A6IDS4	discarded	649	2	PF00264	Tyrosinase	70	328	4.8e-41	Common central domain of tyrosinase
A0A6A6IDS4	discarded	649	2	PF18132	Tyrosinase_C	450	565	2.4e-24	Tyrosinase C-terminal domain
A0A6A6IGR9	canonical	371	1	PF00264	Tyrosinase	67	251	5.3e-37	Common central domain of tyrosinase
A0A6A6IHC2	canonical	329	1	PF00264	Tyrosinase	71	253	1.6e-37	Common central domain of tyrosinase
A0A6A6IP09	canonical	357	2	PF00264	Tyrosinase	67	301	1.8e-47	Common central domain of tyrosinase
A0A6A6IQS2	canonical	712	3	PF00264	Tyrosinase	107	359	1.1e-40	Common central domain of tyrosinase
A0A6A6IQS2	canonical	712	3	PF18132	Tyrosinase_C	467	525	3.0e-04	Tyrosinase C-terminal domain
A0A6A6IQS2	canonical	712	3	PF18132	Tyrosinase_C	518	613	4.4e-17	Tyrosinase C-terminal domain
A0A6A6IQV5	canonical	323	1	PF00264	Tyrosinase	89	271	1.8e-40	Common central domain of tyrosinase
A0A6A6IR15	canonical	607	2	PF00264	Tyrosinase	86	331	1.4e-40	Common central domain of tyrosinase
A0A6A6IR15	canonical	607	2	PF18132	Tyrosinase_C	444	572	1.7e-15	Tyrosinase C-terminal domain
A0A6A6IW08	canonical	418	1	PF00264	Tyrosinase	115	361	1.4e-51	Common central domain of tyrosinase
A0A6A6IXE0	canonical	422	2	PF00264	Tyrosinase	128	362	8.1e-62	Common central domain of tyrosinase
A0A6A6J6X7	canonical	333	2	PF00264	Tyrosinase	60	243	1.1e-33	Common central domain of tyrosinase
A0A6A6J781	canonical	582	2	PF00264	Tyrosinase	77	348	4.4e-44	Common central domain of tyrosinase
A0A6A6J781	canonical	582	2	PF18132	Tyrosinase_C	446	553	1.3e-12	Tyrosinase C-terminal domain
A0A6A6JAY1	noncanonical	287	2	PF00264	Tyrosinase	40	235	3.3e-37	Common central domain of tyrosinase
A0A6A6JCN2	canonical	396	1	PF00264	Tyrosinase	107	338	4.2e-60	Common central domain of tyrosinase
A0A6A6JJV2	canonical	444	2	PF00264	Tyrosinase	107	386	3.5e-42	Common central domain of tyrosinase
A0A6A6JKI9	canonical	392	2	PF00264	Tyrosinase	112	343	1.7e-51	Common central domain of tyrosinase
A0A6A6JMV6	canonical	395	1	PF00264	Tyrosinase	107	332	5.9e-52	Common central domain of tyrosinase
A0A6A6JN94	discarded	592	2	PF00264	Tyrosinase	83	347	4.1e-36	Common central domain of tyrosinase
A0A6A6JN94	discarded	592	2	PF18132	Tyrosinase_C	462	563	2.2e-12	Tyrosinase C-terminal domain
A0A6A6JNJ7	canonical	372	1	PF00264	Tyrosinase	95	314	1.0e-59	Common central domain of tyrosinase
A0A6A6JPR8	canonical	282	1	PF00264	Tyrosinase	47	229	4.4e-41	Common central domain of tyrosinase
A0A6A6JQ96	canonical	774	3	PF00264	Tyrosinase	112	367	3.5e-42	Common central domain of tyrosinase
A0A6A6JQ96	canonical	774	3	PF18132	Tyrosinase_C	527	593	1.3e-04	Tyrosinase C-terminal domain
A0A6A6JQ96	canonical	774	3	PF18132	Tyrosinase_C	566	687	1.7e-13	Tyrosinase C-terminal domain
A0A6A6JR23	canonical	609	2	PF00264	Tyrosinase	93	336	1.6e-41	Common central domain of tyrosinase
A0A6A6JR23	canonical	609	2	PF18132	Tyrosinase_C	442	572	2.1e-11	Tyrosinase C-terminal domain
A0A6A6JT26	canonical	317	1	PF00264	Tyrosinase	67	251	1.6e-36	Common central domain of tyrosinase
A0A6A6JZL4	canonical	402	2	PF00264	Tyrosinase	116	345	1.0e-55	Common central domain of tyrosinase
A0A6A6LPJ9	canonical	600	2	PF00264	Tyrosinase	171	380	7.5e-37	Common central domain of tyrosinase
A0A6A6LPJ9	canonical	600	2	PF12142	PPO1_DWL	386	437	2.3e-26	Polyphenol oxidase middle domain
A0A6A6LPJ9	canonical	600	2	PF12143	PPO1_KFDV	470	597	1.5e-56	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6A6LPK9	discarded	479	2	PF00264	Tyrosinase	134	259	2.1e-16	Common central domain of tyrosinase
A0A6A6LPK9	discarded	479	2	PF12142	PPO1_DWL	265	316	2.2e-27	Polyphenol oxidase middle domain
A0A6A6LPK9	discarded	479	2	PF12143	PPO1_KFDV	349	476	8.8e-58	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6A6LSB5	discarded	274	2	PF00264	Tyrosinase	42	191	1.8e-20	Common central domain of tyrosinase
A0A6A6LSB5	discarded	274	2	PF12142	PPO1_DWL	197	248	5.1e-28	Polyphenol oxidase middle domain
A0A6A6LTM2	discarded	437	2	PF00264	Tyrosinase	63	229	3.0e-16	Common central domain of tyrosinase
A0A6A6LTM2	discarded	437	2	PF12142	PPO1_DWL	223	274	1.0e-27	Polyphenol oxidase middle domain
A0A6A6LTM2	discarded	437	2	PF12143	PPO1_KFDV	307	434	5.4e-55	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6A6LUP7	canonical	592	2	PF00264	Tyrosinase	162	371	5.0e-39	Common central domain of tyrosinase
A0A6A6LUP7	canonical	592	2	PF12142	PPO1_DWL	378	429	2.6e-27	Polyphenol oxidase middle domain
A0A6A6LUP7	canonical	592	2	PF12143	PPO1_KFDV	462	589	2.2e-57	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6A6LVJ3	discarded	392	2	PF00264	Tyrosinase	142	249	6.3e-14	Common central domain of tyrosinase
A0A6A6LVJ3	discarded	392	2	PF12142	PPO1_DWL	255	281	5.0e-08	Polyphenol oxidase middle domain
A0A6A6LVJ3	discarded	392	2	PF12143	PPO1_KFDV	297	389	4.6e-30	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6A6NKK1	canonical	559	2	PF00264	Tyrosinase	161	370	3.6e-37	Common central domain of tyrosinase
A0A6A6NKK1	canonical	559	2	PF12142	PPO1_DWL	376	427	6.0e-27	Polyphenol oxidase middle domain
A0A6A6NKK1	canonical	559	2	PF12143	PPO1_KFDV	427	556	3.4e-44	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A6A6NPE1	canonical	570	2	PF00264	Tyrosinase	72	328	2.6e-40	Common central domain of tyrosinase
A0A6A6NPE1	canonical	570	2	PF18132	Tyrosinase_C	438	553	2.2e-20	Tyrosinase C-terminal domain
A0A6A6NZ05	canonical	398	1	PF00264	Tyrosinase	112	338	1.7e-56	Common central domain of tyrosinase
A0A6A6P305	canonical	396	1	PF00264	Tyrosinase	108	336	5.6e-54	Common central domain of tyrosinase
A0A6A6P320	canonical	380	2	PF00264	Tyrosinase	89	322	3.9e-58	Common central domain of tyrosinase
A0A6A6P8E7	canonical	612	3	PF00264	Tyrosinase	34	293	2.2e-46	Common central domain of tyrosinase
A0A6A6P8E7	canonical	612	3	PF18132	Tyrosinase_C	448	571	1.6e-21	Tyrosinase C-terminal domain
A0A6A6PDQ3	canonical	598	2	PF00264	Tyrosinase	96	343	9.6e-46	Common central domain of tyrosinase
A0A6A6PDQ3	canonical	598	2	PF18132	Tyrosinase_C	447	571	3.3e-19	Tyrosinase C-terminal domain
A0A6A6PJ23	canonical	586	2	PF00264	Tyrosinase	49	314	3.7e-42	Common central domain of tyrosinase
A0A6A6PJ23	canonical	586	2	PF18132	Tyrosinase_C	446	563	1.8e-28	Tyrosinase C-terminal domain
A0A6A6PR78	canonical	550	2	PF00264	Tyrosinase	55	291	4.9e-41	Common central domain of tyrosinase
A0A6A6PR78	canonical	550	2	PF18132	Tyrosinase_C	407	525	6.3e-22	Tyrosinase C-terminal domain
A0A6A6PYD6	canonical	645	2	PF00264	Tyrosinase	64	324	4.0e-46	Common central domain of tyrosinase
A0A6A6PYD6	canonical	645	2	PF18132	Tyrosinase_C	440	556	4.7e-25	Tyrosinase C-terminal domain
A0A6A6Q3X4	canonical	620	2	PF00264	Tyrosinase	87	342	1.1e-43	Common central domain of tyrosinase
A0A6A6Q3X4	canonical	620	2	PF18132	Tyrosinase_C	457	585	4.1e-34	Tyrosinase C-terminal domain
A0A6A6QI61	canonical	333	1	PF00264	Tyrosinase	47	275	6.3e-52	Common central domain of tyrosinase
A0A6A6QIV8	canonical	368	1	PF00264	Tyrosinase	91	306	1.2e-52	Common central domain of tyrosinase
A0A6A6QJA3	canonical	678	2	PF00264	Tyrosinase	56	311	6.5e-50	Common central domain of tyrosinase
A0A6A6QJA3	canonical	678	2	PF18132	Tyrosinase_C	514	639	2.6e-35	Tyrosinase C-terminal domain
A0A6A6QKJ9	canonical	401	1	PF00264	Tyrosinase	121	337	5.6e-52	Common central domain of tyrosinase
A0A6A6QQ52	canonical	393	1	PF00264	Tyrosinase	104	336	6.1e-59	Common central domain of tyrosinase
A0A6A6QUQ7	canonical	601	2	PF00264	Tyrosinase	92	344	9.2e-40	Common central domain of tyrosinase
A0A6A6QUQ7	canonical	601	2	PF18132	Tyrosinase_C	445	567	3.3e-22	Tyrosinase C-terminal domain
A0A6A6QVZ8	discarded	241	2	PF00264	Tyrosinase	5	181	1.5e-23	Common central domain of tyrosinase
A0A6A6R1S1	canonical	629	2	PF00264	Tyrosinase	116	370	1.5e-38	Common central domain of tyrosinase
A0A6A6R1S1	canonical	629	2	PF18132	Tyrosinase_C	479	594	3.7e-11	Tyrosinase C-terminal domain
A0A6A6RBG0	canonical	702	3	PF00264	Tyrosinase	59	368	1.6e-38	Common central domain of tyrosinase
A0A6A6RBG0	canonical	702	3	PF18132	Tyrosinase_C	524	663	7.6e-27	Tyrosinase C-terminal domain
A0A6A6RBJ0	canonical	687	2	PF00264	Tyrosinase	103	363	3.7e-45	Common central domain of tyrosinase
A0A6A6RBJ0	canonical	687	2	PF18132	Tyrosinase_C	470	587	7.9e-25	Tyrosinase C-terminal domain
A0A6A6RFR4	canonical	313	1	PF00264	Tyrosinase	65	260	4.0e-35	Common central domain of tyrosinase
A0A6A6RIC1	canonical	343	1	PF00264	Tyrosinase	67	250	3.0e-33	Common central domain of tyrosinase
A0A6A6RIQ2	canonical	355	1	PF00264	Tyrosinase	95	297	6.4e-54	Common central domain of tyrosinase
A0A6A6RLB0	canonical	264	1	PF00264	Tyrosinase	27	253	2.3e-44	Common central domain of tyrosinase
A0A6A6RPU0	discarded	280	1	PF00264	Tyrosinase	1	217	3.2e-47	Common central domain of tyrosinase
A0A6A6RQ29	canonical	578	2	PF00264	Tyrosinase	81	323	1.5e-39	Common central domain of tyrosinase
A0A6A6RQ29	canonical	578	2	PF18132	Tyrosinase_C	435	547	2.0e-10	Tyrosinase C-terminal domain
A0A6A6RWM4	canonical	647	2	PF00264	Tyrosinase	95	347	5.1e-43	Common central domain of tyrosinase
A0A6A6RWM4	canonical	647	2	PF18132	Tyrosinase_C	465	570	1.7e-12	Tyrosinase C-terminal domain
A0A6A6RY10	canonical	373	2	PF00264	Tyrosinase	93	324	1.9e-52	Common central domain of tyrosinase
A0A6A6S3A1	canonical	792	2	PF00264	Tyrosinase	95	345	1.5e-39	Common central domain of tyrosinase
A0A6A6S3A1	canonical	792	2	PF18132	Tyrosinase_C	614	711	2.9e-16	Tyrosinase C-terminal domain
A0A6A6S676	canonical	413	2	PF00264	Tyrosinase	118	353	2.8e-59	Common central domain of tyrosinase
A0A6A6S6N2	canonical	603	2	PF00264	Tyrosinase	91	355	6.2e-43	Common central domain of tyrosinase
A0A6A6S6N2	canonical	603	2	PF18132	Tyrosinase_C	469	574	5.1e-11	Tyrosinase C-terminal domain
A0A6A6S7G3	canonical	371	1	PF00264	Tyrosinase	97	314	2.0e-50	Common central domain of tyrosinase
A0A6A6S8L1	canonical	718	2	PF00264	Tyrosinase	102	355	3.7e-48	Common central domain of tyrosinase
A0A6A6S8L1	canonical	718	2	PF18132	Tyrosinase_C	463	578	2.8e-24	Tyrosinase C-terminal domain
A0A6A6SBX8	canonical	360	1	PF00264	Tyrosinase	76	303	6.1e-46	Common central domain of tyrosinase
A0A6A6SCR1	canonical	393	1	PF00264	Tyrosinase	102	335	4.9e-58	Common central domain of tyrosinase
A0A6A6SDH1	canonical	286	2	PF00264	Tyrosinase	28	210	1.9e-40	Common central domain of tyrosinase
A0A6A6SGY9	canonical	346	1	PF00264	Tyrosinase	76	291	3.4e-45	Common central domain of tyrosinase
A0A6A6SH51	canonical	295	1	PF00264	Tyrosinase	60	242	2.4e-36	Common central domain of tyrosinase
A0A6A6SVM2	canonical	707	3	PF00264	Tyrosinase	89	344	2.0e-47	Common central domain of tyrosinase
A0A6A6SVM2	canonical	707	3	PF18132	Tyrosinase_C	452	567	3.2e-22	Tyrosinase C-terminal domain
A0A6A6T0I7	canonical	372	1	PF00264	Tyrosinase	95	314	1.1e-58	Common central domain of tyrosinase
A0A6A6T3E4	canonical	298	1	PF00264	Tyrosinase	38	222	4.7e-37	Common central domain of tyrosinase
A0A6A6T8Z8	canonical	353	1	PF00264	Tyrosinase	119	301	3.0e-40	Common central domain of tyrosinase
A0A6A6TBA0	canonical	585	2	PF00264	Tyrosinase	79	343	2.6e-42	Common central domain of tyrosinase
A0A6A6TBA0	canonical	585	2	PF18132	Tyrosinase_C	455	556	3.8e-13	Tyrosinase C-terminal domain
A0A6A6TBX0	canonical	391	2	PF00264	Tyrosinase	111	342	5.1e-53	Common central domain of tyrosinase
A0A6A6TJE9	canonical	376	1	PF00264	Tyrosinase	82	309	1.9e-47	Common central domain of tyrosinase
A0A6A6TPG7	canonical	621	2	PF00264	Tyrosinase	90	338	6.6e-47	Common central domain of tyrosinase
A0A6A6TPG7	canonical	621	2	PF18132	Tyrosinase_C	455	575	1.3e-26	Tyrosinase C-terminal domain
A0A6A6TQ10	canonical	733	2	PF00264	Tyrosinase	108	364	1.9e-41	Common central domain of tyrosinase
A0A6A6TQ10	canonical	733	2	PF18132	Tyrosinase_C	517	615	2.2e-15	Tyrosinase C-terminal domain
A0A6A6TQG5	canonical	390	1	PF00264	Tyrosinase	99	332	6.5e-58	Common central domain of tyrosinase
A0A6A6TSU5	noncanonical	345	1	PF00264	Tyrosinase	34	277	2.0e-23	Common central domain of tyrosinase
A0A6A6TTQ5	canonical	397	1	PF00264	Tyrosinase	107	334	8.1e-53	Common central domain of tyrosinase
A0A6A6TV45	canonical	607	2	PF00264	Tyrosinase	86	335	1.1e-41	Common central domain of tyrosinase
A0A6A6TV45	canonical	607	2	PF18132	Tyrosinase_C	449	570	2.5e-15	Tyrosinase C-terminal domain
A0A6A6TY72	canonical	344	1	PF00264	Tyrosinase	66	285	1.1e-52	Common central domain of tyrosinase
A0A6A6TZ24	canonical	617	2	PF00264	Tyrosinase	87	344	2.8e-46	Common central domain of tyrosinase
A0A6A6TZ24	canonical	617	2	PF18132	Tyrosinase_C	460	576	8.5e-21	Tyrosinase C-terminal domain
A0A6A6TZQ7	canonical	365	1	PF00264	Tyrosinase	69	299	2.1e-41	Common central domain of tyrosinase
A0A6A6U210	canonical	376	1	PF00264	Tyrosinase	80	315	5.5e-43	Common central domain of tyrosinase
A0A6A6U4B6	canonical	400	1	PF00264	Tyrosinase	94	338	1.4e-43	Common central domain of tyrosinase
A0A6A6U8W6	canonical	406	2	PF00264	Tyrosinase	115	348	8.2e-43	Common central domain of tyrosinase
A0A6A6UAE3	canonical	377	1	PF00264	Tyrosinase	74	305	2.1e-41	Common central domain of tyrosinase
A0A6A6UE26	canonical	435	1	PF00264	Tyrosinase	71	320	1.2e-45	Common central domain of tyrosinase
A0A6A6UN72	canonical	265	2	PF00264	Tyrosinase	33	259	4.5e-38	Common central domain of tyrosinase
A0A6A6UW36	canonical	566	2	PF00264	Tyrosinase	70	308	1.8e-40	Common central domain of tyrosinase
A0A6A6UW36	canonical	566	2	PF18132	Tyrosinase_C	419	535	2.4e-06	Tyrosinase C-terminal domain
A0A6A6UY51	canonical	343	2	PF00264	Tyrosinase	71	273	1.0e-44	Common central domain of tyrosinase
A0A6A6UZ41	canonical	349	1	PF00264	Tyrosinase	115	297	7.3e-39	Common central domain of tyrosinase
A0A6A6UZT3	discarded	205	1	PF00264	Tyrosinase	45	204	3.7e-17	Common central domain of tyrosinase
A0A6A6V089	canonical	385	1	PF00264	Tyrosinase	95	326	8.2e-55	Common central domain of tyrosinase
A0A6A6V0K1	canonical	384	1	PF00264	Tyrosinase	98	326	3.8e-60	Common central domain of tyrosinase
A0A6A6V5W2	canonical	300	1	PF00264	Tyrosinase	29	245	1.5e-46	Common central domain of tyrosinase
A0A6A6V5Z2	canonical	391	2	PF00264	Tyrosinase	111	342	5.4e-51	Common central domain of tyrosinase
A0A6A6V958	canonical	346	1	PF00264	Tyrosinase	74	291	1.9e-49	Common central domain of tyrosinase
A0A6A6V9C0	noncanonical	612	2	PF00264	Tyrosinase	96	345	4.4e-47	Common central domain of tyrosinase
A0A6A6V9C0	noncanonical	612	2	PF18132	Tyrosinase_C	456	586	9.1e-20	Tyrosinase C-terminal domain
A0A6A6V9L9	canonical	346	1	PF00264	Tyrosinase	63	289	8.8e-53	Common central domain of tyrosinase
A0A6A6VD71	discarded	347	2	PF00264	Tyrosinase	51	290	5.9e-45	Common central domain of tyrosinase
A0A6A6VF46	noncanonical	320	1	PF00264	Tyrosinase	72	267	2.0e-35	Common central domain of tyrosinase
A0A6A6VF80	canonical	391	1	PF00264	Tyrosinase	105	333	8.4e-59	Common central domain of tyrosinase
A0A6A6VHS6	canonical	404	2	PF00264	Tyrosinase	107	386	1.9e-43	Common central domain of tyrosinase
A0A6A6VI08	canonical	535	2	PF00264	Tyrosinase	87	237	3.8e-21	Common central domain of tyrosinase
A0A6A6VI08	canonical	535	2	PF00264	Tyrosinase	225	303	2.0e-12	Common central domain of tyrosinase
A0A6A6VI08	canonical	535	2	PF18132	Tyrosinase_C	399	506	1.5e-09	Tyrosinase C-terminal domain
A0A6A6VK76	canonical	709	2	PF00264	Tyrosinase	55	268	5.3e-34	Common central domain of tyrosinase
A0A6A6VK76	canonical	709	2	PF18132	Tyrosinase_C	539	665	1.8e-36	Tyrosinase C-terminal domain
A0A6A6VLY7	canonical	587	2	PF00264	Tyrosinase	81	331	1.1e-38	Common central domain of tyrosinase
A0A6A6VLY7	canonical	587	2	PF18132	Tyrosinase_C	465	552	1.0e-06	Tyrosinase C-terminal domain
A0A6A6VMY9	noncanonical	599	2	PF00264	Tyrosinase	86	362	2.1e-37	Common central domain of tyrosinase
A0A6A6VMY9	noncanonical	599	2	PF18132	Tyrosinase_C	466	570	2.2e-07	Tyrosinase C-terminal domain
A0A6A6VN24	canonical	372	1	PF00264	Tyrosinase	95	314	1.5e-59	Common central domain of tyrosinase
A0A6A6VNE3	canonical	411	2	PF00264	Tyrosinase	117	351	4.3e-63	Common central domain of tyrosinase
A0A6A6VQF8	canonical	395	1	PF00264	Tyrosinase	107	332	4.3e-52	Common central domain of tyrosinase
A0A6A6VQH4	canonical	692	2	PF00264	Tyrosinase	106	363	6.5e-40	Common central domain of tyrosinase
A0A6A6VQH4	canonical	692	2	PF18132	Tyrosinase_C	471	607	1.7e-18	Tyrosinase C-terminal domain
A0A6A6VQM8	canonical	303	1	PF00264	Tyrosinase	29	212	3.5e-30	Common central domain of tyrosinase
A0A6A6VU64	noncanonical	346	1	PF00264	Tyrosinase	108	300	8.3e-36	Common central domain of tyrosinase
A0A6A6VVH4	canonical	675	2	PF00264	Tyrosinase	52	331	3.6e-47	Common central domain of tyrosinase
A0A6A6VVH4	canonical	675	2	PF18132	Tyrosinase_C	497	622	1.2e-31	Tyrosinase C-terminal domain
A0A6A6VYK2	canonical	414	2	PF00264	Tyrosinase	122	356	9.8e-60	Common central domain of tyrosinase
A0A6A6VZ00	canonical	382	2	PF00264	Tyrosinase	95	325	3.0e-39	Common central domain of tyrosinase
A0A6A6VZ40	canonical	583	2	PF00264	Tyrosinase	83	334	6.5e-45	Common central domain of tyrosinase
A0A6A6VZ40	canonical	583	2	PF18132	Tyrosinase_C	433	546	8.7e-16	Tyrosinase C-terminal domain
A0A6A6W082	canonical	388	1	PF00264	Tyrosinase	98	330	1.6e-54	Common central domain of tyrosinase
A0A6A6W7X2	canonical	820	3	PF00264	Tyrosinase	60	350	9.1e-46	Common central domain of tyrosinase
A0A6A6W7X2	canonical	820	3	PF18132	Tyrosinase_C	477	611	6.7e-18	Tyrosinase C-terminal domain
A0A6A6W8L4	canonical	706	2	PF00264	Tyrosinase	83	343	5.6e-46	Common central domain of tyrosinase
A0A6A6W8L4	canonical	706	2	PF18132	Tyrosinase_C	512	610	1.9e-14	Tyrosinase C-terminal domain
A0A6A6WC88	canonical	654	2	PF00264	Tyrosinase	57	356	5.5e-41	Common central domain of tyrosinase
A0A6A6WEL2	canonical	589	2	PF00264	Tyrosinase	66	330	1.9e-45	Common central domain of tyrosinase
A0A6A6WEL2	canonical	589	2	PF18132	Tyrosinase_C	431	551	2.4e-31	Tyrosinase C-terminal domain
A0A6A6WGM4	canonical	322	1	PF00264	Tyrosinase	67	264	9.0e-45	Common central domain of tyrosinase
A0A6A6WID7	canonical	343	1	PF00264	Tyrosinase	75	292	3.3e-48	Common central domain of tyrosinase
A0A6A6WLA0	canonical	595	2	PF00264	Tyrosinase	80	325	3.4e-46	Common central domain of tyrosinase
A0A6A6WLA0	canonical	595	2	PF18132	Tyrosinase_C	450	561	2.4e-20	Tyrosinase C-terminal domain
A0A6A6WR08	canonical	362	1	PF00264	Tyrosinase	85	304	1.5e-57	Common central domain of tyrosinase
A0A6A6WRF1	canonical	391	1	PF00264	Tyrosinase	100	333	1.3e-62	Common central domain of tyrosinase
A0A6A6WW42	canonical	281	1	PF00264	Tyrosinase	15	203	8.4e-35	Common central domain of tyrosinase
A0A6A6WXQ7	canonical	397	1	PF00264	Tyrosinase	107	334	3.3e-52	Common central domain of tyrosinase
A0A6A6WZP5	canonical	597	2	PF00264	Tyrosinase	75	338	5.7e-42	Common central domain of tyrosinase
A0A6A6WZP5	canonical	597	2	PF18132	Tyrosinase_C	450	568	2.1e-14	Tyrosinase C-terminal domain
A0A6A6X2A2	canonical	687	2	PF00264	Tyrosinase	55	312	2.4e-50	Common central domain of tyrosinase
A0A6A6X2A2	canonical	687	2	PF18132	Tyrosinase_C	521	648	1.9e-35	Tyrosinase C-terminal domain
A0A6A6X7P0	canonical	357	2	PF00264	Tyrosinase	67	301	2.6e-48	Common central domain of tyrosinase
A0A6A6X7P3	canonical	256	1	PF00264	Tyrosinase	67	251	5.9e-38	Common central domain of tyrosinase
A0A6A6X999	canonical	603	2	PF00264	Tyrosinase	85	332	1.2e-39	Common central domain of tyrosinase
A0A6A6X999	canonical	603	2	PF18132	Tyrosinase_C	445	569	2.3e-15	Tyrosinase C-terminal domain
A0A6A6XB01	canonical	715	2	PF00264	Tyrosinase	105	361	1.8e-44	Common central domain of tyrosinase
A0A6A6XB01	canonical	715	2	PF18132	Tyrosinase_C	466	608	3.5e-20	Tyrosinase C-terminal domain
A0A6A6XFI0	canonical	350	1	PF00264	Tyrosinase	52	293	7.0e-46	Common central domain of tyrosinase
A0A6A6XJN7	canonical	589	2	PF00264	Tyrosinase	89	346	8.9e-41	Common central domain of tyrosinase
A0A6A6XJN7	canonical	589	2	PF18132	Tyrosinase_C	453	559	2.8e-19	Tyrosinase C-terminal domain
A0A6A6XLB1	canonical	281	1	PF00264	Tyrosinase	47	229	1.1e-40	Common central domain of tyrosinase
