accession	pool	length	ndom_chainsaw	n_pfam_domains	architecture	extra_domains	extra_pfam_ids
A0A2A5KJE3	canonical	503	2	1	Tyrosinase(70-255)	none	none
A0A2A6B3L8	canonical	710	3	3	Tyrosinase(165-355) | ShK(491-526) | ShK(536-571)	ShK(491-526) | ShK(536-571)	PF01549
A0A2A6BIE1	canonical	840	5	3	Tyrosinase(336-527) | ShK(703-738) | ShK(747-783)	ShK(703-738) | ShK(747-783)	PF01549
A0A2A6BQG6	canonical	587	3	3	Tyrosinase(117-308) | ShK(492-527) | ShK(536-571)	ShK(492-527) | ShK(536-571)	PF01549
A0A2A6BT42	canonical	905	3	1	Tyrosinase(524-726)	none	none
A0A2A6C0P8	canonical	692	4	4	Tyrosinase(134-322) | ShK(459-494) | ShK(504-539) | ShK(569-604)	ShK(459-494) | ShK(504-539) | ShK(569-604)	PF01549
A0A2A6C3B5	discarded	704	3	3	Tyrosinase(43-283) | ShK(397-427) | Tyrosinase(576-693)	ShK(397-427)	PF01549
A0A2A6C452	canonical	710	4	3	Tyrosinase(139-329) | ShK(468-503) | ShK(513-548)	ShK(468-503) | ShK(513-548)	PF01549
A0A2A6CJW1	canonical	499	2	1	Tyrosinase(154-347)	none	none
A0A2A6J2U9	canonical	503	2	1	Tyrosinase(70-255)	none	none
A0A2A7N7N2	canonical	546	3	3	Hemopexin(19-64) | Tyrosinase(116-317) | DUF7868(385-518)	Hemopexin(19-64) | DUF7868(385-518)	PF00045;PF25271
A0A2A7SC70	canonical	549	2	1	Tyrosinase(64-336)	none	none
A0A2A9NYK6	discarded	486	2	2	Tyrosinase(12-244) | Tyrosinase_C(347-454)	none	none
A0A2A9P2X5	canonical	599	2	2	Tyrosinase(93-346) | Tyrosinase_C(460-573)	none	none
A0A2A9PFR7	canonical	539	2	1	Tyrosinase(74-319)	none	none
A0A2A9PJA7	canonical	377	2	1	Tyrosinase(96-320)	none	none
A0A2A9PJB5	canonical	752	2	1	Tyrosinase(70-319)	none	none
A0A2A9PND3	canonical	536	2	1	Tyrosinase(73-308)	none	none
A0A2A9PRJ6	canonical	579	2	1	Tyrosinase(89-380)	none	none
A0A2A9PSU3	canonical	535	2	1	Tyrosinase(71-308)	none	none
A0A2B4R7J8	canonical	525	2	1	Tyrosinase(181-421)	none	none
A0A2B4RIN6	canonical	367	2	1	Tyrosinase(1-180)	none	none
A0A2B4RKW6	canonical	487	1	1	Tyrosinase(159-342)	none	none
A0A2B4RN75	canonical	405	2	1	Tyrosinase(80-263)	none	none
A0A2B4RNC9	canonical	302	2	1	Tyrosinase(23-203)	none	none
A0A2B4RPF7	canonical	477	2	1	Tyrosinase(177-364)	none	none
A0A2B4RQ59	canonical	955	5	11	TSP1_spondin(143-195) | TSP_1(145-195) | TSP1_spondin(200-253) | TSP1_ADAMTS(201-253) | TSP_1(202-253) | TSP1_CFP_C(255-292) | TSP1_spondin(258-310) | TSP_1(260-310) | Tyrosinase(369-561) | Lectin_C(715-829) | Lectin_C(833-953)	TSP1_spondin(143-195) | TSP_1(145-195) | TSP1_spondin(200-253) | TSP1_ADAMTS(201-253) | TSP_1(202-253) | TSP1_CFP_C(255-292) | TSP1_spondin(258-310) | TSP_1(260-310) | Lectin_C(715-829) | Lectin_C(833-953)	PF00059;PF00090;PF19028;PF19030;PF22195
A0A2B4RQQ5	canonical	397	1	1	Tyrosinase(114-305)	none	none
A0A2B4S3Z0	discarded	292	1	1	Tyrosinase(1-149)	none	none
A0A2B4SFS2	canonical	308	2	1	Tyrosinase(9-205)	none	none
A0A2B4SG55	canonical	223	2	1	Tyrosinase(25-215)	none	none
A0A2B4SQ19	canonical	522	2	1	Tyrosinase(186-414)	none	none
A0A2B4STS7	canonical	327	1	1	Tyrosinase(96-285)	none	none
A0A2B7WG80	discarded	426	2	1	Tyrosinase(121-369)	none	none
A0A2B7WHR8	canonical	364	1	1	Tyrosinase(120-306)	none	none
A0A2B7WKZ8	discarded	808	3	2	Tyrosinase(123-352) | Tyrosinase_C(480-607)	none	none
A0A2B7WN75	canonical	748	3	2	Tyrosinase(53-375) | Tyrosinase_C(492-623)	none	none
A0A2B7WWK3	canonical	384	1	1	Tyrosinase(97-327)	none	none
A0A2B7WX14	canonical	367	1	1	Tyrosinase(90-305)	none	none
A0A2B7WZX3	canonical	326	1	1	Tyrosinase(62-246)	none	none
A0A2B7X0H1	canonical	437	1	1	Tyrosinase(139-380)	none	none
A0A2B7X1D4	noncanonical	644	2	2	Tyrosinase(72-315) | Tyrosinase_C(473-599)	none	none
A0A2B7X3E4	canonical	360	1	1	Tyrosinase(116-302)	none	none
A0A2B7X5B2	canonical	800	3	3	Tyrosinase(73-346) | Tyrosinase_C(462-589) | Gal-bind_lectin(654-772)	Gal-bind_lectin(654-772)	PF00337
A0A2B7X6I9	canonical	806	3	2	Tyrosinase(60-346) | Tyrosinase_C(460-590)	none	none
A0A2B7XQF2	canonical	929	4	3	Tyrosinase(186-470) | Tyrosinase_C(593-721) | Gal-bind_lectin(781-900)	Gal-bind_lectin(781-900)	PF00337
A0A2B7XVW2	canonical	817	3	3	Tyrosinase(74-363) | Tyrosinase_C(479-606) | Gal-bind_lectin(683-802)	Gal-bind_lectin(683-802)	PF00337
A0A2B7XWW1	canonical	331	1	1	Tyrosinase(62-246)	none	none
A0A2B7XYY6	canonical	375	1	1	Tyrosinase(130-317)	none	none
A0A2B7XZH1	canonical	375	1	1	Tyrosinase(93-319)	none	none
A0A2B7Y0Z4	canonical	314	1	1	Tyrosinase(32-257)	none	none
A0A2B7Y1Z4	discarded	832	2	2	Tyrosinase(55-343) | Tyrosinase_C(676-800)	none	none
A0A2B7Y2D7	canonical	644	2	2	Tyrosinase(74-317) | Tyrosinase_C(474-600)	none	none
A0A2B7Y3U7	canonical	362	1	1	Tyrosinase(87-300)	none	none
A0A2B7Y571	canonical	279	2	1	Tyrosinase(23-207)	none	none
A0A2B7YAT8	canonical	638	2	2	Tyrosinase(76-319) | Tyrosinase_C(471-597)	none	none
A0A2B7YCJ2	canonical	380	2	1	Tyrosinase(97-323)	none	none
A0A2B7YDC2	canonical	747	4	2	Tyrosinase(53-373) | Tyrosinase_C(490-623)	none	none
A0A2B7YF50	discarded	389	2	1	Tyrosinase(164-332)	none	none
A0A2B7YQX0	canonical	352	1	1	Tyrosinase(50-295)	none	none
A0A2B7YR81	discarded	270	1	1	Tyrosinase(123-269)	none	none
A0A2B7Z651	canonical	643	2	2	Tyrosinase(72-315) | Tyrosinase_C(470-595)	none	none
A0A2B7ZAM7	canonical	360	1	1	Tyrosinase(116-302)	none	none
A0A2B7ZD97	canonical	816	3	3	Tyrosinase(73-362) | Tyrosinase_C(478-605) | Gal-bind_lectin(668-797)	Gal-bind_lectin(668-797)	PF00337
A0A2B7ZFZ8	canonical	325	1	1	Tyrosinase(62-246)	none	none
A0A2B7ZKP4	canonical	800	3	2	Tyrosinase(60-346) | Tyrosinase_C(460-590)	none	none
A0A2B7ZS17	canonical	439	2	1	Tyrosinase(139-382)	none	none
A0A2B7ZTN1	canonical	750	4	2	Tyrosinase(53-376) | Tyrosinase_C(493-626)	none	none
A0A2B8BFB1	canonical	531	2	1	Tyrosinase(52-324)	none	none
A0A2C5X0B9	canonical	591	2	1	Tyrosinase(73-316)	none	none
A0A2C5XK77	canonical	651	2	2	Tyrosinase(99-355) | Tyrosinase_C(504-620)	none	none
A0A2C5XL89	canonical	526	2	1	Tyrosinase(72-309)	none	none
A0A2C5XTP8	canonical	542	2	1	Tyrosinase(70-311)	none	none
A0A2C5Y901	canonical	625	2	2	Tyrosinase(93-351) | Tyrosinase_C(481-597)	none	none
A0A2C5YA96	canonical	380	2	1	Tyrosinase(69-304)	none	none
A0A2C5YDY5	canonical	544	2	1	Tyrosinase(73-315)	none	none
A0A2C5YFN0	canonical	591	2	2	Tyrosinase(89-347) | Tyrosinase_C(454-565)	none	none
A0A2C5YKI6	canonical	953	4	3	Tyrosinase(96-388) | ThiF(561-803) | Rhodanese(841-945)	ThiF(561-803) | Rhodanese(841-945)	PF00581;PF00899
A0A2C5YLV5	canonical	629	2	2	Tyrosinase(93-351) | Tyrosinase_C(485-601)	none	none
A0A2C5YSY6	canonical	373	2	1	Tyrosinase(92-316)	none	none
A0A2C5ZBU4	canonical	544	2	1	Tyrosinase(76-317)	none	none
A0A2C5ZDY8	canonical	547	2	1	Tyrosinase(75-316)	none	none
A0A2C5ZER1	canonical	481	2	2	Tyrosinase(9-250) | Tyrosinase_C(351-447)	none	none
A0A2C5ZGV6	discarded	741	2	1	Tyrosinase(70-297)	none	none
A0A2C5ZMG7	canonical	535	2	1	Tyrosinase(71-308)	none	none
A0A2C9JDT0	canonical	635	2	1	Tyrosinase(131-310)	none	none
A0A2C9K9Y0	discarded	266	1	1	Tyrosinase(146-264)	none	none
A0A2C9KDF9	canonical	766	3	1	Tyrosinase(136-316)	none	none
A0A2C9KDI8	canonical	622	3	1	Tyrosinase(1-173)	none	none
A0A2C9KDQ8	noncanonical	373	2	1	Tyrosinase(26-205)	none	none
A0A2C9L419	canonical	644	2	1	Tyrosinase(134-313)	none	none
A0A2C9LDT0	discarded	603	2	1	Tyrosinase(149-297)	none	none
A0A2C9LE33	discarded	263	2	2	Tyrosinase(4-77) | Haemocyan_bet_s(149-257)	Haemocyan_bet_s(149-257)	PF14830
A0A2C9LHZ0	canonical	493	1	1	Tyrosinase(134-314)	none	none
A0A2C9LTK6	discarded	275	2	1	Tyrosinase(139-274)	none	none
A0A2C9M2G0	discarded	182	1	1	Tyrosinase(1-65)	none	none
A0A2C9U520	canonical	587	2	3	Tyrosinase(157-366) | PPO1_DWL(373-424) | PPO1_KFDV(457-584)	PPO1_DWL(373-424) | PPO1_KFDV(457-584)	PF12142;PF12143
A0A2D0N956	canonical	396	2	1	Tyrosinase(73-337)	none	none
A0A2D0NGI4	canonical	489	2	2	Tyrosinase(57-244) | Por_Secre_tail(406-488)	Por_Secre_tail(406-488)	PF18962
A0A2D0QFY2	canonical	526	1	1	Tyrosinase(173-408)	none	none
A0A2D0SW34	canonical	566	2	1	Tyrosinase(200-434)	none	none
A0A2D0VJP4	discarded	193	1	1	Tyrosinase(126-193)	none	none
A0A2D0VJP9	discarded	193	1	1	Tyrosinase(126-193)	none	none
A0A2D2AU21	canonical	496	2	2	Tyrosinase(64-167) | Tyrosinase(140-242)	none	none
A0A2D2AXZ0	canonical	477	2	2	Tyrosinase(65-194) | Tyrosinase(171-268)	none	none
A0A2D3UP66	canonical	617	2	2	Tyrosinase(94-347) | Tyrosinase_C(458-583)	none	none
A0A2D3URD8	canonical	406	1	1	Tyrosinase(106-347)	none	none
A0A2D3USA2	canonical	393	1	1	Tyrosinase(109-335)	none	none
A0A2D3UTW4	canonical	297	1	1	Tyrosinase(37-222)	none	none
A0A2D3UVV1	discarded	215	1	1	Tyrosinase(2-163)	none	none
A0A2D3UWI9	canonical	399	1	1	Tyrosinase(106-335)	none	none
A0A2D3UX83	canonical	622	2	2	Tyrosinase(74-332) | Tyrosinase_C(450-575)	none	none
A0A2D3V5Q1	canonical	303	1	1	Tyrosinase(33-239)	none	none
A0A2D3V8K9	canonical	352	1	1	Tyrosinase(94-289)	none	none
A0A2D3V8Z0	canonical	398	2	1	Tyrosinase(100-337)	none	none
A0A2D3V9U3	canonical	328	1	1	Tyrosinase(38-270)	none	none
A0A2D3VCR1	discarded	160	1	1	Tyrosinase(104-160)	none	none
A0A2D3VEC3	canonical	622	2	2	Tyrosinase(77-337) | Tyrosinase_C(456-574)	none	none
A0A2D3VIH6	canonical	635	2	2	Tyrosinase(82-343) | Tyrosinase_C(471-589)	none	none
A0A2D3VL88	canonical	291	1	1	Tyrosinase(32-229)	none	none
A0A2G2W2T9	canonical	626	2	3	Tyrosinase(191-405) | PPO1_DWL(411-462) | PPO1_KFDV(483-623)	PPO1_DWL(411-462) | PPO1_KFDV(483-623)	PF12142;PF12143
A0A2G2XEY0	canonical	616	2	3	Tyrosinase(186-394) | PPO1_DWL(400-451) | PPO1_KFDV(484-614)	PPO1_DWL(400-451) | PPO1_KFDV(484-614)	PF12142;PF12143
A0A2G2XHP8	canonical	620	2	3	Tyrosinase(190-403) | PPO1_DWL(409-460) | PPO1_KFDV(481-617)	PPO1_DWL(409-460) | PPO1_KFDV(481-617)	PF12142;PF12143
A0A2G2XM25	canonical	360	1	2	PPO1_KFDV(36-103) | Tyrosinase(133-340)	PPO1_KFDV(36-103)	PF12143
A0A2G2XM38	canonical	595	2	3	Tyrosinase(170-383) | PPO1_DWL(389-440) | PPO1_KFDV(460-592)	PPO1_DWL(389-440) | PPO1_KFDV(460-592)	PF12142;PF12143
A0A2G2XM40	canonical	584	2	3	Tyrosinase(166-373) | PPO1_DWL(379-430) | PPO1_KFDV(450-581)	PPO1_DWL(379-430) | PPO1_KFDV(450-581)	PF12142;PF12143
A0A2G2XMF4	canonical	594	2	3	Tyrosinase(168-382) | PPO1_DWL(388-439) | PPO1_KFDV(459-591)	PPO1_DWL(388-439) | PPO1_KFDV(459-591)	PF12142;PF12143
A0A2G2XMG1	canonical	598	2	3	Tyrosinase(170-387) | PPO1_DWL(394-445) | PPO1_KFDV(465-595)	PPO1_DWL(394-445) | PPO1_KFDV(465-595)	PF12142;PF12143
A0A2G2XMI6	canonical	450	2	4	Tyrosinase(111-214) | Tyrosinase(193-301) | PPO1_DWL(307-354) | PPO1_KFDV(324-447)	PPO1_DWL(307-354) | PPO1_KFDV(324-447)	PF12142;PF12143
A0A2G3A8M1	canonical	616	2	3	Tyrosinase(186-394) | PPO1_DWL(400-451) | PPO1_KFDV(484-614)	PPO1_DWL(400-451) | PPO1_KFDV(484-614)	PF12142;PF12143
A0A2G3ABT2	canonical	617	2	3	Tyrosinase(187-400) | PPO1_DWL(406-457) | PPO1_KFDV(478-614)	PPO1_DWL(406-457) | PPO1_KFDV(478-614)	PF12142;PF12143
A0A2G3AGB1	canonical	484	2	3	Tyrosinase(69-284) | PPO1_DWL(290-341) | PPO1_KFDV(360-481)	PPO1_DWL(290-341) | PPO1_KFDV(360-481)	PF12142;PF12143
A0A2G3AGB2	canonical	594	2	3	Tyrosinase(168-382) | PPO1_DWL(388-439) | PPO1_KFDV(459-591)	PPO1_DWL(388-439) | PPO1_KFDV(459-591)	PF12142;PF12143
A0A2G3AGC2	discarded	519	2	3	Tyrosinase(132-307) | PPO1_DWL(313-364) | PPO1_KFDV(384-516)	PPO1_DWL(313-364) | PPO1_KFDV(384-516)	PF12142;PF12143
A0A2G3AGD1	discarded	280	2	4	Tyrosinase(16-88) | PPO1_DWL(94-145) | PPO1_KFDV(166-215) | PPO1_KFDV(213-265)	PPO1_DWL(94-145) | PPO1_KFDV(166-215) | PPO1_KFDV(213-265)	PF12142;PF12143
A0A2G3AGD2	canonical	584	2	3	Tyrosinase(166-373) | PPO1_DWL(379-430) | PPO1_KFDV(450-581)	PPO1_DWL(379-430) | PPO1_KFDV(450-581)	PF12142;PF12143
A0A2G3AGE4	discarded	238	1	1	Tyrosinase(124-234)	none	none
A0A2G3AGJ6	canonical	572	2	4	Tyrosinase(170-282) | Tyrosinase(247-361) | PPO1_DWL(368-419) | PPO1_KFDV(439-569)	PPO1_DWL(368-419) | PPO1_KFDV(439-569)	PF12142;PF12143
A0A2G3AP27	canonical	613	2	3	Tyrosinase(178-392) | PPO1_DWL(398-449) | PPO1_KFDV(470-610)	PPO1_DWL(398-449) | PPO1_KFDV(470-610)	PF12142;PF12143
A0A2G5BCT7	canonical	397	2	1	Tyrosinase(56-233)	none	none
A0A2G5BCT9	canonical	412	2	1	Tyrosinase(38-234)	none	none
A0A2G5BCU3	canonical	383	2	1	Tyrosinase(59-239)	none	none
A0A2G5BD05	discarded	139	1	1	Tyrosinase(2-130)	none	none
A0A2G5BDP2	canonical	548	3	1	Tyrosinase(53-233)	none	none
A0A2G5BJJ6	canonical	583	3	1	Tyrosinase(51-230)	none	none
A0A2G5BJJ9	canonical	181	1	1	Tyrosinase(1-171)	none	none
A0A2G5BJN3	canonical	427	2	1	Tyrosinase(53-242)	none	none
A0A2G5C0J9	canonical	500	2	3	Tyrosinase(75-284) | PPO1_DWL(290-341) | PPO1_KFDV(368-495)	PPO1_DWL(290-341) | PPO1_KFDV(368-495)	PF12142;PF12143
A0A2G5CHA6	canonical	560	2	2	Tyrosinase(161-370) | PPO1_KFDV(428-555)	PPO1_KFDV(428-555)	PF12143
A0A2G5CHB1	canonical	431	1	2	Tyrosinase(161-370) | PPO1_DWL(376-406)	PPO1_DWL(376-406)	PF12142
A0A2G5CHC6	canonical	587	2	3	Tyrosinase(164-373) | PPO1_DWL(379-430) | PPO1_KFDV(458-585)	PPO1_DWL(379-430) | PPO1_KFDV(458-585)	PF12142;PF12143
A0A2G5CHD7	canonical	586	2	3	Tyrosinase(161-370) | PPO1_DWL(376-427) | PPO1_KFDV(454-581)	PPO1_DWL(376-427) | PPO1_KFDV(454-581)	PF12142;PF12143
A0A2G5CHD9	canonical	500	2	3	Tyrosinase(75-284) | PPO1_DWL(290-341) | PPO1_KFDV(368-495)	PPO1_DWL(290-341) | PPO1_KFDV(368-495)	PF12142;PF12143
A0A2G5D3X8	canonical	593	2	3	Tyrosinase(164-372) | PPO1_DWL(378-429) | PPO1_KFDV(459-591)	PPO1_DWL(378-429) | PPO1_KFDV(459-591)	PF12142;PF12143
A0A2G5D3X9	canonical	466	1	2	Tyrosinase(164-372) | PPO1_DWL(378-429)	PPO1_DWL(378-429)	PF12142
A0A2G5D408	canonical	489	2	3	Tyrosinase(60-268) | PPO1_DWL(274-325) | PPO1_KFDV(355-487)	PPO1_DWL(274-325) | PPO1_KFDV(355-487)	PF12142;PF12143
A0A2G5DWL0	canonical	587	2	3	Tyrosinase(158-366) | PPO1_DWL(372-423) | PPO1_KFDV(453-585)	PPO1_DWL(372-423) | PPO1_KFDV(453-585)	PF12142;PF12143
A0A2G5DX59	canonical	605	2	3	Tyrosinase(175-384) | PPO1_DWL(390-441) | PPO1_KFDV(471-603)	PPO1_DWL(390-441) | PPO1_KFDV(471-603)	PF12142;PF12143
A0A2G5EJL9	canonical	584	3	3	Tyrosinase(149-355) | PPO1_DWL(361-412) | PPO1_KFDV(447-582)	PPO1_DWL(361-412) | PPO1_KFDV(447-582)	PF12142;PF12143
A0A2G5EY05	canonical	593	2	3	Tyrosinase(165-377) | PPO1_DWL(384-435) | PPO1_KFDV(461-586)	PPO1_DWL(384-435) | PPO1_KFDV(461-586)	PF12142;PF12143
A0A2G5H7T6	canonical	435	1	1	Tyrosinase(122-355)	none	none
A0A2G5HJW8	canonical	446	2	1	Tyrosinase(147-384)	none	none
A0A2G5HLZ7	canonical	386	1	1	Tyrosinase(127-336)	none	none
A0A2G5HMB1	canonical	371	1	1	Tyrosinase(101-308)	none	none
A0A2G5HME4	canonical	633	2	2	Tyrosinase(86-348) | Tyrosinase_C(466-586)	none	none
A0A2G5HTG4	canonical	828	2	2	Tyrosinase(94-351) | Tyrosinase_C(556-671)	none	none
A0A2G5HTJ1	canonical	612	2	2	Tyrosinase(92-345) | Tyrosinase_C(457-578)	none	none
A0A2G5HUW4	discarded	317	3	1	Tyrosinase(15-258)	none	none
A0A2G5HVL9	canonical	697	2	2	Tyrosinase(56-343) | Tyrosinase_C(516-642)	none	none
A0A2G5HZD7	canonical	388	1	1	Tyrosinase(117-324)	none	none
A0A2G5HZV8	canonical	625	2	2	Tyrosinase(66-312) | Tyrosinase_C(446-566)	none	none
A0A2G5I0E2	canonical	334	1	1	Tyrosinase(73-258)	none	none
A0A2G5I1Q0	canonical	248	1	1	Tyrosinase(1-191)	none	none
A0A2G5I5D8	canonical	392	1	1	Tyrosinase(109-334)	none	none
A0A2G5ICH2	canonical	412	1	1	Tyrosinase(110-349)	none	none
A0A2G5U285	canonical	751	4	1	Tyrosinase(131-317)	none	none
A0A2G5U340	canonical	754	4	1	Tyrosinase(134-320)	none	none
A0A2G5UKA1	canonical	656	3	3	Tyrosinase(194-385) | ShK(534-569) | ShK(577-612)	ShK(534-569) | ShK(577-612)	PF01549
A0A2G5UKC2	canonical	603	3	3	Tyrosinase(141-332) | ShK(481-516) | ShK(524-559)	ShK(481-516) | ShK(524-559)	PF01549
A0A2G5UKD5	canonical	619	3	3	Tyrosinase(157-348) | ShK(497-532) | ShK(540-575)	ShK(497-532) | ShK(540-575)	PF01549
A0A2G5UT89	canonical	679	3	3	Tyrosinase(176-378) | ShK(543-578) | ShK(587-623)	ShK(543-578) | ShK(587-623)	PF01549
A0A2G5VEH5	canonical	761	4	5	Tyrosinase(143-331) | ShK(468-503) | ShK(512-547) | ShK(578-613) | ShK(622-656)	ShK(468-503) | ShK(512-547) | ShK(578-613) | ShK(622-656)	PF01549
A0A2G5VEY2	canonical	754	4	5	Tyrosinase(136-324) | ShK(461-496) | ShK(505-540) | ShK(571-606) | ShK(615-649)	ShK(461-496) | ShK(505-540) | ShK(571-606) | ShK(615-649)	PF01549
A0A2G5VH62	canonical	652	4	5	Tyrosinase(133-322) | ShK(457-492) | ShK(501-536) | ShK(572-607) | ShK(615-649)	ShK(457-492) | ShK(501-536) | ShK(572-607) | ShK(615-649)	PF01549
A0A2G5VHB5	canonical	643	4	5	Tyrosinase(133-313) | ShK(448-483) | ShK(492-527) | ShK(563-598) | ShK(606-640)	ShK(448-483) | ShK(492-527) | ShK(563-598) | ShK(606-640)	PF01549
A0A2G5VHR3	canonical	653	4	5	Tyrosinase(133-323) | ShK(458-493) | ShK(502-537) | ShK(573-608) | ShK(616-650)	ShK(458-493) | ShK(502-537) | ShK(573-608) | ShK(616-650)	PF01549
A0A2G5VWB7	canonical	474	2	1	Tyrosinase(135-336)	none	none
A0A2G7FK12	canonical	606	3	2	Tyrosinase(57-379) | Tyrosinase_C(461-556)	none	none
A0A2G7FKJ2	discarded	380	2	1	Tyrosinase(117-347)	none	none
A0A2G7FKV0	canonical	592	2	1	Tyrosinase(41-346)	none	none
A0A2G7FQL5	canonical	416	1	1	Tyrosinase(133-359)	none	none
A0A2G7FTM7	canonical	737	2	3	MFS_1(63-415) | Sugar_tr(277-413) | Tyrosinase(451-680)	MFS_1(63-415) | Sugar_tr(277-413)	PF00083;PF07690
A0A2G7FYG7	canonical	828	3	3	Sugar_tr(64-331) | MFS_1(74-469) | Tyrosinase(544-771)	Sugar_tr(64-331) | MFS_1(74-469)	PF00083;PF07690
A0A2G7G703	canonical	341	1	1	Tyrosinase(88-279)	none	none
A0A2G7G7G7	canonical	387	1	1	Tyrosinase(97-325)	none	none
A0A2G7GBJ2	canonical	359	1	1	Tyrosinase(111-306)	none	none
A0A2G8L6J4	noncanonical	809	4	3	VWC(290-346) | Kunitz_BPTI(371-423) | Tyrosinase(560-734)	VWC(290-346) | Kunitz_BPTI(371-423)	PF00014;PF00093
A0A2G8RMK1	canonical	567	2	2	Tyrosinase(57-306) | Tyrosinase_C(423-545)	none	none
A0A2G8RML5	canonical	608	2	2	Tyrosinase(76-324) | Tyrosinase_C(449-569)	none	none
A0A2G8SRB1	canonical	364	2	1	Tyrosinase(80-298)	none	none
A0A2G8SXT1	canonical	490	2	2	Tyrosinase(37-158) | Tyrosinase(134-219)	none	none
A0A2G8SYB0	canonical	513	2	2	Tyrosinase(93-200) | Tyrosinase(175-260)	none	none
A0A2G8T113	discarded	393	2	1	Tyrosinase(43-116)	none	none
A0A2G9FYD6	discarded	239	2	3	Tyrosinase(1-30) | PPO1_DWL(38-89) | PPO1_KFDV(111-237)	PPO1_DWL(38-89) | PPO1_KFDV(111-237)	PF12142;PF12143
A0A2G9G0D2	canonical	546	2	3	Tyrosinase(141-350) | PPO1_DWL(357-408) | PPO1_KFDV(430-543)	PPO1_DWL(357-408) | PPO1_KFDV(430-543)	PF12142;PF12143
A0A2G9G277	discarded	497	2	3	Tyrosinase(119-310) | PPO1_DWL(316-366) | PPO1_KFDV(368-486)	PPO1_DWL(316-366) | PPO1_KFDV(368-486)	PF12142;PF12143
A0A2G9G4W6	canonical	580	2	3	Tyrosinase(163-367) | PPO1_DWL(378-429) | PPO1_KFDV(451-569)	PPO1_DWL(378-429) | PPO1_KFDV(451-569)	PF12142;PF12143
A0A2G9G757	canonical	590	2	3	Tyrosinase(166-376) | PPO1_DWL(382-433) | PPO1_KFDV(461-588)	PPO1_DWL(382-433) | PPO1_KFDV(461-588)	PF12142;PF12143
A0A2G9G763	discarded	433	2	3	Tyrosinase(9-219) | PPO1_DWL(225-276) | PPO1_KFDV(304-431)	PPO1_DWL(225-276) | PPO1_KFDV(304-431)	PF12142;PF12143
A0A2G9GF61	canonical	580	2	3	Tyrosinase(163-367) | PPO1_DWL(378-429) | PPO1_KFDV(451-569)	PPO1_DWL(378-429) | PPO1_KFDV(451-569)	PF12142;PF12143
A0A2G9GM60	discarded	347	1	1	Tyrosinase(163-347)	none	none
A0A2G9GQP1	noncanonical	458	1	3	Tyrosinase(131-323) | PPO1_DWL(328-379) | PPO1_KFDV(402-458)	PPO1_DWL(328-379) | PPO1_KFDV(402-458)	PF12142;PF12143
A0A2G9H164	canonical	515	2	3	Tyrosinase(103-310) | PPO1_DWL(317-368) | PPO1_KFDV(390-509)	PPO1_DWL(317-368) | PPO1_KFDV(390-509)	PF12142;PF12143
A0A2G9H9E5	discarded	415	1	2	Tyrosinase(144-305) | PPO1_DWL(316-367)	PPO1_DWL(316-367)	PF12142
A0A2G9H9F0	canonical	517	2	3	Tyrosinase(105-312) | PPO1_DWL(319-370) | PPO1_KFDV(392-511)	PPO1_DWL(319-370) | PPO1_KFDV(392-511)	PF12142;PF12143
A0A2G9H9F5	canonical	450	2	4	Tyrosinase(119-214) | Tyrosinase(195-280) | PPO1_DWL(290-339) | PPO1_KFDV(352-437)	PPO1_DWL(290-339) | PPO1_KFDV(352-437)	PF12142;PF12143
A0A2G9H9F8	discarded	303	2	3	Tyrosinase(9-88) | PPO1_DWL(95-148) | PPO1_KFDV(175-300)	PPO1_DWL(95-148) | PPO1_KFDV(175-300)	PF12142;PF12143
A0A2G9RBS2	canonical	535	2	1	Tyrosinase(185-420)	none	none
A0A2G9SJE8	discarded	186	1	1	Tyrosinase(7-126)	none	none
A0A2G9SKI5	canonical	476	2	1	Tyrosinase(184-419)	none	none
A0A2G9SKN4	canonical	486	2	1	Tyrosinase(184-419)	none	none
A0A2G9T4C7	discarded	117	1	1	Tyrosinase(20-116)	none	none
A0A2G9TA14	discarded	117	1	1	Tyrosinase(6-100)	none	none
A0A2G9TLS4	discarded	145	1	1	Tyrosinase(37-143)	none	none
A0A2G9TS96	discarded	278	2	1	Tyrosinase(11-177)	none	none
A0A2G9TSB6	discarded	410	3	2	Tyrosinase(67-225) | ShK(365-400)	ShK(365-400)	PF01549
A0A2G9TWX3	discarded	150	1	1	Tyrosinase(10-91)	none	none
A0A2G9TYZ8	discarded	227	1	1	Tyrosinase(1-155)	none	none
A0A2G9U9G0	canonical	657	4	3	Tyrosinase(160-364) | ShK(526-561) | ShK(571-607)	ShK(526-561) | ShK(571-607)	PF01549
A0A2G9UFB4	canonical	376	2	1	Tyrosinase(149-340)	none	none
A0A2G9ULP9	discarded	262	2	1	Tyrosinase(128-260)	none	none
A0A2G9UMR0	canonical	379	2	1	Tyrosinase(38-235)	none	none
A0A2G9UPF2	canonical	575	2	3	Tyrosinase(102-293) | ShK(380-415) | ShK(441-475)	ShK(380-415) | ShK(441-475)	PF01549
A0A2G9V4B3	discarded	354	1	2	Tyrosinase(120-228) | Tyrosinase(224-265)	none	none
A0A2H1CDX4	discarded	179	0	1	Tyrosinase(29-172)	none	none
A0A2H1FYF8	canonical	392	1	1	Tyrosinase(108-334)	none	none
A0A2H1G5Q6	canonical	332	1	1	Tyrosinase(72-257)	none	none
