accession	n_neighbours	n_ustya	closest_ustya	has_TF	has_transporter	has_P450	has_OMT	bgc_context
A0ACB6Z8Q8	17	0		0	0	1	0	none
A0ACB6Z8T5	18	0		0	0	1	0	none
A0ACB6ZCG4	20	0		0	0	0	0	none
A0ACB6ZD36	20	0		0	0	0	0	none
A0ACB6ZI71	20	0		0	0	1	0	none
A0ACB6ZPA1	16	0		0	0	0	0	none
A0ACB8QEM8	14	0		0	1	1	0	BGC_accessory
A0ACB8S060	14	0		0	1	0	0	none
A0ACB8SK53	16	0		0	0	1	0	none
A0ACC1SAF0	5	0		0	0	0	0	none
A0ACC1TW98	12	0		0	0	0	0	none
A0ACC1U033	14	0		1	0	0	0	none
A0ACC1UC83	20	0		1	0	0	0	none
A0ACC2TPI5	7	0		0	0	0	0	none
A0ACC3YE67	20	0		1	1	0	0	BGC_accessory
A0ACC3YNG7	20	0		1	1	1	0	BGC_accessory
A0ACC3YY16	20	0		1	1	1	0	BGC_accessory
A0ACD3ALF2	20	0		1	0	0	0	none
A0ACD3AUA0	20	0		0	1	1	0	BGC_accessory
A0ACD3AWL0	20	0		0	0	0	0	none
A0ACD3AYU9	20	0		0	0	0	0	none
A0ACD3B3W8	20	0		0	0	0	0	none
A8MZV5	20	0		0	0	0	0	none
B1VTI5	1	0		0	0	0	0	none
C7FF04	0	0		0	0	0	0	none
C7Z2S7	20	0		0	1	0	0	none
D6RTB9	13	0		0	0	0	0	none
E3QW88	20	0		1	1	0	0	BGC_accessory
G2XHL1	20	0		1	1	0	0	BGC_accessory
G9MT56	20	0		1	0	1	0	BGC_accessory
I1RIA1	20	0		1	0	1	0	BGC_accessory
I1RKU0	20	0		1	0	0	0	none
I1S3N0	20	0		0	1	1	0	BGC_accessory
J9DAB6	20	0		0	1	0	0	none
K3V476	20	0		1	0	1	0	BGC_accessory
K3VMY6	17	0		0	0	0	0	none
K3VNQ2	20	0		0	1	0	0	none
K3W2E2	20	0		1	1	1	0	BGC_accessory
L2FJE7	20	0		1	0	1	0	BGC_accessory
M5C284	20	0		0	0	1	0	none
N1RBZ8	20	0		1	1	1	0	BGC_accessory
Q876W6	15	0		1	0	1	0	BGC_accessory
Q876X8	20	0		1	0	1	0	BGC_accessory
Q8J2V6	9	0		1	0	1	0	BGC_accessory
S0EEY2	20	0		1	0	0	0	none
S0EK23	20	0		1	0	0	0	none
T0PRD1	1	0		0	0	0	0	none
T0PYC1	16	0		0	0	0	0	none
T0QF04	20	0		0	0	0	0	none
T0R5J2	1	0		0	0	0	0	none
V2XA83	17	0		0	0	0	0	none
V5F1K6	20	0		1	0	0	0	none
V6JZ27	17	0		0	0	0	0	none
W3VR61	12	0		0	1	0	0	none
W4HDG1	19	0		0	0	0	0	none
W6XVD7	13	0		0	0	0	0	none
W7EVG9	15	0		0	0	0	0	none
X0C2Q9	20	0		1	0	0	0	none
