accession	classification	n_coord_his	af3_cu1_assignment	af3_cu1_dist_canonical	af3_cu1_plddt	af3_cu2_assignment	af3_cu2_dist_canonical	af3_cu2_plddt	af3_cu_cu_dist	m3d_n_cu_sites	m3d_n_total_sites	m3d_cu1_closest_cu_dist	m3d_cu1_closest_cu_prob	m3d_cu1_closest_any_dist	m3d_cu1_closest_any_element	m3d_cu2_closest_cu_dist	m3d_cu2_closest_cu_prob	m3d_cu2_closest_any_dist	m3d_cu2_closest_any_element	m3d_CuA_cu_dist	m3d_CuA_cu_prob	m3d_CuA_any_dist	m3d_CuA_any_element	m3d_CuB_cu_dist	m3d_CuB_cu_prob	m3d_CuB_any_dist	m3d_CuB_any_element
A0A1R4H6E4	mononuclear	5	CuB	0.54	96.4	CuA	1.01	89.7	4.39	3	28	0.91	0.940	0.91	CU	0.43	0.640	0.43	CU								
A0A1R4H727	mononuclear	5	CuB	0.39	96.4	CuA	1.03	89.7	4.39	4	33	0.53	0.870	0.53	CU	0.84	1.000	0.84	CU								
A0A1S8CTM4	binuclear	5	CuB	0.55	97.1	CuA	0.82	94.3	4.13	3	39	0.48	0.810	0.48	CU	0.45	0.750	0.45	CU								
A0A1S8X904	no_cu	4	CuB	1.49	87.8	CuA	1.08	81.9	6.13	0	36			1.03	X			2.66	X								
A0A1U7LR42	binuclear	4	CuB	0.38	83.0	CuA	2.04	39.9	4.81	1	40	1.41	0.500	1.41	CU	3.62	0.500	3.35	ZN								
A0A1V4I1C4	mononuclear	5	CuB	0.21	95.5	CuA	1.34	86.1	4.86	3	36	0.18	0.960	0.18	CU	0.69	0.760	0.69	CU								
A0A1V6NT23	no_cu	4	CuA	0.57	96.1	CuB	0.52	91.0	3.52	2	21	1.29	0.580	1.29	CU	1.09	0.550	1.09	CU								
A0A1V9YE51	no_cu	3	neither		67.8	neither		43.7	32.19	0	35											3.90	X			2.54	X
A0A1V9YSU1	mononuclear	4	CuA	0.31	86.5	CuB	1.30	65.2	3.66	2	31	1.12	0.790	1.12	CU	2.72	0.790	2.72	CU								
A0A1V9YYD2	mononuclear	5	CuA	0.12	96.5	CuB	0.36	79.6	4.15	3	28	0.56	0.960	0.56	CU	2.32	0.860	2.32	CU								
A0A1V9Z4B6	no_cu	1	neither		83.0	neither		52.1	22.47	0	19											15.20	X			15.14	X
A0A1X6NRK9	no_cu	2	CuA	0.68	83.8	neither		68.2	26.4	0	21			0.44	X			9.35	X								
A0A1X6PJ39	no_cu	3	CuB	1.48	75.6	neither		61.9	16.31	0	13			0.59	X			5.99	X								
A0A1X7RU91	mononuclear	5	CuA	0.28	95.7	CuB	0.41	92.6	4.1	2	27	1.49	0.820	1.49	CU	2.88	0.120	2.88	CU								
A0A1X7RVT3	mononuclear	5	CuA	0.46	95.1	CuB	0.53	91.4	3.8	3	19	0.78	0.830	0.78	CU	1.46	0.530	1.46	CU								
A0A1Y1VYU8	mononuclear	5	CuA	0.78	93.8	CuB	0.20	86.2	4.09	3	33	0.46	0.930	0.46	CU	1.50	0.440	1.50	CU								
A0A1Y1Z6J4	no_cu	2	neither		82.8	neither		76.2	36.33	0	12											2.77	X			5.11	X
A0A1Y1ZAQ2	no_cu	4	CuA	0.35	95.9	CuB	0.46	95.0	3.51	3	14	1.14	0.590	1.14	CU	1.36	0.610	1.36	CU								
A0A1Y2CTW7	mononuclear	3	CuA	1.05	78.2	neither		21.2	19.27																		
A0A1Y2EAK7	binuclear	5	CuB	1.05	93.9	CuA	0.61	92.3	3.75	2	22	0.44	0.460	0.44	CU	0.52	0.960	0.52	CU								
A0A1Y2HIE7	binuclear	5	CuA	0.22	89.9	CuB	1.14	88.9	3.8	2	24	0.66	0.820	0.66	CU	3.23	0.820	3.23	CU								
A0A1Y6LJW2	mononuclear	5	CuA	0.16	94.4	CuB	0.55	93.1	4.11	2	18	0.24	0.950	0.24	CU	1.42	0.910	1.42	CU								
A0A1Y6LLM1	mononuclear	5	CuA	0.46	95.1	CuB	0.53	91.4	3.8	3	19	0.78	0.830	0.78	CU	1.46	0.530	1.46	CU								
A0A210R2D2	no_cu	0	neither		63.2	neither		20.4	13.32	0	40			1.32	X			12.04	ZN								
A0A218Z9Z9	no_cu	4	CuB	1.31	91.1	neither		84.8	12.25	1	27	9.22	0.680	1.46	X	3.41	0.680	0.25	ZN								
A0A225WZW1	mononuclear	4	CuB	0.43	97.2	neither		71.3	21.37	1	38	0.32	0.990	0.32	CU	21.58	0.990	10.57	X	2.68	0.810	2.68	CU	1.23	0.900	1.23	CU
A0A232M3P4	mononuclear	5	CuB	0.57	83.4	CuA	1.54	77.2	4.5	2	40	2.28	1.000	2.28	CU	0.36	1.000	0.36	CU								
A0A238C4W2	mononuclear	5	CuA	0.35	95.5	CuB	0.54	88.5	3.71	0	49			6.63	X			6.14	X								
A0A2A2KWS8	no_cu	0	neither		64.2	neither		29.1	21.16	0	33											2.77	X			3.08	X
A0A2B7X1D4	binuclear	5	CuB	0.27	94.4	CuA	1.02	90.0	4.36	5	51	0.39	0.840	0.39	CU	0.61	0.830	0.61	CU								
A0A2C9KDQ8	mononuclear	3	CuB	0.98	87.6	neither		51.3	25.99	0	17			3.06	X			2.22	X			3.57	X			3.63	X
A0A2G8L6J4	mononuclear	2	CuA	1.31	60.2	neither		21.7	28.76	0	35			1.63	X			14.70	X			1.96	X			2.20	X
A0A2G9GQP1	mononuclear	4	CuB	0.48	84.2	CuA	1.37	52.8	4.42	2	22	0.95	0.970	0.95	CU	3.06	0.800	3.06	CU								
A0A2H1GH96	mononuclear	5	CuA	0.41	96.0	CuB	0.40	91.2	4.26	2	24	0.40	0.990	0.40	CU	1.00	0.720	1.00	CU								
A0A2H3E8H0	mononuclear	5	CuA	0.34	96.8	CuB	0.96	94.0	4.3	1	24	2.78	0.260	2.78	CU	1.61	0.260	1.61	CU								
A0A2H3S6Y7	mononuclear	5	CuA	0.26	95.7	CuB	0.40	95.0	3.84	2	24	0.31	0.930	0.31	CU	0.81	0.920	0.81	CU								
A0A2H3SXS3	mononuclear	5	CuA	0.43	90.4	CuB	0.59	82.2	4.38	3	20	0.69	0.970	0.69	CU	0.38	0.990	0.38	CU								
A0A2H4SUB3	binuclear	5	CuB	0.27	91.9	CuA	0.71	83.2	4.19	3	30	0.45	0.860	0.45	CU	0.51	0.870	0.51	CU								
A0A2I0MT65	mononuclear	4	CuA	0.64	93.8	CuB	0.58	68.7	3.88	1	22	0.39	0.910	0.39	CU	3.57	0.910	1.84	ZN								
A0A2J6PRK0	mononuclear	5	CuA	0.38	96.0	CuB	0.30	92.8	3.9	2	29	0.70	0.860	0.70	CU	2.32	0.960	2.32	CU								
A0A2J6QS19	mononuclear	5	CuA	0.57	94.7	CuB	0.75	90.7	3.61	5	22	0.62	0.860	0.62	CU	0.86	0.890	0.86	CU								
A0A2J6S1F6	mononuclear	5	CuA	0.33	96.6	CuB	0.33	95.1	3.95	2	16	0.64	0.940	0.64	CU	0.85	0.770	0.85	CU								
A0A2J6S2Q8	mononuclear	5	CuA	0.34	96.5	CuB	0.29	95.0	3.86	2	15	0.78	0.650	0.78	CU	0.44	0.750	0.44	CU								
A0A2J6TC85	binuclear	3	CuB	0.56	90.1	neither		83.2	26.56	3	16	1.09	0.460	1.09	CU	26.10	0.640	6.04	X								
A0A2J6TD48	mononuclear	5	CuA	0.66	95.2	CuB	0.70	91.9	3.79	2	17	0.17	0.940	0.17	CU	0.39	0.740	0.39	CU								
A0A2J8X8R4	binuclear	5	CuB	0.21	80.4	CuA	0.29	85.5	3.98	2	34	4.58	0.590	4.58	CU	0.65	0.590	0.65	CU								
A0A2L2TIX2	mononuclear	5	CuA	0.43	94.8	CuB	1.21	75.0	3.22	2	17	0.23	0.950	0.23	CU	0.68	0.980	0.68	CU								
A0A2N3MZ18	no_cu	2	neither		77.2	neither		66.2	33.01	0	28											10.62	X			13.45	X
A0A2N5SEN2	mononuclear	5	CuA	0.49	93.7	CuB	0.76	82.1	3.81	2	17	1.18	0.970	1.18	CU	2.72	0.970	2.72	CU								
A0A2N5SRB5	mononuclear	5	CuA	0.13	91.5	CuB	0.42	87.7	4.16	2	23	0.58	0.930	0.58	CU	1.93	0.480	1.93	CU								
A0A2N5SSF6	mononuclear	5	CuA	0.15	92.9	CuB	0.41	87.5	4.06	2	20	0.34	0.990	0.34	CU	1.54	0.800	1.54	CU								
A0A2N5TV63	binuclear	5	CuA	0.60	77.5	CuB	0.93	63.6	4.49	3	31	0.47	0.970	0.47	CU	0.37	0.470	0.37	CU								
A0A2N5U4U9	mononuclear	5	CuA	0.94	76.3	CuB	1.81	72.0	6.24	2	27	0.55	0.680	0.55	CU	2.42	0.590	0.84	ZN								
A0A2N5VYB1	mononuclear	5	CuA	0.34	92.0	CuB	0.41	87.9	4.33	2	20	0.45	0.990	0.45	CU	1.52	0.480	1.52	CU								
A0A2P7YDE6	mononuclear	5	CuB	0.95	92.5	CuA	0.70	69.0	4.11	3	25	0.63	0.850	0.63	CU	1.13	0.630	1.13	CU								
A0A2P7Z1M8	binuclear	5	CuB	0.77	88.5	CuA	0.87	80.0	4.03	2	17	0.26	0.980	0.26	CU	2.55	0.940	2.55	CU								
A0A2P7ZE68	mononuclear	5	CuA	0.68	91.9	CuB	0.42	88.3	4.07	3	18	0.72	0.840	0.72	CU	0.82	0.570	0.82	CU								
A0A2R5FJR1	mononuclear	5	CuA	0.27	89.0	CuB	0.54	82.2	4.5	2	26	0.27	0.990	0.27	CU	0.43	0.740	0.43	CU								
A0A2S4UTV9	binuclear	4	CuA	0.47	90.7	CuB	1.00	79.5	4.05	1	17	0.49	0.980	0.49	CU	3.92	0.980	3.92	CU								
A0A2S4VER1	mononuclear	5	CuA	0.42	83.5	CuB	0.65	71.3	4.06	3	16	0.84	0.950	0.84	CU	0.80	0.570	0.80	CU								
A0A2S4VEY7	binuclear	4	CuA	0.47	90.7	CuB	1.00	79.5	4.05	1	17	0.49	0.980	0.49	CU	3.92	0.980	3.92	CU								
A0A2T2NJ62	no_cu	0	neither		77.3	neither		52.5	29.41	0	32											3.88	X			3.86	X
A0A2T2PBL1	no_cu	4	CuB	0.48	94.1	CuA	0.72	85.6	3.92	4	49	0.34	0.550	0.34	CU	1.24	0.730	1.24	CU								
A0A2T3ZXK1	mononuclear	5	CuA	0.58	97.0	CuB	0.68	94.9	3.94	3	19	1.00	0.830	1.00	CU	0.67	0.690	0.67	CU								
A0A2T4GS12	mononuclear	5	CuA	0.65	86.8	CuB	0.30	77.3	4.07	3	29	0.54	0.970	0.54	CU	2.33	0.970	2.33	CU								
A0A2T6BVL4	mononuclear	2	CuB	1.08	97.3	neither		82.1	14.23	1	20	0.36	0.890	0.36	CU	14.41	0.890	5.03	X								
A0A2T6ZWP4	binuclear	3	CuB	0.23	94.1	neither		71.3	11.01	3	38	0.46	0.930	0.46	CU	7.65	0.880	1.24	ZN								
A0A2V1D8S9	mononuclear	5	CuA	0.58	94.0	CuB	0.79	92.0	3.61	2	21	0.63	0.960	0.63	CU	0.31	0.870	0.31	CU								
A0A2V1EB40	binuclear	5	CuB	0.77	95.9	CuA	1.06	94.6	4.3	5	31	0.69	0.750	0.69	CU	0.49	0.950	0.49	CU								
A0A2V5IDW1	mononuclear	5	CuA	0.20	93.2	CuB	0.13	87.2	3.98	2	29	0.45	0.980	0.45	CU	0.68	0.800	0.68	CU								
A0A2V5JDM1	mononuclear	4	CuB	0.47	94.1	neither		68.5	25.19	1	30	0.39	0.740	0.39	CU	25.52	0.740	1.74	X	3.11	0.970	3.11	CU	1.19	0.980	1.19	CU
A0A2Z5HVJ6	mononuclear	5	CuB	0.49	94.3	CuA	0.82	95.1	4.09	3	33	1.98	0.880	1.98	CU	0.42	0.910	0.42	CU								
A0A317SGF7	mononuclear	5	CuB	1.11	85.7	CuA	0.52	84.5	4.65	3	34	1.80	0.790	1.80	CU	0.28	0.930	0.28	CU								
A0A317VMA5	mononuclear	5	CuA	0.26	94.2	CuB	0.16	92.2	3.78	2	25	1.27	0.760	1.27	CU	1.24	0.560	1.24	CU								
A0A319FJL1	mononuclear	5	CuB	0.54	92.1	CuA	0.57	77.7	4.15	6	27	1.05	0.780	1.05	CU	0.74	0.590	0.74	CU								
A0A329SB08	no_cu	0	neither		61.4	neither		55.0	30.64	0	31											4.55	X			4.09	X
A0A329SW91	mononuclear	4	CuB	0.46	97.5	neither		72.6	21.97	1	30	0.17	0.790	0.17	CU	22.05	0.790	8.63	X	3.17	0.980	3.17	CU	0.83	0.990	0.83	CU
A0A365NE95	mononuclear	5	CuA	0.32	96.9	CuB	0.46	95.7	3.62	2	21	1.43	0.360	1.43	CU	1.03	0.300	1.03	CU								
A0A368GCB1	mononuclear	4	CuA	0.58	86.6	CuB	1.14	55.4	4.68	2	13	0.77	0.500	0.77	CU	4.91	0.500	3.57	ZN								
A0A368QNI6	mononuclear	4	CuA	1.13	80.0	CuB	0.83	67.2	4.39	2	33	0.49	1.000	0.49	CU	2.93	0.710	2.93	CU								
A0A384BB62	binuclear	4	CuA	0.37	89.6	CuB	0.50	76.7	4.05	1	28	0.13	0.890	0.13	CU	3.92	0.890	3.92	CU								
A0A384K0M5	mononuclear	5	CuA	0.44	96.4	CuB	0.98	82.4	4.61	2	11	0.32	0.990	0.32	CU	1.15	0.920	1.15	CU								
A0A384K4W6	mononuclear	5	CuA	0.61	96.0	CuB	0.73	93.3	3.57	2	19	0.68	0.950	0.68	CU	0.54	0.690	0.54	CU								
A0A395HJP7	binuclear	5	CuA	0.71	93.7	CuB	1.04	90.0	3.54	3	19	0.37	0.800	0.37	CU	0.44	0.410	0.44	CU								
A0A395T2J9	binuclear	5	CuB	0.44	94.8	CuA	0.91	91.2	4.44	2	22	0.38	0.980	0.38	CU	1.67	0.570	1.67	CU								
A0A3B6EKX7	binuclear	5	CuB	0.42	94.6	CuA	0.78	83.2	4.15	5	30	1.24	0.880	1.24	CU	0.34	0.930	0.34	CU								
A0A3B6J0G9	mononuclear	5	CuB	0.64	81.2	CuA	0.89	67.3	4.03	3	22	1.66	0.900	1.66	CU	0.39	0.920	0.39	CU								
A0A3E2HCJ3	mononuclear	5	CuA	0.45	92.9	CuB	0.68	85.4	3.51	2	21	2.57	0.370	2.57	CU	1.27	0.370	1.27	CU								
A0A3F2RYX7	no_cu	1	neither		76.2	neither		68.5	17.26	0	24											5.65	X			4.57	X
A0A3F3PW89	mononuclear	5	CuB	0.50	93.4	CuA	0.45	85.8	4.1	2	27	0.70	0.970	0.70	CU	3.24	0.950	0.76	X								
A0A3F3Q782	binuclear	5	CuB	0.33	94.4	CuA	0.51	83.5	3.99	3	44	0.48	0.860	0.48	CU	1.17	0.690	1.17	CU								
A0A3M0L5Z8	mononuclear	4	CuA	0.39	95.4	CuB	0.51	59.2	4.1	2	32	0.43	0.750	0.43	CU	2.02	0.760	2.02	CU								
A0A3M6VLC9	no_cu	1	neither		64.8	neither		51.0	35.25	0	25											6.49	X			5.80	X
A0A3M6XNY6	binuclear	5	CuB	0.26	92.4	CuA	0.67	82.7	4.12	3	20	1.59	0.770	1.59	CU	0.98	0.670	0.98	CU								
A0A3M7C5D9	mononuclear	5	CuB	0.39	92.5	CuA	1.20	79.8	4.8	2	42	2.26	0.150	2.26	CU	1.09	0.280	1.09	CU								
A0A3M7J5F3	mononuclear	5	CuB	0.38	91.2	CuA	1.36	75.3	5.24	2	38	0.51	0.870	0.51	CU	1.82	0.360	1.82	CU								
A0A3M7MKX7	binuclear	5	CuB	0.22	95.9	CuA	0.83	91.9	4.41	4	37	0.97	0.860	0.97	CU	0.27	0.910	0.27	CU								
A0A3N0CP77	no_cu	0	neither		88.6	neither		50.9	46.13	0	26											1.08	X			3.88	X
A0A3N4IPE1	binuclear	5	CuB	0.29	94.3	CuA	0.96	87.7	4.07	2	37	0.38	0.700	0.38	CU	0.70	0.850	0.70	CU								
A0A3N4K3H4	mononuclear	4	CuB	0.62	89.0	CuA	0.97	50.0	3.15	1	17	0.46	0.990	0.46	CU	2.78	0.990	2.78	CU								
A0A3P3Y6E4	no_cu	0	neither		44.0	neither		39.9	13.34	0	29			17.02	X			21.58	X								
A0A3P3Y6K2	no_cu	2	CuB	0.41	85.9	neither		77.3	13.78	0	25			4.30	X			1.16	ZN								
A0A3P6S9E3	mononuclear	5	CuA	0.26	96.6	CuB	0.52	85.7	3.74	2	40	0.33	0.930	0.33	CU	0.87	0.800	0.87	CU								
A0A3P7DNC2	mononuclear	5	CuA	0.42	96.2	CuB	0.91	87.5	3.44	2	55	0.45	0.980	0.45	CU	1.57	0.950	1.57	CU								
A0A3P8DS39	mononuclear	4	CuA	0.37	89.1	CuB	0.87	57.0	3.58	1	20	0.35	0.890	0.35	CU	3.63	0.890	3.63	CU								
A0A3P8WSE3	mononuclear	5	CuB	0.74	91.0	CuA	0.65	93.6	4.6	3	29	0.32	0.820	0.32	CU	0.60	0.960	0.60	CU								
A0A3Q3L0Y4	binuclear	5	CuB	0.69	84.8	CuA	0.24	86.1	4.31	3	37	1.00	0.790	1.00	CU	0.27	0.960	0.27	CU								
A0A3R6YR15	no_cu	2	CuB	0.88	67.8	neither		26.9	14.15	2	27	9.05	0.330	1.72	X	3.53	0.210	1.29	X								
A0A3R7FX46	no_cu	0	neither		77.5	neither		54.0	19.95	0	32											5.70	X			4.88	X
A0A3S3Q853	mononuclear	5	CuB	0.48	96.6	CuA	0.91	86.7	4.25	2	35	0.35	0.980	0.35	CU	0.68	0.980	0.68	CU								
A0A401PX39	no_cu	2	neither		23.5	neither		25.5	60.14	0	68											0.84	X			2.66	X
A0A409WYM8	mononuclear	4	CuA	0.65	88.4	CuB	0.33	80.4	4.0	2	18	1.15	0.610	1.15	CU	0.52	0.600	0.52	CU								
A0A409XK29	mononuclear	5	CuA	0.36	87.6	CuB	0.63	82.9	4.12	3	22	0.13	0.950	0.13	CU	0.76	0.450	0.76	CU								
A0A419QAV9	no_cu	4	CuB	1.53	90.1	CuA	0.96	89.1	6.04	0	35			0.90	X			1.81	X								
A0A420TE23	mononuclear	4	CuB	0.37	93.1	neither		52.7	14.3	1	18	0.22	0.810	0.22	CU	14.37	0.810	1.44	X								
A0A421G844	mononuclear	5	CuA	0.23	91.9	CuB	0.72	85.7	4.45	2	30	1.09	0.780	1.09	CU	2.98	0.260	2.98	CU								
A0A425CLB8	no_cu	1	neither		65.5	neither		51.6	35.26	0	30											5.34	X			3.51	X
A0A430HE78	binuclear	5	CuB	0.39	96.1	CuA	1.28	92.9	4.77	2	28	0.12	0.890	0.12	CU	0.60	0.690	0.60	CU								
A0A437ABU9	binuclear	5	CuB	0.10	96.7	CuA	1.08	94.1	4.26	4	46	1.03	0.940	1.03	CU	0.72	0.790	0.72	CU								
A0A443HXX0	mononuclear	5	CuA	0.56	96.4	CuB	0.39	91.7	4.06	3	18	0.39	1.000	0.39	CU	1.30	0.980	1.30	CU								
A0A444RJX5	binuclear	5	CuB	1.07	95.1	CuA	0.70	95.3	4.46	3	26	1.57	0.630	1.57	CU	0.30	0.980	0.30	CU								
A0A444UPP0	mononuclear	5	CuA	0.27	76.9	CuB	1.00	65.1	4.11	3	22	0.47	0.680	0.47	CU	1.99	0.530	1.99	CU								
A0A446BXJ9	mononuclear	4	CuA	0.28	96.4	CuB	0.71	63.9	4.81	1	21	0.36	0.870	0.36	CU	4.51	0.870	1.53	X								
A0A447TAE7	mononuclear	5	CuB	0.33	94.6	CuA	0.94	86.5	4.44	3	26	0.33	0.930	0.33	CU	0.80	0.920	0.80	CU								
A0A484G057	mononuclear	3	CuA	0.73	79.8	CuB	2.71	44.2	2.58	1	42	4.44	0.140	4.44	CU	2.07	0.140	2.07	CU								
A0A485KPS2	no_cu	3	CuB	1.06	80.9	neither		58.4	34.39	1	29	3.94	0.130	3.94	CU	33.11	0.130	4.98	X								
A0A485KPU0	mononuclear	3	CuB	0.99	92.5	neither		60.1	24.99	1	32	0.54	0.600	0.54	CU	24.68	0.600	6.85	X	4.74	0.820	4.74	CU	1.33	0.820	1.33	CU
A0A485KQE4	mononuclear	3	CuB	0.98	95.8	neither		71.7	25.04	1	31	0.41	0.720	0.41	CU	25.04	0.720	6.20	X	4.64	0.890	4.64	CU	1.39	0.890	1.39	CU
A0A485KTR0	binuclear	5	CuB	0.57	95.7	CuA	0.57	86.5	4.05	2	43	0.31	0.970	0.31	CU	1.06	0.780	1.06	CU								
A0A498S2C2	mononuclear	5	CuA	0.42	95.3	CuB	0.89	84.2	3.36	3	46	1.52	0.490	1.52	CU	1.85	0.490	1.85	CU								
A0A4E9FIB1	mononuclear	5	CuA	0.39	95.5	CuB	1.00	88.7	3.52	3	39	0.68	0.640	0.68	CU	0.87	0.290	0.87	CU								
A0A4P9VZN9	mononuclear	5	CuB	0.52	91.0	CuA	0.42	52.9	3.83	3	22	0.69	0.930	0.69	CU	1.72	0.750	1.72	CU								
A0A4P9XG75	mononuclear	4	CuA	1.41	81.8	neither		48.4	22.19	0	27			0.69	X			9.30	X	2.07	0.430	2.07	CU	2.03	0.430	2.03	CU
A0A4P9XJ34	no_cu	0	neither		77.5	neither		67.1	48.3	0	18											1.61	X			2.08	X
A0A4P9XNA4	mononuclear	4	CuA	0.32	97.5	CuB	0.38	95.5	3.94	2	15	0.47	0.960	0.47	CU	0.88	0.730	0.88	CU								
A0A4Q4M2B0	mononuclear	5	CuA	0.39	96.4	CuB	0.46	94.4	3.92	1	19	0.27	0.960	0.27	CU	3.96	0.960	3.96	CU								
A0A4Q4NQ20	mononuclear	5	CuA	0.31	90.8	CuB	0.45	89.4	4.07	3	25	0.38	0.860	0.38	CU	1.05	0.680	1.05	CU								
A0A4R8PT74	mononuclear	4	CuA	0.67	97.8	CuB	1.36	77.2	5.29	2	17	0.16	0.990	0.16	CU	2.68	0.810	2.68	CU								
A0A4R8REE8	mononuclear	4	CuA	0.65	98.0	CuB	1.26	83.9	5.27	3	12	0.99	0.980	0.99	CU	3.33	0.540	3.33	CU								
A0A4R8RI59	binuclear	5	CuB	0.46	97.8	CuA	0.52	92.1	3.74	2	24	0.51	0.970	0.51	CU	1.61	0.740	1.61	CU								
A0A4R8T272	mononuclear	3	CuA	0.65	91.9	CuB	2.14	47.4	3.24	3	41	0.43	0.780	0.43	CU	1.62	0.530	1.62	CU								
A0A4S2LAY4	no_cu	4	CuB	1.71	89.2	CuA	1.15	85.3	6.4	0	43			0.51	X			1.52	X								
A0A4S2LBN1	no_cu	4	CuB	1.59	88.7	CuA	0.85	88.3	5.97	1	29	4.51	0.660	0.61	X	1.48	0.660	1.48	CU								
A0A4S9AAS5	no_cu	2	neither		84.4	neither		70.9	31.03	0	20			12.38	X			16.78	X								
A0A4S9D5E3	no_cu	2	neither		79.7	neither		74.6	30.02	0	17			1.59	X			8.04	X								
A0A4S9F9F9	no_cu	2	neither		78.1	neither		76.8	15.18	0	12			18.47	X			16.71	X								
A0A4S9LP12	no_cu	1	neither		86.7	neither		61.0	24.16	0	19			0.91	X			1.80	X								
A0A4S9TIS8	no_cu	2	neither		77.2	neither		70.7	29.75	0	27			4.84	X			4.25	X								
A0A4S9V507	no_cu	2	neither		77.8	neither		77.9	15.28	0	29			12.46	X			13.55	X								
A0A4S9Y8F5	no_cu	2	neither		82.0	neither		81.0	29.99	0	25			8.40	X			0.67	X								
A0A4S9ZZ06	no_cu	2	neither		82.9	neither		64.5	32.82	0	23			3.72	X			18.86	X								
A0A4T0BL07	no_cu	1	neither		83.6	neither		71.2	21.96	0	20			16.64	X			10.05	X								
A0A4T0EP09	no_cu	2	neither		79.9	neither		77.8	15.22	0	18			17.66	NA			16.37	X								
A0A4T0FMD4	mononuclear	5	CuB	0.05	94.7	CuA	0.36	89.6	4.02	4	15	0.90	0.920	0.90	CU	0.69	0.510	0.69	CU								
A0A4T0WAP6	mononuclear	5	CuA	0.51	97.4	CuB	0.69	95.3	3.87	3	26	0.34	0.950	0.34	CU	0.49	0.670	0.49	CU								
A0A4U0TXP9	mononuclear	5	CuA	0.47	97.3	CuB	0.65	96.1	3.61	2	25	0.48	0.980	0.48	CU	0.44	0.620	0.44	CU								
A0A4U0VC90	mononuclear	5	CuA	0.42	93.5	CuB	0.64	89.1	3.86	2	28	0.25	0.760	0.25	CU	0.48	0.370	0.48	CU								
A0A4U0VS63	mononuclear	5	CuA	0.40	96.0	CuB	0.62	96.3	3.61	1	29	0.27	0.910	0.27	CU	3.75	0.910	3.75	CU								
A0A4U0XT20	mononuclear	5	CuA	0.47	96.1	CuB	0.48	95.0	3.67	1	31	3.08	0.100	3.08	CU	1.92	0.100	1.92	CU								
A0A4U6X5Z4	mononuclear	3	CuA	0.56	96.5	CuB	3.26	54.4	3.31	2	27	0.30	0.960	0.30	CU	1.49	0.770	1.49	CU								
A0A4U7AY24	mononuclear	5	CuB	1.92	49.4	CuA	1.11	38.4	3.16	4	55	0.97	0.900	0.97	CU	1.21	0.900	1.21	CU								
A0A4U7B5J3	mononuclear	5	CuA	0.21	93.4	CuB	0.35	91.0	3.91	2	20	1.05	0.610	1.05	CU	1.04	0.730	1.04	CU								
A0A4W4EZ83	no_cu	3	CuB	0.47	87.4	neither		54.7	16.19	0	32			0.87	X			1.19	X								
A0A4W6F5R6	binuclear	5	CuA	0.44	96.9	CuB	0.33	90.9	3.83	2	33	0.26	0.940	0.26	CU	0.28	0.770	0.28	CU								
A0A4Y8CCG2	mononuclear	4	CuA	0.45	86.3	CuB	0.32	74.6	4.4	1	23	0.19	0.960	0.19	CU	4.53	0.960	4.53	CU								
A0A4Y8D0D0	binuclear	5	CuB	0.64	96.4	CuA	0.72	76.8	3.88	2	14	0.26	0.900	0.26	CU	0.85	0.730	0.85	CU								
A0A4Y8D0V3	mononuclear	5	CuA	0.53	96.7	CuB	0.64	94.0	3.75	4	27	0.57	0.960	0.57	CU	1.25	0.730	1.25	CU								
A0A4Y9L370	mononuclear	5	CuB	0.18	96.3	CuA	1.00	89.5	4.54	3	32	0.31	0.980	0.31	CU	0.58	0.930	0.58	CU								
A0A4Z0YK01	mononuclear	5	CuA	0.71	94.3	CuB	0.74	92.5	3.95	3	16	0.79	0.850	0.79	CU	1.02	0.760	1.02	CU								
A0A4Z1EV38	no_cu	4	CuA	0.40	65.8	CuB	0.20	61.8	3.86	2	57	0.77	0.360	0.77	CU	1.57	0.160	1.57	CU								
A0A4Z1FR91	mononuclear	5	CuA	0.45	94.0	CuB	0.55	91.8	3.72	2	28	0.40	0.950	0.40	CU	1.64	0.710	1.64	CU								
A0A4Z1HA19	mononuclear	4	CuA	0.31	89.5	CuB	0.63	79.0	3.62	2	22	0.17	0.990	0.17	CU	1.10	0.970	1.10	CU								
A0A4Z1K5V5	no_cu	4	CuA	0.42	66.5	CuB	0.28	58.1	3.74	2	52	0.80	0.430	0.80	CU	0.86	0.550	0.86	CU								
A0A4Z1NUI9	mononuclear	5	CuA	0.36	93.6	CuB	0.51	92.2	4.02	1	24	0.77	0.950	0.77	CU	3.35	0.950	3.35	CU								
A0A4Z1PB68	mononuclear	4	CuB	0.72	86.8	CuA	0.32	66.2	4.14	0	18			6.34	X			8.98	X								
A0A507BI78	binuclear	5	CuB	0.16	94.0	CuA	1.01	85.8	4.21	5	38	0.54	0.970	0.54	CU	1.06	0.790	1.06	CU								
A0A507BMG0	mononuclear	4	CuB	0.42	87.0	CuA	0.71	47.6	4.35	3	24	1.74	0.510	1.74	CU	0.75	0.470	0.75	CU								
A0A507BNL8	mononuclear	5	CuA	1.80	63.0	CuB	0.84	48.8	3.87	2	37	0.20	0.600	0.20	CU	1.90	0.290	1.90	CU								
A0A507F691	mononuclear	5	CuB	0.44	87.7	CuA	0.34	81.2	3.78	3	31	0.38	0.880	0.38	CU	0.94	0.770	0.94	CU								
