accession,best_ce_cov,best_ce_rmsd,best_ce_naln,best_ce_ref
A0A6J1BLU4,0.905,2.98,304,ref_1BT3_Ibatatas
A0A6J8AZI7,0.885,3.99,232,ref_1JS8_squid
A0A6J8CJF7,0.833,3.25,240,ref_PmTYR
A0A6J8CNM0,0.733,3.86,192,ref_1JS8_squid
A0A6J8CZL5,0.885,3.30,232,ref_1JS8_squid
A0A6J8EAN0,0.885,3.62,232,ref_1JS8_squid
A0A6P4ZCR3,0.931,2.16,336,ref_5M8L_human
A0A6P8I208,0.861,3.01,248,ref_PmTYR
A0A6V7WY80,0.641,4.40,168,ref_1JS8_squid
A0A7C8I7T2,0.885,3.50,232,ref_1JS8_squid
A0A7C8IE08,0.957,2.22,336,ref_2Y9W_Abisporus
A0A7C8J1E6,0.839,5.03,256,ref_I3D139_archaea
A0A7C8M1Q1,0.912,3.88,320,ref_2Y9W_Abisporus
A0A7C8MC86,0.885,3.56,232,ref_1JS8_squid
A0A7C9LY48,0.824,4.50,216,ref_1JS8_squid
A0A7C9M494,0.855,4.97,224,ref_1JS8_squid
A0A7D5Z0B1,0.861,3.24,248,ref_PmTYR
A0A7E6EGY5,0.947,2.27,248,ref_1JS8_squid
A0A7H8RBQ9,0.855,3.96,224,ref_1JS8_squid
A0A7J6IXY4,0.889,3.91,256,ref_PmTYR
A0A7J6J5I0,0.889,3.38,256,ref_PmTYR
A0A7J6JPL9,0.947,3.95,248,ref_1JS8_squid
A0A7J6UTM6,0.991,0.94,336,ref_5CE9_Jregia
A0A7J7J2C8,0.833,2.72,240,ref_PmTYR
A0A7J9CIK1,0.897,2.68,304,ref_5CE9_Jregia
A0A7K7RZM1,0.975,1.39,352,ref_5M8L_human
A0A7M5V4K9,0.843,4.31,296,ref_2Y9W_Abisporus
A0A7M5WXX0,0.843,4.07,296,ref_2Y9W_Abisporus
A0A7M5XIS8,0.889,3.60,312,ref_2Y9W_Abisporus
A0A7M6DQE2,0.889,4.25,312,ref_2Y9W_Abisporus
A0A7R8ARR0,0.885,3.64,232,ref_1JS8_squid
A0A7R9UNI4,0.821,3.83,288,ref_2Y9W_Abisporus
A0A7S0FYS9,0.855,3.41,224,ref_1JS8_squid
A0A7S1T762,0.763,3.55,200,ref_1JS8_squid
A0A7S1T768,0.763,3.46,200,ref_1JS8_squid
A0A7S2D0S4,0.667,3.73,192,ref_PmTYR
A0A7S2EUW0,0.885,3.65,232,ref_1JS8_squid
A0A7S2JHL4,0.861,3.35,248,ref_PmTYR
A0A7S2JHQ4,0.861,3.27,248,ref_PmTYR
A0A7S3EYR7,0.750,4.71,216,ref_PmTYR
A0A7S4QPD7,0.794,5.23,208,ref_1JS8_squid
A0A7S4QRZ1,0.763,4.07,200,ref_1JS8_squid
A0A7U2F198,0.611,4.83,176,ref_PmTYR
A0A7W5H8K5,0.824,4.53,216,ref_1JS8_squid
A0A7W8KIV5,0.885,4.22,232,ref_1JS8_squid
A0A7X5ASN3,0.885,3.30,232,ref_1JS8_squid
A0A7Y7WSX0,0.778,4.48,224,ref_PmTYR
A0A7Y7X987,0.763,4.77,200,ref_1JS8_squid
A0A7Y8BLA6,0.778,4.49,224,ref_PmTYR
A0A812BCK9,0.885,3.92,232,ref_1JS8_squid
A0A812PC05,0.855,4.04,224,ref_1JS8_squid
A0A812V664,0.855,4.08,224,ref_1JS8_squid
A0A812XIJ6,0.855,4.09,224,ref_1JS8_squid
A0A830B0I8,0.929,2.17,312,ref_1BT3_Ibatatas
A0A833WLV2,0.885,4.02,232,ref_1JS8_squid
A0A858R6E5,0.855,5.20,224,ref_1JS8_squid
A0A8A3PKD0,0.947,3.96,248,ref_1JS8_squid
A0A8B6E8R8,0.733,3.86,192,ref_1JS8_squid
A0A8B6FI79,0.885,3.65,232,ref_1JS8_squid
A0A8B8D4J3,0.885,4.05,232,ref_1JS8_squid
A0A8B9AG70,0.897,3.63,304,ref_5CE9_Jregia
A0A8B9GJT5,0.944,3.04,272,ref_PmTYR
A0A8H2VQV0,0.885,3.40,232,ref_1JS8_squid
A0A8H2XQY6,0.885,3.59,232,ref_1JS8_squid
A0A8H3A459,0.798,4.05,280,ref_2Y9W_Abisporus
A0A8H3ANG7,0.885,3.52,232,ref_1JS8_squid
A0A8H3BNH7,0.861,3.68,248,ref_PmTYR
A0A8H3CDA8,0.861,3.67,248,ref_PmTYR
A0A8H3CUW5,0.916,4.22,240,ref_1JS8_squid
A0A8H3CZ20,0.861,3.53,248,ref_PmTYR
A0A8H3DH08,0.934,3.51,328,ref_2Y9W_Abisporus
A0A8H3DKS2,0.934,3.71,328,ref_2Y9W_Abisporus
A0A8H3DR34,0.861,3.68,248,ref_PmTYR
A0A8H3FNM0,0.885,3.66,232,ref_1JS8_squid
A0A8H3FR24,0.934,3.56,328,ref_2Y9W_Abisporus
A0A8H3FVH9,0.763,4.53,200,ref_1JS8_squid
A0A8H3GJI1,0.861,3.65,248,ref_PmTYR
A0A8H3HGU7,0.917,3.73,264,ref_PmTYR
A0A8H3I335,0.885,3.50,232,ref_1JS8_squid
A0A8H3I9E9,0.889,3.24,312,ref_2Y9W_Abisporus
A0A8H3IAU0,0.885,3.54,232,ref_1JS8_squid
A0A8H3IDD5,0.885,3.53,232,ref_1JS8_squid
A0A8H3UFY5,0.885,4.39,232,ref_1JS8_squid
A0A8H3VC67,0.861,3.36,248,ref_PmTYR
A0A8H3W2Z1,0.889,3.39,256,ref_PmTYR
A0A8H3W909,0.889,3.98,256,ref_PmTYR
A0A8H4CJG9,0.889,2.71,312,ref_2Y9W_Abisporus
A0A8H4CPR6,0.889,3.38,256,ref_PmTYR
A0A8H4CUC1,0.917,4.09,264,ref_PmTYR
A0A8H4FHG1,0.885,4.51,232,ref_1JS8_squid
A0A8H4IVL2,0.861,3.53,248,ref_PmTYR
A0A8H4JDQ9,0.763,3.63,200,ref_1JS8_squid
A0A8H4JHW9,0.861,3.54,248,ref_PmTYR
A0A8H4QR39,0.885,3.43,232,ref_1JS8_squid
A0A8H4RK75,0.885,3.58,232,ref_1JS8_squid
A0A8H4RXM0,0.885,3.55,232,ref_1JS8_squid
A0A8H4VJZ4,0.778,3.22,224,ref_PmTYR
A0A8H4Z0P3,0.861,3.33,248,ref_PmTYR
A0A8H4ZIX0,0.957,3.72,336,ref_2Y9W_Abisporus
A0A8H5AS67,0.934,2.12,328,ref_2Y9W_Abisporus
A0A8H5ATU2,0.889,3.40,256,ref_PmTYR
A0A8H5EAG2,0.885,3.79,232,ref_1JS8_squid
A0A8H5GBV2,0.761,5.44,232,ref_I3D139_archaea
A0A8H5JRL3,0.821,3.91,288,ref_2Y9W_Abisporus
A0A8H5MQC7,0.778,3.97,224,ref_PmTYR
A0A8H5N7B6,0.855,3.95,224,ref_1JS8_squid
A0A8H5PBB3,0.763,4.06,200,ref_1JS8_squid
A0A8H5PBF2,0.778,4.48,224,ref_PmTYR
A0A8H5TQU7,0.957,4.19,336,ref_2Y9W_Abisporus
A0A8H5UC91,0.861,3.37,248,ref_PmTYR
A0A8H5V6E6,0.861,3.45,248,ref_PmTYR
A0A8H5WCB4,0.855,3.80,224,ref_1JS8_squid
A0A8H5XW17,0.889,4.02,256,ref_PmTYR
A0A8H6A0W2,0.916,3.59,240,ref_1JS8_squid
A0A8H6CZQ6,0.833,4.09,240,ref_PmTYR
A0A8H6FIQ4,0.889,3.55,256,ref_PmTYR
A0A8H6HT48,0.889,4.18,256,ref_PmTYR
A0A8H6JVW5,0.917,3.80,264,ref_PmTYR
A0A8H6JY07,0.934,3.92,328,ref_2Y9W_Abisporus
A0A8H6K3D9,0.885,3.05,232,ref_1JS8_squid
A0A8H6KE22,0.824,3.22,216,ref_1JS8_squid
A0A8H6L0G3,0.885,3.52,232,ref_1JS8_squid
A0A8H6MKC6,0.917,4.59,264,ref_PmTYR
A0A8H6MX70,0.889,3.37,256,ref_PmTYR
A0A8H6N0D2,0.912,3.85,320,ref_2Y9W_Abisporus
A0A8H6N7U5,0.861,3.33,248,ref_PmTYR
A0A8H6NYW2,0.912,3.90,320,ref_2Y9W_Abisporus
A0A8H6S8I0,0.917,3.19,264,ref_PmTYR
A0A8H6VAE7,0.694,2.98,200,ref_PmTYR
A0A8H6YHY9,0.947,4.52,248,ref_1JS8_squid
A0A8H7BB98,0.889,3.49,256,ref_PmTYR
A0A8H7H065,0.916,4.61,240,ref_1JS8_squid
A0A8H7H0A0,0.885,3.70,232,ref_1JS8_squid
A0A8H7HFI3,0.861,3.46,248,ref_PmTYR
A0A8H7I333,0.855,3.52,224,ref_1JS8_squid
A0A8H7IC95,0.750,3.53,216,ref_PmTYR
A0A8H7K265,0.889,3.62,256,ref_PmTYR
A0A8H7LY65,0.824,3.91,216,ref_1JS8_squid
A0A8H7LYZ4,0.861,3.42,248,ref_PmTYR
A0A8H7M1F4,0.916,4.52,240,ref_1JS8_squid
A0A8H7MHY0,0.861,3.80,248,ref_PmTYR
A0A8H7W0M8,0.885,3.50,232,ref_1JS8_squid
A0A8H7Y763,0.889,3.39,256,ref_PmTYR
A0A8H8P4P0,0.885,4.07,232,ref_1JS8_squid
A0A8H8RL10,0.885,3.51,232,ref_1JS8_squid
A0A8H8RRA0,0.861,3.44,248,ref_PmTYR
A0A8H8SYG4,0.667,4.17,192,ref_PmTYR
A0A8H8U2D2,0.885,3.42,232,ref_1JS8_squid
A0A8H9LF69,0.855,3.43,224,ref_1JS8_squid
A0A8J1TDZ8,0.611,6.97,160,ref_1JS8_squid
A0A8J4W827,0.794,4.43,208,ref_1JS8_squid
A0A8J5IZX1,0.885,4.01,232,ref_1JS8_squid
A0A8J5M7S4,0.916,4.11,240,ref_1JS8_squid
A0A8J5UAU7,0.694,2.87,200,ref_PmTYR
A0A8J5UIE6,0.916,3.91,240,ref_1JS8_squid
A0A8J5XMZ9,0.821,3.85,288,ref_2Y9W_Abisporus
A0A8J5YYR4,0.826,2.96,280,ref_5CE9_Jregia
A0A8J7L7N4,0.885,4.94,232,ref_1JS8_squid
A0A8J9R8H5,0.885,4.48,232,ref_1JS8_squid
A0A8K0E3G2,0.931,2.34,336,ref_5M8L_human
A0A8K0IA90,0.952,2.93,320,ref_1BT3_Ibatatas
A0A8K0R3D6,0.885,3.47,232,ref_1JS8_squid
A0A8K0SEI0,0.806,4.00,232,ref_PmTYR
A0A8K0T8Y5,0.885,3.50,232,ref_1JS8_squid
A0A8R1TKI8,0.889,3.39,256,ref_PmTYR
A0A8S3QCE6,0.885,4.44,232,ref_1JS8_squid
A0A8S3RVL9,0.855,3.89,224,ref_1JS8_squid
A0A8S3S028,0.885,3.34,232,ref_1JS8_squid
A0A8S3S1J4,0.885,3.33,232,ref_1JS8_squid
A0A8S3THZ3,0.885,3.59,232,ref_1JS8_squid
A0A8T1MS49,0.953,3.32,344,ref_5M8L_human
A0A8T1W4C6,0.916,4.30,240,ref_1JS8_squid
A0A8T1W6M6,0.885,4.13,232,ref_1JS8_squid
A0A8T1WU85,0.885,4.04,232,ref_1JS8_squid
A0A8T9AZC4,0.855,3.76,224,ref_1JS8_squid
A0A8U0BYH4,0.861,3.47,248,ref_PmTYR
A0A8U0BYU8,0.861,3.69,248,ref_PmTYR
A0A8U0BZ64,0.861,3.73,248,ref_PmTYR
A0A8U0BZL2,0.855,3.79,224,ref_1JS8_squid
A0A8U0C0J3,0.855,3.77,224,ref_1JS8_squid
A0A8W8J4S3,0.824,3.78,216,ref_1JS8_squid
A0A8W8K432,0.750,4.37,216,ref_PmTYR
A0A8X6KWP2,0.824,3.50,216,ref_1JS8_squid
A0A8X7N2K2,0.885,4.03,232,ref_1JS8_squid
A0A913XYY6,0.833,3.21,240,ref_PmTYR
A0A914DIV0,0.806,3.33,232,ref_PmTYR
A0A914L211,0.889,3.12,256,ref_PmTYR
A0A914L5B1,0.889,4.20,256,ref_PmTYR
A0A914S644,0.794,4.61,208,ref_1JS8_squid
A0A914VGJ7,0.794,3.81,208,ref_1JS8_squid
A0A914XEE1,0.794,4.05,208,ref_1JS8_squid
A0A915AZH0,0.889,3.36,256,ref_PmTYR
A0A915C5Q4,0.889,3.26,256,ref_PmTYR
A0A915C6W5,0.889,3.24,256,ref_PmTYR
A0A915JK17,0.861,3.16,248,ref_PmTYR
A0A915KQR7,0.366,4.10,96,ref_1JS8_squid
A0A915M8S0,0.861,2.70,248,ref_PmTYR
A0A915Q146,0.861,3.47,248,ref_PmTYR
A0A917QDB2,0.855,3.49,224,ref_1JS8_squid
A0A918SV45,0.855,5.24,224,ref_1JS8_squid
A0A918T1K9,0.855,5.02,224,ref_1JS8_squid
A0A918W4Y4,0.824,4.41,216,ref_1JS8_squid
A0A918Z2Y2,0.855,5.28,224,ref_1JS8_squid
A0A919DDV5,0.855,5.22,224,ref_1JS8_squid
A0A919RHA1,0.794,4.03,208,ref_1JS8_squid
A0A934SPS7,0.794,3.75,208,ref_1JS8_squid
A0A976IE71,0.885,3.97,232,ref_1JS8_squid
A0A9D3URW0,0.920,1.80,312,ref_5CE9_Jregia
A0A9D4DVG4,0.861,3.38,248,ref_PmTYR
A0A9D4DW49,0.861,3.32,248,ref_PmTYR
A0A9D4EB14,0.861,3.33,248,ref_PmTYR
A0A9D4GX75,0.861,3.12,248,ref_PmTYR
A0A9D4IDS9,0.861,3.38,248,ref_PmTYR
A0A9D4JUB0,0.861,3.13,248,ref_PmTYR
A0A9D4V2I4,0.968,2.30,328,ref_5CE9_Jregia
A0A9D4Z585,0.952,1.66,320,ref_1BT3_Ibatatas
A0A9D5CUK6,0.833,3.03,280,ref_1BT3_Ibatatas
A0A9E7H3J2,0.952,2.00,320,ref_1BT3_Ibatatas
A0A9J7MSC3,0.944,3.11,272,ref_PmTYR
A0A9N8JDS5,0.889,3.78,256,ref_PmTYR
A0A9N9KL52,0.885,3.60,232,ref_1JS8_squid
A0A9N9LFQ9,0.912,3.92,320,ref_2Y9W_Abisporus
A0A9N9LHE3,0.934,2.66,328,ref_2Y9W_Abisporus
A0A9N9PT18,0.885,3.47,232,ref_1JS8_squid
A0A9N9TUY4,0.889,4.56,312,ref_2Y9W_Abisporus
A0A9N9YKH8,0.778,3.72,224,ref_PmTYR
A0A9P4H2P0,0.889,3.24,256,ref_PmTYR
A0A9P4IEM6,0.912,3.49,320,ref_2Y9W_Abisporus
A0A9P4JTW6,0.885,3.67,232,ref_1JS8_squid
A0A9P4NM41,0.794,3.77,208,ref_1JS8_squid
A0A9P4NQG6,0.889,3.82,256,ref_PmTYR
A0A9P4PM19,0.889,3.67,256,ref_PmTYR
A0A9P4PTR1,0.957,2.39,336,ref_2Y9W_Abisporus
A0A9P4QMU1,0.885,3.98,232,ref_1JS8_squid
A0A9P4U804,0.889,3.63,256,ref_PmTYR
A0A9P4YYF2,0.889,3.38,256,ref_PmTYR
A0A9P5BFG7,0.833,3.36,240,ref_PmTYR
A0A9P5EZI0,0.934,3.43,328,ref_2Y9W_Abisporus
A0A9P5F1P8,0.889,3.37,256,ref_PmTYR
A0A9P5IJI5,0.885,3.48,232,ref_1JS8_squid
A0A9P6DJR5,0.861,3.81,248,ref_PmTYR
A0A9P6EYF3,0.916,3.38,240,ref_1JS8_squid
A0A9P6HYB5,0.889,3.37,256,ref_PmTYR
A0A9P6LG06,0.861,3.31,248,ref_PmTYR
A0A9P7ECI6,0.866,3.89,304,ref_2Y9W_Abisporus
A0A9P7H959,0.750,4.07,216,ref_PmTYR
A0A9P7HU99,0.861,3.27,248,ref_PmTYR
A0A9P7QPY3,0.885,3.53,232,ref_1JS8_squid
A0A9P7R1E3,0.889,4.75,256,ref_PmTYR
A0A9P7R9D2,0.889,3.38,256,ref_PmTYR
A0A9P8DKY9,0.861,3.30,248,ref_PmTYR
A0A9P8EVR0,0.667,4.72,192,ref_PmTYR
A0A9P8G211,0.571,5.49,192,ref_1BT3_Ibatatas
A0A9P8G4G9,0.794,4.27,208,ref_1JS8_squid
A0A9P8GH40,0.794,4.05,208,ref_1JS8_squid
A0A9P8JBW6,0.694,3.90,200,ref_PmTYR
A0A9P8MUU1,0.702,3.65,184,ref_1JS8_squid
A0A9P8S6I3,0.694,4.15,200,ref_PmTYR
A0A9P8SF21,0.916,3.38,240,ref_1JS8_squid
A0A9P9AG59,0.885,3.45,232,ref_1JS8_squid
A0A9P9IM25,0.947,3.83,248,ref_1JS8_squid
A0A9P9KNI3,0.861,3.48,248,ref_PmTYR
A0A9P9X1G2,0.912,4.07,320,ref_2Y9W_Abisporus
A0A9Q0B5F6,0.763,4.26,200,ref_1JS8_squid
A0A9Q0B6Y1,0.889,3.38,256,ref_PmTYR
A0A9Q0QJI7,0.833,2.22,280,ref_1BT3_Ibatatas
A0A9Q1JNS3,0.952,1.65,320,ref_1BT3_Ibatatas
A0A9Q3GXD1,0.750,3.17,216,ref_PmTYR
A0A9Q3H9V3,0.672,3.86,176,ref_1JS8_squid
A0A9Q8LKP3,0.885,3.55,232,ref_1JS8_squid
A0A9Q8T2R4,0.889,3.42,256,ref_PmTYR
A0A9Q8WCM4,0.889,3.37,256,ref_PmTYR
A0A9Q8WG05,0.833,3.47,240,ref_PmTYR
A0A9R0TD02,0.991,1.49,336,ref_5CE9_Jregia
A0A9R0VMT2,0.885,4.30,232,ref_1JS8_squid
A0A9R1KF29,0.855,4.10,224,ref_1JS8_squid
A0A9R1N0A3,0.885,4.24,232,ref_1JS8_squid
A0A9R1RCW5,0.952,1.45,320,ref_1BT3_Ibatatas
A0A9W3BB61,0.885,3.67,232,ref_1JS8_squid
A0A9W4KMZ8,0.824,3.97,216,ref_1JS8_squid
A0A9W4W8U2,0.889,3.39,256,ref_PmTYR
A0A9W6AV28,0.824,4.02,216,ref_1JS8_squid
A0A9W6BT77,0.861,4.69,248,ref_PmTYR
A0A9W6TPR0,0.916,4.05,240,ref_1JS8_squid
A0A9W6UBD6,0.824,4.35,216,ref_1JS8_squid
A0A9W6XBY7,0.580,4.11,152,ref_1JS8_squid
A0A9W7T0I7,0.806,4.06,232,ref_PmTYR
A0A9W8VAU3,0.794,3.49,208,ref_1JS8_squid
A0A9W9AER9,0.855,3.83,224,ref_1JS8_squid
A0A9W9IRY5,0.885,3.65,232,ref_1JS8_squid
A0A9W9LNB7,0.667,3.34,192,ref_PmTYR
A0A9W9T4Q6,0.885,3.63,232,ref_1JS8_squid
A0A9W9WQE3,0.916,3.67,240,ref_1JS8_squid
A0A9X0AKU8,0.885,3.52,232,ref_1JS8_squid
A0A9X0AXG5,0.885,3.65,232,ref_1JS8_squid
A0AA35M0Q8,0.775,4.04,272,ref_2Y9W_Abisporus
A0AA35MIP6,0.885,3.94,232,ref_1JS8_squid
A0AA37GRR7,0.889,3.38,256,ref_PmTYR
A0AA37LBJ4,0.694,4.53,200,ref_PmTYR
A0AA37LRM6,0.885,3.96,232,ref_1JS8_squid
A0AA37P8W3,0.889,3.59,256,ref_PmTYR
A0AA38RAI0,0.806,4.23,232,ref_PmTYR
A0AA38XVF3,0.855,3.42,224,ref_1JS8_squid
A0AA38ZJU6,0.976,1.14,328,ref_1BT3_Ibatatas
A0AA39CFY0,0.821,3.91,288,ref_2Y9W_Abisporus
A0AA39GKR5,0.885,3.58,232,ref_1JS8_squid
A0AA39J8P7,0.889,3.64,256,ref_PmTYR
A0AA39K704,0.889,3.29,256,ref_PmTYR
A0AA39NTJ8,0.889,3.80,256,ref_PmTYR
A0AA39Q9J3,0.861,3.17,248,ref_PmTYR
A0AA39T9Y6,0.917,3.50,264,ref_PmTYR
A0AA39WFD7,0.855,3.69,224,ref_1JS8_squid
A0AA39WNN7,0.798,4.14,280,ref_2Y9W_Abisporus
A0AA39YZL0,0.861,3.62,248,ref_PmTYR
A0AA39ZVR3,0.778,3.59,224,ref_PmTYR
A0AA40K7X1,0.794,4.75,208,ref_1JS8_squid
A0AA41U5V3,0.855,3.29,224,ref_1JS8_squid
A0AA42B2P4,0.810,1.86,272,ref_1BT3_Ibatatas
A0AA43QLN8,0.889,3.42,256,ref_PmTYR
A0AA87Y286,0.794,4.70,208,ref_1JS8_squid
A0AA88U0R7,0.397,4.27,104,ref_1JS8_squid
A0AA88XTS7,0.750,3.18,216,ref_PmTYR
A0AA89B2U6,0.833,1.16,280,ref_1BT3_Ibatatas
A0AA97NUK3,0.889,4.12,256,ref_PmTYR
A0AA97P016,0.889,2.66,312,ref_2Y9W_Abisporus
A0AAD3DIW9,0.885,4.41,232,ref_1JS8_squid
A0AAD4BGZ0,0.916,3.81,240,ref_1JS8_squid
A0AAD4NRB5,0.778,3.45,224,ref_PmTYR
A0AAD5CAK5,0.976,2.48,328,ref_1BT3_Ibatatas
A0AAD5M387,0.916,4.33,240,ref_1JS8_squid
A0AAD5T3C3,0.916,3.80,240,ref_1JS8_squid
A0AAD5U3C8,0.885,3.46,232,ref_1JS8_squid
A0AAD5V4M1,0.885,4.37,232,ref_1JS8_squid
A0AAD5VMH3,0.916,3.72,240,ref_1JS8_squid
A0AAD5WPZ9,0.916,3.70,240,ref_1JS8_squid
A0AAD5XR56,0.794,3.98,208,ref_1JS8_squid
A0AAD6E0P8,0.885,3.69,232,ref_1JS8_squid
A0AAD6ZH33,0.611,4.12,176,ref_PmTYR
A0AAD7J5J2,0.957,2.40,336,ref_2Y9W_Abisporus
A0AAD8FEX8,0.977,2.66,256,ref_1JS8_squid
A0AAD8PIW8,0.885,3.62,232,ref_1JS8_squid
A0AAD8PLZ0,0.885,3.56,232,ref_1JS8_squid
A0AAD8PVJ5,0.861,3.85,248,ref_PmTYR
A0AAD8UFY3,0.889,3.37,256,ref_PmTYR
A0AAD9ARY9,0.889,3.58,256,ref_PmTYR
A0AAD9AZ26,0.885,3.50,232,ref_1JS8_squid
A0AAD9ECK1,0.889,3.74,256,ref_PmTYR
A0AAD9GMI7,0.885,4.05,232,ref_1JS8_squid
A0AAD9HBC0,0.885,3.48,232,ref_1JS8_squid
A0AAD9HKI6,0.889,3.38,256,ref_PmTYR
A0AAD9KZ40,0.855,4.26,224,ref_1JS8_squid
A0AAD9L024,0.855,4.04,224,ref_1JS8_squid
A0AAD9M015,0.885,3.46,232,ref_1JS8_squid
A0AAD9PC82,0.519,5.01,136,ref_1JS8_squid
A0AAD9QB69,0.861,3.72,248,ref_PmTYR
A0AAD9YE83,0.889,3.94,256,ref_PmTYR
A0AAE0CWK9,0.889,2.42,312,ref_2Y9W_Abisporus
A0AAE0D8U4,0.889,3.38,256,ref_PmTYR
A0AAE0HTN1,0.916,3.68,240,ref_1JS8_squid
A0AAE0LXM5,0.934,2.16,328,ref_2Y9W_Abisporus
A0AAE0LYH8,0.733,4.83,192,ref_1JS8_squid
A0AAE0M077,0.778,3.81,224,ref_PmTYR
A0AAE0MG27,0.722,4.32,208,ref_PmTYR
A0AAE0MYQ7,0.889,3.92,312,ref_2Y9W_Abisporus
A0AAE0NPZ1,0.750,4.60,216,ref_PmTYR
A0AAE0U1Q5,0.912,4.12,320,ref_2Y9W_Abisporus
A0AAE0WXT6,0.885,3.65,232,ref_1JS8_squid
A0AAE0X2E2,0.778,3.92,224,ref_PmTYR
A0AAE1CE31,0.866,4.45,304,ref_2Y9W_Abisporus
A0AAE8MN78,0.641,4.28,168,ref_1JS8_squid
A0AAE8STA2,0.855,4.57,224,ref_1JS8_squid
A0AAF5PZK9,0.889,3.26,256,ref_PmTYR
A0AAI8YW60,0.885,3.72,232,ref_1JS8_squid
A0AAI8YWT9,0.778,3.49,224,ref_PmTYR
A0AAI8YZG9,0.885,3.62,232,ref_1JS8_squid
A0AAI9UCA0,0.778,3.79,224,ref_PmTYR
A0AAI9UWB9,0.843,4.11,296,ref_2Y9W_Abisporus
A0AAI9XI30,0.916,3.89,240,ref_1JS8_squid
A0AAI9XMR1,0.889,3.14,256,ref_PmTYR
A0AAI9XNV3,0.889,3.61,256,ref_PmTYR
A0AAI9XSF2,0.889,3.38,256,ref_PmTYR
A0AAI9XYD0,0.889,3.44,256,ref_PmTYR
A0AAI9YQA0,0.889,3.65,256,ref_PmTYR
A0AAJ0A0G4,0.889,3.36,256,ref_PmTYR
A0AAJ0A9B9,0.866,3.51,304,ref_2Y9W_Abisporus
A0AAJ0DBW4,0.885,3.70,232,ref_1JS8_squid
A0AAJ0DVU7,0.889,3.37,256,ref_PmTYR
A0AAJ0EU37,0.806,3.89,232,ref_PmTYR
A0AAJ0HSA6,0.885,3.72,232,ref_1JS8_squid
A0AAJ8BCI9,0.824,3.60,216,ref_1JS8_squid
A0AAJ8BW86,0.885,4.04,232,ref_1JS8_squid
A0AAN5Z3W8,0.957,2.45,336,ref_2Y9W_Abisporus
A0AAN6E594,0.889,3.72,256,ref_PmTYR
A0AAN6F7R2,0.885,3.63,232,ref_1JS8_squid
A0AAN6G1Z6,0.885,3.61,232,ref_1JS8_squid
A0AAN6H7M5,0.885,3.62,232,ref_1JS8_squid
A0AAN6K752,0.885,3.60,232,ref_1JS8_squid
A0AAN6KA23,0.885,3.62,232,ref_1JS8_squid
A0AAN6LYU1,0.934,2.61,328,ref_2Y9W_Abisporus
A0AAN6N1G2,0.889,3.38,256,ref_PmTYR
A0AAN7GQ08,0.885,3.48,232,ref_1JS8_squid
A0AAN7VN59,0.885,3.64,232,ref_1JS8_squid
A0AAN8HSE1,0.931,1.23,336,ref_5M8L_human
A0AAN8ZF79,0.885,4.79,232,ref_1JS8_squid
A0AAN9UQ80,0.889,3.56,256,ref_PmTYR
A0AAN9YIB4,0.889,3.43,256,ref_PmTYR
A0AAQ3M852,0.980,2.70,344,ref_2Y9W_Abisporus
A0AAU9KU22,0.885,4.05,232,ref_1JS8_squid
A0AAV0UD10,0.885,4.01,232,ref_1JS8_squid
A0AAV0UFB5,0.885,4.00,232,ref_1JS8_squid
A0AAV0UHU3,0.885,4.04,232,ref_1JS8_squid
A0AAV0V041,0.806,4.27,232,ref_PmTYR
A0AAV1T0B6,0.885,4.04,232,ref_1JS8_squid
A0AAV2QBX0,0.733,3.61,192,ref_1JS8_squid
A0AAV2QDB1,0.722,3.68,208,ref_PmTYR
A0AAV2VYF3,0.885,3.26,232,ref_1JS8_squid
A0AAV2YQR1,0.885,3.95,232,ref_1JS8_squid
A0AAV2Z9U8,0.916,4.28,240,ref_1JS8_squid
A0AAV4IQ38,0.824,3.58,216,ref_1JS8_squid
A0AAV4JTX0,0.833,3.22,240,ref_PmTYR
A0AAV4PYT2,0.305,4.04,80,ref_1JS8_squid
A0AAV6LBV0,0.929,1.39,312,ref_1BT3_Ibatatas
A0AAV7NZD3,0.944,2.52,272,ref_PmTYR
A0AAV9FIQ9,0.873,3.29,296,ref_5CE9_Jregia
A0AAV9J8F3,0.885,3.91,232,ref_1JS8_squid
A0AAV9LU83,0.905,2.17,304,ref_1BT3_Ibatatas
A0AAV9N1J6,0.778,3.32,224,ref_PmTYR
A0AAV9SY11,0.889,3.36,256,ref_PmTYR
A0AAV9VIS4,0.947,3.67,248,ref_1JS8_squid
A0AAV9WSZ8,0.934,2.36,328,ref_2Y9W_Abisporus
A0AAW0DCV9,0.889,3.43,256,ref_PmTYR
A0AAW0GI35,0.934,2.98,328,ref_2Y9W_Abisporus
A0AAW0R484,0.833,3.52,240,ref_PmTYR
A0AAW2WSM8,0.885,4.13,232,ref_1JS8_squid
A0AAX4I0H5,0.889,3.37,256,ref_PmTYR
A0AAX4IJG7,0.885,3.54,232,ref_1JS8_squid
A0AAX6MJK2,0.855,3.88,224,ref_1JS8_squid
A0AB74JLQ5,0.543,5.19,184,ref_5CE9_Jregia
A0ABD1WHD2,0.810,1.90,272,ref_1BT3_Ibatatas
A0ABD3FTY2,0.885,3.89,232,ref_1JS8_squid
A0ABD3FX43,0.885,4.03,232,ref_1JS8_squid
A0ABD3I4U1,0.968,2.42,328,ref_5CE9_Jregia
