accession,taxid,kingdom,phylum,genus
A0A1Y1VY50,61395,Fungi,Zoopagomycota,Linderina
A0A1Y1W3Y5,61395,Fungi,Zoopagomycota,Linderina
A0A1Y1W8H1,61395,Fungi,Zoopagomycota,Linderina
A0A1Y1W8N5,61395,Fungi,Zoopagomycota,Linderina
A0A1Y1W9H1,61395,Fungi,Zoopagomycota,Linderina
A0A1Y1WUU7,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1WXW1,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1X7W0,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1XAL5,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1XFV3,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1XLK1,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1XM11,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1XU76,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1XUF9,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1XUN2,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1XZB8,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1Y0G3,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1Y162,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1Y3B8,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1Y3H3,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1Y511,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1Y750,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1YAL0,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1YBC0,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1YDM8,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1YGY2,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1YHD6,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1YII7,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1YL36,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1Z2V1,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1Z3P8,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1Z4N2,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1Z5L8,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1Z697,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1ZC58,1314790,Fungi,Zoopagomycota,Basidiobolus
A0A1Y1ZEP1,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZKF0,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZNT3,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZQ62,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZQB7,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZS34,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZT51,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZVC0,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZWF3,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y2A0W8,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y2A1D7,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y2A1T8,1231657,Fungi,Ascomycota,Clohesyomyces
A0A1Y2B8A2,329046,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2BRR1,329046,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2BS97,329046,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2C6Z8,329046,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2C7D2,329046,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2C902,329046,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2CS79,329046,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2CTX0,329046,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2D0T3,329046,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2D0V7,329046,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2D1M5,329046,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2D9W0,1141098,Fungi,Ascomycota,Pseudomassariella
A0A1Y2DJD5,1141098,Fungi,Ascomycota,Pseudomassariella
A0A1Y2DPS8,1141098,Fungi,Ascomycota,Pseudomassariella
A0A1Y2DQ55,1141098,Fungi,Ascomycota,Pseudomassariella
A0A1Y2DYQ2,1141098,Fungi,Ascomycota,Pseudomassariella
A0A1Y2E0D0,1141098,Fungi,Ascomycota,Pseudomassariella
A0A1Y2E320,1141098,Fungi,Ascomycota,Pseudomassariella
A0A1Y2E7P4,1141098,Fungi,Ascomycota,Pseudomassariella
A0A1Y2EAA7,1141098,Fungi,Ascomycota,Pseudomassariella
A0A1Y2EBR8,1141098,Fungi,Ascomycota,Pseudomassariella
A0A1Y2EC43,1141098,Fungi,Ascomycota,Pseudomassariella
A0A1Y2ELF4,1141098,Fungi,Ascomycota,Pseudomassariella
A0A1Y2H970,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HB26,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HBG1,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HBJ4,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HGN7,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HHP1,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HJL8,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HM72,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HMF9,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HSP2,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HVF8,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HYH5,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2I086,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2I2E8,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2I5X2,765915,Fungi,Blastocladiomycota,Catenaria
A0A1Y2J1T8,1353009,Fungi,Basidiomycota,Trametes
A0A1Y2J222,1353009,Fungi,Basidiomycota,Trametes
A0A1Y2JFF1,375,Bacteria,Pseudomonadota,Bradyrhizobium
A0A1Y2JMB7,375,Bacteria,Pseudomonadota,Bradyrhizobium
A0A1Y2LAB1,1293890,Bacteria,Pseudomonadota,Thalassospira
A0A1Y2LJE8,105696,Fungi,Ascomycota,Epicoccum
A0A1Y2LLX2,105696,Fungi,Ascomycota,Epicoccum
A0A1Y2LS64,105696,Fungi,Ascomycota,Epicoccum
A0A1Y2LTP6,105696,Fungi,Ascomycota,Epicoccum
A0A1Y2LV59,105696,Fungi,Ascomycota,Epicoccum
A0A1Y2LVN0,105696,Fungi,Ascomycota,Epicoccum
A0A1Y2LWY4,105696,Fungi,Ascomycota,Epicoccum
A0A1Y2LZD4,105696,Fungi,Ascomycota,Epicoccum
A0A1Y2M0W4,105696,Fungi,Ascomycota,Epicoccum
A0A1Y2M514,105696,Fungi,Ascomycota,Epicoccum
A0A1Y2MBF5,105696,Fungi,Ascomycota,Epicoccum
A0A1Y2MBQ1,105696,Fungi,Ascomycota,Epicoccum
A0A1Y2NMG9,1319510,Bacteria,Actinomycetota,Streptomyces
A0A1Y3CKL6,1977882,Bacteria,Pseudomonadota,Acinetobacter
A0A1Y5XJS9,2030,Bacteria,Actinomycetota,Kibdelosporangium
A0A1Y6CW86,1760988,Bacteria,Pseudomonadota,Methylomagnum
A0A1Y6LEM6,1276529,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LG60,1276529,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LH78,1276529,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LHS4,1276529,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LIE0,1276529,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LLP7,1276529,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LNC1,1276529,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LWP6,1276529,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LZT0,1276529,Fungi,Ascomycota,Zymoseptoria
A0A1Y6M338,1276529,Fungi,Ascomycota,Zymoseptoria
A0A1Z1WBL2,67267,Bacteria,Actinomycetota,Streptomyces
A0A1Z1WEX4,67267,Bacteria,Actinomycetota,Streptomyces
A0A1Z2KV18,1940,Bacteria,Actinomycetota,Streptomyces
A0A1Z2L0K2,1940,Bacteria,Actinomycetota,Streptomyces
A0A1Z2L705,1940,Bacteria,Actinomycetota,Streptomyces
A0A1Z4C3I1,1704499,Bacteria,Pseudomonadota,Methylovulum
A0A1Z4C3W5,1704499,Bacteria,Pseudomonadota,Methylovulum
A0A1Z4LKJ3,1973488,Bacteria,Cyanobacteriota,Calothrix
A0A1Z4LU81,1973488,Bacteria,Cyanobacteriota,Calothrix
A0A1Z4V9M4,1973481,Bacteria,Cyanobacteriota,Dolichospermum
A0A1Z5R8F8,4558,Plants,Streptophyta,Sorghum
A0A1Z5RF73,4558,Plants,Streptophyta,Sorghum
A0A1Z5SN13,1157616,Fungi,Ascomycota,Hortaea
A0A1Z5SRG5,1157616,Fungi,Ascomycota,Hortaea
A0A1Z5SY64,1157616,Fungi,Ascomycota,Hortaea
A0A1Z5SZD6,1157616,Fungi,Ascomycota,Hortaea
A0A1Z5T6Y5,1157616,Fungi,Ascomycota,Hortaea
A0A1Z5TA34,1157616,Fungi,Ascomycota,Hortaea
A0A1Z5TGP0,1157616,Fungi,Ascomycota,Hortaea
A0A1Z5TI13,1157616,Fungi,Ascomycota,Hortaea
A0A1Z5TJY0,1157616,Fungi,Ascomycota,Hortaea
A0A1Z5TLP4,1157616,Fungi,Ascomycota,Hortaea
A0A1Z5TMX8,1157616,Fungi,Ascomycota,Hortaea
A0A1Z5TUA1,1157616,Fungi,Ascomycota,Hortaea
A0A1Z5TVI1,1157616,Fungi,Ascomycota,Hortaea
A0A1Z8AWD3,328515,Bacteria,Bacteroidota,Nonlabens
A0A200PQQ4,56857,Plants,Streptophyta,Macleaya
A0A200PQR0,56857,Plants,Streptophyta,Macleaya
A0A200PQT6,56857,Plants,Streptophyta,Macleaya
A0A200Q9B4,56857,Plants,Streptophyta,Macleaya
A0A200Q9D2,56857,Plants,Streptophyta,Macleaya
A0A200R7R5,56857,Plants,Streptophyta,Macleaya
A0A202B6Z1,536,Bacteria,Pseudomonadota,Chromobacterium
A0A202B9X1,536,Bacteria,Pseudomonadota,Chromobacterium
A0A210PLP8,6573,Animals,Mollusca,Mizuhopecten
A0A210PPR4,6573,Animals,Mollusca,Mizuhopecten
A0A210PWA4,6573,Animals,Mollusca,Mizuhopecten
A0A210QF88,6573,Animals,Mollusca,Mizuhopecten
A0A210QHJ1,6573,Animals,Mollusca,Mizuhopecten
A0A210QHN1,6573,Animals,Mollusca,Mizuhopecten
A0A210QJN1,6573,Animals,Mollusca,Mizuhopecten
A0A210QJQ9,6573,Animals,Mollusca,Mizuhopecten
A0A210QJS6,6573,Animals,Mollusca,Mizuhopecten
A0A210QME8,6573,Animals,Mollusca,Mizuhopecten
A0A210QRD1,6573,Animals,Mollusca,Mizuhopecten
A0A210R172,6573,Animals,Mollusca,Mizuhopecten
A0A210R239,6573,Animals,Mollusca,Mizuhopecten
A0A210R249,6573,Animals,Mollusca,Mizuhopecten
A0A210R253,6573,Animals,Mollusca,Mizuhopecten
A0A210R2F8,6573,Animals,Mollusca,Mizuhopecten
A0A210R2J1,6573,Animals,Mollusca,Mizuhopecten
A0A210R2J5,6573,Animals,Mollusca,Mizuhopecten
A0A210R2L1,6573,Animals,Mollusca,Mizuhopecten
A0A210R2R4,6573,Animals,Mollusca,Mizuhopecten
A0A211ZIF3,171674,Bacteria,Pseudomonadota,Inquilinus
A0A212C521,46360,Animals,Chordata,Cervus
A0A218UTV1,40157,Animals,Chordata,Lonchura
A0A218V5V9,40157,Animals,Chordata,Lonchura
A0A218WZL2,22663,Plants,Streptophyta,Punica
A0A218YW74,2795749,Fungi,Ascomycota,Diplocarpon
A0A218YXK2,2795749,Fungi,Ascomycota,Diplocarpon
A0A218Z1A3,2795749,Fungi,Ascomycota,Diplocarpon
A0A218Z5Z3,2795749,Fungi,Ascomycota,Diplocarpon
A0A218ZEU2,2795749,Fungi,Ascomycota,Diplocarpon
A0A218ZG40,2795749,Fungi,Ascomycota,Diplocarpon
A0A218ZGH0,2795749,Fungi,Ascomycota,Diplocarpon
A0A221NXB2,1355015,Bacteria,Actinomycetota,Streptomyces
A0A221P6L7,1355015,Bacteria,Actinomycetota,Streptomyces
A0A222YS18,106299,Animals,Mollusca,Azumapecten
A0A222YSB4,106299,Animals,Mollusca,Azumapecten
A0A225AK64,1441469,Fungi,Ascomycota,Talaromyces
A0A225W8Z8,4795,Oomycota,Oomycota,Phytophthora
A0A225WDY0,4795,Oomycota,Oomycota,Phytophthora
A0A225WTA2,4795,Oomycota,Oomycota,Phytophthora
A0A225WXL0,4795,Oomycota,Oomycota,Phytophthora
A0A225WXR8,4795,Oomycota,Oomycota,Phytophthora
A0A225X068,4795,Oomycota,Oomycota,Phytophthora
A0A225X0D9,4795,Oomycota,Oomycota,Phytophthora
A0A225X3J0,4795,Oomycota,Oomycota,Phytophthora
A0A226MSN3,9009,Animals,Chordata,Callipepla
A0A226MV85,9009,Animals,Chordata,Callipepla
A0A227NIZ8,946678,Bacteria,Bacteroidota,Flavobacterium
A0A229WBV1,746128,Fungi,Ascomycota,Aspergillus
A0A229YF46,1245748,Fungi,Ascomycota,Aspergillus
A0A232M3J6,519963,Fungi,Ascomycota,Elaphomyces
A0A232M6A5,519963,Fungi,Ascomycota,Elaphomyces
A0A233S0M9,42236,Bacteria,Actinomycetota,Streptomyces
A0A233SWB8,42236,Bacteria,Actinomycetota,Streptomyces
A0A238BSW7,387005,Animals,Nematoda,Onchocerca
A0A238BUS9,387005,Animals,Nematoda,Onchocerca
A0A238C614,387005,Animals,Nematoda,Onchocerca
A0A238GSN3,3750,Plants,Streptophyta,Malus
A0A238GSS3,3750,Plants,Streptophyta,Malus
A0A238GT27,3750,Plants,Streptophyta,Malus
A0A238JCS7,1037362,Bacteria,Pseudomonadota,Pelagimonas
A0A238URH8,1938746,Bacteria,Actinomycetota,Blastococcus
A0A238WEM5,1214787,Bacteria,Pseudomonadota,Paracoccus
A0A239B9T9,1627892,Bacteria,Bacteroidota,Dokdonia
A0A239C589,1564159,Bacteria,Actinomycetota,Geodermatophilus
A0A239DL37,474952,Bacteria,Acidobacteriota,Granulicella
A0A239JU18,256466,Bacteria,Pseudomonadota,Pseudomonas
A0A243BGP5,180881,Bacteria,Bacillota,Bacillus
A0A243RJW7,487165,Bacteria,Actinomycetota,Streptomyces
A0A243S3W4,487165,Bacteria,Actinomycetota,Streptomyces
A0A248JNQ9,1441467,Bacteria,Pseudomonadota,Nitrospirillum
A0A248JZS5,1441467,Bacteria,Pseudomonadota,Nitrospirillum
A0A249PKJ6,716928,Bacteria,Pseudomonadota,Sinorhizobium
A0A250IQN3,1294270,Bacteria,Myxococcota,Melittangium
A0A250J906,43,Bacteria,Myxococcota,Cystobacter
A0A250JIN4,43,Bacteria,Myxococcota,Cystobacter
A0A250V858,1963,Bacteria,Actinomycetota,Streptomyces
A0A250VK24,1963,Bacteria,Actinomycetota,Streptomyces
A0A250X2B4,1157962,Plants,Chlorophyta,Chlamydomonas
A0A251PFJ6,3760,Plants,Streptophyta,Prunus
A0A251S095,4232,Plants,Streptophyta,Helianthus
A0A251SBY7,4232,Plants,Streptophyta,Helianthus
A0A251SCL8,4232,Plants,Streptophyta,Helianthus
A0A251T8E6,4232,Plants,Streptophyta,Helianthus
A0A251T9H9,4232,Plants,Streptophyta,Helianthus
A0A251TAZ6,4232,Plants,Streptophyta,Helianthus
A0A251TBX0,4232,Plants,Streptophyta,Helianthus
A0A251TCC9,4232,Plants,Streptophyta,Helianthus
A0A251TE56,4232,Plants,Streptophyta,Helianthus
A0A251TN65,4232,Plants,Streptophyta,Helianthus
A0A251TYX0,4232,Plants,Streptophyta,Helianthus
A0A254T7E5,1968433,Bacteria,Pseudomonadota,Noviherbaspirillum
A0A254TX54,5061,Fungi,Ascomycota,Aspergillus
A0A254U1W7,5061,Fungi,Ascomycota,Aspergillus
A0A254U6B9,5061,Fungi,Ascomycota,Aspergillus
A0A254U6L8,5061,Fungi,Ascomycota,Aspergillus
A0A254UGL9,5061,Fungi,Ascomycota,Aspergillus
A0A255XTK6,2022747,Bacteria,Pseudomonadota,Elstera
A0A255XVR5,2022747,Bacteria,Pseudomonadota,Elstera
A0A255Z219,1981099,Bacteria,Pseudomonadota,Niveispirillum
A0A260YNQ5,31234,Animals,Nematoda,Caenorhabditis
A0A260ZAA2,31234,Animals,Nematoda,Caenorhabditis
A0A260ZHJ1,31234,Animals,Nematoda,Caenorhabditis
A0A261A2D2,1503980,Animals,Nematoda,Caenorhabditis
A0A261AMC7,31234,Animals,Nematoda,Caenorhabditis
A0A261ART6,31234,Animals,Nematoda,Caenorhabditis
A0A261BML5,1503980,Animals,Nematoda,Caenorhabditis
A0A261BV78,1503980,Animals,Nematoda,Caenorhabditis
A0A261GRE4,1926491,Bacteria,Pseudomonadota,Hahella
A0A261GVB1,1926491,Bacteria,Pseudomonadota,Hahella
A0A267E0U8,282301,Animals,Platyhelminthes,Macrostomum
A0A267EJI9,282301,Animals,Platyhelminthes,Macrostomum
A0A267G1D3,282301,Animals,Platyhelminthes,Macrostomum
A0A270R4T3,206008,Plants,Streptophyta,Panicum
A0A270R4U3,206008,Plants,Streptophyta,Panicum
A0A284QKJ8,47428,Fungi,Basidiomycota,Armillaria
A0A284QUC6,47428,Fungi,Basidiomycota,Armillaria
A0A284QY39,47428,Fungi,Basidiomycota,Armillaria
A0A284R0V1,47428,Fungi,Basidiomycota,Armillaria
A0A284RJ44,47428,Fungi,Basidiomycota,Armillaria
A0A284RME6,47428,Fungi,Basidiomycota,Armillaria
A0A284RNM6,47428,Fungi,Basidiomycota,Armillaria
A0A284RQX4,47428,Fungi,Basidiomycota,Armillaria
A0A284RVV9,47428,Fungi,Basidiomycota,Armillaria
A0A285BU58,44577,Bacteria,Pseudomonadota,Nitrosomonas
A0A285N1Q2,1247520,Bacteria,Bacteroidota,Flagellimonas
A0A286K027,50426,Animals,Mollusca,Pinctada
A0A286MEA3,126903,Plants,Streptophyta,Physalis
A0A286UXE3,2282107,Fungi,Basidiomycota,Pyrrhoderma
A0A286UXH5,2282107,Fungi,Basidiomycota,Pyrrhoderma
A0A286ZW59,9823,Animals,Chordata,Sus
A0A291Q8A9,1616117,Bacteria,Actinomycetota,Streptomyces
A0A292PHN7,59557,Fungi,Ascomycota,Tuber
A0A292PKA2,59557,Fungi,Ascomycota,Tuber
A0A292PY08,59557,Fungi,Ascomycota,Tuber
A0A292PZ61,59557,Fungi,Ascomycota,Tuber
A0A292Q0S9,59557,Fungi,Ascomycota,Tuber
A0A2A2CYM0,1940,Bacteria,Actinomycetota,Streptomyces
A0A2A2CZR1,1940,Bacteria,Actinomycetota,Streptomyces
A0A2A2D8R7,1940,Bacteria,Actinomycetota,Streptomyces
A0A2A2J8D8,2018661,Animals,Nematoda,Diploscapter
A0A2A2JDD4,2018661,Animals,Nematoda,Diploscapter
A0A2A2JDX4,2018661,Animals,Nematoda,Diploscapter
A0A2A2JLU7,2018661,Animals,Nematoda,Diploscapter
A0A2A2JPQ9,2018661,Animals,Nematoda,Diploscapter
A0A2A2KE11,2018661,Animals,Nematoda,Diploscapter
A0A2A2KHM8,2018661,Animals,Nematoda,Diploscapter
A0A2A2KHX6,2018661,Animals,Nematoda,Diploscapter
A0A2A2KI00,2018661,Animals,Nematoda,Diploscapter
A0A2A2KI46,2018661,Animals,Nematoda,Diploscapter
A0A2A2KI70,2018661,Animals,Nematoda,Diploscapter
A0A2A2KQK3,2018661,Animals,Nematoda,Diploscapter
A0A2A2KR94,2018661,Animals,Nematoda,Diploscapter
A0A2A2KT25,2018661,Animals,Nematoda,Diploscapter
A0A2A2KT57,2018661,Animals,Nematoda,Diploscapter
A0A2A2KT69,2018661,Animals,Nematoda,Diploscapter
A0A2A2KT76,2018661,Animals,Nematoda,Diploscapter
A0A2A2KT86,2018661,Animals,Nematoda,Diploscapter
A0A2A2KT89,2018661,Animals,Nematoda,Diploscapter
A0A2A2KT90,2018661,Animals,Nematoda,Diploscapter
A0A2A2KT92,2018661,Animals,Nematoda,Diploscapter
A0A2A2KT95,2018661,Animals,Nematoda,Diploscapter
A0A2A2KT96,2018661,Animals,Nematoda,Diploscapter
A0A2A2KTJ9,2018661,Animals,Nematoda,Diploscapter
A0A2A2KTL5,2018661,Animals,Nematoda,Diploscapter
A0A2A2L189,2018661,Animals,Nematoda,Diploscapter
A0A2A2L7X7,2018661,Animals,Nematoda,Diploscapter
A0A2A2LC42,2018661,Animals,Nematoda,Diploscapter
A0A2A2MFM9,546367,Bacteria,Pseudomonadota,Hafnia
A0A2A2PN16,321662,Bacteria,Pseudomonadota,Pseudomonas
A0A2A4FEF3,265293,Bacteria,Pseudomonadota,Burkholderia
A0A2A4FK57,265293,Bacteria,Pseudomonadota,Burkholderia
A0A2A5KJE3,1535245,Bacteria,Pseudomonadota,Rhizobium
A0A2A6B3L8,54126,Animals,Nematoda,Pristionchus
A0A2A6BIE1,54126,Animals,Nematoda,Pristionchus
A0A2A6BQG6,54126,Animals,Nematoda,Pristionchus
A0A2A6BT42,54126,Animals,Nematoda,Pristionchus
A0A2A6C0P8,54126,Animals,Nematoda,Pristionchus
A0A2A6C452,54126,Animals,Nematoda,Pristionchus
A0A2A6CJW1,54126,Animals,Nematoda,Pristionchus
A0A2A6J2U9,2035448,Bacteria,Pseudomonadota,Rhizobium
A0A2A7N7N2,36811,Bacteria,Actinomycetota,Mycolicibacterium
A0A2A7SC70,28095,Bacteria,Pseudomonadota,Burkholderia
A0A2A9P2X5,268505,Fungi,Ascomycota,Ophiocordyceps
A0A2A9PFR7,268505,Fungi,Ascomycota,Ophiocordyceps
A0A2A9PJA7,268505,Fungi,Ascomycota,Ophiocordyceps
A0A2A9PJB5,268505,Fungi,Ascomycota,Ophiocordyceps
A0A2A9PND3,268505,Fungi,Ascomycota,Ophiocordyceps
A0A2A9PRJ6,268505,Fungi,Ascomycota,Ophiocordyceps
A0A2A9PSU3,268505,Fungi,Ascomycota,Ophiocordyceps
A0A2B4R7J8,50429,Animals,Cnidaria,Stylophora
A0A2B4RIN6,50429,Animals,Cnidaria,Stylophora
A0A2B4RKW6,50429,Animals,Cnidaria,Stylophora
A0A2B4RN75,50429,Animals,Cnidaria,Stylophora
A0A2B4RNC9,50429,Animals,Cnidaria,Stylophora
A0A2B4RPF7,50429,Animals,Cnidaria,Stylophora
A0A2B4RQ59,50429,Animals,Cnidaria,Stylophora
A0A2B4RQQ5,50429,Animals,Cnidaria,Stylophora
A0A2B4SFS2,50429,Animals,Cnidaria,Stylophora
A0A2B4SG55,50429,Animals,Cnidaria,Stylophora
A0A2B4SQ19,50429,Animals,Cnidaria,Stylophora
A0A2B4STS7,50429,Animals,Cnidaria,Stylophora
A0A2B7WHR8,1447875,Fungi,Ascomycota,Helicocarpus
A0A2B7WN75,2060905,Fungi,Ascomycota,Blastomyces
A0A2B7WWK3,1447875,Fungi,Ascomycota,Helicocarpus
A0A2B7WX14,1447875,Fungi,Ascomycota,Helicocarpus
A0A2B7WZX3,2060905,Fungi,Ascomycota,Blastomyces
A0A2B7X0H1,2060905,Fungi,Ascomycota,Blastomyces
A0A2B7X3E4,2060905,Fungi,Ascomycota,Blastomyces
A0A2B7X5B2,2060905,Fungi,Ascomycota,Blastomyces
A0A2B7X6I9,2060905,Fungi,Ascomycota,Blastomyces
A0A2B7XQF2,1447875,Fungi,Ascomycota,Helicocarpus
A0A2B7XVW2,1447875,Fungi,Ascomycota,Helicocarpus
A0A2B7XWW1,1447875,Fungi,Ascomycota,Helicocarpus
A0A2B7XYY6,1447883,Fungi,Ascomycota,Polytolypa
A0A2B7XZH1,1447875,Fungi,Ascomycota,Helicocarpus
A0A2B7Y0Z4,1447883,Fungi,Ascomycota,Polytolypa
A0A2B7Y2D7,1447875,Fungi,Ascomycota,Helicocarpus
A0A2B7Y3U7,1447883,Fungi,Ascomycota,Polytolypa
A0A2B7Y571,1447875,Fungi,Ascomycota,Helicocarpus
A0A2B7YAT8,1447883,Fungi,Ascomycota,Polytolypa
A0A2B7YCJ2,1447875,Fungi,Ascomycota,Helicocarpus
A0A2B7YDC2,1447875,Fungi,Ascomycota,Helicocarpus
A0A2B7YQX0,1447883,Fungi,Ascomycota,Polytolypa
A0A2B7Z651,73230,Fungi,Ascomycota,[Emmonsia]
A0A2B7ZAM7,73230,Fungi,Ascomycota,[Emmonsia]
A0A2B7ZD97,73230,Fungi,Ascomycota,[Emmonsia]
A0A2B7ZFZ8,73230,Fungi,Ascomycota,[Emmonsia]
A0A2B7ZKP4,73230,Fungi,Ascomycota,[Emmonsia]
A0A2B7ZS17,73230,Fungi,Ascomycota,[Emmonsia]
A0A2B7ZTN1,73230,Fungi,Ascomycota,[Emmonsia]
A0A2B8BFB1,2044885,Bacteria,Pseudomonadota,Azospirillum
A0A2C5X0B9,1035309,Fungi,Ascomycota,Ceratocystis
A0A2C5XK77,1035309,Fungi,Ascomycota,Ceratocystis
A0A2C5XL89,2004952,Fungi,Ascomycota,Ophiocordyceps
A0A2C5XTP8,1399860,Fungi,Ascomycota,Ophiocordyceps
A0A2C5Y901,1399860,Fungi,Ascomycota,Ophiocordyceps
A0A2C5YDY5,1399860,Fungi,Ascomycota,Ophiocordyceps
A0A2C5YFN0,2004952,Fungi,Ascomycota,Ophiocordyceps
A0A2C5YKI6,2004952,Fungi,Ascomycota,Ophiocordyceps
A0A2C5YLV5,1399860,Fungi,Ascomycota,Ophiocordyceps
A0A2C5YSY6,2004952,Fungi,Ascomycota,Ophiocordyceps
A0A2C5ZBU4,2004952,Fungi,Ascomycota,Ophiocordyceps
A0A2C5ZDY8,1399860,Fungi,Ascomycota,Ophiocordyceps
A0A2C5ZER1,1399860,Fungi,Ascomycota,Ophiocordyceps
A0A2C5ZMG7,2004952,Fungi,Ascomycota,Ophiocordyceps
A0A2C9JDT0,6526,Animals,Mollusca,Biomphalaria
A0A2C9KDF9,6526,Animals,Mollusca,Biomphalaria
A0A2C9KDI8,6526,Animals,Mollusca,Biomphalaria
A0A2C9L419,6526,Animals,Mollusca,Biomphalaria
A0A2C9LHZ0,6526,Animals,Mollusca,Biomphalaria
A0A2C9U520,3983,Plants,Streptophyta,Manihot
A0A2D0N956,1122177,Bacteria,Bacteroidota,Flavilitoribacter
A0A2D0NGI4,1122177,Bacteria,Bacteroidota,Flavilitoribacter
A0A2D0QFY2,7998,Animals,Chordata,Ictalurus
A0A2D0SW34,7998,Animals,Chordata,Ictalurus
A0A2D2AU21,69666,Bacteria,Pseudomonadota,Caulobacter
A0A2D3UP66,112498,Fungi,Ascomycota,Ramularia
A0A2D3URD8,112498,Fungi,Ascomycota,Ramularia
A0A2D3USA2,112498,Fungi,Ascomycota,Ramularia
A0A2D3UTW4,112498,Fungi,Ascomycota,Ramularia
A0A2D3UWI9,112498,Fungi,Ascomycota,Ramularia
A0A2D3UX83,112498,Fungi,Ascomycota,Ramularia
A0A2D3V5Q1,112498,Fungi,Ascomycota,Ramularia
A0A2D3V8K9,112498,Fungi,Ascomycota,Ramularia
