accession,afdb_available,afdb_his_missing,af3_cu_cu,af3_centroid,afdb_centroid,delta_centroid,n_cuA_his,n_cuB_his,afdb_cuA_found,afdb_cuB_found,afdb_cuA_plddt,afdb_cuB_plddt
A0A135T5S7,True,False,4.42,5.54,5.01,-0.53,3,3,3,3,90.1,98.0
A0A139HT25,True,False,4.11,5.44,4.91,-0.53,3,3,3,3,98.6,96.6
A0A162K920,True,False,3.97,4.98,4.45,-0.53,3,3,3,3,93.8,96.0
A0A1B7NUR7,True,False,4.07,5.27,4.73,-0.53,3,3,3,3,98.9,97.9
A0A1E7LZP5,True,False,4.22,5.34,4.81,-0.53,3,3,3,3,98.8,98.2
A0A1Y1Z5L8,True,False,4.34,5.45,4.92,-0.53,3,3,3,3,98.5,98.3
A0A1Y2LZD4,True,False,4.21,5.27,4.74,-0.53,3,3,3,3,98.8,98.8
A0A2B7XYY6,True,False,4.05,5.26,4.73,-0.53,3,3,3,3,98.3,98.9
A0A2H3BRY6,True,False,4.16,5.31,4.78,-0.53,3,3,3,3,98.1,98.1
A0A2K0UQ00,True,False,4.35,5.47,4.94,-0.53,3,3,3,3,94.1,95.1
A0A2T3N9Z2,True,False,3.92,4.73,4.2,-0.53,3,3,3,3,98.6,96.6
A0A319EJ46,True,False,4.62,5.79,5.26,-0.53,3,3,3,3,96.8,98.6
A0A370BCH9,True,False,4.17,5.25,4.71,-0.53,3,3,3,3,98.6,98.0
A0A397EYN3,True,False,4.27,5.39,4.85,-0.53,3,3,3,3,98.7,98.0
A0A3M7GMT4,True,False,4.2,5.34,4.81,-0.53,3,3,3,3,98.8,98.8
A0A3P7WJD8,True,False,4.4,5.39,4.85,-0.53,3,3,3,3,97.8,95.2
A0A3R7DAX5,True,False,4.39,5.45,4.91,-0.53,3,3,3,3,96.3,92.9
A0A4Q4S9N1,True,False,4.43,5.37,4.83,-0.53,3,3,3,3,98.6,97.4
A0A4W3IXA9,True,False,3.74,4.76,5.29,0.53,3,3,3,3,95.3,97.3
A0A4Z0HNY2,True,False,3.94,4.91,4.38,-0.53,3,3,3,3,98.6,96.2
A0A5C3QRI1,True,False,4.16,5.21,4.67,-0.53,3,3,3,3,97.4,97.9
A0A5D4IM22,True,False,4.16,5.32,4.79,-0.53,3,3,3,3,98.4,97.4
A0A658QXI9,True,False,4.42,5.02,4.49,-0.53,3,3,3,3,98.7,96.2
A0A6A5W0S4,True,False,4.15,5.39,4.87,-0.53,3,3,3,3,98.9,98.8
A0A6A6DEK0,True,False,4.52,4.97,4.44,-0.53,3,3,3,3,98.8,97.0
A0A6A6TZQ7,True,False,4.13,5.14,4.62,-0.53,3,3,3,3,95.8,94.2
A0A6A6V5W2,True,False,4.11,5.32,4.79,-0.53,3,3,3,3,98.4,98.3
A0A6C0K5N7,True,False,4.14,4.9,4.37,-0.53,3,3,3,3,98.7,96.1
A0A6G1IP66,True,False,3.87,5.14,4.61,-0.53,3,3,3,3,97.7,98.5
A0A6J3MCF2,True,False,4.05,5.11,4.58,-0.53,3,3,3,3,98.4,98.6
A0A7L9UBA5,True,False,4.17,4.85,4.32,-0.53,3,3,3,3,98.5,95.6
A0A7R9M988,True,False,4.06,4.87,4.34,-0.53,3,3,3,3,98.2,98.0
A0A7R9QVX0,True,False,4.13,5.13,4.6,-0.53,3,3,3,3,93.9,93.7
A0A8H3BAF1,True,False,4.35,5.3,4.77,-0.53,3,3,3,3,97.9,97.9
A0A8H2XCL6,True,False,4.26,5.29,4.76,-0.53,3,3,3,3,97.9,97.4
A0A8H2Y0Y5,True,False,4.24,5.27,4.74,-0.53,3,3,3,3,98.5,97.6
A0A8H5W5B7,True,False,4.22,5.33,4.8,-0.53,3,3,3,3,96.3,98.5
A0A8H6VME7,True,False,4.03,5.34,4.81,-0.53,3,3,3,3,98.6,95.1
A0A8H7IKL1,True,False,4.2,5.25,4.72,-0.53,3,3,3,3,97.0,98.0
A0A8J2IB02,True,False,4.28,5.29,4.76,-0.53,3,3,3,3,98.6,98.4
A0A8K0J8J2,True,False,4.11,5.13,4.61,-0.53,3,3,3,3,97.7,98.1
A0A8K0R411,True,False,4.36,5.34,4.81,-0.53,3,3,3,3,96.8,98.0
A0A8W8K452,True,False,3.87,5.04,5.57,0.53,3,3,3,3,94.3,93.4
A0A914MEW9,True,False,4.61,5.51,4.98,-0.53,3,3,3,3,98.4,97.5
A0A918ES06,True,False,4.07,5.3,4.77,-0.53,3,3,3,3,98.3,98.1
A0A9P4W6F6,True,False,4.14,5.14,4.61,-0.53,3,3,3,3,98.6,98.2
A0A9P5H912,True,False,4.36,5.29,4.75,-0.53,3,3,3,3,98.9,98.9
A0A9P7KAY0,True,False,4.25,5.27,4.74,-0.53,3,3,3,3,98.6,98.2
A0A9W8DW82,True,False,4.22,5.28,4.75,-0.53,3,3,3,3,89.8,91.6
A0A9W7ZWU4,True,False,4.28,5.36,4.82,-0.53,3,3,3,3,98.5,97.6
A0AA40D5H7,True,False,4.09,5.14,4.62,-0.53,3,3,3,3,98.6,98.1
A0AA40E1Y5,True,False,3.94,5.18,4.65,-0.53,3,3,3,3,98.4,97.9
A0AAD8TPJ5,True,False,4.34,5.16,4.63,-0.53,3,3,3,3,98.8,97.2
A0AAD9EPX8,True,False,4.38,5.31,4.78,-0.53,3,3,3,3,98.8,98.9
A0AAD9HNZ5,True,False,4.16,4.98,4.45,-0.53,3,3,3,3,96.5,97.4
A0AAD9SAU8,True,False,4.37,5.23,4.7,-0.53,3,3,3,3,96.4,92.8
A0AAJ0B7Z5,True,False,4.2,5.21,4.68,-0.53,3,3,3,3,98.6,98.6
A0AAJ1E1B2,True,False,3.92,4.82,4.29,-0.53,3,3,3,3,98.4,97.8
A0AAN6Y1Z0,True,False,4.14,5.17,4.64,-0.53,3,3,3,3,98.8,98.8
A0AAT9GWH1,True,False,4.21,4.83,4.3,-0.53,3,3,3,3,98.4,91.4
A0AAU8IVA8,True,False,4.23,5.44,4.9,-0.53,3,3,3,3,98.7,98.3
A0AAV0B387,True,False,4.22,5.33,4.81,-0.53,3,3,3,3,98.5,97.3
A0AB34C678,True,False,3.89,4.85,4.31,-0.53,3,3,3,3,98.2,97.5
A8NKU3,True,False,4.77,5.56,5.03,-0.53,3,3,3,3,98.3,97.9
D7G0J7,True,False,4.93,5.5,4.97,-0.53,3,3,3,3,93.5,93.9
D7G9A4,True,False,4.99,5.75,5.22,-0.53,3,3,3,3,96.1,96.1
G2ZN65,True,False,4.21,4.9,4.37,-0.53,3,3,3,3,97.3,94.5
H8ZAQ6,True,False,4.41,5.49,4.96,-0.53,3,3,3,3,97.1,98.8
I1S6D3,True,False,4.5,5.29,4.76,-0.53,3,3,3,3,90.0,86.8
L7J4F2,True,False,4.25,5.22,4.69,-0.53,3,3,3,3,98.7,98.7
M2RYT5,True,False,4.26,5.25,4.72,-0.53,3,3,3,3,97.2,97.6
M2T5D0,True,False,4.29,5.27,4.74,-0.53,3,3,3,3,98.8,98.5
M7S888,True,False,4.01,5.2,4.66,-0.53,3,3,3,3,98.5,97.6
N0D3E9,True,False,4.19,5.37,4.84,-0.53,3,3,3,3,98.3,97.6
N1PJJ1,True,False,4.4,5.58,5.05,-0.53,3,3,3,3,98.7,98.3
N1RTX1,True,False,4.72,5.09,4.56,-0.53,3,3,3,3,92.9,83.8
N9NGC5,True,False,4.09,4.79,4.26,-0.53,3,3,3,3,98.5,96.5
U4L8S4,True,False,4.25,5.15,4.62,-0.53,3,3,3,3,98.8,98.3
W6Y2N7,True,False,4.04,5.12,4.59,-0.53,3,3,3,3,98.6,97.6
W6YBJ6,True,False,4.33,5.26,4.73,-0.53,3,3,3,3,97.2,97.7
W7EEN6,True,False,4.25,5.38,4.84,-0.53,3,3,3,3,98.7,98.2
A0A081AZP8,True,False,4.02,5.28,4.76,-0.52,3,3,3,3,98.8,96.6
A0A067D5R2,True,False,4.2,5.16,4.64,-0.52,3,3,3,3,95.6,94.4
A0A0D2BR19,True,False,4.44,5.62,5.1,-0.52,3,3,3,3,98.6,98.5
A0A0D2CZ06,True,False,4.69,5.61,5.08,-0.52,3,3,3,3,98.3,98.1
A0A0A7CPE6,True,False,3.83,4.92,4.41,-0.52,3,3,3,3,96.6,91.8
A0A0D6LVI5,True,False,4.29,5.81,5.29,-0.52,3,3,3,3,96.0,94.5
A0A0G4KXM3,True,False,4.21,5.21,4.69,-0.52,3,3,3,3,98.2,98.4
A0A0K9Q3U4,True,False,3.87,4.99,4.47,-0.52,3,3,3,3,98.0,95.4
A0A0N0ZT96,True,False,4.07,4.82,4.3,-0.52,3,3,3,3,98.8,97.2
A0A0U1MAB1,True,False,4.35,5.02,4.51,-0.52,3,3,3,3,92.2,85.4
A0A137P7Q8,True,False,4.27,5.41,4.89,-0.52,3,3,3,3,98.6,98.8
A0A180G831,True,False,3.93,5.01,4.49,-0.52,3,3,3,3,92.1,90.1
A0A1W2TJ16,True,False,4.07,5.04,4.52,-0.52,3,3,3,3,97.2,98.4
A0A1Y2C6Z8,True,False,4.35,5.29,4.77,-0.52,3,3,3,3,93.9,91.0
A0A238C614,True,False,3.85,5.11,4.58,-0.52,3,3,3,3,98.1,94.9
A0A2A2KT69,True,False,4.2,5.55,5.02,-0.52,3,3,3,3,95.1,93.5
A0A2A2KT96,True,False,4.07,5.52,5.0,-0.52,3,3,3,3,98.5,96.7
A0A2A6C0P8,True,False,4.11,5.21,4.69,-0.52,3,3,3,3,98.4,95.5
A0A2H3H6R0,True,False,4.01,5.11,4.59,-0.52,3,3,3,3,98.6,98.6
A0A2R6WA03,True,False,3.86,4.88,4.36,-0.52,3,3,3,3,96.0,94.9
A0A2T2NBF2,True,False,4.33,4.78,4.26,-0.52,3,3,3,3,98.6,95.8
A0A2T9K5C6,True,False,4.07,4.67,4.15,-0.52,3,3,3,3,97.5,91.9
A0A316YS64,True,False,3.77,5.05,4.53,-0.52,3,3,3,3,92.7,95.8
A0A317WN23,True,False,4.09,5.14,4.62,-0.52,3,3,3,3,98.8,98.6
A0A446BNG4,True,False,4.28,5.04,4.53,-0.52,3,3,3,3,96.8,95.7
A0A4P9XTI0,True,False,4.19,5.4,4.88,-0.52,3,3,3,3,98.7,98.6
A0A4Q4NF14,True,False,4.3,5.29,4.77,-0.52,3,3,3,3,98.5,98.3
A0A4Q4RRP6,True,False,4.18,5.31,4.79,-0.52,3,3,3,3,98.8,98.4
A0A4R8TJ20,True,False,4.09,5.22,4.7,-0.52,3,3,3,3,98.7,97.0
A0A4U6QLS0,True,False,4.02,5.09,4.58,-0.52,3,3,3,3,98.7,97.9
A0A507EP76,True,False,4.44,5.41,4.89,-0.52,3,3,3,3,93.4,84.5
A0A6A4ZAE7,True,False,4.5,5.53,5.01,-0.52,3,3,3,3,98.7,98.6
A0A6A5W2X8,True,False,4.12,5.08,4.56,-0.52,3,3,3,3,95.4,97.5
A0A6G1KA37,True,False,4.21,5.12,4.6,-0.52,3,3,3,3,98.6,97.2
A0A6M4PQD2,True,False,4.12,5.31,4.79,-0.52,3,3,3,3,98.6,98.0
A0A6V7TZW7,True,False,4.27,5.16,4.65,-0.52,3,3,3,3,98.7,98.1
A0A6V7U1J5,True,False,4.14,5.14,4.62,-0.52,3,3,3,3,98.7,97.2
A0A7T7RE24,True,False,4.03,5.27,4.75,-0.52,3,3,3,3,98.7,98.0
A0A8H7BCK5,True,False,4.3,4.95,4.44,-0.52,3,3,3,3,98.7,97.0
A0A8H7DQG2,True,False,4.17,5.22,4.7,-0.52,3,3,3,3,97.8,98.2
A0A8J3FJ51,True,False,4.01,5.11,4.6,-0.52,3,3,3,3,96.5,97.6
A0A8K0SFD5,True,False,4.51,5.52,5.01,-0.52,3,3,3,3,97.4,97.3
A0A8T0H8D7,True,False,4.89,5.22,4.7,-0.52,3,3,3,3,97.9,96.6
A0A915Q482,True,False,4.38,5.49,4.97,-0.52,3,3,3,3,98.0,96.2
A0A941I4M6,True,False,3.93,4.57,4.05,-0.52,3,3,3,3,98.1,95.3
A0A9N8DN83,True,False,4.21,5.4,4.88,-0.52,3,3,3,3,98.5,95.4
A0A9K3KLT7,True,False,4.16,5.3,4.79,-0.52,3,3,3,3,94.9,85.2
A0A9N9YVX9,True,False,4.08,5.24,4.73,-0.52,3,3,3,3,98.2,90.9
A0A9P7ZK00,True,False,4.07,5.22,4.7,-0.52,3,3,3,3,98.7,98.6
A0A9P8D8F5,True,False,4.18,5.3,4.78,-0.52,3,3,3,3,98.5,96.6
A0A9P9XMR3,True,False,4.26,5.28,4.76,-0.52,3,3,3,3,98.8,98.7
A0A9Q8Z1I0,True,False,4.23,4.94,4.42,-0.52,3,3,3,3,98.6,96.5
A0A9W4P7V8,True,False,3.6,3.99,4.51,0.52,3,3,3,3,78.4,88.5
A0AA39MWI5,True,False,3.95,5.11,4.6,-0.52,3,3,3,3,98.8,96.1
A0AA39XH83,True,False,4.29,5.46,4.95,-0.52,3,3,3,3,97.6,97.0
A0AAD4GWA3,True,False,4.41,5.43,4.9,-0.52,3,3,3,3,95.8,96.6
A0AAD4NUF4,True,False,4.3,5.3,4.78,-0.52,3,3,3,3,98.7,98.4
A0AAD6CX30,True,False,4.25,5.36,4.83,-0.52,3,3,3,3,98.0,98.4
A0AAD5LMN7,True,False,4.33,5.39,4.87,-0.52,3,3,3,3,98.7,98.0
A0AAD8U991,True,False,4.5,5.14,4.62,-0.52,3,3,3,3,94.2,87.1
A0AAD8XJ28,True,False,4.17,5.22,4.7,-0.52,3,3,3,3,98.6,98.4
A0AAE2RED6,True,False,4.1,4.81,4.28,-0.52,3,3,3,3,98.2,96.3
A0AAE8VXB0,True,False,4.1,5.27,4.75,-0.52,3,3,3,3,98.5,98.2
A0AAN6MFB6,True,False,3.99,4.97,4.46,-0.52,3,3,3,3,97.7,96.7
A0AAV2ZA52,True,False,4.02,5.35,4.83,-0.52,3,3,3,3,97.0,96.5
A0AAV9HJ72,True,False,4.29,5.26,4.74,-0.52,3,3,3,3,98.7,98.7
A0AAW0BU79,True,False,4.42,5.43,4.91,-0.52,3,3,3,3,98.3,95.5
A0AAW5AIV8,True,False,4.56,5.24,4.72,-0.52,3,3,3,3,94.5,87.0
A0AB36TKW0,True,False,3.85,5.06,4.54,-0.52,3,3,3,3,98.5,97.1
A0ABD3FDS6,True,False,4.11,5.27,4.75,-0.52,3,3,3,3,98.7,97.9
A8MZX9,True,False,4.3,5.3,4.78,-0.52,3,3,3,3,94.8,93.3
C6VUT6,True,False,4.08,4.92,4.4,-0.52,3,3,3,3,98.8,97.2
F9X8H9,True,False,3.92,4.78,4.26,-0.52,3,3,3,3,98.1,97.4
M5BK46,True,False,4.4,5.26,4.74,-0.52,3,3,3,3,98.0,94.5
W2XSE9,True,False,4.23,5.36,4.84,-0.52,3,3,3,3,98.8,97.7
W4H234,True,False,4.1,5.37,4.85,-0.52,3,3,3,3,98.2,97.2
W9W212,True,False,4.76,5.71,5.19,-0.52,3,3,3,3,98.5,97.9
X8J9Q9,True,False,4.31,5.33,4.82,-0.52,3,3,3,3,98.1,93.2
A0A0D2BB96,True,False,4.74,5.62,5.11,-0.51,3,3,3,3,98.1,98.0
A0A0D2EZC7,True,False,4.92,5.9,5.4,-0.51,3,3,3,3,98.6,98.3
A0A0D2YBM6,True,False,4.13,5.28,4.77,-0.51,3,3,3,3,97.4,98.5
A0A0D6MD13,True,False,4.15,5.39,4.88,-0.51,3,3,3,3,90.1,93.7
A0A0G2J5V5,True,False,4.18,5.32,4.8,-0.51,3,3,3,3,98.9,98.2
A0A0L0T3A5,True,False,4.27,5.45,4.94,-0.51,3,3,3,3,95.4,93.0
A0A0N4XV59,True,False,4.01,5.21,4.69,-0.51,3,3,3,3,97.8,96.1
A0A0R3PT20,True,False,4.44,5.52,5.01,-0.51,3,3,3,3,97.3,96.0
A0A0R3RHW7,True,False,4.14,5.28,4.77,-0.51,3,3,3,3,98.7,96.9
A0A136IST3,True,False,4.26,5.38,4.87,-0.51,3,3,3,3,98.5,97.8
A0A137P4M5,True,False,4.12,5.32,4.82,-0.51,3,3,3,3,95.6,95.3
A0A150GSZ2,True,False,4.49,5.39,4.88,-0.51,3,3,3,3,96.1,91.0
A0A160P4Z8,True,False,4.19,5.39,4.89,-0.51,3,3,3,3,98.7,98.6
A0A166RQG5,True,False,4.26,5.32,4.82,-0.51,3,3,3,3,98.8,98.4
A0A165C107,True,False,4.28,5.36,4.85,-0.51,3,3,3,3,97.6,97.4
A0A177D6G4,True,False,4.43,5.38,4.88,-0.51,3,3,3,3,96.8,97.8
A0A183C149,True,False,4.43,5.46,4.95,-0.51,3,3,3,3,91.0,90.8
A0A177WIF3,True,False,4.01,5.21,4.7,-0.51,3,3,3,3,93.5,94.9
A0A1B1M9M2,True,False,4.02,5.25,4.75,-0.51,3,3,3,3,98.6,98.4
A0A1D8P699,True,False,4.17,5.21,4.71,-0.51,3,3,3,3,96.1,83.8
A0A1L7WCH0,True,False,4.13,5.24,4.73,-0.51,3,3,3,3,98.9,98.3
A0A1J4P798,True,False,4.15,5.33,4.81,-0.51,3,3,3,3,98.7,98.1
A0A1M6YZ20,True,False,4.32,4.71,5.21,0.51,3,3,3,3,98.6,91.3
A0A1V9YEM7,True,False,4.3,5.43,4.92,-0.51,3,3,3,3,97.6,96.7
A0A1X6P7W8,True,False,4.23,5.28,4.77,-0.51,3,3,3,3,97.6,97.9
A0A210QME8,True,False,4.14,5.39,5.9,0.51,3,3,3,3,96.1,92.0
A0A2A6J2U9,True,False,4.25,4.84,4.33,-0.51,3,3,3,3,97.4,93.7
A0A2P6U0E0,True,False,4.45,5.1,4.59,-0.51,3,3,3,3,96.2,95.6
A0A2V3IRL0,True,False,4.21,5.42,4.9,-0.51,3,3,3,3,95.8,96.0
A0A395NPY7,True,False,4.36,5.24,4.73,-0.51,3,3,3,3,98.7,98.8
A0A3P7KK18,True,False,4.25,5.49,4.98,-0.51,3,3,3,3,97.9,97.2
A0A3R6VR99,True,False,4.11,5.3,4.79,-0.51,3,3,3,3,98.5,98.0
A0A3R7E8Z5,True,False,4.15,5.22,4.71,-0.51,3,3,3,3,98.3,97.3
A0A4P9Y2R2,True,False,4.37,5.45,4.94,-0.51,3,3,3,3,98.4,98.8
A0A4P9ZUL5,True,False,4.33,5.27,4.76,-0.51,3,3,3,3,98.5,98.7
A0A4Q4MRC4,True,False,4.17,5.21,4.7,-0.51,3,3,3,3,98.6,98.7
A0A4Q4RS51,True,False,4.15,5.21,4.71,-0.51,3,3,3,3,98.7,98.7
A0A4Y3R824,True,False,4.5,4.83,4.32,-0.51,3,3,3,3,98.1,92.7
A0A4Y7SFY2,True,False,4.66,5.45,4.94,-0.51,3,3,3,3,95.7,96.6
A0A5C3EP17,True,False,4.08,5.13,4.62,-0.51,3,3,3,3,95.2,95.7
A0A5N6U5S2,True,False,4.23,5.29,4.78,-0.51,3,3,3,3,97.8,98.0
A0A6A6IHC2,True,False,4.17,5.38,4.87,-0.51,3,3,3,3,98.7,97.5
A0A6A6U4B6,True,False,4.3,5.29,4.78,-0.51,3,3,3,3,93.0,86.0
A0A6A6ZWE4,True,False,4.19,5.29,4.77,-0.51,3,3,3,3,98.8,98.7
A0A7C8M1F0,True,False,4.21,5.12,4.61,-0.51,3,3,3,3,98.5,97.8
A0A7D3Y0J0,True,False,3.95,4.76,4.25,-0.51,3,3,3,3,97.5,94.8
A0A7G7BFV3,True,False,4.15,5.31,4.81,-0.51,3,3,3,3,98.6,98.1
A0A7S1QT39,True,False,4.18,5.3,4.78,-0.51,3,3,3,3,92.0,96.6
A0A7S2W132,True,False,4.89,5.67,5.16,-0.51,3,3,3,3,96.4,95.5
A0A7S3QEJ9,True,False,4.43,5.6,5.09,-0.51,3,3,3,3,98.5,95.0
A0A7X6DTB4,True,False,4.08,5.03,4.53,-0.51,3,3,3,3,95.3,84.7
A0A8B6FWG6,True,False,4.21,5.15,4.64,-0.51,3,3,3,3,96.9,93.9
A0A8B6G5G6,True,False,4.07,5.27,4.76,-0.51,3,3,3,3,98.2,92.6
A0A8H2X7X2,True,False,4.27,5.34,4.83,-0.51,3,3,3,3,96.8,97.7
A0A8H3USQ9,True,False,4.31,5.3,4.8,-0.51,3,3,3,3,97.6,97.3
A0A8H4KQ60,True,False,4.05,5.32,4.81,-0.51,3,3,3,3,95.6,98.4
A0A8H5KU78,True,False,4.17,5.32,4.81,-0.51,3,3,3,3,96.0,98.5
A0A8H5N717,True,False,4.15,5.29,4.78,-0.51,3,3,3,3,95.9,98.3
A0A8H5EA09,True,False,4.19,5.29,4.78,-0.51,3,3,3,3,95.5,98.2
A0A8H7E8W0,True,False,4.37,5.35,4.84,-0.51,3,3,3,3,95.7,96.7
A0A8J2IPY8,True,False,4.43,5.22,4.72,-0.51,3,3,3,3,96.1,87.2
A0A8J2N5E0,True,False,4.0,5.04,4.54,-0.51,3,3,3,3,98.9,98.8
A0A8K1FHV1,True,False,3.98,5.18,4.66,-0.51,3,3,3,3,97.6,97.0
A0A8S3ZTJ4,True,False,3.95,4.94,5.45,0.51,3,3,3,3,97.1,92.7
A0A8T1UBG3,True,False,3.94,4.91,4.4,-0.51,3,3,3,3,98.1,96.0
A0A8W8K3U7,True,False,4.06,4.94,5.45,0.51,3,3,3,3,94.9,93.7
A0A8X7N2U7,True,False,3.97,5.02,4.51,-0.51,3,3,3,3,96.9,97.3
A0A917SPP6,True,False,4.2,5.37,4.86,-0.51,3,3,3,3,98.6,97.5
A0A973WA96,True,False,4.77,4.51,5.02,0.51,3,3,3,3,97.2,92.0
A0A9N8NBI7,True,False,4.28,5.35,4.84,-0.51,3,3,3,3,93.8,94.2
A0A9P5E0T4,True,False,4.29,5.22,4.71,-0.51,3,3,3,3,98.7,97.8
A0A9P7RLL9,True,False,4.44,5.09,4.58,-0.51,3,3,3,3,98.8,97.1
A0A9Q0AJ77,True,False,4.22,5.25,4.75,-0.51,3,3,3,3,98.3,98.7
A0A9Q3VJ75,True,False,4.18,5.35,4.84,-0.51,3,3,3,3,98.8,98.5
A0A9Q9DX73,True,False,4.24,5.18,4.67,-0.51,3,3,3,3,98.3,98.6
A0A9Q9EIM0,True,False,4.58,5.34,4.83,-0.51,3,3,3,3,98.0,98.3
A0A9W6AN14,True,False,4.02,5.14,4.63,-0.51,3,3,3,3,98.8,98.7
A0AA39JYE4,True,False,4.12,5.24,4.74,-0.51,3,3,3,3,98.1,98.4
A0AA39QNZ1,True,False,4.18,5.21,4.71,-0.51,3,3,3,3,98.6,94.8
A0AA39WBW2,True,False,4.06,5.16,4.65,-0.51,3,3,3,3,98.4,98.8
A0AA39WQC5,True,False,4.15,5.28,4.77,-0.51,3,3,3,3,98.3,96.9
A0AA40BB56,True,False,4.16,5.28,4.77,-0.51,3,3,3,3,98.6,98.5
A0AA40BLT5,True,False,4.11,5.2,4.69,-0.51,3,3,3,3,98.6,97.9
A0AAD4N7C2,True,False,4.66,5.54,5.04,-0.51,3,3,3,3,98.2,96.5
A0AAD4SQ07,True,False,4.08,5.1,4.59,-0.51,3,3,3,3,98.4,96.1
A0AAD9AEE4,True,False,4.1,5.32,4.81,-0.51,3,3,3,3,98.8,98.8
A0AAE0K5G9,True,False,4.17,5.18,4.67,-0.51,3,3,3,3,98.8,98.7
A0AAN4HE17,True,False,3.9,5.12,4.61,-0.51,3,3,3,3,98.4,97.3
A0AAN6WK24,True,False,4.31,5.28,4.77,-0.51,3,3,3,3,98.0,98.0
A0AAU8KRZ4,True,False,4.12,5.28,4.77,-0.51,3,3,3,3,98.5,98.0
A0AAV0BI07,True,False,4.24,5.45,4.95,-0.51,3,3,3,3,98.4,98.0
A0AAV9QGM4,True,False,4.53,5.61,5.1,-0.51,3,3,3,3,98.5,98.2
A0AB39PCD4,True,False,4.11,5.29,4.77,-0.51,3,3,3,3,98.5,98.4
A0AB39T4R7,True,False,4.16,5.37,4.86,-0.51,3,3,3,3,98.8,98.3
B5RHR1,True,False,4.45,5.17,4.66,-0.51,3,3,3,3,98.1,96.9
D7F7P5,True,False,4.33,5.27,4.75,-0.51,3,3,3,3,98.3,96.9
E3S6W3,True,False,4.28,5.26,4.75,-0.51,3,3,3,3,98.7,98.6
G4TM95,True,False,4.02,5.0,4.49,-0.51,3,3,3,3,98.7,95.1
H2DPU3,True,False,3.83,4.62,4.1,-0.51,3,3,3,3,98.8,98.0
K3X1J8,True,False,4.02,5.24,4.73,-0.51,3,3,3,3,98.8,97.8
W7MX41,True,False,4.16,5.28,4.78,-0.51,3,3,3,3,98.5,97.5
W7TM70,True,False,4.41,5.43,4.91,-0.51,3,3,3,3,98.6,95.4
X0JEB6,True,False,4.37,5.07,4.56,-0.51,3,3,3,3,97.1,96.1
A0A086ADX6,True,False,4.17,4.84,4.33,-0.5,3,3,3,3,98.7,94.6
A0A086J2K3,True,False,4.28,5.46,4.97,-0.5,3,3,3,3,98.8,97.7
A0A0D2JFD5,True,False,4.66,5.61,5.1,-0.5,3,3,3,3,98.3,97.8
A0A0G4ICW5,True,False,4.32,5.34,4.84,-0.5,3,3,3,3,90.6,92.8
A0A101SXR6,True,False,4.14,5.34,4.83,-0.5,3,3,3,3,98.5,98.4
A0A117E211,True,False,4.11,5.17,4.67,-0.5,3,3,3,3,98.7,98.8
A0A177E1Y0,True,False,4.16,5.2,4.7,-0.5,3,3,3,3,98.7,98.6
A0A1L3FQJ7,True,False,3.85,4.75,4.25,-0.5,3,3,3,3,98.8,97.4
A0A1Y1Z3P8,True,False,4.13,5.26,4.76,-0.5,3,3,3,3,97.6,98.4
A0A1X6NN55,True,False,4.11,5.1,4.6,-0.5,3,3,3,3,94.4,91.9
A0A1X7S7T3,True,False,4.37,5.1,4.6,-0.5,3,3,3,3,98.8,97.8
A0A2J6RP99,True,False,4.14,5.28,4.78,-0.5,3,3,3,3,98.9,98.9
A0A2S6CD10,True,False,4.51,5.34,4.84,-0.5,3,3,3,3,97.7,98.4
A0A2T3AB75,True,False,4.25,5.22,4.72,-0.5,3,3,3,3,93.8,97.4
A0A2V1CZ41,True,False,4.6,5.68,5.17,-0.5,3,3,3,3,95.8,96.4
A0A2T9ZGY8,True,False,4.12,5.35,4.85,-0.5,3,3,3,3,98.8,97.4
A0A319C1E2,True,False,4.09,5.14,4.64,-0.5,3,3,3,3,98.7,98.7
A0A2W1GQN1,True,False,4.12,5.25,4.75,-0.5,3,3,3,3,98.1,98.4
A0A368NUH5,True,False,3.88,4.8,4.29,-0.5,3,3,3,3,97.9,96.3
A0A380T901,True,False,3.95,4.74,4.24,-0.5,3,3,3,3,97.9,97.1
A0A3M6X7L7,True,False,4.03,5.21,4.71,-0.5,3,3,3,3,98.7,98.7
A0A423UUA5,True,False,4.19,5.31,4.8,-0.5,3,3,3,3,98.4,98.1
A0A4P7GHL2,True,False,4.03,4.78,4.28,-0.5,3,3,3,3,98.1,98.5
A0A4P9YI11,True,False,4.24,5.35,4.85,-0.5,3,3,3,3,98.5,97.6
A0A4Q4MM01,True,False,4.42,5.36,4.86,-0.5,3,3,3,3,98.6,97.5
A0A4Q9RBJ6,True,False,4.27,4.81,4.3,-0.5,3,3,3,3,97.5,88.8
A0A4Y7IA41,True,False,3.76,4.77,4.27,-0.5,3,3,3,3,98.4,96.0
A0A4Y7T9K6,True,False,4.48,5.4,4.9,-0.5,3,3,3,3,97.0,97.6
A0A5B0M9P8,True,False,4.05,5.19,4.69,-0.5,3,3,3,3,97.9,96.1
A0A5C3N9J8,True,False,4.08,5.09,4.6,-0.5,3,3,3,3,98.4,98.0
A0A5J6I9P2,True,False,4.3,5.4,4.9,-0.5,3,3,3,3,98.3,98.1
A0A5N5QN45,True,False,4.2,5.27,4.77,-0.5,3,3,3,3,97.2,95.9
A0A5P2DVP6,True,False,4.1,4.77,4.26,-0.5,3,3,3,3,98.5,95.1
