accession,nres,ndom,chopping,confidence
A0A3F2RSS3,519,2,"31-405,409-498",0.642
A0A3F2RUY6,559,2,"4-308_383-442,443-498",0.707
A0A3F2RYX7,460,2,"3-295,333-456",0.688
A0A3F2S5I7,369,1,4-321,0.620
A0A3F3PJR3,301,1,22-299,0.738
A0A3F3PLG1,540,2,"25-369,396-537",0.874
A0A3F3PSP3,334,1,31-332,0.741
A0A3F3PW89,344,1,52-343,0.751
A0A3F3PZY0,350,1,24-349,0.759
A0A3F3Q0R1,394,1,29-393,0.678
A0A3F3Q782,863,4,"16-322,333-444,449-786,788-862",0.908
A0A3F3QCJ1,406,2,"34-189_258-405,192-247",0.660
A0A3F3RR12,383,1,25-382,0.648
A0A3G1HI34,600,2,"94-430,431-597",0.841
A0A3G2JG01,288,2,"3-125,156-287",0.673
A0A3G2JKM2,273,2,"2-124,153-271",0.625
A0A3G2LVU4,121,1,13-122,0.807
A0A3G2LVU9,138,1,30-134,0.972
A0A3G2LVV1,131,1,30-133,0.973
A0A3G2WKZ9,538,1,23-317_322-456,0.650
A0A3G7I6X7,176,1,37-169,0.939
A0A3G7I6Y6,176,1,18-169,0.935
A0A3G7I6Y9,177,1,37-168,0.937
A0A3G7I6Z3,177,1,37-168,0.929
A0A3G7I6Z7,177,1,37-168,0.928
A0A3G7I709,177,1,37-168,0.939
A0A3G7I710,176,1,37-169,0.929
A0A3G7I712,176,1,38-169,0.902
A0A3G7I731,176,1,37-169,0.938
A0A3G7I7E8,177,1,37-168,0.927
A0A3G7I7I4,176,1,37-169,0.937
A0A3G7I7K1,177,1,37-168,0.933
A0A3G7I7X7,177,1,37-168,0.940
A0A3G7I7Z8,162,1,37-161,0.960
A0A3G7I833,177,1,37-168,0.925
A0A3G7I862,177,1,37-168,0.936
A0A3G7TQR1,494,2,"8-294,328-493",0.832
A0A3G7UER3,320,2,"2-145,166-304",0.675
A0A3G8M5R9,321,2,"3-174,189-317",0.723
A0A3G9CPL1,469,2,"11-186,197-438",0.667
A0A3G9CPL7,469,2,"18-217,259-436",0.636
A0A3L5TTX5,836,3,"29-43_477-700,44-421,741-816",0.816
A0A3L6DCY5,569,2,"85-414,449-567",0.869
A0A3L6F3L3,645,2,"108-489,521-644",0.781
A0A3L6FL93,597,2,"84-425,455-596",0.831
A0A3L6G4A8,614,2,"97-452,489-612",0.890
A0A3L6GAT2,598,2,"129-430,462-597",0.857
A0A3L6GDN9,547,2,"93-387,415-546",0.858
A0A3L6MS08,403,1,30-179_257-402,0.663
A0A3L6MT66,393,2,"10-133,140-341",0.860
A0A3L6MY93,350,1,28-346,0.677
A0A3L6MZC5,600,2,"19-126,127-598",0.577
A0A3L6N196,382,4,"1-64,65-165,206-269,274-381",0.786
A0A3L6N321,229,1,33-226,0.793
A0A3L6N6A1,338,1,32-213_216-335,0.616
A0A3L6N987,324,1,34-311,0.663
A0A3L6NA93,586,2,"25-266_322-396,267-321_403-583",0.564
A0A3L6NAE7,715,2,"25-230,242-705",0.687
A0A3L6NCJ7,387,1,27-386,0.648
A0A3L6NDR4,382,1,26-381,0.632
A0A3L6NGQ8,739,3,"33-217_428-483,238-280,288-427_486-711",0.669
A0A3L6NJX0,572,2,"43-396,409-563",0.724
A0A3L6NY19,403,1,27-180_255-402,0.688
A0A3L6NZH6,355,1,31-354,0.658
A0A3L6P0J1,412,2,"45-181_262-411,189-261",0.646
A0A3L6P2W1,244,1,21-243,0.771
A0A3L6PLW5,616,2,"97-457,491-615",0.856
A0A3L6PNQ0,607,2,"91-427,434-605",0.882
A0A3L6PS56,617,2,"102-455,490-615",0.883
A0A3L6PXE9,574,2,"119-416,444-573",0.857
A0A3L6PYM7,576,2,"120-417,445-575",0.854
A0A3L6PZT2,110,1,2-107,0.860
A0A3L6QAQ2,577,2,"120-417,446-576",0.853
A0A3L6QXL5,588,2,"87-412,418-587",0.848
A0A3L6QZX3,583,2,"90-420,452-582",0.871
A0A3L6RH28,638,2,"105-479,513-637",0.853
A0A3L6RIK2,594,2,"88-428,438-593",0.894
A0A3L6RKW2,609,2,"103-451,484-608",0.854
A0A3L6SJK9,495,1,79-411,0.934
A0A3L6SQI5,585,2,"89-419,451-583",0.856
A0A3L7HX96,530,2,"22-296_427-451,315-426_452-452",0.547
A0A3L8SQ64,536,2,"27-310_444-463,321-417",0.552
A0A3L8SSY9,522,2,"29-103,104-458",0.750
A0A3M0K1G4,963,3,"15-356,363-431,494-912",0.894
A0A3M0K2Q2,391,2,"22-117_145-188,194-389",0.602
A0A3M0L5Z8,509,1,25-437,0.688
A0A3M2LQ63,509,2,"14-322,349-508",0.860
A0A3M2R9A4,746,2,"35-278,286-715",0.645
A0A3M2RI81,790,3,"12-177,199-599,608-781",0.676
A0A3M2RMQ0,566,2,"46-397,414-553",0.706
A0A3M2RUE8,728,3,"29-209_382-430,214-249,257-381_431-726",0.671
A0A3M2S0U8,634,2,"26-398,413-633",0.658
A0A3M2SKX3,403,1,31-179_256-402,0.684
A0A3M2SNE1,323,1,30-322,0.696
A0A3M6T5K9,956,2,"85-530,585-918",0.875
A0A3M6T600,560,1,9-317_332-454,0.676
A0A3M6TCS2,415,1,108-409,0.847
A0A3M6TI44,720,3,"1-106_380-461,110-369,464-715",0.888
A0A3M6U071,404,2,"48-298,304-403",0.703
A0A3M6UE86,660,3,"57-273,297-349,350-609",0.919
A0A3M6UM69,877,3,"51-398,447-449_454-455_831-873,452-453_456-827",0.845
A0A3M6UP51,327,2,"33-68,76-325",0.784
A0A3M6UR97,604,3,"3-255,321-460,476-602",0.915
A0A3M6URF3,349,2,"11-271,287-331",0.780
A0A3M6V3J4,259,1,3-19_72-257,0.786
A0A3M6VLC9,499,2,"29-362,371-495",0.740
A0A3M6VMD3,529,3,"33-374,375-421,430-523",0.666
A0A3M6VTR1,579,2,"29-420,434-528",0.690
A0A3M6VVA3,635,2,"29-366_512-521,526-630",0.730
A0A3M6VXB8,339,2,"43-126,180-324",0.720
A0A3M6VZH8,309,2,"28-138,149-296",0.650
A0A3M6W0U2,489,2,"11-319,372-488",0.616
A0A3M6W368,372,2,"3-95_158-363,96-154",0.569
A0A3M6W3V7,214,2,"5-70,74-200",0.781
A0A3M6WBG9,274,1,10-261,0.713
A0A3M6WCQ4,640,2,"48-421,463-638",0.647
A0A3M6WF03,313,2,"42-128,180-304",0.652
A0A3M6WNC8,390,1,30-389,0.678
A0A3M6X2C2,390,1,20-389,0.661
A0A3M6X7L7,334,1,8-333,0.724
A0A3M6XEI8,412,2,"36-189_261-411,194-249",0.685
A0A3M6XIF0,482,1,180-481,0.823
A0A3M6XKU1,372,2,"3-96_159-363,105-149",0.588
A0A3M6XNY6,339,2,"2-180,192-321",0.839
A0A3M6XUR7,387,1,27-386,0.676
A0A3M6XY70,346,2,"5-77_126-337,79-123",0.544
A0A3M6Y565,548,1,180-547,0.879
A0A3M6Y8J1,548,1,180-547,0.878
A0A3M6Y8Y3,376,2,"7-79_167-367,81-158",0.476
A0A3M6YK54,627,2,"27-411,416-618",0.634
A0A3M6YWV0,290,1,28-277,0.711
A0A3M6YZX8,402,1,24-401,0.643
A0A3M6ZAS1,640,2,"48-421,463-638",0.661
A0A3M6ZDF4,394,1,24-393,0.659
A0A3M7A8N2,644,2,"27-220_251-269_381-426,273-380_427-635",0.646
A0A3M7A968,580,2,"27-411,416-579",0.598
A0A3M7ABI4,402,1,24-401,0.639
A0A3M7ALZ0,489,2,"42-106,180-488",0.816
A0A3M7AN04,300,2,"28-129,140-287",0.651
A0A3M7AVK4,442,1,27-411,0.652
A0A3M7B0Z1,412,2,"36-189_262-411,194-261",0.673
A0A3M7B1X2,489,1,180-488,0.827
A0A3M7B3B7,402,1,64-401,0.659
A0A3M7B810,627,2,"27-411,416-618",0.645
A0A3M7B988,640,2,"48-421,463-637",0.647
A0A3M7BEN6,342,1,23-341,0.726
A0A3M7BF09,526,1,180-508,0.837
A0A3M7BNR0,394,1,24-393,0.659
A0A3M7BQZ6,394,1,24-393,0.656
A0A3M7C3X6,387,1,27-386,0.674
A0A3M7C5D9,642,2,"27-426,431-633",0.590
A0A3M7CAM1,640,2,"48-421,463-638",0.642
A0A3M7CGG1,399,1,39-398,0.676
A0A3M7CJH1,420,2,"30-47_148-197,51-147_198-411",0.586
A0A3M7CJK9,402,1,64-401,0.657
A0A3M7CNP3,412,2,"24-186_263-411,188-243",0.611
A0A3M7CSU3,432,2,"33-340_377-431,343-374",0.643
A0A3M7CUY6,640,2,"48-421,463-638",0.658
A0A3M7CWD7,271,1,2-258,0.710
A0A3M7CXP5,379,2,"14-66,73-362",0.707
A0A3M7CZ84,236,2,"18-159,160-222",0.541
A0A3M7D5T6,406,1,72-405,0.648
A0A3M7D6P6,402,1,68-401,0.644
A0A3M7D722,412,2,"33-188_262-411,194-261",0.667
A0A3M7DBC1,387,1,28-386,0.680
A0A3M7DD01,640,2,"48-421,463-638",0.647
A0A3M7DES0,640,2,"48-421,463-633",0.651
A0A3M7DUU3,402,1,24-401,0.635
A0A3M7DYK1,311,2,"30-140,151-298",0.622
A0A3M7E067,548,1,180-547,0.879
A0A3M7E5C4,627,2,"27-411,416-618",0.644
A0A3M7E733,627,2,"27-411,416-618",0.646
A0A3M7EHE7,548,1,180-547,0.880
A0A3M7EIK6,394,1,24-393,0.658
A0A3M7EJ56,412,2,"33-188_262-411,194-261",0.665
A0A3M7ELJ9,411,2,"24-187_256-410,188-242",0.647
A0A3M7EY59,548,1,180-547,0.888
A0A3M7EZ73,412,2,"33-188_262-411,194-261",0.668
A0A3M7F181,409,1,32-408,0.655
A0A3M7F2W2,412,2,"33-188_262-411,194-261",0.663
A0A3M7FE91,386,1,26-385,0.685
A0A3M7FH62,550,2,"6-334,339-541",0.587
A0A3M7FWC7,640,2,"48-421,463-638",0.657
A0A3M7GA40,399,1,39-398,0.679
A0A3M7GIB3,640,2,"48-421,463-638",0.649
A0A3M7GM06,347,2,"1-80_266-344,89-264",0.733
A0A3M7GMT4,339,2,"4-93_254-338,96-244",0.566
A0A3M7GPD3,640,2,"48-421,463-638",0.650
A0A3M7GQX7,412,2,"33-188_261-411,194-249",0.664
A0A3M7H3Y0,413,2,"2-197,225-404",0.629
A0A3M7H4E4,247,1,27-216,0.891
A0A3M7H687,640,2,"48-421,463-638",0.646
A0A3M7HDM5,394,1,24-393,0.656
A0A3M7HI73,640,2,"48-421,463-638",0.646
A0A3M7HIC3,549,1,181-548,0.885
A0A3M7HQ11,344,2,"14-70,73-277",0.663
A0A3M7HQ22,399,1,39-398,0.679
A0A3M7HRP4,548,2,"49-123,180-547",0.885
A0A3M7HZE1,627,2,"27-411,416-618",0.647
A0A3M7IBK6,548,1,180-547,0.883
A0A3M7ICJ8,402,1,64-401,0.658
A0A3M7ICN7,402,1,68-401,0.651
A0A3M7ICU2,386,1,26-385,0.674
A0A3M7ID85,548,1,180-547,0.892
A0A3M7IEE4,386,1,26-385,0.676
A0A3M7IGM6,339,2,"4-96_224-338,97-223",0.548
A0A3M7IJ01,412,2,"29-188_262-411,194-261",0.665
A0A3M7J445,640,2,"48-421,463-638",0.648
A0A3M7J5F3,642,2,"27-426,431-633",0.594
A0A3M7J601,640,2,"48-421,463-638",0.652
A0A3M7JBC9,247,1,27-216,0.882
A0A3M7JBN7,396,1,25-364_381-387,0.546
A0A3M7JD48,394,1,24-393,0.657
A0A3M7JD60,394,1,24-393,0.657
A0A3M7LXG1,609,2,"40-397,401-591",0.665
A0A3M7LZQ1,371,2,"3-127_283-370,130-277",0.578
A0A3M7LZR2,142,2,"3-86,87-133",0.703
A0A3M7M028,389,1,23-388,0.670
A0A3M7M695,299,2,"3-151,172-286",0.693
A0A3M7MDQ3,407,1,36-406,0.637
A0A3M7MJ68,361,1,36-359,0.777
A0A3M7MJ89,340,1,39-328,0.662
A0A3M7MKX7,715,2,"36-381,391-611",0.711
A0A3M8TNP8,571,3,"2-54,81-392,430-547",0.932
A0A3M9XQT2,228,1,2-225,0.845
A0A3M9XR76,321,2,"3-173,189-317",0.715
A0A3M9XZE1,241,1,4-233,0.617
A0A3M9Y0T1,343,2,"19-55,56-342",0.637
A0A3M9Y0Y2,569,2,"42-395,413-543",0.678
A0A3M9Y905,544,2,"43-393,396-532",0.651
A0A3M9YBL7,339,1,32-335,0.663
A0A3M9YDG5,341,1,35-338,0.720
A0A3M9YFZ5,403,1,25-402,0.651
A0A3N0CP77,601,4,"39-290,295-377,382-482,486-599",0.957
A0A3N0XHY2,517,2,"9-290_436-446,291-434",0.559
A0A3N0XPI7,511,2,"23-305_419-453,320-408",0.541
A0A3N0XQX6,577,1,64-495,0.735
A0A3N0YQR9,307,1,24-303,0.652
A0A3N0YR46,399,2,"8-130,226-320",0.799
A0A3N1GBQ3,268,2,"3-138,150-267",0.636
A0A3N1GCC8,273,2,"2-124,153-272",0.618
A0A3N2PK16,558,2,"47-396,409-545",0.660
A0A3N2PTC8,353,1,21-352,0.710
A0A3N2PZA1,313,1,3-298,0.682
A0A3N2Q6J7,245,1,1-231,0.879
A0A3N2RH78,551,2,"42-387,399-549",0.733
A0A3N4HK73,337,1,9-317,0.739
A0A3N4HND3,352,1,16-351,0.695
A0A3N4HNW1,709,3,"1-166_200-223,170-199_232-261,280-697",0.681
A0A3N4HQU2,395,1,45-385,0.672
A0A3N4HRP6,352,1,40-350,0.690
A0A3N4HT22,382,2,"39-319,331-373",0.638
A0A3N4HUI3,376,2,"47-200,207-375",0.614
A0A3N4HXW2,368,1,33-362,0.673
A0A3N4HYC1,659,3,"67-150,178-487,542-654",0.890
A0A3N4HYL5,376,1,54-375,0.684
A0A3N4HZG1,374,2,"42-188_285-373,190-283",0.650
A0A3N4HZV9,323,1,28-322,0.675
A0A3N4I7V1,395,2,"40-136_262-386,138-218",0.574
A0A3N4IB94,330,1,19-318,0.748
A0A3N4ID66,358,1,38-357,0.648
A0A3N4IE98,372,1,36-371,0.667
A0A3N4IEP2,424,1,35-423,0.554
A0A3N4IEX3,420,1,90-419,0.682
A0A3N4IFZ1,416,2,"92-229_351-415,232-350",0.633
A0A3N4IIL7,354,1,40-351,0.674
A0A3N4IM56,396,1,57-388,0.671
A0A3N4IPE1,835,2,"70-496,656-828",0.725
A0A3N4IQ59,370,1,40-364,0.679
A0A3N4IQU1,564,2,"11-369,398-563",0.591
A0A3N4ISL9,422,2,"29-98_387-421,99-381",0.691
A0A3N4IU62,411,1,133-410,0.926
A0A3N4IZV1,666,3,"57-190,197-510,535-651",0.768
A0A3N4J8U4,324,1,38-323,0.684
A0A3N4JQA7,279,1,7-24_72-227,0.789
A0A3N4K3H4,305,1,4-175_211-303,0.623
A0A3N4K4F4,357,1,29-355,0.638
A0A3N4K8D0,562,2,"13-326,338-556",0.619
A0A3N4K9V5,306,1,28-305,0.702
A0A3N4KB49,350,1,35-349,0.693
A0A3N4KB66,396,1,90-395,0.849
A0A3N4KJ40,648,2,"26-410,474-634",0.621
A0A3N4KKJ4,963,2,"379-758,766-932",0.761
A0A3N4KT34,363,1,34-361,0.653
A0A3N4KYW5,430,2,"31-110,143-429",0.886
A0A3N4L021,354,1,51-353,0.648
A0A3N4L0J3,359,1,34-341,0.698
A0A3N4L1D0,360,1,45-358,0.676
A0A3N4L3Y3,361,1,36-351,0.704
A0A3N4L5Z3,648,3,"23-369,384-431,472-634",0.635
A0A3N4L8G1,318,1,21-304,0.738
A0A3N4LB84,629,2,"7-246_359-469,282-358_489-624",0.591
A0A3N4LDY1,308,1,3-294,0.763
A0A3N4LFB6,615,2,"22-395,400-595",0.659
A0A3N4LHJ3,589,2,"7-432,446-558",0.845
A0A3N4LI62,376,2,"4-285,294-375",0.609
A0A3N4LQ83,603,2,"7-228_334-443,240-333_465-598",0.653
A0A3N4LRS9,356,1,74-354,0.848
A0A3N4LW77,599,2,"22-389,422-579",0.662
A0A3N4VF60,503,2,"32-313,347-502",0.877
A0A3N4VIU7,502,2,"32-325,347-501",0.893
A0A3N7FA28,258,1,95-253,0.898
A0A3N7FVW5,300,2,"8-135,157-298",0.811
A0A3N7GN05,296,2,"1-138,148-294",0.817
A0A3N7HII6,333,2,"2-147,168-327",0.738
A0A3N8QY62,542,2,"8-196_301-402,209-300_410-541",0.692
A0A3P3QF50,475,2,"2-279,322-471",0.914
A0A3P3WAR6,533,2,"8-196_299-398,206-298_408-532",0.696
A0A3P3Y6E0,551,2,"23-248,454-550",0.648
A0A3P3Y6E4,665,2,"39-268,269-304_529-663",0.701
A0A3P3Y6K2,435,2,"25-242,333-434",0.655
A0A3P3YBZ5,492,2,"36-247,394-491",0.673
A0A3P3YJL1,447,2,"106-340,348-446",0.774
A0A3P3YJM5,402,2,"66-286,303-401",0.787
A0A3P3YML5,703,2,"303-521_572-605,613-702",0.724
A0A3P3ZKL1,500,2,"8-333,356-498",0.944
A0A3P3ZL83,506,2,"15-340,363-505",0.922
A0A3P6INS8,432,1,92-430,0.801
A0A3P6NY01,480,3,"25-335,353-396,411-455",0.820
A0A3P6QFS8,147,1,2-143,0.989
A0A3P6QG06,478,2,"3-85,88-462",0.748
A0A3P6RNZ8,296,2,"1-209,227-271",0.892
A0A3P6RS07,370,2,"10-279,297-339",0.870
A0A3P6RYJ2,704,4,"33-386,392-446,482-563,596-679",0.799
A0A3P6S036,537,3,"6-268,289-369,403-529",0.847
A0A3P6S9E3,695,3,"1-66_485-511,279-484_519-620,639-694",0.771
A0A3P6SKZ6,596,4,"31-64,73-399,417-458,494-559",0.800
A0A3P6SPV8,224,2,"60-187,188-217",0.695
A0A3P6SVN2,161,1,14-141,0.943
A0A3P6TB98,348,1,10-326,0.659
A0A3P6TGI7,247,2,"1-112,172-246",0.671
A0A3P6US67,380,1,37-63_92-379,0.652
A0A3P7DNC2,804,3,"27-57_300-616,635-678,724-802",0.780
A0A3P7ECF6,364,2,"47-202,230-360",0.655
A0A3P7EG53,182,1,1-150,0.840
A0A3P7EHK3,243,2,"4-168,177-235",0.852
A0A3P7F248,259,1,92-221,0.808
A0A3P7F878,305,3,"2-116,137-205,217-283",0.931
A0A3P7FTP6,433,2,"26-366,384-425",0.787
A0A3P7G4R6,150,2,"4-78,99-141",0.944
A0A3P7HZP8,642,4,"1-65,71-222_291-377,223-290_502-597,403-464",0.664
A0A3P7I0R4,139,1,1-136,0.951
A0A3P7I1A5,101,1,4-100,0.989
A0A3P7ILS7,156,2,"3-89,107-155",0.858
A0A3P7IMH7,309,1,1-247,0.779
A0A3P7IN91,364,2,"2-291,309-351",0.828
A0A3P7J984,342,2,"60-146,157-338",0.649
A0A3P7JMF8,152,1,1-148,0.944
A0A3P7JPR5,618,3,"16-369,386-429,464-545",0.768
A0A3P7JSA6,56,1,4-55,0.996
A0A3P7KK18,372,3,"7-56,74-234,245-371",0.668
A0A3P7KLU4,181,1,22-128,0.865
A0A3P7KN20,276,1,80-269,0.684
A0A3P7LE31,98,1,7-79,0.905
A0A3P7LI21,491,2,"26-248_257-277,314-488",0.595
A0A3P7LLD9,124,1,2-123,0.901
A0A3P7M3Y8,251,1,3-250,0.744
A0A3P7NJ49,110,1,3-109,0.853
A0A3P7P3F2,319,1,27-275,0.657
A0A3P7PN56,313,1,28-240,0.615
A0A3P7PY95,633,3,"30-295,366-508,515-632",0.902
A0A3P7U356,183,1,16-182,0.738
A0A3P7V100,446,4,"6-121,130-188,224-305,338-443",0.922
A0A3P7V462,634,4,"13-375,394-437,467-549,560-615",0.779
A0A3P7VXI0,741,3,"24-406,461-541,571-670_715-738",0.802
A0A3P7WJD8,597,3,"30-390,408-449,494-595",0.791
A0A3P7YYM6,326,2,"49-178,222-310",0.703
A0A3P7ZH47,258,2,"15-104,150-256",0.683
A0A3P8A103,227,1,1-192,0.766
A0A3P8AUU3,460,2,"80-380,398-440",0.882
A0A3P8AVD9,344,1,78-341,0.689
A0A3P8B357,800,2,"41-210,340-711_741-742_763-789",0.791
A0A3P8BDD3,681,4,"25-376,382-436,466-553,585-678",0.797
A0A3P8BDN9,388,4,"29-72,84-253,277-320,326-385",0.744
A0A3P8C7C2,686,4,"50-360,378-428,496-614,635-685",0.839
A0A3P8D002,88,1,10-86,0.878
A0A3P8DS39,430,1,83-377,0.735
A0A3P8DVH3,695,4,"1-350,369-412,442-523,550-632",0.826
A0A3P8HIY5,101,1,12-99,0.912
A0A3P8NBW0,544,1,20-453,0.694
A0A3P8NDL3,509,2,"26-299_465-472,300-411_450-464_478-485",0.607
A0A3P8NDN7,521,2,"19-300_437-455,312-414",0.561
A0A3P8PJY2,533,1,94-96_101-461,0.730
A0A3P8R0C2,540,1,28-455,0.668
A0A3P8TGY8,539,2,"21-97,103-455",0.749
A0A3P8TK98,537,1,20-451,0.719
A0A3P8TWQ9,442,2,"23-280_384-412,297-376",0.573
A0A3P8TXJ9,454,2,"21-210,250-424",0.616
A0A3P8TXK4,450,2,"13-270,271-420",0.604
A0A3P8TXL8,461,3,"24-107,108-283_427-429,299-426_430-431",0.597
A0A3P8TZC3,454,2,"17-210,250-424",0.688
A0A3P8TZE7,452,2,"16-153,157-422",0.642
A0A3P8U087,439,1,12-205,0.662
A0A3P8U0F9,540,2,"18-87,91-449",0.757
A0A3P8U223,464,2,"24-213,253-434",0.570
A0A3P8U3R2,448,2,"11-204,244-418",0.674
A0A3P8U5E1,533,1,25-461,0.699
A0A3P8U758,521,2,"18-301_435-455,312-414",0.573
A0A3P8UDW3,516,2,"22-306_417-453,320-414",0.586
A0A3P8V942,533,2,"25-102,108-461",0.736
A0A3P8VAX3,521,2,"21-301_443-455,312-442",0.560
A0A3P8VLF5,516,2,"25-26_102-454,27-100",0.725
A0A3P8WHA0,523,2,"22-96,102-437",0.784
A0A3P8WJV9,513,1,20-428,0.761
A0A3P8WPH4,527,2,"17-92,93-443",0.735
A0A3P8WPJ5,502,1,20-427,0.719
A0A3P8WSE3,574,2,"23-398_459-490,423-458_492-495",0.638
A0A3P8WX67,536,1,26-46_89-452,0.666
A0A3P8XCB2,520,1,23-321_337-459,0.656
A0A3P8Y2J2,549,3,"1-33,43-79,109-477",0.773
A0A3P8Z0K2,542,2,"22-299_444-455,318-441",0.591
A0A3P8ZF14,528,1,32-467,0.687
A0A3P8ZVH5,546,1,40-474,0.721
A0A3P8ZVY5,531,1,30-458,0.673
A0A3P9AAR5,522,1,19-455,0.672
A0A3P9AVJ5,521,2,"21-301_435-455,312-414",0.559
A0A3P9B1W8,515,2,"21-304_418-452,319-413",0.586
A0A3P9DAL4,506,2,"44-308_412-448,309-409",0.568
A0A3P9DC38,532,1,26-460,0.716
A0A3P9DCZ0,542,2,"25-94,100-451",0.758
A0A3P9DCZ5,535,2,"13-286,287-444",0.579
A0A3P9DD97,515,2,"20-298_427-449,316-426_450-450",0.597
A0A3P9DDI6,544,1,20-453,0.696
A0A3P9DTN8,540,1,28-455,0.668
A0A3P9GX95,547,1,28-323_328-459,0.682
A0A3P9HD27,540,1,39-468,0.704
A0A3P9HUT8,504,2,"11-221,264-441",0.604
A0A3P9INL1,540,1,21-455,0.679
A0A3P9IZ81,533,1,25-461,0.686
A0A3P9JAE5,511,2,"18-299_422-448,305-409",0.532
A0A3P9JBJ1,520,2,"28-303_438-456,314-416",0.551
A0A3P9JK37,547,1,23-456,0.707
A0A3P9L1D8,540,1,21-455,0.681
A0A3P9L231,523,2,"19-304_435-457,314-416",0.595
A0A3P9L9J1,511,2,"20-102,106-107_109-448",0.746
A0A3P9L9X8,504,2,"10-290,291-441",0.582
A0A3P9M5H5,543,2,"22-91,95-453",0.743
A0A3P9N0X5,527,1,97-477,0.866
A0A3P9N163,496,1,105-477,0.781
A0A3P9P2X5,533,2,"27-102,108-461",0.766
A0A3P9P302,549,1,41-62_86-477,0.705
A0A3P9PBX1,542,1,21-42_44-454,0.693
A0A3P9PZR6,525,1,30-459,0.666
A0A3P9Q784,518,2,"20-228,270-453",0.622
A0A3P9Q7I7,543,1,24-43_87-87_89-458,0.665
A0A3P9Q7S3,537,1,19-453,0.688
A0A3P9Q890,545,1,23-459,0.691
A0A3Q0KCI9,478,2,"23-198,210-475",0.659
A0A3Q0KFQ6,481,2,"24-199,210-469",0.690
A0A3Q0QR14,542,1,36-470,0.711
A0A3Q0RRH6,535,2,"14-20_22-22_24-49,21-21_23-23_59-446",0.705
A0A3Q0RSE0,545,2,"1-5_15-298,299-456",0.574
A0A3Q0RUU3,518,2,"21-290,298-454",0.569
A0A3Q0RXU1,467,2,"14-291,292-449",0.621
A0A3Q0RYG2,522,2,"20-287,295-454",0.594
A0A3Q0SHH6,512,2,"22-303_432-452,309-413",0.581
A0A3Q0SZ01,539,2,"21-283,284-455",0.581
A0A3Q0T207,538,2,"20-23_97-454,24-96",0.712
A0A3Q1AN08,561,1,24-430,0.788
A0A3Q1B9B7,532,2,"22-320_447-470,336-430",0.637
A0A3Q1BB05,544,2,"22-91,95-453",0.744
A0A3Q1BT11,539,1,21-455,0.683
A0A3Q1CK43,529,1,19-457,0.699
A0A3Q1CMG6,526,1,24-460,0.674
A0A3Q1F3M5,539,1,21-455,0.687
A0A3Q1F506,357,1,73-327,0.689
A0A3Q1FDS5,520,1,19-454,0.673
A0A3Q1FY32,544,2,"22-96,102-453",0.751
A0A3Q1G2J3,528,1,20-456,0.684
A0A3Q1GSN1,516,1,25-42_70-453,0.655
A0A3Q1H2P4,541,1,19-450,0.689
A0A3Q1HM73,540,1,21-24_30-30_32-32_98-455,0.711
A0A3Q1IL05,521,2,"28-310_407-459,325-406",0.550
A0A3Q1J1E2,521,2,"26-57,87-455",0.675
A0A3Q1JJ77,532,1,107-460,0.763
A0A3Q2CB79,525,1,25-459,0.677
A0A3Q2CUV5,525,1,35-54_56-70_72-463,0.685
A0A3Q2D8V6,540,2,"23-97,103-455",0.749
A0A3Q2DFD4,350,1,1-180,0.669
A0A3Q2EEY2,541,1,20-453,0.685
A0A3Q2EID5,317,1,1-91,0.866
A0A3Q2GWB6,535,1,90-474,0.839
A0A3Q2NSX4,524,1,23-459,0.679
A0A3Q2PRU3,503,2,"18-229_427-427,284-426",0.712
A0A3Q2QD09,533,1,32-461,0.680
A0A3Q2R1G3,514,1,29-323_330-458,0.642
A0A3Q2U012,571,1,21-456,0.706
A0A3Q2VGF4,544,1,20-453,0.694
A0A3Q2VV73,540,1,28-455,0.668
A0A3Q2W562,515,2,"21-304_418-452,319-413",0.586
A0A3Q2WSZ8,543,1,37-471,0.707
A0A3Q2XJH5,520,2,"19-302_433-454,313-409",0.572
A0A3Q2XKX5,538,2,"15-86,90-449",0.743
A0A3Q2XW78,523,2,"15-84,88-447",0.757
A0A3Q2Y2Y4,536,2,"17-225,267-451",0.602
A0A3Q2Z2G3,538,2,"19-22_28-28_30-30_32-32_34-34_82-82_84-450,23-27_29-29_31-31_33-33_35-56",0.707
A0A3Q2Z9X0,533,1,32-461,0.685
A0A3Q2ZLR5,544,2,"20-57,87-453",0.743
A0A3Q2ZVE6,518,2,"17-299_433-453,310-412",0.544
A0A3Q3AGJ0,536,2,"23-58,88-452",0.707
A0A3Q3BEH9,516,1,25-28_30-30_32-34_106-453,0.705
A0A3Q3BRV6,521,2,"26-301_435-455,312-414",0.553
A0A3Q3D708,542,1,19-22_30-30_94-453,0.717
A0A3Q3DH73,533,1,25-461,0.692
A0A3Q3E0W9,513,2,"20-304_412-452,318-411",0.573
A0A3Q3FCV4,548,2,"16-438,441-510",0.759
A0A3Q3FES1,562,3,"23-58,88-452,455-524",0.745
A0A3Q3FF19,553,2,"21-443,446-516",0.784
A0A3Q3FFM2,513,2,"20-282,283-439",0.605
A0A3Q3FG97,521,2,"21-276,286-443",0.601
A0A3Q3FGQ7,502,2,"20-227,261-435",0.596
A0A3Q3G2Y0,472,2,"25-202,212-454",0.647
A0A3Q3IGK4,534,1,28-462,0.690
