accession,trimmed_res,overall_plddt
A0A3Q4BB99,302,90.0
A0A3Q4GXF6,432,98.0
A0A3Q4GXK8,431,98.0
A0A3Q4GY09,431,96.1
A0A3Q4H1Y3,353,97.9
A0A3Q4H240,433,97.8
A0A3Q4HL65,435,97.4
A0A3Q4HRA7,352,97.8
A0A3Q4HRD6,433,97.8
A0A3Q4I364,438,97.6
A0A3Q4MUN1,353,97.4
A0A3Q7F625,296,97.4
A0A3Q7HSQ3,328,96.3
A0A3Q7ILS0,319,91.7
A0A3Q7PLZ6,432,94.2
A0A3Q7QN99,354,97.7
A0A3Q7QSG7,364,98.0
A0A3Q7RSQ9,457,94.4
A0A3Q7SFB0,362,86.5
A0A3Q7SRN7,325,82.9
A0A3Q7T8P3,437,97.5
A0A3Q7TDD6,432,96.4
A0A3Q7TMT7,430,97.8
A0A3Q9BTA8,269,98.6
A0A3Q9TBL6,321,96.2
A0A3R6VBZ1,326,89.3
A0A3R6VQU0,359,95.2
A0A3R6VR99,360,94.8
A0A3R6VRZ5,441,91.8
A0A3R6WJ77,318,95.2
A0A3R6WRP8,248,92.4
A0A3R6WTM7,298,93.5
A0A3R6WVI8,90,65.7
A0A3R6X6W7,319,97.1
A0A3R6X7C8,68,94.4
A0A3R6XAD8,361,93.9
A0A3R6XJV4,264,95.7
A0A3R6XZM3,108,96.4
A0A3R6YQ77,208,73.4
A0A3R6YR15,343,72.8
A0A3R6Z2B6,458,61.8
A0A3R6ZA35,328,97.5
A0A3R6ZB32,153,93.2
A0A3R6ZGI7,189,41.6
A0A3R6ZIG5,229,75.4
A0A3R7A7P4,442,90.5
A0A3R7AHK3,58,89.8
A0A3R7BWT8,286,95.6
A0A3R7BYJ9,344,85.2
A0A3R7CD36,312,97.0
A0A3R7CFL8,350,90.4
A0A3R7DAX5,291,96.3
A0A3R7E8Z5,312,96.5
A0A3R7EE27,316,89.8
A0A3R7EK41,443,90.3
A0A3R7ES38,359,93.1
A0A3R7FSD3,370,96.9
A0A3R7FX46,274,94.2
A0A3R7G723,317,92.3
A0A3R7GQK8,388,88.3
A0A3R7GVA7,297,92.8
A0A3R7JUU1,371,75.1
A0A3R7MJX7,340,90.0
A0A3R7WGA7,356,92.4
A0A3R7WQH8,443,90.8
A0A3R7WVT5,317,95.6
A0A3R7X123,359,93.9
A0A3R7YVR4,334,96.9
A0A3R7ZIF7,357,94.7
A0A3R7ZK64,164,94.3
A0A3R8D824,226,96.2
A0A3R8DKV5,271,59.1
A0A3R8QGE4,271,96.2
A0A3S0HHB5,348,97.1
A0A3S0IN34,311,96.1
A0A3S0XRM4,329,94.5
A0A3S0ZXU8,301,87.6
A0A3S1HLG0,422,82.5
A0A3S2M115,424,95.5
A0A3S2MHN1,430,97.9
A0A3S2MPP6,359,97.5
A0A3S2MQS8,435,98.0
A0A3S2NZS6,429,97.6
A0A3S3MQX4,352,91.3
A0A3S3NIU4,324,97.3
A0A3S3PGP3,209,86.8
A0A3S3Q853,294,96.1
A0A3S3QC21,325,96.4
A0A3S3QFY6,323,97.4
A0A3S4AJV5,370,93.6
A0A3S4AMG6,373,91.9
A0A3S4AUM2,363,96.1
A0A3S4DYZ3,270,95.8
A0A3S4NW51,325,95.4
A0A3S5CT06,301,92.6
A0A3S5CVR8,373,95.4
A0A3S5CXF1,381,96.0
A0A3S6E8Q4,438,97.3
A0A3S6E9F5,438,97.5
A0A3S6ERF6,435,97.4
A0A3S6R1C3,321,96.2
A0A3S7DZ19,214,60.4
A0A3S7DZ29,217,61.8
A0A3S9I0R4,285,97.1
A0A3S9M6T3,283,95.9
A0A3S9MKA4,269,98.4
A0A3S9PH06,269,98.5
A0A3S9Y5Y1,269,98.0
A0A3S9ZH84,284,97.5
A0A3T0JWD4,282,97.5
A0A3T1D022,150,93.1
A0A401IHQ9,344,98.0
A0A401KKJ5,365,97.0
A0A401KKL5,326,97.3
A0A401KLG2,245,97.2
A0A401KPF7,388,88.6
A0A401L2M0,358,97.3
A0A401L4E0,372,97.6
A0A401L788,308,92.1
A0A401L7K2,289,97.3
A0A401NZ10,435,97.1
A0A401P586,431,97.6
A0A401PX39,456,87.9
A0A401PZ68,317,88.2
A0A401Q7K5,230,79.5
A0A401QHW3,135,88.5
A0A401QJE7,242,83.2
A0A401RIM5,209,82.6
A0A401RKW3,312,86.1
A0A401RW73,433,97.7
A0A401RYW3,431,95.4
A0A401S865,437,96.4
A0A401TIS2,264,79.1
A0A401TJJ0,198,78.5
A0A401VX81,301,91.1
A0A401YGP4,328,97.1
A0A409VD99,255,79.0
A0A409VFE9,380,84.1
A0A409VNV3,317,98.2
A0A409VYZ6,289,97.6
A0A409VYZ7,319,90.3
A0A409W5M2,334,93.0
A0A409WEP5,331,90.2
A0A409WNK2,398,91.1
A0A409WQU7,403,85.0
A0A409WY02,463,72.3
A0A409WYL8,328,93.5
A0A409WYM8,316,90.1
A0A409X3M6,325,94.5
A0A409X545,340,94.6
A0A409X771,314,97.7
A0A409X7S8,309,97.8
A0A409X966,309,97.8
A0A409XHP2,268,57.2
A0A409XHT0,302,95.8
A0A409XK29,261,89.3
A0A409XKR0,309,63.4
A0A409XPQ5,309,98.0
A0A409XSF5,315,98.1
A0A409Y7Q5,368,92.8
A0A409Y9J2,340,97.0
A0A409YPA9,313,91.1
A0A409YTE4,329,90.7
A0A409YUP4,341,90.7
A0A409YZ54,304,98.0
A0A411DB89,174,95.8
A0A411DFH3,222,66.2
A0A411DFH8,125,96.2
A0A411DFI4,202,61.4
A0A411DFI8,433,98.2
A0A411JIB8,329,95.9
A0A411KAP3,307,96.9
A0A411MQ34,302,95.0
A0A411PB12,132,92.4
A0A417Y855,332,96.2
A0A418AHC0,249,97.5
A0A418AJW6,261,67.9
A0A418AJY7,358,94.5
A0A418AND4,247,96.3
A0A418AQE9,424,86.5
A0A418BCD2,312,90.8
A0A418BYI3,318,95.9
A0A418C2V2,425,89.5
A0A418CC15,350,90.2
A0A418CLC3,207,75.8
A0A418D139,358,94.0
A0A418DS48,231,93.4
A0A418E6Z8,296,94.5
A0A418FGP4,286,96.5
A0A418FZC5,108,96.6
A0A418G3G2,333,80.9
A0A418QUM1,495,89.3
A0A418YC39,235,91.2
A0A419QAV9,444,96.7
A0A420HGA6,342,96.7
A0A420HKD2,348,95.8
A0A420HLP9,371,82.2
A0A420HLW6,352,85.1
A0A420I744,183,71.4
A0A420IKX8,366,81.2
A0A420IUA5,150,74.4
A0A420J382,183,70.9
A0A420J390,180,67.3
A0A420MD28,176,75.2
A0A420MDB7,181,88.3
A0A420ME85,304,93.8
A0A420MEE4,360,97.4
A0A420MG99,216,82.5
A0A420MKG6,304,98.0
A0A420N178,367,97.5
A0A420N1W1,278,96.4
A0A420N2W9,319,97.6
A0A420N6X3,227,91.2
A0A420N8W1,271,75.8
A0A420NBY7,356,97.8
A0A420NFD8,372,92.8
A0A420NKD4,354,97.5
A0A420NQ09,371,90.8
A0A420NVL3,472,86.4
A0A420NXF8,225,78.0
A0A420PID6,304,98.0
A0A420PY93,360,97.4
A0A420Q5H7,354,97.6
A0A420QHZ5,304,98.1
A0A420QKK6,307,87.0
A0A420QME0,315,96.6
A0A420QQY3,260,90.8
A0A420R194,299,95.2
A0A420RSH4,376,96.1
A0A420RTM5,357,97.1
A0A420RTV3,451,89.2
A0A420S8X5,372,92.5
A0A420SE78,304,98.1
A0A420SI55,450,84.2
A0A420SI63,223,69.4
A0A420SQD5,397,90.6
A0A420SQM9,276,97.1
A0A420SUZ8,319,97.3
A0A420SVX2,366,76.3
A0A420T2K1,367,97.4
A0A420TAK5,274,98.4
A0A420TE23,262,87.7
A0A420TI82,372,96.7
A0A420TRM3,304,97.5
A0A420TTW7,356,97.6
A0A420TYN1,372,92.3
A0A420UAR4,109,82.7
A0A420UB21,160,72.4
A0A420XYP0,372,96.9
A0A420XZE5,369,98.0
A0A420Y0R8,361,97.4
A0A420Y417,350,96.1
A0A420YAB7,328,93.0
A0A420YAJ7,356,94.5
A0A420YET8,218,89.7
A0A420YFE0,309,96.6
A0A420YGT3,324,98.0
A0A420YH84,375,96.9
A0A420YIS7,365,88.9
A0A421CSP0,149,95.3
A0A421ESP4,470,76.2
A0A421F565,314,89.7
A0A421F7P8,330,95.9
A0A421G844,329,94.5
A0A421GCW4,441,74.2
A0A421GKS4,378,93.4
A0A421GP30,423,80.0
A0A423FGB7,312,90.7
A0A423FIV2,287,97.1
A0A423GNA0,311,96.1
A0A423H6B2,312,97.1
A0A423IDL1,295,98.1
A0A423JH14,295,97.8
A0A423MDD7,281,97.4
A0A423MTR7,280,97.3
A0A423N8F1,302,97.9
A0A423P4H4,281,97.6
A0A423UUA5,285,96.9
A0A423V9S4,268,93.4
A0A423VCB8,361,95.9
A0A423VGB4,303,97.4
A0A423VK10,408,94.4
A0A423VRG5,253,89.3
A0A423VS40,377,94.3
A0A423VZF3,264,86.1
A0A423W393,324,98.2
A0A423WBL0,374,97.4
A0A423WHC4,307,93.2
A0A423WNB6,303,97.6
A0A423WTD2,313,95.9
A0A423WXH4,331,96.9
A0A423X316,376,96.2
A0A423X4F6,382,94.3
A0A423X630,382,95.6
A0A423XJ27,305,88.2
A0A423XP21,319,97.2
A0A425CIB3,493,75.8
A0A425CLB8,334,95.7
A0A425CZ14,178,83.6
A0A425D2Q0,307,86.5
A0A425DJS3,286,95.6
A0A426WYI4,95,77.1
A0A426XES5,325,97.4
A0A426YRJ6,324,93.7
A0A426YSQ3,226,63.2
A0A426YWH1,292,95.1
A0A428NIZ7,293,97.6
A0A428PBD0,229,76.3
A0A428PLX8,401,93.2
A0A428Q2T9,293,94.4
A0A428QKN7,402,86.8
A0A428QVK1,348,97.6
A0A428R260,395,86.9
A0A428R852,372,97.1
A0A428RBY3,372,97.0
A0A428RL23,452,86.4
A0A428S2T1,373,87.2
A0A428SBW0,391,93.2
A0A428SET3,352,97.8
A0A428SIW1,402,87.5
A0A428T341,293,97.7
A0A428TH55,402,86.2
A0A428TJN8,372,97.0
A0A428TJU2,174,93.8
A0A428TSX4,451,87.0
A0A428TTS8,293,98.1
A0A428U0B8,402,85.2
A0A428U2W7,372,97.0
A0A428UJ78,373,88.1
A0A428UK49,352,97.8
A0A428UZM7,373,88.0
A0A428V0C8,352,97.8
A0A428YVS8,269,97.9
A0A430HE78,296,93.4
A0A430L3T0,373,88.0
A0A430L7E7,452,86.5
A0A430LBW9,400,93.7
A0A430LQE9,293,97.5
A0A430LRB3,372,97.0
A0A430LRW5,402,85.5
A0A430M2W5,352,97.8
A0A430Q6Z5,377,92.6
A0A430QNM1,450,95.5
A0A431TVT0,495,89.2
A0A432M9S8,302,97.2
A0A432NWL9,252,96.0
A0A432PA96,245,96.3
A0A433JFE6,347,97.7
A0A433SSI8,294,83.1
A0A434A690,293,97.5
A0A436ZMN6,414,87.8
A0A436ZMY2,367,91.7
A0A436ZW26,235,76.6
A0A436ZW36,365,97.6
A0A436ZY08,374,95.5
A0A436ZY67,361,97.0
A0A437A308,424,94.4
A0A437A7Y6,322,97.3
A0A437ABS8,364,97.0
A0A437ABU9,355,97.1
A0A437ACI9,310,96.9
A0A437ACP0,344,97.1
A0A437AD99,425,86.0
A0A437AEF9,356,93.2
A0A437AF91,390,94.5
A0A437AMZ0,237,97.1
A0A437PZ43,282,96.8
A0A438CKK0,146,65.7
A0A438EKY0,344,95.1
A0A438JHV9,330,96.4
A0A438JHW0,331,80.2
A0A438JHW3,336,97.4
A0A438JHW6,330,96.4
A0A438NAJ9,325,97.7
A0A438NAZ0,346,95.8
A0A438NFU9,354,96.2
A0A438NJW7,316,95.4
A0A439CPG6,293,96.1
A0A439CSR6,278,90.0
A0A439CXK6,278,97.7
A0A439CXR3,344,98.1
A0A439CY50,321,91.9
A0A439CYQ7,331,97.4
A0A439D3X1,286,97.6
A0A439D3Y0,358,73.8
A0A439D4K9,310,91.7
A0A439D650,421,91.1
A0A439D887,387,92.9
A0A439DC62,409,71.0
A0A439DDF2,358,96.6
A0A439DEE8,362,97.4
A0A439DFI9,360,92.9
A0A439DG08,227,97.2
A0A439DGZ9,349,97.1
A0A439DKR1,297,96.6
A0A439E1K1,303,97.9
A0A443HRD0,311,97.3
A0A443HXX0,283,96.6
A0A443PIW9,326,96.4
A0A443RHX3,281,96.2
A0A444RJX5,275,91.3
A0A444RLS2,352,95.6
A0A444RPW9,304,98.1
A0A444RQR7,149,76.7
A0A444RZE0,353,96.2
A0A444S1W9,304,97.7
A0A444UFZ1,436,97.1
A0A444UPP0,379,82.5
A0A444UX86,348,91.9
A0A444WYG1,319,89.4
A0A444ZR13,391,80.1
A0A444ZUR5,325,95.0
A0A444ZWU6,321,96.6
A0A444ZWV1,317,95.4
A0A445DCE3,309,95.5
A0A445DCG3,299,97.0
A0A445DP80,329,94.9
A0A445DRA1,325,96.3
A0A445DRB1,317,95.8
A0A445FXG1,305,96.7
A0A445FXH7,332,95.3
A0A445GQH9,320,96.4
A0A445GQM4,324,96.5
A0A445I6J5,336,94.9
A0A445I6L6,335,95.2
A0A445I9A8,320,96.3
A0A445I9E5,321,84.2
A0A445JYT8,235,76.3
A0A445JYU3,340,83.4
A0A445JYV4,327,95.0
A0A445JYW6,338,84.5
A0A445JZ81,122,84.1
A0A445M2W6,127,82.0
A0A446BNG4,391,96.4
A0A446BT56,358,98.4
A0A446BWT3,252,73.9
A0A446BXJ9,269,95.5
A0A447TAE7,255,94.8
A0A447THB9,144,90.2
A0A448YWC2,323,89.9
A0A448ZLY4,368,91.5
A0A451EZK6,325,96.1
A0A452DWF7,431,96.2
A0A452DWL9,368,87.1
A0A452DWM5,360,89.8
A0A452G6V3,437,97.4
A0A452H6R3,382,87.2
A0A452H732,356,92.9
A0A452HRJ3,437,97.3
A0A452I832,433,97.7
A0A452QG45,371,76.2
A0A452QQ82,354,97.7
A0A452QQC1,171,64.9
A0A452RC10,381,90.4
A0A452V1T2,169,65.0
A0A452VN17,429,91.2
A0A452VN29,377,76.5
A0A453D018,263,82.0
A0A453D066,203,88.5
A0A453D098,298,96.7
A0A453D0G4,297,96.8
A0A453JBX4,165,79.1
A0A453JC25,125,77.5
A0A453JCH2,331,96.3
A0A453JCJ0,135,61.6
A0A453MVS1,331,91.9
A0A454TKW0,276,97.9
A0A454TWG6,273,97.5
A0A455IJQ4,193,94.9
A0A455IM74,204,69.0
A0A455IRF3,194,95.4
A0A455IRK5,197,93.8
A0A455ISX6,178,92.1
A0A455ITR9,123,91.3
A0A455R6A3,393,92.2
A0A479ZZC9,385,95.0
A0A480DHR1,406,84.4
A0A480XA58,194,60.1
A0A484CCH2,438,97.2
A0A484CMI9,352,97.3
A0A484CVA8,429,95.7
A0A484DIB4,435,97.8
A0A484DM79,430,97.8
A0A484FE76,150,94.0
A0A484FEH3,250,81.1
A0A484FEN9,368,97.0
A0A484FEV3,265,97.9
A0A484FG64,292,94.7
A0A484FQK8,315,96.4
A0A484FZG9,84,79.0
A0A484G057,332,97.2
A0A484G3C9,390,91.7
A0A484G4E7,330,96.0
A0A484G5S9,362,88.0
A0A484K842,334,95.8
A0A484KTH3,328,93.9
A0A484M5W6,334,95.7
A0A484M936,326,96.0
A0A484MJ80,334,93.4
A0A484MKM2,332,94.2
A0A484ML06,336,93.3
A0A485K5B3,349,96.0
A0A485K5I4,353,95.7
A0A485K6I0,184,40.8
A0A485K811,184,41.0
A0A485K9M7,355,94.5
A0A485KAJ9,432,94.1
A0A485KB07,349,95.3
A0A485KBW3,380,90.4
A0A485KDU0,242,74.9
A0A485KGF6,333,95.7
A0A485KH36,259,87.5
A0A485KIX2,119,66.8
A0A485KIX8,359,92.5
A0A485KPS2,353,90.1
A0A485KPU0,404,88.5
A0A485KQE4,326,96.2
A0A485KTR0,367,94.1
A0A485KUM6,394,90.3
A0A485KVJ9,344,94.1
A0A485KXZ5,117,72.0
A0A485L031,69,87.8
A0A485L6K7,204,58.2
A0A485L799,303,96.4
A0A485L7D7,283,94.9
A0A485L8F1,443,92.2
A0A485LB67,339,96.7
A0A485LBT7,343,95.2
A0A485LCG2,338,95.6
A0A485LCV6,338,96.5
A0A485LJ45,355,94.8
A0A485LKF7,407,89.8
A0A485LNI1,350,93.2
A0A485LSG3,321,93.8
A0A485LTB0,203,94.9
A0A485LWG8,354,91.9
A0A485MED1,378,94.6
A0A485MFQ4,438,97.1
A0A485MGV5,370,94.4
A0A485PK11,478,82.2
A0A485PM80,430,96.2
A0A493SW79,434,97.3
A0A493TZY1,397,87.1
A0A494UUN0,285,96.9
A0A494XK40,148,93.8
A0A495W4Q7,270,98.4
A0A498IS04,322,97.1
A0A498IS85,322,96.9
A0A498IVC1,333,94.8
A0A498IVH3,330,97.2
A0A498IWF2,233,93.9
A0A498IXC7,247,75.1
A0A498IXV7,328,97.4
A0A498JTL7,322,97.0
A0A498JUU5,171,38.6
A0A498JVN1,79,83.6
A0A498JVN7,329,96.3
A0A498JWA5,329,97.2
A0A498JYY9,330,96.9
A0A498JZV7,133,58.8
A0A498K1J9,332,95.6
A0A498MNB4,431,95.7
A0A498MRL4,433,98.0
A0A498MUD3,440,97.0
A0A498S2C2,308,96.2
A0A498S7U2,336,88.1
A0A498SAH6,354,94.4
A0A498SNQ8,307,96.0
A0A4D4LZY5,285,97.1
A0A4D5SW01,143,66.8
A0A4D6C904,133,87.1
A0A4D6C905,145,83.7
A0A4D6C920,151,89.6
A0A4D6C925,151,84.0
A0A4D6C929,132,93.8
A0A4D6C930,132,87.0
A0A4D6C931,133,87.1
A0A4D6C939,132,88.1
A0A4D6C940,132,86.9
A0A4D6C941,132,88.2
A0A4D6C950,132,94.5
A0A4D6C952,148,91.8
A0A4D6C954,132,92.4
A0A4D6C961,133,86.6
A0A4D6C974,151,89.6
A0A4D6C977,140,74.5
A0A4D6C988,149,69.2
A0A4D6C9A1,132,90.2
A0A4D6CAK4,132,78.2
A0A4D6CAL2,120,87.2
A0A4D6CAM0,145,87.0
A0A4D6CB04,132,90.6
A0A4D6CB11,151,81.5
A0A4D6CB20,152,86.7
A0A4D6CBJ3,151,76.4
A0A4D6CBK8,132,85.8
A0A4D6DKH9,288,90.9
A0A4D6KHM7,131,68.1
A0A4D6KM86,374,88.7
A0A4D6KQ19,264,92.7
A0A4D6L761,298,96.4
A0A4D6NET5,330,95.0
A0A4D6NEV9,191,82.0
A0A4D6NK11,136,57.1
A0A4D9E9Q1,366,98.0
A0A4D9EV54,430,96.8
A0A4D9FCN3,366,97.2
A0A4E0R7I6,207,79.9
A0A4E0RIA0,446,96.5
A0A4E0S2V2,445,96.6
A0A4E9E8B4,197,74.3
A0A4E9E965,325,98.2
A0A4E9EAZ1,365,96.6
A0A4E9F741,358,89.3
A0A4E9F8B7,342,88.3
A0A4E9F948,360,89.8
A0A4E9FIB1,313,95.6
A0A4P1QPT6,320,96.4
A0A4P1QPT7,334,93.5
A0A4P1QPU4,321,96.9
A0A4P1QQ10,320,97.2
A0A4P2HZ74,333,98.0
A0A4P6U250,271,96.3
A0A4P7GHL2,286,97.9
A0A4P7N173,318,97.6
A0A4P7N219,101,72.1
A0A4P7N5I7,381,93.4
A0A4P7N6R7,387,93.5
A0A4P7N7E5,307,96.9
A0A4P7N9G8,380,95.9
A0A4P7NBK6,350,94.0
A0A4P7NC92,375,97.3
A0A4P7NE70,297,97.9
A0A4P7NEA2,357,98.0
A0A4P7NKP0,360,96.4
A0A4P7NML3,302,98.0
A0A4P7NS78,313,98.2
A0A4P7NSG9,326,82.7
A0A4P7NV04,302,97.7
A0A4P7NV09,349,96.8
A0A4P7NVB3,352,96.9
A0A4P8L6C8,329,96.7
A0A4P9D454,153,69.7
A0A4P9D460,132,71.3
A0A4P9D462,152,69.5
A0A4P9D4E2,151,69.9
A0A4P9D4J9,152,70.3
A0A4P9D5V6,153,69.8
A0A4P9D6H7,157,70.3
A0A4P9D6L2,151,69.0
A0A4P9D790,153,69.7
A0A4P9D7B2,152,69.1
A0A4P9VWM1,247,91.0
A0A4P9VXN1,91,71.8
A0A4P9VZN9,306,83.3
A0A4P9W0Z9,242,49.6
A0A4P9W116,222,87.1
A0A4P9W3F0,110,84.1
A0A4P9WCD3,363,82.8
A0A4P9WCJ5,189,85.3
A0A4P9WCR7,365,89.2
A0A4P9WSQ3,284,93.9
A0A4P9WX00,274,95.3
A0A4P9WZY7,93,89.9
A0A4P9X6N6,255,96.5
A0A4P9X7U9,280,90.3
A0A4P9XG75,251,94.7
A0A4P9XGF4,103,81.6
A0A4P9XGI5,211,96.4
A0A4P9XHR6,203,97.6
A0A4P9XIM0,253,97.0
A0A4P9XJ34,251,96.6
A0A4P9XKL8,382,65.9
A0A4P9XL19,205,96.5
A0A4P9XL46,251,98.5
A0A4P9XLD8,207,97.6
A0A4P9XLI7,248,96.3
A0A4P9XLY3,66,93.0
A0A4P9XMQ7,266,96.7
A0A4P9XMV3,211,97.8
A0A4P9XMX9,216,79.0
A0A4P9XNA4,216,96.0
A0A4P9XST4,210,97.0
A0A4P9XST5,184,97.5
A0A4P9XSU6,256,97.4
A0A4P9XSV5,198,92.6
A0A4P9XT91,80,93.2
A0A4P9XTI0,260,97.1
A0A4P9XTP8,269,96.2
A0A4P9XTQ3,265,95.9
A0A4P9XUF0,79,97.5
A0A4P9XUT0,251,96.8
A0A4P9XUV9,249,87.2
A0A4P9XVI9,208,97.3
A0A4P9XZR4,70,93.8
A0A4P9XZY0,66,92.7
A0A4P9Y249,201,95.3
A0A4P9Y2R2,217,97.7
A0A4P9Y3Y8,284,95.5
A0A4P9Y486,278,95.8
A0A4P9Y8H6,208,97.7
A0A4P9Y9E4,199,97.8
A0A4P9YFJ7,457,72.0
A0A4P9YFS3,234,85.7
A0A4P9YI11,251,90.4
A0A4P9YNW1,196,90.0
A0A4P9YRL7,215,96.8
A0A4P9YS76,261,93.8
A0A4P9YS92,167,93.5
A0A4P9YSI1,214,73.8
A0A4P9YU07,210,97.5
A0A4P9YUC2,256,97.4
A0A4P9YXX3,235,98.2
A0A4P9YZB4,267,94.1
A0A4P9YZC7,234,95.7
A0A4P9Z0G4,212,96.4
A0A4P9Z0Q2,90,86.4
A0A4P9Z2E4,254,97.9
A0A4P9Z303,212,97.4
A0A4P9Z3E0,212,96.4
A0A4P9Z5J7,203,96.9
A0A4P9Z6Q7,196,97.5
A0A4P9ZNY3,276,96.2
A0A4P9ZSR0,204,98.3
A0A4P9ZTR7,215,90.5
A0A4P9ZUL5,241,98.2
A0A4P9ZVA0,204,97.6
A0A4Q1KVH9,281,96.8
A0A4Q1QP71,269,98.2
A0A4Q1UIS4,375,84.2
A0A4Q2CXN1,339,88.6
A0A4Q2CZY5,318,95.7
A0A4Q2D293,345,97.2
A0A4Q2D5P7,251,97.1
A0A4Q2D5Q3,164,97.7
A0A4Q2D6X5,296,97.3
A0A4Q2D856,319,87.8
A0A4Q2DLU8,373,64.1
A0A4Q2DWU2,294,97.5
A0A4Q2E1C0,326,94.8
A0A4Q2V4B9,360,97.5
A0A4Q2V7C7,356,97.0
A0A4Q2VB57,451,88.4
A0A4Q2VEP5,304,98.1
A0A4Q2VIL6,380,80.0
A0A4Q2VMI5,354,97.6
A0A4Q2VQ33,472,86.5
A0A4Q2VQR4,372,92.5
A0A4Q2VRH1,319,96.6
A0A4Q2W3G0,367,97.4
A0A4Q2W8U2,376,96.1
A0A4Q2WA02,278,96.7
A0A4Q4M0D8,346,97.2
A0A4Q4M1K4,357,97.1
A0A4Q4M2B0,238,93.9
A0A4Q4M2G9,289,98.0
A0A4Q4M2L8,290,97.9
A0A4Q4M420,398,93.4
A0A4Q4M5G0,368,97.6
A0A4Q4M6G5,385,96.6
A0A4Q4MAA6,367,91.8
A0A4Q4ME11,336,93.7
A0A4Q4MEP1,127,93.8
A0A4Q4MH42,385,95.6
A0A4Q4MJ71,364,98.3
A0A4Q4MJK3,291,97.9
A0A4Q4MM01,364,98.1
A0A4Q4MRC4,363,98.3
A0A4Q4MTM7,270,94.6
A0A4Q4MW52,324,93.7
A0A4Q4MXA1,356,96.4
A0A4Q4MY52,255,86.2
A0A4Q4MYG0,360,96.9
A0A4Q4N1Y8,368,97.8
A0A4Q4N3U4,297,95.6
A0A4Q4N662,361,96.9
A0A4Q4N6U3,127,95.0
A0A4Q4N7D9,291,98.2
A0A4Q4N7N9,289,97.8
A0A4Q4N7P7,324,94.0
A0A4Q4N8K9,356,96.4
A0A4Q4NBP0,291,97.9
A0A4Q4ND53,227,87.7
A0A4Q4NDK1,360,97.3
A0A4Q4NF14,370,97.9
A0A4Q4NI14,346,97.5
A0A4Q4NKY1,336,95.5
A0A4Q4NML4,126,93.6
A0A4Q4NP34,355,85.2
A0A4Q4NQ20,264,83.6
A0A4Q4NQH4,344,97.9
A0A4Q4NSL7,226,97.7
A0A4Q4NTV1,270,93.9
A0A4Q4NUK9,324,86.0
A0A4Q4NVL9,395,93.4
A0A4Q4PA97,346,97.5
A0A4Q4PFX6,384,97.2
A0A4Q4PJE0,360,97.5
A0A4Q4PMJ1,344,97.5
A0A4Q4PZK3,360,97.4
A0A4Q4QB94,368,97.9
A0A4Q4QCH3,346,96.8
A0A4Q4QXM4,400,93.3
A0A4Q4QYU9,291,98.1
A0A4Q4R025,219,96.2
A0A4Q4R9E2,361,96.7
A0A4Q4RCG5,118,94.1
A0A4Q4RIU4,273,92.2
A0A4Q4RIX1,344,97.5
A0A4Q4RK75,370,97.9
A0A4Q4RRE4,277,97.3
A0A4Q4RRP6,300,95.0
A0A4Q4RS51,363,98.3
A0A4Q4RSQ3,336,95.7
A0A4Q4RSY1,384,97.3
A0A4Q4RWF9,324,94.1
A0A4Q4S0H2,364,98.3
A0A4Q4S9N1,364,98.1
A0A4Q4SFS0,364,98.1
A0A4Q4SH67,291,97.9
A0A4Q4SQ82,207,57.1
A0A4Q4SX56,343,77.2
A0A4Q4SXW4,317,83.4
A0A4Q4T1Z3,337,86.7
A0A4Q4T6Z6,277,94.4
A0A4Q4T9D8,370,93.8
A0A4Q4TEY4,266,92.6
A0A4Q4TGW2,244,88.0
A0A4Q4TH39,314,98.5
A0A4Q4TI57,369,93.4
A0A4Q4TQ47,304,97.8
A0A4Q7NUG4,393,92.2
A0A4Q7Z0G8,370,80.5
A0A4Q7ZGH5,271,98.3
A0A4Q9EBR2,318,96.8
A0A4Q9FQZ1,337,88.5
A0A4Q9KQT0,63,87.3
A0A4Q9L9F9,237,97.1
A0A4Q9LG08,237,96.8
A0A4Q9LRP6,237,96.6
A0A4Q9LYQ9,237,96.3
A0A4Q9M9G5,361,96.4
A0A4Q9NW54,361,96.5
A0A4Q9PR44,338,95.1
A0A4Q9RBJ6,283,97.1
A0A4R3I324,226,97.7
A0A4R3Q368,245,96.3
A0A4R4ZHH6,354,93.6
A0A4R6YR80,304,94.0
A0A4R7BDA0,309,96.7
A0A4R8G083,330,97.3
A0A4R8PNH1,292,96.8
A0A4R8PT74,435,74.2
A0A4R8PUJ5,391,93.2
A0A4R8PXC4,307,97.3
A0A4R8Q1L1,355,97.2
A0A4R8Q226,355,95.9
A0A4R8Q2P5,382,96.2
A0A4R8Q2S4,320,97.6
A0A4R8Q3F8,324,97.8
A0A4R8Q3V8,384,96.3
A0A4R8Q5V4,85,90.3
A0A4R8Q686,358,94.5
A0A4R8Q6U5,359,97.5
A0A4R8QCV3,86,97.6
A0A4R8QDR2,415,87.5
A0A4R8QE15,422,89.3
A0A4R8QFZ5,260,70.0
A0A4R8QGX6,324,97.5
A0A4R8QIT2,357,97.3
A0A4R8QJK7,330,96.2
A0A4R8QLI9,357,97.4
A0A4R8QLU2,315,96.4
A0A4R8QMD6,232,77.4
A0A4R8QMK9,330,96.8
A0A4R8QMY8,292,96.3
A0A4R8QSZ7,304,98.2
A0A4R8QUH0,359,97.3
A0A4R8RA10,375,90.7
