accession	status	n_sites	n_cu	n_other_metal	metals	cu_prob_max	all_probs	ligands	tier	n_his
A0A1Y2EAK7	ok	2	1	1	Copper;FECONI	0.99	FECONI:1.00;Copper:0.99	26,A,HIS;34,A,HIS;43,A,HIS | 211,A,HIS;239,A,HIS	binuclear	5
A0A1Y2HIE7	ok	1	1	0	Copper	1.00	Copper:1.00	63,A,HIS;70,A,HIS;79,A,HIS	binuclear	5
A0A1Y6LJW2	ok	2	1	1	Copper;FECONI	0.96	FECONI:1.00;Copper:0.96	21,A,HIS;29,A,HIS;38,A,HIS | 177,A,HIS;202,A,HIS;203,A,HIS	mononuclear	5
A0A1Y6LLM1	ok	1	1	0	Copper	1.00	Copper:1.00	107,A,HIS;115,A,HIS;124,A,HIS	mononuclear	5
A0A210R2D2	ok	1	0	1	Zinc		Zinc:0.82	306,A,GLU;340,A,ASP;344,A,HIS	no_cu	0
A0A218Z9Z9	ok	2	1	1	Copper;FECONI	0.95	FECONI:0.99;Copper:0.95	281,A,HIS;337,A,HIS | 286,A,HIS;312,A,HIS;313,A,HIS	no_cu	4
A0A225WZW1	ok	1	0	1	FECONI		FECONI:0.98	238,A,HIS;242,A,HIS;264,A,HIS	mononuclear	4
A0A232M3P4	ok	1	0	1	FECONI		FECONI:0.96	70,A,HIS;97,A,CYS;99,A,HIS;108,A,HIS	mononuclear	5
A0A238C4W2	ok	1	1	0	Copper	0.97	Copper:0.97	384,A,HIS;394,A,HIS;403,A,HIS	mononuclear	5
A0A2A2KWS8	ok	0	0	0					no_cu	0
A0A2B7X1D4	ok	3	3	0	Copper	0.99	Copper:0.96;Copper:0.91;Copper:0.99	82,A,HIS;101,A,CYS;112,A,HIS | 272,A,HIS;276,A,HIS;301,A,HIS | 272,A,HIS;276,A,HIS;302,A,HIS	binuclear	5
A0A2C9KDQ8	ok	1	1	0	Copper	0.79	Copper:0.79	169,A,HIS;191,A,HIS;192,A,HIS	mononuclear	3
A0A2G8L6J4	ok	0	0	0					mononuclear	2
A0A2G9GQP1	ok	1	1	0	Copper	0.97	Copper:0.97	277,A,HIS;281,A,HIS;310,A,HIS;311,A,HIS	mononuclear	4
A0A2H1GH96	ok	2	0	2	FECONI;Zinc		FECONI:0.99;Zinc:0.90	122,A,HIS;130,A,HIS;139,A,HIS | 278,A,HIS;303,A,HIS;304,A,HIS	mononuclear	5
A0A2H3E8H0	ok	2	1	1	Copper;FECONI	0.91	Copper:0.91;FECONI:1.00	273,A,HIS;277,A,HIS;312,A,HIS | 111,A,HIS;119,A,HIS;128,A,HIS	mononuclear	5
A0A2H3S6Y7	ok	2	0	2	FECONI		FECONI:0.99;FECONI:0.93	117,A,HIS;125,A,HIS;134,A,HIS | 271,A,HIS;296,A,HIS;297,A,HIS	mononuclear	5
A0A2H3SXS3	ok	2	1	1	Copper;FECONI	1.00	Copper:1.00;FECONI:0.97	68,A,HIS;76,A,HIS;85,A,HIS | 218,A,HIS;222,A,HIS	mononuclear	5
A0A2H4SUB3	ok	2	1	1	Copper;FECONI	0.95	Copper:0.95;FECONI:0.97	85,A,HIS;110,A,CYS;139,A,HIS | 293,A,HIS;297,A,HIS;321,A,HIS;322,A,HIS	binuclear	5
A0A2I0MT65	ok	1	0	1	FECONI		FECONI:0.99	191,A,HIS;213,A,HIS;222,A,HIS	mononuclear	4
A0A2J6PRK0	ok	2	1	1	Copper;FECONI	0.95	FECONI:0.99;Copper:0.95	114,A,HIS;122,A,HIS;131,A,HIS | 260,A,HIS;285,A,HIS;286,A,HIS	mononuclear	5
A0A2J6QS19	ok	2	1	1	Copper;FECONI	0.80	FECONI:0.91;Copper:0.80	66,A,HIS;74,A,HIS;83,A,HIS | 215,A,HIS;241,A,HIS	mononuclear	5
A0A2J6S1F6	ok	2	1	1	Copper;FECONI	0.98	FECONI:0.98;Copper:0.98	96,A,HIS;104,A,HIS;113,A,HIS | 247,A,HIS;272,A,HIS;273,A,HIS	mononuclear	5
A0A2J6S2Q8	ok	2	0	2	FECONI		FECONI:0.91;FECONI:0.94	81,A,HIS;89,A,HIS;98,A,HIS | 234,A,HIS;259,A,HIS;260,A,HIS	mononuclear	5
A0A2J6TC85	ok	1	0	1	FECONI		FECONI:0.95	203,A,HIS;207,A,HIS;229,A,HIS;230,A,HIS	binuclear	3
A0A2J6TD48	ok	1	1	0	Copper	0.99	Copper:0.99	66,A,HIS;74,A,HIS;83,A,HIS	mononuclear	5
A0A2J8X8R4	ok	1	1	0	Copper	0.99	Copper:0.99	189,A,HIS;211,A,HIS;220,A,HIS	binuclear	5
A0A2L2TIX2	ok	2	0	2	FECONI		FECONI:1.00;FECONI:0.91	60,A,HIS;68,A,HIS;77,A,HIS | 215,A,HIS;241,A,HIS	mononuclear	5
A0A2N3MZ18	ok	0	0	0					no_cu	2
A0A2N5SEN2	ok	1	0	1	FECONI		FECONI:1.00	81,A,HIS;89,A,HIS;98,A,HIS	mononuclear	5
A0A2N5SRB5	ok	1	0	1	FECONI		FECONI:1.00	173,A,HIS;181,A,HIS;190,A,HIS	mononuclear	5
A0A2N5SSF6	ok	1	0	1	FECONI		FECONI:1.00	173,A,HIS;181,A,HIS;190,A,HIS	mononuclear	5
A0A2N5TV63	ok	1	1	0	Copper	1.00	Copper:1.00	241,A,HIS;249,A,HIS;258,A,HIS	binuclear	5
A0A2N5U4U9	ok	1	0	1	FECONI		FECONI:0.94	144,A,HIS;152,A,HIS;161,A,HIS	mononuclear	5
A0A2N5VYB1	ok	1	0	1	FECONI		FECONI:1.00	173,A,HIS;181,A,HIS;190,A,HIS	mononuclear	5
A0A2P7YDE6	ok	2	1	1	Copper;FECONI	0.75	Copper:0.75;FECONI:0.96	132,A,HIS;141,A,HIS | 306,A,HIS;310,A,HIS;333,A,HIS;334,A,HIS	mononuclear	5
A0A2P7Z1M8	ok	2	0	2	FECONI		FECONI:0.77;FECONI:0.99	123,A,HIS;132,A,HIS | 273,A,HIS;277,A,HIS;301,A,HIS	binuclear	5
A0A2P7ZE68	ok	2	2	0	Copper	0.92	Copper:0.90;Copper:0.92	76,A,HIS;84,A,HIS;93,A,HIS | 224,A,HIS;249,A,HIS;250,A,HIS	mononuclear	5
A0A2R5FJR1	ok	2	2	0	Copper	1.00	Copper:1.00;Copper:0.94	94,A,HIS;117,A,HIS;126,A,HIS | 276,A,HIS;314,A,HIS;315,A,HIS	mononuclear	5
A0A2S4UTV9	ok	1	1	0	Copper	1.00	Copper:1.00	109,A,HIS;117,A,HIS;126,A,HIS	mononuclear	4
A0A2S4VER1	ok	1	0	1	FECONI		FECONI:1.00	169,A,HIS;177,A,HIS;186,A,HIS	mononuclear	5
A0A2S4VEY7	ok	1	1	0	Copper	1.00	Copper:1.00	109,A,HIS;117,A,HIS;126,A,HIS	mononuclear	4
A0A2T2NJ62	ok	0	0	0					no_cu	0
A0A2T2PBL1	ok	2	2	0	Copper	0.88	Copper:0.88;Copper:0.88	66,A,HIS;99,A,HIS | 270,A,HIS;298,A,HIS;299,A,HIS	no_cu	4
A0A2T3ZXK1	ok	2	1	1	Copper;FECONI	0.86	FECONI:0.99;Copper:0.86	84,A,HIS;92,A,HIS;101,A,HIS | 177,A,HIS;182,A,HIS	mononuclear	5
A0A2T4GS12	ok	1	0	1	FECONI		FECONI:1.00	46,A,HIS;56,A,HIS;65,A,HIS	mononuclear	5
A0A2T6BVL4	ok	1	0	1	Zinc		Zinc:0.81	48,A,HIS;53,A,ASP;55,A,ASP	mononuclear	2
A0A2T6ZWP4	ok	3	1	2	Copper;FECONI	0.83	Copper:0.83;FECONI:0.91;FECONI:0.98	62,A,HIS;85,A,HIS;94,A,HIS | 279,A,HIS;283,A,HIS;315,A,HIS | 279,A,HIS;283,A,HIS;316,A,HIS	binuclear	3
A0A2V1D8S9	ok	2	0	2	FECONI		FECONI:0.99;FECONI:0.81	49,A,HIS;57,A,HIS;66,A,HIS | 196,A,HIS;222,A,HIS	mononuclear	5
A0A2V1EB40	ok	2	1	1	Copper;FECONI	0.93	FECONI:0.98;Copper:0.93	97,A,HIS;121,A,CYS;132,A,HIS | 312,A,HIS;316,A,HIS;339,A,HIS;340,A,HIS	binuclear	5
A0A2V5IDW1	ok	2	0	2	FECONI		FECONI:0.99;FECONI:0.91	93,A,HIS;101,A,HIS;110,A,HIS | 240,A,HIS;265,A,HIS;266,A,HIS	mononuclear	5
A0A2V5JDM1	ok	1	1	0	Copper	0.94	Copper:0.94	273,A,HIS;277,A,HIS;299,A,HIS;300,A,HIS	mononuclear	4
A0A2Z5HVJ6	ok	2	1	1	Copper;FECONI	0.90	FECONI:1.00;Copper:0.90	96,A,HIS;117,A,HIS;126,A,HIS | 254,A,HIS;283,A,HIS;284,A,HIS	mononuclear	5
A0A317SGF7	ok	2	1	1	Copper;FECONI	0.81	FECONI:0.93;Copper:0.81	232,A,HIS;238,A,HIS;247,A,HIS | 448,A,GLU;452,A,HIS	mononuclear	5
A0A317VMA5	ok	2	1	1	Copper;FECONI	0.91	FECONI:0.92;Copper:0.91	156,A,HIS;164,A,HIS;173,A,HIS | 303,A,HIS;328,A,HIS;329,A,HIS	mononuclear	5
A0A319FJL1	ok	3	2	1	Copper;FECONI	0.97	FECONI:0.88;Copper:0.90;Copper:0.97	117,A,HIS;139,A,HIS | 302,A,HIS;306,A,HIS;328,A,HIS | 302,A,HIS;306,A,HIS;329,A,HIS	mononuclear	5
A0A329SB08	ok	0	0	0					no_cu	0
A0A329SW91	ok	1	0	1	FECONI		FECONI:0.98	235,A,HIS;239,A,HIS;261,A,HIS	mononuclear	4
A0A365NE95	ok	2	0	2	FECONI		FECONI:0.98;FECONI:0.91	53,A,HIS;61,A,HIS;70,A,HIS | 207,A,HIS;232,A,HIS;233,A,HIS	mononuclear	5
A0A368GCB1	ok	1	1	0	Copper	0.99	Copper:0.99	29,A,HIS;39,A,HIS;48,A,HIS	mononuclear	4
A0A368QNI6	ok	1	0	1	FECONI		FECONI:0.95	137,A,HIS;141,A,CYS;158,A,HIS;167,A,HIS	mononuclear	4
A0A384BB62	ok	1	1	0	Copper	1.00	Copper:1.00	189,A,HIS;211,A,HIS;220,A,HIS	binuclear	4
A0A384K0M5	ok	1	1	0	Copper	0.98	Copper:0.98	135,A,HIS;143,A,HIS;152,A,HIS	mononuclear	5
A0A384K4W6	ok	2	1	1	Copper;FECONI	0.93	FECONI:0.99;Copper:0.93	105,A,HIS;113,A,HIS;122,A,HIS | 251,A,HIS;276,A,HIS;277,A,HIS	mononuclear	5
A0A395HJP7	ok	1	0	1	FECONI		FECONI:1.00	96,A,HIS;109,A,HIS;118,A,HIS	mononuclear	5
A0A395T2J9	ok	3	3	0	Copper	0.98	Copper:0.95;Copper:0.89;Copper:0.98	82,A,HIS;109,A,HIS;118,A,HIS | 257,A,HIS;261,A,HIS;282,A,HIS | 257,A,HIS;261,A,HIS;283,A,HIS	binuclear	5
A0A3B6EKX7	ok	2	0	2	FECONI		FECONI:0.91;FECONI:0.95	37,A,HIS;41,A,CYS;66,A,HIS | 188,A,HIS;192,A,HIS;221,A,HIS;222,A,HIS	binuclear	5
A0A3B6J0G9	ok	2	1	1	Copper;FECONI	0.92	FECONI:1.00;Copper:0.92	29,A,HIS;50,A,HIS;59,A,HIS | 181,A,HIS;185,A,HIS;214,A,HIS	mononuclear	5
A0A3E2HCJ3	ok	1	1	0	Copper	0.96	Copper:0.96	133,A,HIS;150,A,HIS	mononuclear	5
A0A3F2RYX7	ok	0	0	0					no_cu	1
A0A3F3PW89	ok	2	1	1	Copper;Zinc	0.76	Copper:0.76;Zinc:0.96	98,A,HIS;123,A,HIS | 242,A,HIS;246,A,HIS;268,A,HIS;269,A,HIS	mononuclear	5
A0A3F3Q782	ok	2	1	1	Copper;FECONI	0.92	Copper:0.92;FECONI:0.96	57,A,HIS;71,A,HIS | 197,A,HIS;201,A,HIS;224,A,HIS	binuclear	5
A0A3M0L5Z8	ok	1	0	1	FECONI		FECONI:0.99	191,A,HIS;214,A,HIS;223,A,HIS	mononuclear	4
A0A3M6VLC9	ok	0	0	0					no_cu	1
A0A3M6XNY6	ok	2	1	1	Copper;FECONI	0.97	Copper:0.97;FECONI:0.96	70,A,HIS;93,A,CYS;104,A,HIS | 271,A,HIS;275,A,HIS;306,A,HIS;307,A,HIS	binuclear	5
A0A3M7C5D9	ok	2	0	2	FECONI		FECONI:0.86;FECONI:0.97	322,A,HIS;326,A,HIS;350,A,HIS | 322,A,HIS;326,A,HIS;351,A,HIS	mononuclear	5
A0A3M7J5F3	ok	2	0	2	FECONI		FECONI:0.87;FECONI:0.98	324,A,HIS;328,A,HIS;352,A,HIS | 324,A,HIS;328,A,HIS;353,A,HIS	mononuclear	5
A0A3M7MKX7	ok	2	1	1	Copper;Zinc	0.94	Copper:0.94;Zinc:0.94	79,A,HIS;101,A,CYS;112,A,HIS | 284,A,HIS;288,A,HIS;311,A,HIS;312,A,HIS	binuclear	5
A0A3N0CP77	ok	0	0	0					no_cu	0
A0A3N4IPE1	ok	2	2	0	Copper	0.96	Copper:0.93;Copper:0.96	137,A,HIS;158,A,CYS;169,A,HIS | 361,A,HIS;365,A,HIS;390,A,HIS;391,A,HIS	binuclear	5
A0A3N4K3H4	ok	1	1	0	Copper	0.97	Copper:0.97	214,A,HIS;218,A,HIS;230,A,HIS	mononuclear	4
A0A3P3Y6E4	ok	0	0	0					no_cu	0
A0A3P3Y6K2	ok	1	1	0	Copper	1.00	Copper:1.00	373,A,HIS;375,A,HIS	no_cu	2
A0A3P6S9E3	ok	1	0	1	FECONI		FECONI:0.99	360,A,HIS;370,A,HIS;379,A,HIS	mononuclear	5
A0A3P7DNC2	ok	2	0	2	FECONI;Manganese		FECONI:0.98;Manganese:0.93	384,A,HIS;394,A,HIS;403,A,HIS | 495,A,HIS;516,A,ASP	mononuclear	5
A0A3P8DS39	ok	1	0	1	FECONI		FECONI:0.99	152,A,HIS;162,A,HIS;171,A,HIS	mononuclear	4
A0A3P8WSE3	ok	2	0	2	FECONI		FECONI:1.00;FECONI:0.97	182,A,HIS;205,A,HIS;214,A,HIS | 366,A,HIS;370,A,HIS;392,A,HIS	mononuclear	5
A0A3Q3L0Y4	ok	2	0	2	FECONI		FECONI:0.99;FECONI:0.99	176,A,HIS;199,A,HIS;208,A,HIS | 362,A,HIS;366,A,HIS;389,A,ASP	binuclear	5
A0A3R6YR15	ok	0	0	0					no_cu	2
A0A3R7FX46	ok	0	0	0					no_cu	0
A0A3S3Q853	ok	3	1	2	Copper;Zinc	0.94	Copper:0.94;Zinc:0.82;Zinc:0.95	79,A,HIS;108,A,CYS;124,A,HIS | 108,A,CYS;110,A,HIS;124,A,HIS | 220,A,HIS;224,A,HIS;266,A,HIS;267,A,HIS	mononuclear	5
A0A401PX39	ok	0	0	0					no_cu	2
A0A409WYM8	ok	1	0	1	Zinc		Zinc:0.88	234,A,HIS;275,A,HIS;276,A,HIS	mononuclear	4
A0A409XK29	ok	1	1	0	Copper	1.00	Copper:1.00	91,A,HIS;99,A,HIS;108,A,HIS	mononuclear	5
A0A419QAV9	ok	1	0	1	FECONI		FECONI:0.93	211,A,HIS;220,A,HIS	no_cu	4
A0A420TE23	ok	1	1	0	Copper	0.96	Copper:0.96	214,A,HIS;218,A,HIS;239,A,HIS;240,A,HIS	mononuclear	4
A0A421G844	ok	3	1	2	Copper;FECONI;Zinc	0.77	FECONI:0.99;Zinc:0.86;Copper:0.77	75,A,HIS;85,A,HIS;94,A,HIS | 122,A,HIS;262,A,HIS | 241,A,HIS;262,A,HIS;263,A,HIS	mononuclear	5
A0A425CLB8	ok	0	0	0					no_cu	1
A0A430HE78	ok	4	2	2	Copper;FECONI;Manganese	0.92	FECONI:0.93;Manganese:0.92;Copper:0.91;Copper:0.92	84,A,HIS;119,A,CYS;121,A,HIS;134,A,HIS | 121,A,HIS;247,A,ASP;251,A,HIS;471,A,GLU | 251,A,HIS;255,A,HIS;277,A,HIS | 251,A,HIS;255,A,HIS;278,A,HIS	binuclear	5
A0A437ABU9	ok	2	1	1	Copper;FECONI	0.95	Copper:0.95;FECONI:0.97	148,A,HIS;168,A,CYS;179,A,HIS | 342,A,HIS;346,A,HIS;370,A,HIS;371,A,HIS	binuclear	5
A0A443HXX0	ok	2	1	1	Copper;FECONI	0.94	FECONI:0.99;Copper:0.94	127,A,HIS;135,A,HIS;144,A,HIS | 271,A,HIS;296,A,HIS;297,A,HIS	mononuclear	5
A0A444RJX5	ok	1	0	1	FECONI		FECONI:1.00	13,A,HIS;21,A,HIS;30,A,HIS	binuclear	5
A0A444UPP0	ok	2	1	1	Copper;FECONI	0.77	FECONI:1.00;Copper:0.77	187,A,HIS;209,A,HIS;218,A,HIS | 367,A,HIS;371,A,HIS	mononuclear	5
A0A446BXJ9	ok	1	0	1	FECONI		FECONI:1.00	71,A,HIS;79,A,HIS;88,A,HIS	mononuclear	4
A0A447TAE7	ok	2	0	2	FECONI		FECONI:0.93;FECONI:0.96	33,A,HIS;66,A,CYS;82,A,HIS | 182,A,HIS;186,A,HIS;210,A,HIS;211,A,HIS	mononuclear	5
A0A484G057	ok	1	0	1	FECONI		FECONI:1.00	189,A,HIS;197,A,HIS;206,A,HIS	mononuclear	3
A0A485KPS2	ok	1	0	1	FECONI		FECONI:0.91	280,A,HIS;284,A,HIS;323,A,CYS	no_cu	3
A0A485KPU0	ok	1	1	0	Copper	0.97	Copper:0.97	325,A,HIS;329,A,HIS;351,A,HIS	mononuclear	3
A0A485KQE4	ok	1	0	1	FECONI		FECONI:0.98	225,A,HIS;229,A,HIS;251,A,HIS	mononuclear	3
A0A485KTR0	ok	2	0	2	FECONI;Zinc		FECONI:0.90;Zinc:0.94	66,A,HIS;76,A,HIS;84,A,HIS | 242,A,HIS;246,A,HIS;267,A,HIS;268,A,HIS	binuclear	5
A0A498S2C2	ok	2	1	1	Copper;Zinc	0.95	Copper:0.95;Zinc:0.88	373,A,HIS;383,A,HIS;392,A,HIS | 484,A,HIS;505,A,ASP	mononuclear	5
A0A4E9FIB1	ok	1	0	1	FECONI		FECONI:0.99	379,A,HIS;389,A,HIS;398,A,HIS	mononuclear	5
A0A4P9VZN9	ok	1	0	1	FECONI		FECONI:0.97	236,A,HIS;240,A,HIS;277,A,HIS;278,A,HIS	mononuclear	5
A0A4P9XG75	ok	0	0	0					mononuclear	4
A0A4P9XJ34	ok	0	0	0					no_cu	0
A0A4P9XNA4	ok	1	0	1	FECONI		FECONI:1.00	11,A,HIS;19,A,HIS;28,A,HIS	mononuclear	4
A0A4Q4M2B0	ok	2	2	0	Copper	1.00	Copper:1.00;Copper:0.86	13,A,HIS;21,A,HIS;30,A,HIS | 162,A,HIS;188,A,HIS	mononuclear	5
A0A4Q4NQ20	ok	2	2	0	Copper	1.00	Copper:1.00;Copper:0.78	13,A,HIS;21,A,HIS;30,A,HIS | 162,A,HIS;214,A,HIS	mononuclear	5
A0A4R8PT74	ok	1	0	1	FECONI		FECONI:1.00	156,A,HIS;164,A,HIS;173,A,HIS	mononuclear	4
A0A4R8REE8	ok	1	0	1	FECONI		FECONI:0.99	85,A,HIS;93,A,HIS;102,A,HIS	mononuclear	4
A0A4R8RI59	ok	2	1	1	Copper;FECONI	0.88	Copper:0.88;FECONI:0.99	275,A,HIS;279,A,HIS;301,A,HIS | 275,A,HIS;279,A,HIS;302,A,HIS	binuclear	5
A0A4R8T272	ok	1	0	1	FECONI		FECONI:0.99	162,A,HIS;170,A,HIS;179,A,HIS	mononuclear	3
A0A4S2LAY4	ok	0	0	0					no_cu	4
A0A4S2LBN1	ok	1	0	1	FECONI		FECONI:0.92	211,A,HIS;220,A,HIS	no_cu	4
A0A4S9AAS5	ok	0	0	0					no_cu	2
A0A4S9D5E3	ok	0	0	0					no_cu	2
A0A4S9F9F9	ok	0	0	0					no_cu	2
A0A4S9LP12	ok	0	0	0					no_cu	1
A0A4S9TIS8	ok	0	0	0					no_cu	2
A0A4S9V507	ok	0	0	0					no_cu	2
A0A4S9Y8F5	ok	0	0	0					no_cu	2
A0A4S9ZZ06	ok	0	0	0					no_cu	2
A0A4T0BL07	ok	0	0	0					no_cu	1
A0A4T0EP09	ok	0	0	0					no_cu	2
A0A4T0FMD4	ok	2	2	0	Copper	0.95	Copper:0.94;Copper:0.95	75,A,HIS;88,A,HIS | 229,A,HIS;233,A,HIS;258,A,HIS;259,A,HIS	mononuclear	5
A0A4T0WAP6	ok	2	1	1	Copper;FECONI	0.94	FECONI:1.00;Copper:0.94	220,A,HIS;228,A,HIS;237,A,HIS | 405,A,HIS;409,A,HIS;432,A,HIS	mononuclear	5
A0A4U0TXP9	ok	2	0	2	FECONI;Zinc		FECONI:0.99;Zinc:0.77	144,A,HIS;152,A,HIS;161,A,HIS | 292,A,HIS;317,A,HIS;318,A,HIS	mononuclear	5
A0A4U0VC90	ok	1	0	1	FECONI		FECONI:0.96	142,A,HIS;150,A,HIS;159,A,HIS	mononuclear	5
A0A4U0VS63	ok	1	0	1	FECONI		FECONI:0.98	135,A,HIS;143,A,HIS;152,A,HIS	mononuclear	5
A0A4U0XT20	ok	2	0	2	FECONI;Zinc		FECONI:0.97;Zinc:0.79	135,A,HIS;143,A,HIS;152,A,HIS | 283,A,HIS;308,A,HIS;309,A,HIS	mononuclear	5
A0A4U6X5Z4	ok	1	0	1	FECONI		FECONI:0.98	244,A,HIS;252,A,HIS;261,A,HIS	mononuclear	3
A0A4U7AY24	ok	3	0	3	FECONI;Zinc		FECONI:0.91;Zinc:0.85;Zinc:0.93	76,A,HIS;84,A,HIS;93,A,HIS | 224,A,HIS;249,A,HIS;250,A,HIS | 621,A,HIS;678,A,HIS	mononuclear	5
A0A4U7B5J3	ok	2	1	1	Copper;FECONI	0.94	FECONI:0.99;Copper:0.94	139,A,HIS;147,A,HIS;156,A,HIS | 294,A,HIS;319,A,HIS;320,A,HIS	mononuclear	5
A0A4W4EZ83	ok	0	0	0					no_cu	3
A0A4W6F5R6	ok	2	0	2	FECONI		FECONI:1.00;FECONI:0.94	182,A,HIS;205,A,HIS;214,A,HIS | 366,A,HIS;370,A,HIS;382,A,HIS	binuclear	5
A0A4Y8CCG2	ok	1	0	1	FECONI		FECONI:1.00	130,A,HIS;138,A,HIS;147,A,HIS	mononuclear	4
A0A4Y8D0D0	ok	2	0	2	FECONI		FECONI:0.82;FECONI:0.97	57,A,HIS;65,A,HIS | 244,A,HIS;248,A,HIS;270,A,HIS;271,A,HIS	binuclear	5
A0A4Y8D0V3	ok	2	1	1	Copper;FECONI	0.94	FECONI:0.98;Copper:0.94	105,A,HIS;113,A,HIS;122,A,HIS | 251,A,HIS;276,A,HIS;277,A,HIS	mononuclear	5
A0A4Y9L370	ok	2	0	2	FECONI;Zinc		FECONI:0.96;Zinc:0.95	78,A,HIS;112,A,CYS;115,A,HIS;131,A,HIS | 239,A,HIS;243,A,HIS;267,A,HIS;268,A,HIS	mononuclear	5
A0A4Z0YK01	ok	2	1	1	Copper;FECONI	0.93	FECONI:0.92;Copper:0.93	115,A,HIS;123,A,HIS;132,A,HIS | 261,A,HIS;286,A,HIS;287,A,HIS	mononuclear	5
A0A4Z1EV38	ok	2	2	0	Copper	0.94	Copper:0.82;Copper:0.94	136,A,HIS;153,A,HIS | 281,A,HIS;307,A,HIS	no_cu	4
A0A4Z1FR91	ok	1	0	1	FECONI		FECONI:0.99	125,A,HIS;133,A,HIS;142,A,HIS	mononuclear	5
A0A4Z1HA19	ok	1	1	0	Copper	1.00	Copper:1.00	155,A,HIS;163,A,HIS;172,A,HIS	mononuclear	4
A0A4Z1K5V5	ok	2	2	0	Copper	0.92	Copper:0.92;Copper:0.91	136,A,HIS;153,A,HIS | 281,A,HIS;307,A,HIS	no_cu	4
A0A4Z1NUI9	ok	2	1	1	Copper;FECONI	0.94	FECONI:0.99;Copper:0.94	145,A,HIS;153,A,HIS;162,A,HIS | 302,A,HIS;327,A,HIS;328,A,HIS	mononuclear	5
A0A4Z1PB68	ok	1	0	1	FECONI		FECONI:0.98	104,A,ASP;258,A,HIS;262,A,HIS;285,A,HIS	mononuclear	4
A0A507BI78	ok	3	0	3	FECONI		FECONI:0.96;FECONI:0.91;FECONI:0.93	101,A,HIS;123,A,CYS;125,A,HIS | 305,A,HIS;309,A,HIS;333,A,HIS | 305,A,HIS;309,A,HIS;334,A,HIS	binuclear	5
A0A507BMG0	ok	1	0	1	Zinc		Zinc:0.93	268,A,HIS;272,A,HIS;309,A,HIS;310,A,HIS	mononuclear	4
A0A507BNL8	ok	1	0	1	FECONI		FECONI:0.96	65,A,HIS;87,A,CYS;98,A,HIS	mononuclear	5
A0A507F691	ok	3	1	2	Copper;FECONI	0.83	Copper:0.83;FECONI:0.93;FECONI:0.98	68,A,HIS;104,A,HIS | 234,A,HIS;238,A,HIS;263,A,HIS | 234,A,HIS;238,A,HIS;264,A,HIS	mononuclear	5
A0A507F697	ok	2	1	1	Copper;FECONI	0.99	FECONI:0.92;Copper:0.99	212,A,HIS;216,A,HIS;241,A,HIS | 212,A,HIS;216,A,HIS;242,A,HIS	mononuclear	5
A0A544XUX3	ok	0	0	0					no_cu	2
A0A562PHQ5	ok	2	1	1	Copper;FECONI	0.95	Copper:0.95;FECONI:0.96	79,A,HIS;112,A,CYS;127,A,HIS | 229,A,HIS;233,A,HIS;257,A,HIS;258,A,HIS	mononuclear	5
A0A5C3QBW9	ok	3	2	1	Copper;FECONI	0.95	Copper:0.95;Copper:0.84;FECONI:0.96	74,A,HIS;83,A,HIS | 222,A,HIS;226,A,HIS;248,A,HIS | 222,A,HIS;226,A,HIS;249,A,HIS	mononuclear	4
A0A5C6MG15	ok	2	2	0	Copper	0.91	Copper:0.80;Copper:0.91	180,A,HIS;204,A,HIS | 356,A,HIS;360,A,HIS;382,A,HIS;383,A,HIS	mononuclear	5
A0A5C6SKB8	ok	1	0	1	FECONI		FECONI:0.97	191,A,HIS;195,A,HIS;217,A,HIS	binuclear	5
A0A5J6HY91	ok	2	2	0	Copper	0.93	Copper:0.89;Copper:0.93	43,A,HIS;63,A,HIS;196,A,HIS | 178,A,HIS;199,A,HIS	no_cu	4
A0A5M8PS01	ok	1	0	1	FECONI		FECONI:0.91	130,A,HIS;138,A,HIS;147,A,HIS	mononuclear	5
A0A5N5DM31	ok	3	2	1	Copper;FECONI	0.99	Copper:0.95;FECONI:0.76;Copper:0.99	88,A,HIS;98,A,HIS | 243,A,HIS;247,A,HIS;289,A,HIS | 243,A,HIS;247,A,HIS;290,A,HIS	mononuclear	5
A0A5N5QEZ6	ok	3	2	1	Copper;FECONI	0.97	FECONI:0.84;Copper:0.78;Copper:0.97	99,A,HIS;107,A,HIS | 254,A,HIS;258,A,HIS;280,A,HIS | 254,A,HIS;258,A,HIS;281,A,HIS	binuclear	5
A0A5N6BWN4	ok	0	0	0					no_cu	2
A0A5N7CL84	ok	0	0	0					no_cu	1
A0A5N7DKE9	ok	2	0	2	FECONI		FECONI:0.97;FECONI:0.96	123,A,HIS;131,A,HIS;140,A,HIS | 268,A,HIS;293,A,HIS;294,A,HIS	mononuclear	5
A0A5Q4BTC4	ok	1	0	1	FECONI		FECONI:0.98	86,A,HIS;109,A,HIS;118,A,HIS	no_cu	4
A0A5Q4BZL7	ok	2	1	1	Copper;FECONI	0.93	Copper:0.93;FECONI:1.00	393,A,HIS;397,A,HIS;420,A,HIS | 208,A,HIS;216,A,HIS;225,A,HIS	mononuclear	5
A0A5S6PYS3	ok	0	0	0					no_cu	2
A0A5S6QIU3	ok	1	1	0	Copper	0.87	Copper:0.87	303,A,HIS;329,A,HIS;330,A,HIS	no_cu	4
A0A5S6QUR5	ok	1	0	1	Zinc		Zinc:0.90	132,A,HIS;141,A,HIS;150,A,HIS	mononuclear	5
