accession	thioether	sg_dist
A0A1Y1Y750	-	22.36
A0A1Y1YAL0	C	2.93
A0A1Y1YBC0	-	22.84
A0A1Y1YDM8	-	21.69
A0A1Y1YGY2	C*	3.80
A0A1Y1YHD6	-	22.19
A0A1Y1YII7	-	18.92
A0A1Y1YL36	-	22.90
A0A1Y1Z2V1	-	21.80
A0A1Y1Z3P8	-	10.15
A0A1Y1Z4N2	-	22.14
A0A1Y1Z5L8	-	21.03
A0A1Y1Z697	-	18.58
A0A1Y1Z6J4	-	NA
A0A1Y1ZAQ2	-	NA
A0A1Y1ZC58	-	10.24
A0A1Y1ZEP1	-	23.02
A0A1Y1ZKF0	-	10.03
A0A1Y1ZNT3	-	22.81
A0A1Y1ZQ62	-	23.14
A0A1Y1ZQB7	-	15.58
A0A1Y1ZS34	-	22.98
A0A1Y1ZVC0	-	20.22
A0A1Y1ZWF3	C	2.78
A0A1Y2A0W8	-	23.79
A0A1Y2A1D7	-	15.02
A0A1Y2A1T8	C	3.23
A0A1Y2B8A2	C*	6.28
A0A1Y2BRR1	-	21.56
A0A1Y2BS97	-	13.96
A0A1Y2C6Z8	-	18.92
A0A1Y2C7D2	-	21.46
A0A1Y2C902	-	16.08
A0A1Y2CS79	-	17.66
A0A1Y2CTX0	-	15.10
A0A1Y2D0T3	-	17.50
A0A1Y2D0V7	-	12.56
A0A1Y2D1M5	-	16.85
A0A1Y2D9W0	-	6.61
A0A1Y2DJD5	-	6.40
A0A1Y2DPS8	-	15.57
A0A1Y2DQ55	-	14.48
A0A1Y2DTS3	-	NA
A0A1Y2DYQ2	-	21.98
A0A1Y2E0D0	-	22.99
A0A1Y2E320	C	3.05
A0A1Y2E7P4	-	14.58
A0A1Y2EAA7	-	15.05
A0A1Y2EBR8	-	23.06
A0A1Y2EC43	-	14.85
A0A1Y2ELF4	C	2.80
A0A1Y2H970	-	24.56
A0A1Y2HB26	-	24.86
A0A1Y2HBG1	-	22.20
A0A1Y2HBJ4	-	9.42
A0A1Y2HGN7	-	21.92
A0A1Y2HHP1	-	15.68
A0A1Y2HIE7	-	NA
A0A1Y2HJL8	-	24.79
A0A1Y2HM72	-	15.88
A0A1Y2HMF9	-	24.94
A0A1Y2HSP2	-	22.24
A0A1Y2HVF8	-	22.30
A0A1Y2HYH5	-	17.91
A0A1Y2I086	-	22.25
A0A1Y2I2E8	-	22.01
A0A1Y2I5X2	-	14.64
A0A1Y2J1T8	-	14.82
A0A1Y2J222	C*	3.85
A0A1Y2JFF1	C	3.29
A0A1Y2JMB7	C	3.48
A0A1Y2LAB1	C*	3.72
A0A1Y2LJE8	-	22.73
A0A1Y2LLX2	-	15.74
A0A1Y2LS64	-	22.72
A0A1Y2LTP6	-	22.45
A0A1Y2LV59	-	19.28
A0A1Y2LVN0	-	15.07
A0A1Y2LWY4	-	21.70
A0A1Y2LZD4	-	22.89
A0A1Y2M0W4	-	21.93
A0A1Y2M514	C	2.83
A0A1Y2MBF5	-	14.94
A0A1Y2MBQ1	-	15.01
A0A1Y2NMG9	-	NA
A0A1Y3CKL6	C	2.92
A0A1Y5XJS9	-	15.07
A0A1Y6CW86	C*	11.78
A0A1Y6LEM6	-	16.06
A0A1Y6LG60	-	14.95
A0A1Y6LH78	C*	6.43
A0A1Y6LHS4	C*	12.76
A0A1Y6LIE0	-	16.03
A0A1Y6LJW2	-	NA
A0A1Y6LLM1	-	NA
A0A1Y6LLP7	C	3.32
A0A1Y6LNC1	C	2.76
A0A1Y6LWP6	-	8.39
A0A1Y6LZT0	-	22.93
A0A1Y6M338	C	2.91
A0A1Z1WBL2	-	NA
A0A1Z1WEX4	-	NA
A0A1Z2KV18	-	10.42
A0A1Z2L0K2	-	15.92
A0A1Z2L705	-	16.09
A0A1Z4C3I1	C*	3.65
A0A1Z4C3W5	C	3.42
A0A1Z4LKJ3	-	15.12
A0A1Z4LU81	-	NA
A0A1Z4V9M4	C	3.14
A0A1Z5R8F8	C	3.20
A0A1Z5SN13	-	22.68
A0A1Z5SRG5	C*	4.10
A0A1Z5SY64	C*	3.68
A0A1Z5SZD6	-	22.76
A0A1Z5T6Y5	-	22.98
A0A1Z5TA34	-	23.01
A0A1Z5TGP0	-	22.98
A0A1Z5TI13	C*	3.64
A0A1Z5TJY0	-	23.09
A0A1Z5TLP4	-	23.76
A0A1Z5TMX8	-	23.01
A0A1Z5TUA1	C	3.30
A0A1Z5TVI1	-	22.86
A0A1Z8AWD3	C	3.30
A0A200PQQ4	C	3.05
A0A200PQR0	C	2.82
A0A200PQT6	C	3.13
A0A200Q9B4	C	3.08
A0A200Q9D2	C	3.04
A0A200R7R5	C	3.44
A0A202B6Z1	C	2.68
A0A202B9X1	C	3.09
A0A210PLP8	-	11.63
A0A210PPR4	-	13.25
A0A210PWA4	-	15.74
A0A210QF88	-	12.37
A0A210QHJ1	-	26.48
A0A210QHN1	-	12.78
A0A210QJN1	-	26.23
A0A210QJQ9	-	19.43
A0A210QJS6	-	23.62
A0A210QME8	-	13.01
A0A210QRD1	-	11.95
A0A210R172	-	17.91
A0A210R239	-	11.96
A0A210R249	-	14.01
A0A210R253	-	29.80
A0A210R2D2	-	NA
A0A210R2F8	-	14.92
A0A210R2J1	-	12.53
A0A210R2J5	-	13.82
A0A210R2L1	-	26.31
A0A210R2R4	-	11.62
A0A211ZIF3	C	3.23
A0A212C521	-	15.71
A0A218UTV1	-	12.71
A0A218V5V9	-	13.34
A0A218WZL2	C	2.77
A0A218YW74	-	20.28
A0A218YXK2	-	22.98
A0A218Z1A3	-	14.76
A0A218Z5Z3	-	8.31
A0A218Z9Z9	-	NA
A0A218ZEU2	C*	3.56
A0A218ZG40	-	14.91
A0A218ZGH0	C	3.22
A0A221NXB2	-	NA
A0A221P6L7	-	NA
A0A222YS18	-	11.58
A0A222YSB4	-	12.57
A0A222YTC9	-	11.65
A0A225AK64	C	3.33
A0A225W8Z8	-	12.14
A0A225WDY0	-	12.63
A0A225WTA2	-	12.07
A0A225WXL0	-	12.32
A0A225WXR8	-	12.49
A0A225WZW1	-	NA
A0A225X002	-	NA
A0A225X068	-	12.54
A0A225X0D9	-	12.51
A0A225X3J0	-	12.30
A0A226MSN3	-	12.90
A0A226MV85	-	13.26
A0A226N516	-	15.13
A0A227NIZ8	C	3.17
A0A229WBV1	-	23.00
A0A229YF46	-	22.90
A0A232LQ58	-	NA
A0A232M3J6	C*	3.52
A0A232M3P4	-	NA
A0A232M6A5	C	3.22
A0A233S0M9	-	NA
A0A233SWB8	-	NA
A0A238BSW7	-	14.72
A0A238BUS9	C	3.38
A0A238C4W2	-	NA
A0A238C614	-	13.07
A0A238GSN3	C	2.76
A0A238GSS3	C	2.75
A0A238GT27	C	2.91
A0A238JCS7	C	2.72
A0A238URH8	C	3.39
A0A238WEM5	C	2.85
A0A239B9T9	C*	3.63
A0A239C589	-	15.65
A0A239DL37	C*	3.57
A0A239JU18	C*	4.27
A0A243BGP5	-	66.13
A0A243RJW7	-	NA
A0A243S3W4	-	NA
A0A248JNQ9	-	6.08
A0A248JZS5	C	3.37
A0A249PKJ6	C	3.05
A0A250IQN3	C	2.88
A0A250J906	-	NA
A0A250JIN4	C	3.24
A0A250V858	-	NA
A0A250VK24	-	NA
A0A250X2B4	C	3.25
A0A251PFJ6	C	2.97
A0A251S095	C	2.84
A0A251SBY7	C	2.79
A0A251SCL8	C	2.80
A0A251T8E6	C	3.05
A0A251T9H9	C	2.92
A0A251TAZ6	C	2.93
A0A251TBX0	C	2.84
A0A251TCC9	C	2.88
A0A251TE56	C	2.81
A0A251TN65	C	3.04
A0A251TYX0	C	2.83
A0A254T7E5	C	3.00
A0A254TX54	-	22.76
A0A254U1W7	C	3.49
A0A254U6B9	-	22.44
A0A254U6L8	-	15.04
A0A254UGL9	-	15.63
A0A255XTK6	C	2.90
A0A255XVR5	C	3.17
A0A255Z219	C	3.23
A0A260YNQ5	-	13.93
A0A260ZAA2	-	18.11
A0A260ZHJ1	-	13.99
A0A261A2D2	-	13.91
A0A261AMC7	-	11.46
A0A261ART6	-	11.45
A0A261BML5	-	13.40
A0A261BV78	-	18.13
A0A261GRE4	C	3.40
A0A261GVB1	C	2.82
A0A267E0U8	C*	10.20
A0A267EJI9	C*	10.22
A0A267G1D3	C*	10.03
A0A270R4T3	C	3.19
A0A270R4U3	C*	4.44
A0A284QKJ8	-	23.51
A0A284QUC6	-	15.06
A0A284QY39	-	23.52
A0A284R0V1	-	23.37
A0A284RJ44	-	23.52
A0A284RME6	C	3.46
A0A284RNM6	-	15.57
A0A284RQX4	-	23.50
A0A284RVV9	-	23.18
A0A285BU58	-	6.40
A0A285MR25	-	35.01
A0A285N1Q2	C	3.33
A0A286K027	-	18.80
A0A286MEA3	C	2.80
A0A286UXE3	C	2.89
A0A286UXH5	C*	3.82
A0A286ZW59	-	13.17
A0A291Q8A9	-	NA
A0A292PHN7	-	21.89
A0A292PKA2	-	15.33
A0A292PY08	C	3.23
A0A292PZ61	C	3.08
A0A292Q0S9	-	22.13
A0A2A2CYM0	-	15.96
A0A2A2CZR1	-	10.43
A0A2A2D8R7	-	15.91
A0A2A2J8D8	-	12.90
A0A2A2JDD4	-	12.66
A0A2A2JDX4	-	12.77
A0A2A2JLU7	-	16.91
A0A2A2JPQ9	-	11.39
A0A2A2KE11	-	17.34
A0A2A2KHM8	-	18.32
A0A2A2KHX6	-	14.00
A0A2A2KI00	-	13.86
A0A2A2KI46	-	18.19
A0A2A2KI70	-	14.40
A0A2A2KQK3	-	13.92
A0A2A2KR94	-	18.05
A0A2A2KT25	-	14.33
A0A2A2KT57	-	14.41
A0A2A2KT69	-	18.07
A0A2A2KT76	-	14.07
A0A2A2KT86	-	14.23
A0A2A2KT89	-	18.10
A0A2A2KT90	-	16.37
A0A2A2KT92	-	14.48
A0A2A2KT95	-	18.04
A0A2A2KT96	-	9.84
A0A2A2KTJ9	-	14.25
A0A2A2KTL5	-	7.24
A0A2A2KWS8	-	NA
A0A2A2L189	-	16.76
A0A2A2L7X7	-	14.31
A0A2A2LC42	-	15.97
A0A2A2MFM9	C	3.30
A0A2A2PN16	-	15.93
A0A2A4FEF3	C	3.38
A0A2A4FK57	C	3.46
A0A2A5KJE3	C	3.37
A0A2A6B3L8	-	13.21
A0A2A6BIE1	-	14.38
A0A2A6BQG6	-	14.03
A0A2A6BT42	-	17.51
A0A2A6C0P8	-	11.71
A0A2A6C452	-	11.77
A0A2A6CJW1	-	17.61
A0A2A6J2U9	C	3.37
A0A2A7N7N2	C	3.31
A0A2A7SC70	C	3.18
A0A2A9P2X5	C*	3.68
A0A2A9PFR7	C	3.00
A0A2A9PJA7	-	22.86
A0A2A9PJB5	C	2.94
A0A2A9PND3	C	3.02
A0A2A9PRJ6	C	3.42
A0A2A9PSU3	C	2.86
A0A2B4R7J8	-	12.97
A0A2B4RIN6	-	10.97
A0A2B4RKW6	-	11.12
A0A2B4RN75	-	10.75
A0A2B4RNC9	-	11.00
A0A2B4RPF7	-	10.85
A0A2B4RQ59	-	10.92
A0A2B4RQQ5	-	10.97
A0A2B4SFS2	-	11.07
A0A2B4SG55	-	23.03
A0A2B4SQ19	-	12.55
A0A2B4STS7	-	21.58
A0A2B7WHR8	-	15.17
A0A2B7WN75	C	3.12
A0A2B7WWK3	-	23.36
A0A2B7WX14	-	22.02
A0A2B7WZX3	-	15.44
A0A2B7X0H1	-	22.94
A0A2B7X1D4	-	NA
A0A2B7X3E4	-	15.16
A0A2B7X5B2	C	3.38
A0A2B7X6I9	C*	3.53
A0A2B7XQF2	C	3.37
A0A2B7XVW2	C	3.49
A0A2B7XWW1	-	15.03
A0A2B7XYY6	-	14.65
A0A2B7XZH1	-	23.15
A0A2B7Y0Z4	-	23.32
A0A2B7Y1Z4	-	NA
A0A2B7Y2D7	C	2.91
A0A2B7Y3U7	-	22.28
A0A2B7Y571	-	15.41
A0A2B7YAT8	C	3.17
A0A2B7YCJ2	-	23.03
A0A2B7YDC2	C	3.00
A0A2B7YQX0	-	16.97
A0A2B7Z651	C	3.17
A0A2B7ZAM7	-	15.11
A0A2B7ZD97	C	3.46
A0A2B7ZFZ8	-	15.33
A0A2B7ZKP4	C	2.74
A0A2B7ZS17	-	22.94
A0A2B7ZTN1	C	2.84
A0A2B8BFB1	C	3.21
A0A2C5X0B9	C	3.12
A0A2C5XK77	C	3.42
A0A2C5XL89	C	3.04
A0A2C5XTP8	C	3.34
A0A2C5Y901	C	3.28
A0A2C5YA96	-	NA
A0A2C5YDY5	C	2.94
A0A2C5YFN0	C	2.77
A0A2C5YKI6	C	3.26
A0A2C5YLV5	C	3.19
A0A2C5YSY6	-	22.72
A0A2C5ZBU4	C	2.91
A0A2C5ZDY8	C	2.86
A0A2C5ZER1	C	3.36
A0A2C5ZMG7	C	2.94
A0A2C9JDT0	-	11.18
A0A2C9KDF9	-	11.26
A0A2C9KDI8	-	18.53
A0A2C9KDQ8	-	NA
A0A2C9L419	-	11.22
A0A2C9LHZ0	-	12.03
A0A2C9U520	C	2.89
A0A2D0N956	C*	9.91
A0A2D0NGI4	-	34.79
A0A2D0QFY2	-	12.87
A0A2D0SW34	-	13.11
A0A2D2AU21	C	3.34
A0A2D2AXZ0	C	2.81
A0A2D3UP66	C	3.20
A0A2D3URD8	-	17.31
A0A2D3USA2	-	14.79
A0A2D3UTW4	-	11.53
A0A2D3UWI9	-	23.87
A0A2D3UX83	C*	12.97
A0A2D3V5Q1	-	20.93
A0A2D3V8K9	-	21.34
A0A2D3V8Z0	-	22.46
A0A2D3V9U3	-	22.75
A0A2D3VEC3	C*	3.58
A0A2D3VIH6	C	3.41
A0A2D3VL88	-	21.54
A0A2G2W2T9	C	2.94
A0A2G2XEY0	C	2.87
A0A2G2XHP8	C	2.73
A0A2G2XM25	C	3.03
A0A2G2XM38	C	2.79
A0A2G2XM40	C	2.97
A0A2G2XMF4	C	2.84
A0A2G2XMG1	C	2.86
A0A2G2XMI6	C	2.99
A0A2G3A8M1	C	2.87
A0A2G3ABT2	C	2.81
A0A2G3AGB1	C	2.81
A0A2G3AGB2	C	2.95
A0A2G3AGD2	C	2.92
A0A2G3AGJ6	C	2.94
A0A2G3AP27	C	2.82
A0A2G5BCT7	-	22.59
A0A2G5BCT9	-	9.57
A0A2G5BCU3	-	22.68
A0A2G5BDP2	-	7.27
A0A2G5BJJ6	-	13.05
A0A2G5BJJ9	-	22.35
A0A2G5BJN3	-	22.21
A0A2G5C0J9	C	2.77
A0A2G5CHA6	C	3.30
A0A2G5CHB1	C	3.24
A0A2G5CHC6	C	2.88
A0A2G5CHD7	C	3.21
A0A2G5CHD9	C	3.37
A0A2G5D3X8	C	3.06
A0A2G5D3X9	C	3.20
A0A2G5D408	C	3.13
A0A2G5DWL0	C	3.39
A0A2G5DX59	C	3.21
A0A2G5EJL9	C	3.09
A0A2G5EY05	C	2.95
A0A2G5H7T6	-	22.93
A0A2G5HJW8	-	18.93
A0A2G5HLZ7	-	15.79
A0A2G5HMB1	-	12.04
A0A2G5HME4	C	2.97
A0A2G5HTG4	C	3.35
A0A2G5HTJ1	C*	3.59
A0A2G5HVL9	C*	3.56
A0A2G5HZD7	-	21.89
A0A2G5HZV8	C	3.50
A0A2G5I0E2	-	15.48
A0A2G5I1Q0	-	4.19
A0A2G5I5D8	-	13.18
A0A2G5ICH2	-	23.14
A0A2G5U285	-	11.04
A0A2G5U340	-	11.55
A0A2G5UKA1	-	14.36
A0A2G5UKC2	-	14.25
A0A2G5UKD5	-	13.92
A0A2G5UT89	-	18.12
A0A2G5VEH5	-	11.46
A0A2G5VEY2	-	11.39
A0A2G5VH62	-	12.87
A0A2G5VHB5	-	13.14
A0A2G5VHR3	-	12.92
A0A2G5VWB7	-	13.31
A0A2G7FK12	C	3.46
A0A2G7FKV0	C	3.27
A0A2G7FQL5	-	17.12
A0A2G7FTM7	-	22.50
A0A2G7FYG7	-	19.92
A0A2G7G703	-	15.08
A0A2G7G7G7	-	22.82
A0A2G7GBJ2	C*	6.49
A0A2G8L6J4	-	NA
A0A2G8RMK1	C	3.03
A0A2G8RML5	C	3.05
A0A2G8SRB1	-	15.10
A0A2G8SXT1	C	3.37
A0A2G8SYB0	C	3.11
A0A2G9G0D2	C	3.29
A0A2G9G4W6	C	2.87
A0A2G9G757	C	2.82
A0A2G9GF61	C	2.86
A0A2G9GQP1	-	NA
A0A2G9H164	C	2.84
A0A2G9H9E5	-	NA
A0A2G9H9F0	C	2.93
A0A2G9H9F5	-	NA
A0A2G9RBS2	-	12.47
A0A2G9SKI5	-	12.94
A0A2G9SKN4	-	12.88
A0A2G9U9G0	-	14.15
A0A2G9UFB4	-	11.51
A0A2G9UMR0	-	11.17
A0A2G9UPF2	-	12.26
A0A2H1FYF8	-	14.95
A0A2H1G5Q6	-	15.91
A0A2H1GBQ4	C*	6.50
A0A2H1GCI0	C*	12.74
A0A2H1GEV7	-	16.03
A0A2H1GH96	-	NA
A0A2H1GKH5	C	3.31
A0A2H1GNC2	C	2.80
A0A2H1H3J1	-	21.77
A0A2H1H541	C	3.22
A0A2H1H7W6	-	22.46
A0A2H1H8F5	-	22.99
A0A2H2ZLL5	C	3.08
A0A2H3ABG1	C	3.06
A0A2H3BBQ8	C*	15.82
A0A2H3BJ78	-	23.30
A0A2H3BKV9	-	23.50
A0A2H3BKW9	-	23.58
A0A2H3BM37	-	23.43
A0A2H3BQM6	-	23.50
A0A2H3BR86	-	19.83
A0A2H3BRY6	-	16.31
A0A2H3BYM4	C*	3.73
A0A2H3C2Q4	-	14.80
A0A2H3C2Z9	-	23.62
A0A2H3CDL4	-	23.64
A0A2H3CDP6	-	23.59
A0A2H3CFI2	-	23.42
A0A2H3CZT2	-	23.57
A0A2H3D1Q0	-	15.59
A0A2H3DHE5	-	23.49
A0A2H3DHG0	-	23.38
A0A2H3DK47	-	14.31
A0A2H3E1W7	-	23.40
A0A2H3E8H0	-	NA
A0A2H3EQM1	-	23.33
A0A2H3ES32	C	3.37
A0A2H3FCN1	C	2.91
A0A2H3GBU2	-	22.55
A0A2H3GCF0	C	3.15
A0A2H3GF76	-	22.20
A0A2H3GFQ3	-	21.01
A0A2H3GPA0	C*	4.32
A0A2H3GPD7	-	23.10
A0A2H3GQY4	-	22.85
A0A2H3GS61	-	20.99
A0A2H3H030	C	2.78
A0A2H3H6R0	-	22.77
A0A2H3HDD6	-	22.70
A0A2H3HH77	-	22.29
A0A2H3HKI2	-	22.85
A0A2H3HNW1	C	3.23
A0A2H3HRC3	-	22.79
A0A2H3HZX2	-	22.50
A0A2H3J9C6	C	3.24
A0A2H3JRM0	C	3.46
A0A2H3S4M3	-	23.05
A0A2H3S6Y7	-	NA
A0A2H3S7A7	-	16.72
A0A2H3SBP2	C	2.99
A0A2H3SRM4	-	20.44
A0A2H3SVM4	C	3.34
A0A2H3SWR3	-	22.36
A0A2H3SXE9	-	22.72
A0A2H3SXS3	-	NA
A0A2H3T9N0	C	2.95
A0A2H3TBA4	C	3.00
A0A2H3TCJ1	-	22.54
A0A2H3TD69	-	22.69
A0A2H3TEA3	C	3.47
A0A2H3TG04	-	22.79
A0A2H3TKE6	C	2.92
A0A2H3TN46	C	3.26
A0A2H3TNC8	-	23.12
A0A2H3TU20	-	16.73
A0A2H4GW12	-	13.07
A0A2H4QH72	-	NA
A0A2H4S9K4	-	15.31
A0A2H4S9M8	C	2.90
A0A2H4SCX5	-	22.61
A0A2H4SJ54	C	3.34
A0A2H4SUB3	-	NA
A0A2H5BVB1	-	15.88
A0A2H9TP87	-	23.63
A0A2I0A3T7	C	2.98
A0A2I0A3U1	C*	3.66
A0A2I0A3U6	C	2.82
A0A2I0AD88	C	3.33
A0A2I0AD91	C	2.77
A0A2I0ADC5	C	2.80
A0A2I0M116	-	12.97
A0A2I0SHR2	-	13.48
A0A2I0SIV6	-	NA
A0A2I0U7G5	-	13.12
A0A2I0UTH8	-	12.68
A0A2I0VD26	C	2.84
A0A2I0VPI4	C	2.84
A0A2I0WEB5	C	2.89
A0A2I0WZJ5	C*	4.38
A0A2I1BV77	-	22.65
A0A2I1C4A3	-	21.02
A0A2I1CEB6	-	NA
A0A2I1CR74	C	3.46
A0A2I1CST6	-	15.41
A0A2I1D3W9	-	16.13
A0A2I1DBY6	-	22.47
A0A2I1DEQ6	-	22.84
A0A2I2F3S2	-	15.70
A0A2I2FHN1	-	22.66
A0A2I2FJH9	-	22.85
A0A2I2FM34	-	16.03
A0A2I2FVC4	C	3.33
A0A2I2G3K9	-	22.75
A0A2I2G3M9	-	22.78
A0A2I2G6A8	C*	3.52
A0A2I2G6E1	-	22.85
A0A2I2G6K0	-	22.52
A0A2I2GCS3	-	22.50
A0A2I2GEV5	-	22.00
A0A2I2MQ46	-	12.73
A0A2I3HTD7	-	13.24
A0A2I3N2T4	-	13.29
A0A2I3S4B5	-	12.83
A0A2I3S7K1	-	12.87
A0A2I3SHA6	-	13.22
A0A2I3SUR0	-	13.47
A0A2I4AT87	-	13.22
A0A2I4AWA2	-	12.68
A0A2I4B6T4	-	13.12
A0A2I4CFG8	-	13.25
A0A2I4DDQ0	C	2.75
A0A2I4HRS7	C	2.92
A0A2J0YX98	C	3.26
A0A2J5HDB0	-	22.72
A0A2J5HIG3	-	14.92
A0A2J5HRQ5	-	16.05
A0A2J5I2K0	-	22.59
A0A2J6PH00	C*	3.57
A0A2J6PPY7	C	3.42
A0A2J6PRK0	-	NA
A0A2J6PV40	-	21.30
A0A2J6Q9Y4	C	3.42
A0A2J6QHR6	-	20.42
A0A2J6QKV2	-	14.95
A0A2J6QS19	-	NA
A0A2J6QSN0	-	23.01
A0A2J6QUH0	-	23.25
A0A2J6QV63	-	20.83
A0A2J6QVA1	-	22.07
A0A2J6R1Z2	-	NA
A0A2J6R7T9	-	22.59
A0A2J6R9M8	-	21.13
A0A2J6RKS8	-	23.00
A0A2J6RP99	-	22.56
A0A2J6RQI7	C	3.15
A0A2J6RTM7	-	15.04
A0A2J6S137	C	3.25
A0A2J6S1F6	-	NA
A0A2J6S2Q8	-	NA
A0A2J6S762	-	20.32
A0A2J6SBJ2	-	22.98
A0A2J6SC90	C	3.31
A0A2J6SG40	-	14.99
A0A2J6STN7	-	20.32
A0A2J6SYC9	C	3.37
A0A2J6T3A4	-	14.25
A0A2J6T6Y9	-	15.05
A0A2J6TC85	-	NA
A0A2J6TCA0	-	22.17
A0A2J6TCP2	C	2.84
A0A2J6TD48	-	NA
A0A2J6TDR3	-	23.07
A0A2J6TH09	C	2.62
A0A2J7ZPY5	-	8.78
A0A2J8BUT4	C	3.20
A0A2J8M4Q3	-	12.81
A0A2J8M4S4	-	12.83
A0A2J8X8R4	-	NA
A0A2K0TNJ3	C	3.20
A0A2K0U4G6	C	2.86
A0A2K0UQ00	-	22.96
A0A2K0USD3	-	16.77
A0A2K0VU96	-	15.78
A0A2K0VUX3	-	21.88
A0A2K0VYA6	C	3.43
A0A2K0W140	-	23.02
A0A2K0WAD2	-	20.83
A0A2K0WC23	-	22.48
A0A2K0WHJ9	C	2.84
A0A2K0WPA0	C	3.49
A0A2K0WR72	-	22.80
A0A2K0WTN0	C	2.89
A0A2K1IGC8	C*	3.75
A0A2K1IK82	C*	3.68
A0A2K1IZ55	C	3.32
A0A2K1J0S4	C	3.34
A0A2K1J162	C*	3.68
A0A2K1JC20	C	2.93
A0A2K1JC22	C	3.34
A0A2K1K1L4	C	3.30
A0A2K1K363	C	3.37
A0A2K1KIQ0	C	3.21
A0A2K1QQF1	-	22.48
A0A2K1R0I6	C	3.31
A0A2K1R203	-	22.76
A0A2K1R840	C	2.89
A0A2K1R853	C	2.86
A0A2K2AV86	C	3.00
A0A2K2CAK1	C	2.88
A0A2K2CAK3	C	2.78
A0A2K2CAL3	C	2.94
A0A2K2CAL5	C	2.95
A0A2K2CAM1	C	2.97
A0A2K2CAM6	C	3.18
A0A2K2CIP6	C	2.85
A0A2K3L6D9	C	2.90
A0A2K3LF60	C	2.82
A0A2K3Q9Z7	C	2.99
A0A2K3QIX3	C*	3.55
A0A2K3QJU1	C	3.22
A0A2K5CI97	-	13.16
A0A2K5CLY4	-	12.72
A0A2K5DIB6	-	13.22
A0A2K5HBM2	-	12.94
A0A2K5HMH1	-	13.18
A0A2K5J8F9	-	13.17
A0A2K5J8G5	-	NA
A0A2K5KLW2	-	13.17
A0A2K5KUE4	-	13.16
A0A2K5KUH5	-	13.48
A0A2K5P5J6	-	12.93
A0A2K5PG36	-	12.87
A0A2K5PLW3	-	13.17
A0A2K5QUW3	-	13.46
A0A2K5QUZ5	-	13.28
A0A2K5VPR3	-	13.18
A0A2K5VT29	-	13.13
A0A2K5Y8Y0	-	12.78
A0A2K5YYQ6	-	13.19
A0A2K6ADY3	-	13.24
A0A2K6C7T7	-	13.26
A0A2K6C7U2	-	13.18
A0A2K6C7U5	-	13.31
A0A2K6CJW6	-	12.84
A0A2K6CRU9	-	13.28
A0A2K6EEA8	-	15.35
A0A2K6F6R3	-	13.13
A0A2K6JR48	-	13.23
A0A2K6JR69	-	13.29
A0A2K6KAP7	-	12.79
A0A2K6KAS9	-	12.78
A0A2K6MDH0	-	13.18
A0A2K6NIW8	-	13.21
A0A2K6PAK1	-	13.23
A0A2K6PAN6	-	13.29
A0A2K6Q4A4	-	12.92
A0A2K6TYT4	-	12.78
A0A2K6TYV0	-	12.74
A0A2K6UZU2	-	13.11
A0A2K8JTS4	-	22.35
A0A2K8P7S5	-	NA
A0A2K8P7T4	-	NA
A0A2K8PNN2	-	NA
A0A2K8PQ16	-	NA
A0A2K8SJE4	-	59.27
A0A2K8T4N2	-	36.33
A0A2K9NKL2	C	3.27
A0A2L0F4A2	C	3.34
A0A2L0P0J7	-	23.05
A0A2L0RIT5	C	2.77
A0A2L0VDJ5	-	13.28
A0A2L2SRY2	-	NA
A0A2L2SSH7	-	22.63
A0A2L2T405	-	21.14
A0A2L2T7X4	-	22.89
A0A2L2T807	C*	3.50
A0A2L2TBY6	-	23.07
A0A2L2TG36	C	3.13
A0A2L2TIM9	-	22.59
A0A2L2TIX2	-	NA
A0A2L2TND9	-	23.10
A0A2L2TQ94	C	3.23
A0A2L2TR84	C	2.63
A0A2L2TT53	-	22.45
A0A2L2TWN6	-	22.00
A0A2L2TZT7	C	3.31
A0A2L2XEG7	-	NA
A0A2M9B5K9	-	24.78
A0A2N1MNU7	C	2.93
A0A2N3KJ84	C	3.29
A0A2N3MXT4	-	22.93
A0A2N3MXV9	-	23.06
A0A2N3MZ18	-	NA
A0A2N3N0U6	-	23.38
A0A2N3N1M7	C	3.31
A0A2N3N4T8	-	6.95
A0A2N3N7R4	-	NA
A0A2N3NCV3	-	18.99
A0A2N3NGK1	C	2.80
A0A2N3NIU0	-	22.01
A0A2N3NJJ7	-	15.70
A0A2N3NKM8	-	22.80
A0A2N3NLQ7	-	20.96
A0A2N5CV28	C	2.86
A0A2N5CVU4	-	NA
A0A2N5D510	C	3.29
A0A2N5DB92	C	3.29
A0A2N5DP59	C	3.14
A0A2N5S5U9	C*	9.18
A0A2N5SEN2	-	NA
A0A2N5SR99	-	10.60
A0A2N5SRB5	-	NA
A0A2N5SSF6	-	NA
A0A2N5TTG8	C*	9.11
A0A2N5TV63	-	NA
A0A2N5U4U9	-	NA
A0A2N5UIA0	-	10.60
A0A2N5UQZ3	C*	9.12
A0A2N5VYB1	-	NA
A0A2N5VYB5	-	10.72
A0A2N5VYD7	-	11.04
A0A2N6NB01	C	2.66
A0A2N6NRW3	-	NA
A0A2N6P261	C	2.91
A0A2N6P2C7	-	22.17
A0A2N8NQV5	-	15.96
A0A2N8P306	-	16.12
A0A2N8TD21	-	NA
A0A2N8TJM9	-	NA
A0A2N8U910	-	8.15
A0A2N8UKW6	-	15.07
A0A2N9BEH4	-	NA
